Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Mera top up kar,0.2023,Positive,0.5,Positive,0.648963451385498,Positive
Noobda 1v1aja,0.0,Neutral,0.0,Neutral,0.2756650745868683,Neutral
Bad police 100,-0.5423,Negative,-0.6999999999999998,Negative,-0.3987769484519958,Negative
ISO diamond de do,0.34,Positive,0.0,Neutral,0.2905181646347046,Neutral
This is a custom,0.0,Neutral,0.0,Neutral,0.5642291307449341,Positive
Kaal bhai op,0.0,Neutral,0.0,Neutral,0.2833429872989654,Neutral
You are so funny video😅😅😅,0.8886,Positive,0.25,Neutral,0.7553442120552063,Positive
Please give a setup tour +oc specs,0.3182,Positive,0.0,Neutral,0.2994769215583801,Neutral
"""I respect to everyone who were involved in this, Siriously the best piece that I ever seen on YouTube, HATS OFF TO YOU ALL! LOVE YOUR VIDEOS! 💖",0.9648,Positive,0.8125,Positive,0.9714090824127196,Positive
3082234059,0.0,Neutral,0.0,Neutral,0.2278696000576019,Neutral
Meri id de raha hun main,0.34,Positive,0.0,Neutral,0.2756282091140747,Neutral
Mere sath kheloge Kalu Bhai device,0.34,Positive,0.0,Neutral,0.2491298615932464,Neutral
BODKa,0.0,Neutral,0.0,Neutral,0.2888030111789703,Neutral
Uid dedo bhai aapni,-0.6486,Negative,-0.2,Negative,0.2696520388126373,Neutral
Noop bot,0.0,Neutral,0.0,Neutral,-0.3386119604110718,Negative
"Vai,,,ur,paro,,,,,op👍👍👍,ilik🧡🧡🧡🧡🧡",0.9719,Positive,0.0,Neutral,0.2611180245876312,Neutral
He is costume gameplay 😂😢😂,0.4019,Positive,0.0,Neutral,0.3257744014263153,Neutral
Chutiya bna rha hai session 1 bnda duo nhi khelega random ke sath,-0.2584,Negative,-0.5,Negative,-0.4004996716976166,Negative
Or to or aap bar bar krishna naam ke bande ko bar bar mara,-0.6705,Negative,-0.2,Negative,-0.3621610403060913,Negative
Kaal bhai ye rank match nahi h ye custom tha kyo ke jab aapne peak par season 2 ko mara laken uska naam ace tha jo aapki friends list me,0.631,Positive,-0.8,Negative,0.2719744741916656,Neutral
No player no player,-0.0803,Negative,0.0,Neutral,-0.8691649436950684,Negative
"Hello bhai log jisko bhi 1v1 karna ha chenel me comment karo i am pro pleyar 


https://youtu.be/BBQdaRW9Ek8",0.0772,Positive,0.0,Neutral,-0.3653636276721954,Negative
Bhaitummeragropmeaagao,0.0,Neutral,0.0,Neutral,0.2475700825452804,Neutral
Bro aap to mobile per gameplay Karte The kab se PC player Hone Lage aap,0.0,Neutral,0.0,Neutral,0.3084785640239715,Neutral
