Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
4 champions  and Elias wins. Lame,0.6486,Positive,-0.1,Negative,-0.5796094536781311,Negative
Randy Orton mein akele mein jita Diya 🤣🤣🤣🤪✌️✌️,0.0,Neutral,0.0,Neutral,0.5795438885688782,Positive
I miss Ted Dibiase,-0.1531,Negative,0.0,Neutral,0.2839871048927307,Neutral
"after first move , adjusting his shorts right away , come on guys we know its fake but atleast try to be original",0.2263,Positive,0.1026785714285714,Neutral,0.2687013745307922,Neutral
"As much as I love everything about this, I'm truly happy to see Elias/Ezekiel get the Babyface treatment. I've always loved Elias, his heel promos always made me laugh and he's excellent in the ring.",0.9719,Positive,0.6599999999999999,Positive,0.9269009828567504,Positive
I’m scared for Rhiddle. Looool honestly,0.0258,Neutral,0.6,Positive,-0.2634127140045166,Negative
Uso  .Seth ab khatm hogye,0.0,Neutral,0.0,Neutral,-0.3618691563606262,Negative
LOL the Usos never the lesson. Never jump from the top rope toward the Viper,0.6523,Positive,0.65,Positive,-0.5603734254837036,Negative
That woman is amazingly beautiful! And I mean Asuka.,0.6689,Positive,0.34375,Positive,0.9310251474380492,Positive
What a Night for the new guy.,0.0,Neutral,0.1363636363636363,Neutral,0.6114456653594971,Positive
So beautiful RKO 😁😁😁💝👌👍👍👍👍,0.9736,Positive,0.85,Positive,0.8175194263458252,Positive
Randy's good 👍,0.4404,Positive,0.7,Positive,0.4714686572551727,Positive
0:04,0.0,Neutral,0.0,Neutral,-0.5548918843269348,Negative
USOS loses RK BRO,-0.3182,Negative,-0.3,Negative,-0.5365858674049377,Negative
pain usos & Seth 'FREAKIN' rollins and kevin owens,-0.5106,Negative,0.0,Neutral,0.3720418512821197,Positive
"I have had zero interest in wwe for years and years. I was immediately brought back in with the stone cold appearance as you’d imagine… ill be honest, i love the rko bro gimmick",0.8271,Positive,-2.220446049250313e-17,Negative,0.5210140943527222,Positive
Randy should be the WWE champion,0.5994,Positive,0.0,Neutral,0.2843983769416809,Neutral
Not bad pretty good 👍,-0.2924,Negative,0.4333333333333333,Positive,0.5994901061058044,Positive
What a performance Randy👌👌,0.9055,Positive,0.0,Neutral,0.6318470239639282,Positive
"1:10 ""AHHHH MY EYES!!!""",0.0,Neutral,0.0,Neutral,-0.4680120050907135,Negative
Matches are fixing,0.0,Neutral,0.0,Neutral,0.3769609034061432,Positive
Randy get a great push,0.6249,Positive,0.8,Positive,0.5889149904251099,Positive
RKO 20,0.0,Neutral,0.0,Neutral,0.3962679505348205,Positive
Raw fires yes aftr a long time its amazing .....Rk.Bro,0.7579,Positive,0.1064102564102564,Neutral,0.6712601780891418,Positive
After watching this it remind me of old days 🥲🥲,0.0,Neutral,0.1,Neutral,0.3938151597976684,Positive
Is it just me or Randyorten shorts looks like a diaper😅,0.6124,Positive,0.0,Neutral,0.2916302680969238,Neutral
Professor Orton,0.0,Neutral,0.0,Neutral,0.2796556055545807,Neutral
Literally old vibe,0.0,Neutral,0.1,Neutral,-0.5220460295677185,Negative
RK bro son lo mejor que tiene WWE,0.6369,Positive,1.0,Positive,0.8515773415565491,Positive
Awesome match 🔥🔥,0.0772,Positive,1.0,Positive,0.8377626538276672,Positive
Wow!!! No one can match the Aura Of Viper Orton 🐍,0.5386,Positive,0.1953125,Neutral,0.5989716649055481,Positive
All credit goes to Raaandy.,0.3818,Positive,0.0,Neutral,-0.5245316624641418,Negative
RK Bro slowly becoming D-von n BubbaRay,0.0,Neutral,0.45,Positive,-0.3246462941169739,Negative
🔥🔥,-0.5859,Negative,0.0,Neutral,0.3085779249668121,Neutral
Theodore Long must be so proud,0.6113,Positive,0.375,Positive,0.80150306224823,Positive
