Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
বাংলাদেশ,0.0,Neutral,0.0,Neutral,0.2575468420982361,Neutral
im here again,0.0,Neutral,0.0,Neutral,0.5258503556251526,Positive
ok,0.296,Positive,0.5,Positive,0.4951144456863403,Positive
I love that mrbeast came in the end,0.6369,Positive,0.5,Positive,0.6975778341293335,Positive
Selamat Juga🎉🎁👏👍,0.8591,Positive,0.0,Neutral,-0.5677600502967834,Negative
Man i can remember that there was live channels trying to see who gets 100mil but i will be here forever,0.0,Neutral,0.1363636363636363,Neutral,0.5748501420021057,Positive
facts,0.0,Neutral,0.0,Neutral,0.4877397119998932,Positive
Nice being nice to t seireis because he's now got the most subscribers thanks,0.8307,Positive,0.475,Positive,0.4733607769012451,Positive
Leaving a comment to prove that I was alive to see this war.,-0.4633,Negative,0.1,Neutral,0.2766273915767669,Neutral
This boy I goat🐐🐐🐐,0.0,Neutral,0.0,Neutral,0.7039972543716431,Positive
T siries is not an individual they are group of Bollywood actor and singers and on the other side PewDiePie is an lone YouTuber...so pewdiepie vs T siries is like pretty much competition with a whole country against one,0.5574,Positive,0.105,Neutral,-0.4254553616046905,Negative
I served in this war,-0.6833,Negative,0.0,Neutral,0.593420684337616,Positive
Those 3 years feel like yesterday,0.3612,Positive,0.0,Neutral,0.6277574896812439,Positive
3 years and I am waiting for t series to reply,0.0,Neutral,0.0,Neutral,0.2714172005653381,Neutral
still remember pewdiepie blowing t series out of the water after this song...at least for a good week,0.4404,Positive,0.1999999999999999,Neutral,-0.2323167622089386,Negative
Everyyear i will leave a comment on this video!,-0.126,Negative,0.0,Neutral,-0.4801995456218719,Negative
this songbnever gets old huh. nice,0.4215,Positive,0.35,Positive,0.3705755472183227,Positive
3yrs but still my fav,0.6124,Positive,0.0,Neutral,0.3895857334136963,Positive
It’s April Fools day lol,-0.1027,Negative,0.8,Positive,0.3671532273292541,Positive
Wow very nice music ❤,0.902,Positive,0.44,Positive,0.7763630747795105,Positive
"coming back to this epic video after 3 years, insane. time flies man",-0.4019,Negative,-0.3,Negative,0.537173330783844,Positive
t-series sucks,-0.3612,Negative,-0.3,Negative,-0.6024725437164307,Negative
"Pewds made so many achievements in his life, 111million subs ain't no joke (even the comment section is about to reach 1 million comments lol)",0.551,Positive,0.65,Positive,0.5367865562438965,Positive
I completely forgot about the Mr. Beast cameo at the end,0.0,Neutral,0.1,Neutral,-0.4823427498340606,Negative
Bruh they at 200mil but can't even get 100k views on a vid kinda sus,0.0,Neutral,0.0,Neutral,0.4297469854354858,Positive
*_xD_*,0.0,Neutral,0.0,Neutral,0.2407086044549942,Neutral
I still love it after 3 years,0.6369,Positive,0.5,Positive,0.7100011110305786,Positive
HI. REALLY NICE.,0.4754,Positive,0.6,Positive,0.5860782265663147,Positive
WTF?,-0.5859,Negative,-0.5,Negative,-0.3472113907337188,Negative
"MAKE DEAN TO DEAN, TOM , ALEC, AND OTHER JENSEN ACKLES CHARACTER FRIENDSHIPS VIDEO. MAX.",0.516,Positive,-0.125,Negative,0.3872250020503998,Positive
I still don’t know if this is a congrats or a dis track,0.5267,Positive,0.0,Neutral,-0.3120299875736236,Negative
"I'm glad I've been here since the beginning, thanks for all the amazing moments and laughs.",0.9169,Positive,0.4333333333333333,Positive,0.7951622009277344,Positive
One day i will see you pewds i promise,0.3182,Positive,0.0,Neutral,0.517653226852417,Positive
very good 220 millionds view,0.4927,Positive,0.91,Positive,0.6379716396331787,Positive
чтооооо?,0.0,Neutral,0.0,Neutral,-0.4239592254161834,Negative
Good times.,0.4404,Positive,0.7,Positive,0.428102046251297,Positive
WHY AND HOW THEY GOT 200 M SUBS,0.0,Neutral,0.0,Neutral,0.234121948480606,Neutral
