Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
“The plant gays can defend me” 😂,0.4404,Positive,0.0,Netural,0.5229355096817017,Positive
Moooore,0.0,Neutral,0.0,Netural,-0.3538331985473633,Negative
1:04 this got me laughing all dayyyy! Ur soooo funny!!!,0.8057,Positive,0.48828125,Positive,0.608911395072937,Positive
i LoOVE when he does 5 minute crafts,0.6369,Positive,0.5,Positive,-0.31969690322875977,Negative
girl you are gorgeous what the hell are you saying about your self,-0.1531,Negative,0.7,Positive,0.6930040717124939,Positive
The eyelash made w James’$ hair looked like eyeliner from the sid-,0.3612,Positive,0.0,Netural,-0.40125930309295654,Negative
What happen to his hair today tho,0.0,Neutral,0.0,Netural,0.39665359258651733,Positive
You look beautiful,0.5994,Positive,0.85,Positive,0.63124018907547,Positive
Is it just me or dose James look likes he was crying,-0.1531,Negative,-0.2,Negative,-0.3350186347961426,Negative
"I BIG FAN YOUU I WACTH ALL EPISOD 
LOVEJAMES",0.3182,Positive,0.0,Netural,0.483583003282547,Positive
I am watching James Charles videos to see see his frustration idk its sooo funny,-0.1531,Negative,0.25,Netural,0.3247022330760956,Netural
✨hey sisters💅,0.0,Neutral,0.0,Netural,0.34280773997306824,Positive
the way he gets so angry will never get old😭,-0.8096,Negative,-0.5,Negative,0.5308195948600769,Positive
I waaaaant that hoodie,0.0,Neutral,0.0,Netural,-0.26890307664871216,Negative
"Someday james ruin his pretty face using these hacks🙂
Ouh, ho ho my God! Please save him!",0.8516,Positive,0.390625,Positive,-0.770587682723999,Negative
No u are the most beautiful person I have ever seen (my mom is more beautiful) '_',0.8012,Positive,0.675,Positive,0.8431593775749207,Positive
شكله بالروج الاحمر يجنن 😭,-0.34,Negative,-0.3,Negative,-0.48891136050224304,Negative
it's give ing monster high,0.0,Neutral,0.16,Netural,0.32902464270591736,Netural
wait a twice stan???????,0.0,Neutral,0.0,Netural,-0.5046378970146179,Negative
your mouth is green,0.0,Neutral,-0.2,Negative,-0.32996124029159546,Negative
Do more plssss ))),0.0,Neutral,0.5,Positive,0.3154471516609192,Netural
"When you cut your hair... OhmyGod I was like ""James don't do it!""",0.1759,Positive,0.0,Netural,-0.6053248643875122,Negative
James makes me laugh so hard 😂,0.6842,Positive,0.004166666666666652,Netural,-0.2843976616859436,Negative
you ard not ugley,0.4023,Positive,0.35,Positive,0.23596273362636566,Netural
Korean do that ombre lips hack,0.0,Neutral,0.0,Netural,-0.38521140813827515,Negative
"Do another cuz James love these soo much, lol",0.7906,Positive,0.65,Positive,0.7628582119941711,Positive
Do more plssss,0.0,Neutral,0.5,Positive,0.41008251905441284,Positive
I love your videos so never give up and keep trying. i also got your jacket I love it!!!,0.8827,Positive,0.73828125,Positive,0.9351074695587158,Positive
So good 😂 the eyelash extension🤣🤣🤣,0.9402,Positive,0.7,Positive,0.6118711829185486,Positive
Great post twin keep it up 😩😩😩,-0.0516,Negative,0.8,Positive,0.739569902420044,Positive
I hate my sis more than anything when it comes to blending in foundation or concealer or just anything SHE IS FREAKING RUBBING THE BLENDER ON HER FREAKING FACE,-0.8949,Negative,-0.15000000000000002,Negative,-0.7871121764183044,Negative
I love the intro that was in todays video,0.6369,Positive,0.5,Positive,0.6412349939346313,Positive
i love your hair do not let the hate get in your brain,0.8019,Positive,-0.15000000000000002,Negative,0.7840486168861389,Positive
In 5 min crafts,0.0,Neutral,0.0,Netural,0.48000404238700867,Positive
She didn't put i liner on her left eye,0.0,Neutral,0.0,Netural,-0.4005134403705597,Negative
Cutting your hair one isn’t to good,0.34,Positive,0.04999999999999999,Netural,-0.49055951833724976,Negative
Sister James don’t even you are a pop off queen 💕,0.6486,Positive,0.0,Netural,0.28667598962783813,Netural
"Okaaaay. I’m love your videos, and I’m watching the translation on another channel. To practice English, I decided to see the original, but you speak so fast 😁 it’s will be not easy for me",0.6299,Positive,0.17166666666666666,Netural,0.6498222947120667,Positive
