Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Loriguez 💋💋MICHAEL💋💋oui💋💋,0.9552,Positive,0.0,Neutral,0.2352708429098129,Neutral
"Maior artista que já andou sobre a terra, e o Brasil tem a onra de ter recebido ele aqui principalmente o estado da Bahia",0.8126,Positive,0.5,Positive,0.817016065120697,Positive
"mj: todo lo que quiero decir es que ellos no se preocupan realmente por nosotros, libera me. 
bts: esta generación que a sido insultada, persigue los y cambia las reglas. ellos quieren, quieren mantenerlas. no podemos hacer eso.
la vida los separo por que tenia miedo de ustedes. 💜 
#armywalker",-0.306,Negative,-0.1999999999999999,Negative,0.4403294026851654,Positive
Saudade ❤️🙏,-0.1531,Negative,0.0,Neutral,0.5249291062355042,Positive
Thanks Jackie for the special songs,0.6808,Positive,0.2785714285714286,Positive,0.4754937887191772,Positive
"Това е едно брилянтно същество от друга йерархия.
Който не е дорасъл няма  как да го асимилира.
Благодаря ти Майкъл❤️❤️❤️❤️❤️❤️",0.3999,Positive,0.9,Positive,-0.5100979804992676,Negative
"Sadly, he changed nothing",-0.4215,Negative,-0.5,Negative,-0.4796455204486847,Negative
Essa é uma das melhores músicas se ñ for a melhor,0.21,Positive,1.0,Positive,0.8346000909805298,Positive
"That men was speaking the truth, they will do everything in power to stop us from knowing the truth or have you speak the truth",0.5719,Positive,0.0,Neutral,0.5234358310699463,Positive
Michael hit the Griddy @2:39 😂,0.4404,Positive,0.0,Neutral,-0.2673351466655731,Negative
We need him in days like these more than ever!,0.4199,Positive,0.625,Positive,0.8632158041000366,Positive
amo o michael jackson,0.6369,Positive,0.5,Positive,0.3948396444320678,Positive
I actually listened to the song first time in 2016 when i was in India 😂 nice jop keep going,0.6908,Positive,0.2833333333333333,Positive,-0.236152097582817,Negative
Artıq belə güclü yaddaşlarda qalan musiqilər çox çox azdı məncə heç yoxdu. 2022 ci il),0.5106,Positive,0.1733333333333333,Positive,-0.3306851983070373,Negative
Super!!!,0.6981,Positive,0.6510416666666665,Positive,0.8130416870117188,Positive
😀😃🙂🙃😊😇😀,0.9532,Positive,0.0,Neutral,0.3085779249668121,Neutral
🇺🇿🇺🇿🇺🇿🇺🇿🇺🇿🇺🇿,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
"He looks like a Caucasian here.  I remember when he was with the Jacksons 5, he was black.  Wtf?",-0.3182,Negative,-0.3333333333333333,Negative,-0.3660678267478943,Negative
Still watching in 2022 ❤️,0.0,Neutral,0.0,Neutral,0.2679668068885803,Neutral
I miss his songs😞❤️,-0.5719,Negative,0.0,Neutral,0.3922807276248932,Positive
The drum players in the music is just awesome,0.6249,Positive,1.0,Positive,0.7585080862045288,Positive
"ПЛОХО ОТ ОДНОЙ МЫСЛИ, ЧТО ВСЁ ЭТО НИКОГДА НЕ ПОВТОРИТЬСЯ 😭😭😭",-0.9265,Negative,-0.6999999999999998,Negative,-0.5133398771286011,Negative
😀😀👏❤👏💙,0.9246,Positive,0.0,Neutral,0.3085779249668121,Neutral
"Olodum de rj, nunca esquecido pelo rei.",0.1695,Positive,0.0,Neutral,0.4497941136360168,Positive
👑👑👑👑❤❤❤🌻🌻🌻🌻,0.9274,Positive,0.0,Neutral,0.3085779249668121,Neutral
"Um HINO,um ídolo q nunca será esquecido jamais!!!!",0.428,Positive,0.0,Neutral,0.7744746804237366,Positive
eu me recordo de ter visto esse vídeo em 2009 só q eu nasci em 2009 e ele faleceu em 2009,0.0,Neutral,0.0,Neutral,-0.4811053574085235,Negative
😭,-0.4767,Negative,0.0,Neutral,0.3085779249668121,Neutral
He is forever in our hearts,0.6486,Positive,0.0,Neutral,0.769810140132904,Positive
Легенда,0.0,Neutral,0.0,Neutral,0.4118037521839142,Positive
Mj is great nothing lake mj,0.6249,Positive,0.8,Positive,0.5789375901222229,Positive
Brazil 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,0.0,Neutral,0.0,Neutral,0.2840723693370819,Neutral
"💡Light & Beauty & Love
💡& Anti-satanizm
💡& Alternative money -
Will Save Humanity🌍🌏",0.9042,Positive,0.5,Positive,-0.3729441165924072,Negative
https://www.youtube.com/watch?v=eVEOif5iKrg&t=85s,0.0,Neutral,0.0,Neutral,-0.256862998008728,Negative
Some things in life they just don't wanna see 😔,-0.0572,Negative,0.0,Neutral,0.3875176906585693,Positive
I miss you MJ 🥺,-0.1531,Negative,0.0,Neutral,0.2874119281768799,Neutral
2022 🔥🔥🔥🔥,-0.8225,Negative,0.0,Neutral,0.2993581593036651,Neutral
This is one of my favorites of all time❤️🔥,0.1027,Positive,0.0,Neutral,0.9587464928627014,Positive
I  MISSED YOU 💜,0.3109,Positive,0.0,Neutral,-0.3975080251693725,Negative
2:39 holy crap,-0.3818,Negative,-0.8,Negative,-0.7358784675598145,Negative
Rap-ist !,0.0,Neutral,0.0,Neutral,0.4558627605438232,Positive
"Simplesmente maravilhoso , forte, real , atemporal ,Michael Brasil Forever !👍🏻❤️",0.807,Positive,0.5444444444444444,Positive,0.9545838832855223,Positive
May you rest peacefully.  Know that your dream lives on!,0.69,Positive,0.3125,Positive,0.6382277011871338,Positive
Ben cok begenmiyorum a ma seviyorum,0.7387,Positive,0.35,Positive,0.6837731003761292,Positive
RIP MICHAEL JACKSON,0.0,Neutral,0.0,Neutral,-0.4554961919784546,Negative
I'ts no R.I.P,-0.296,Negative,0.0,Neutral,-0.3767923414707184,Negative
"1995...masterpise ❤️
2005...masterpise ❤️
2015...masterpise ❤️
2022...R.I.P Machiel jakcon😮‍💨",0.0,Neutral,0.0,Neutral,0.2566690444946289,Neutral
1997 I was a kid then Micheal Jackson is alive or not. I hope this song usually a song and I also like It but I saw a another channel where Michael Jackson dead.,-0.7272,Negative,-0.1166666666666666,Negative,0.3705144822597503,Positive
How powerful is this song. It touches my heart every time I hear the lyrics. It also makes me reflect on Michael's life and how strong he was during his time.,0.8834,Positive,0.3666666666666666,Positive,0.7647742033004761,Positive
Great song. but pain full to watch as these where the days of lip singing on music videos and it clear to see,0.128,Positive,0.4166666666666667,Positive,0.4923929274082184,Positive
0:44 that move is a vibe check and he passed it 10/10,0.0,Neutral,0.0,Neutral,-0.6085261702537537,Negative
Im still listening on April 30 2022,0.0,Neutral,0.0,Neutral,-0.4433313608169555,Negative
Michael Michael! eles não ligam pra gente!,-0.4959,Negative,0.0,Neutral,-0.6170626282691956,Negative
👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻💥,-0.3612,Negative,0.0,Neutral,0.3085779249668121,Neutral
"Zussian soldiers rape todlers, rape women sisters mothers in the name of ruZZian Putler war,you call them brothers and nazis in the same sentence if you are a human and have some kind of moral compass this ends now, if not, you will no longer exist because good always tryumph over evil.",-0.8936,Negative,0.0499999999999999,Positive,-0.465454488992691,Negative
Ele so conseguiu parar o planeta terra amo michael jackson ❤❤,0.9081,Positive,0.25,Positive,-0.2510486841201782,Negative
Brasil 2022,0.0,Neutral,0.0,Neutral,-0.2464896291494369,Negative
2022 ✨✨✨✨,0.802,Positive,0.0,Neutral,0.2993581593036651,Neutral
