Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Juebones,0.0,Neutral,0.0,Neutral,0.3038047552108764,Neutral
Quien esta escuchando esta lindura en 2021,0.4357,Positive,0.0,Neutral,0.2911769449710846,Neutral
Jjjjjjjjj 😂😂😂😂😂😂,0.9468,Positive,0.0,Neutral,0.2422837018966674,Neutral
Dile que Tu me quieres con covid!!! :/,0.5684,Positive,0.36328125,Positive,0.3868742287158966,Positive
xD,0.5859,Positive,0.0,Neutral,0.4124718010425567,Positive
.lo .siento .peeo es lo que dice .heeeeeee .yo te quiero heeeeeeeeee..,0.7684,Positive,0.5,Positive,0.2584064304828644,Neutral
Dvejh,0.0,Neutral,0.0,Neutral,0.257221907377243,Neutral
Qwweeeeeeeeerr,0.0,Neutral,0.0,Neutral,0.2522640228271484,Neutral
Hooo es romeri de somos tu y yo,0.0,Neutral,0.0,Neutral,0.5429291129112244,Positive
Olaosua,0.0,Neutral,0.0,Neutral,0.2644473612308502,Neutral
tee amoo ozunaa,0.0,Neutral,0.0,Neutral,0.2804309427738189,Neutral
🐻🐻🐻🐻🐻🐻🐻,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
"Estudié 5 años psicología para que al final las canciones de ozuna me salven del suicidio? me ofende, pero voy a tomarlo xd.

Y ahora para lo que me dio 
https://youtu.be/N_KfgTdcCxs",-0.3919,Negative,0.0,Neutral,0.2648430168628692,Neutral
a mi  también  me pasa  eso,0.0,Neutral,0.0,Neutral,0.2721598744392395,Neutral
Mí música favorita de todas,0.4588,Positive,0.5,Positive,0.8727394342422485,Positive
Pleno 2021😀,0.3612,Positive,0.35,Positive,0.4051906764507293,Positive
Me en canta esta musica😄😍,0.9136,Positive,0.5,Positive,0.4675084948539734,Positive
2021,0.0,Neutral,0.0,Neutral,0.298195868730545,Neutral
Me gusto la cansion te nia ridmo,0.4215,Positive,0.6,Positive,0.4108675122261047,Positive
Q buena canción,0.4404,Positive,0.7,Positive,0.426817238330841,Positive
"Me gusta la música de Ozuna🎶🎧🎧
Dale like si te gusta:
👇",0.7579,Positive,0.0,Neutral,0.4457969665527344,Positive
Que no le.haga kk a lo que le diga xD,0.743,Positive,0.0,Neutral,-0.6038357615470886,Negative
Diciembre Quien Mas?♥👽,0.6369,Positive,0.0,Neutral,-0.366862028837204,Negative
"yo soy fan numero uno 
nadien mas",0.1027,Positive,0.0,Neutral,0.5761411190032959,Positive
El.ke.kiera que. Copien. Bien. Pero.ke.kopienbien.el.babi.de.RD,0.4404,Positive,0.7,Positive,0.3409842252731323,Positive
Ablaen.klk,0.0,Neutral,0.0,Neutral,0.3031956851482391,Neutral
Klk.klk.klk,0.0,Neutral,0.0,Neutral,-0.3583952486515045,Negative
Gracias de.republica Dominicana hermano eletronica sonidos El.babi.de.RD,0.4404,Positive,0.2,Positive,0.3390391767024994,Positive
Gracias de.republica Dominicana hermano eletronica sonidos El.babi.de.RD,0.4404,Positive,0.2,Positive,0.3390391767024994,Positive
Gracias de.republica Dominicana hermano eletronica sonidos El.babi.de.RD,0.4404,Positive,0.2,Positive,0.3390391767024994,Positive
Que bello cantas,0.5994,Positive,0.85,Positive,0.49045529961586,Positive
Quien está escuchando en plena pandemia las musicas antiguas de ozuna den LIKES porque son muy buenas rolas 👌👌👌👌😎😏las musicas de ozuna es lo máximo,0.9897,Positive,0.5025,Positive,0.4587931036949157,Positive
"¡Hola!, ¿Cómo están? espero se encuentren bien el día de hoy les traigo un juego virtual bastante divertido en el cual podrás hacer muchas cosas como: crear salas a tu gusto, conocer nuevas personas, participar en eventos divertidos el cual se dan premios, hacer intercambios, etc... El juego es totalmente gratis así que no hay pretextos de no poder jugarlo, en fin, por aquí les dejo el link por si les interesa jugar: https://kekocity.com/en/
https://kekocity.com/en/
https://kekocity.com/en/",0.9764,Positive,0.1676363636363636,Positive,0.2404021471738815,Neutral
Озуна я тебя люблю,0.6369,Positive,0.5,Positive,0.5395641922950745,Positive
