Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
好聽,0.4215,Positive,0.6,Positive,0.44989821314811707,Positive
Super excellent album forever super best songs and music 🎵🎵🎵 🎶🎶🎶🎶 all were super mindblowing super best forever 🎶🎵😎🌎,0.9858,Positive,0.6190476190476192,Positive,0.9530209898948669,Positive
I love you,0.6369,Positive,0.5,Positive,0.8546807765960693,Positive
21:56 Người em có béo thì anh vẫn thương. Và dù hơi bướng thì anh vẫn theo,0.3612,Positive,0.5,Positive,-0.3943193554878235,Negative
22:47 Chú Cuội ngồi gốc cây đa. Trung thu em ở cổng nhà chờ anh,0.4939,Positive,0.0,Netural,-0.42506057024002075,Negative
I like your songs,0.3612,Positive,0.0,Netural,0.49833768606185913,Positive
Super excellent album forever mindblowing song super best music 🎵🎵🎵 and remix 🎶🎶🎶 super best genius forever. 🌎🎵🎶,0.9771,Positive,0.6666666666666666,Positive,0.9459829926490784,Positive
🤍🤍🤍🤍🤍🎧🎛️📀🤍🤍🤍🤍🤍,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
0:00,0.0,Neutral,0.0,Netural,-0.6361402273178101,Negative
Super excellent album forever all were super fabolous. 🌎😎🎵🎶,0.9382,Positive,0.5555555555555555,Positive,0.9462950825691223,Positive
Super best album forever all were super fabolous super best genius forever 🌎😎🎵🎶,0.9753,Positive,0.6,Positive,0.9545978903770447,Positive
Very nice 👌👌👌👍👍👏👏👏👏👏,0.9684,Positive,0.78,Positive,0.6992000341415405,Positive
Super excellent album forever super best song super best music 🎵🎵🎵 and remix 🎶🎶🎶 all were super awesome super best genius forever  🌎😎🎵🎶,0.9927,Positive,0.6666666666666666,Positive,0.9567545056343079,Positive
Alan Walker is a way to relax yourself and your mind♥️😃,0.8625,Positive,0.0,Netural,0.5493427515029907,Positive
oooooh,0.0,Neutral,0.0,Netural,-0.3100067675113678,Negative
oooooh,0.0,Neutral,0.0,Netural,-0.3100067675113678,Negative
Why is everyone telling the times of the songs?,0.0,Neutral,0.0,Netural,0.2579771876335144,Netural
:),0.4588,Positive,0.5,Positive,0.3749994933605194,Positive
HI,0.0,Neutral,0.0,Netural,0.23648656904697418,Netural
:))),0.0,Neutral,0.5,Positive,0.36303338408470154,Positive
nice playlist,0.4215,Positive,0.6,Positive,0.513436496257782,Positive
Super best album forever super awesome song super best music 🎵🎵🎵 and remix 🎶🎶🎶 super best forever 🎶🎵🌎😎,0.9893,Positive,0.6666666666666666,Positive,0.9327970147132874,Positive
Super excellent album for every year all song was super fabolous super best 🎵🎵🎵 🎶🎶🎶  super best genius forever 🌎😎🎵🎶,0.9858,Positive,0.6190476190476192,Positive,0.9605082273483276,Positive
"very good!!!!!!!!!!!
alan walker is the best artist in  the word 
thank you for this compilation of alan !!!!!!!!!!!!!!!!!",0.9014,Positive,1.0,Positive,0.7431290149688721,Positive
"On My Way 0:00
Darkside 3:14
All Falls Down 6:58
Ignite 10:14
Faded 13:40
Different World 17:09
The Spectre 20:32
Diamond Heart 23:38
Alone 27:01
Sing Me To Sleep 29:39
Move Your Body 32:47
Hymn For The Weekend 36:18
Force 40:06
Rountine 43:59
Flying Dreams 46:40
135 49:18
Fade 53:43
Spectre 58:04
Hope 1:01:50
Tired 1:06:23",0.8074,Positive,-0.1851851851851852,Negative,-0.22724758088588715,Negative
36:18 топ песня,0.2023,Positive,0.5,Positive,0.5986443758010864,Positive
Super best album forever all song was super mindblowing super best music 🎵🎵🎵 and remix 🎶🎶🎶 super best genius forever   🎵🎶🌎😎😦,0.9846,Positive,0.6190476190476192,Positive,0.9254299402236938,Positive
Lagunya bikin candu.. Bikin moodbooster..,0.0,Neutral,-0.4,Negative,0.27497270703315735,Netural
Super best album forever all song was super gageous super best music 🎵🎵🎵 and remix 🎶🎶🎶 all were super fabolous super best genius forever 🎵🎶😎🌎😦,0.9879,Positive,0.5833333333333334,Positive,0.9202274084091187,Positive
Super excellent album for every year all song was super awesome super best music 🎵🎵🎵 and remix 🎶🎶🎶 super best genius forever. 🎶🎵🌎😎😦,0.9876,Positive,0.6666666666666666,Positive,0.9627389311790466,Positive
Kinda starting to become nostalgic tbh,0.0,Neutral,-0.25,Negative,0.5802382826805115,Positive
Super excellent album for every year each and every song was super awesome super best music 🎵🎵🎵 and remix 🎶🎶🎶 super best genius forever 🎶🎵😎🌎😦,0.9876,Positive,0.6666666666666666,Positive,0.9690037369728088,Positive
Super best album forever each and every song was super awesome super best music 🎵🎵🎵 and remix 🎶🎶🎶🎶 super best genius forever 🎶🎵😦😎🌎,0.9881,Positive,0.6666666666666666,Positive,0.9529753923416138,Positive
"I like song 
Alon Walker - Different World feat.Sofia Carson,K-391 & CORSAK",0.3612,Positive,0.0,Netural,0.4258333444595337,Positive
"On My Way 0:00
Darkside 3:14
All Falls Down 6:58
Ignite 10:14
Faded 13:40
Different World 17:09
The Spectre 20:32
Diamond Heart 23:38
Alone 27:01
Sing Me To Sleep 29:39
Move Your Body 32:47
Hymn For The Weekend 36:18
Force 40:06
Rountine 43:59
Flying Dreams 46:40
135 49:18
Fade 53:43
Spectre 58:04
Hope 1:01:50
Tired 1:06:23
New Heart 1:09:4",0.91,Positive,-0.1047979797979798,Negative,0.2312835454940796,Netural
ouhhh yeahhhh,0.0,Neutral,0.0,Netural,-0.31599003076553345,Negative
