Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
This🤪thing🤨this😃really🌈gods✝️gift✨ **falls**,0.5859,Positive,0.0,Neutral,-0.6826717257499695,Negative
"Sister , I cut myself with scissors on my pinkie and it had a scar for WEEKS",-0.2732,Negative,0.0,Neutral,0.2411815226078033,Neutral
"I like the way he's mixing everything with the cooking, gaming and just showing different content lately",0.3612,Positive,-0.15,Negative,0.5696244835853577,Positive
I'm sorry but did I just see a tattoo on Jamie and I feel like I like Jamie more than James iono,0.7469,Positive,0.0,Neutral,0.3756731748580932,Positive
not me watching this 39 weeks pregnant and now craving the pizza u made but i'm to tired and lazy to make it myself hahaha,-0.296,Negative,-0.0291666666666666,Negative,-0.4169600009918213,Negative
omg sis so good,0.5777,Positive,0.7,Positive,0.5516151189804077,Positive
OMG BOTH OF OUR DADS ARE MISSING HALF OF THEIR THUMBS!! 😍,0.1658,Positive,-0.2302083333333333,Negative,-0.3873294293880462,Negative
Help i mean yay,0.7269,Positive,-0.3125,Negative,0.3652409613132477,Positive
I wonder if James Charles will pin this 🤔,0.0,Neutral,0.0,Neutral,-0.2506566643714905,Negative
It’s the chewing while speaking for me 😂,0.4404,Positive,0.0,Neutral,0.2726254165172577,Neutral
I lost my nail 💅 last year and I had to have terrible antibiotics!!!!🍵,-0.7627,Negative,-0.5,Negative,-0.5346753001213074,Negative
"Ok, James is like Mickey Mouse who has like different ""Named"" rooms in his house and ""Sisters' kitchen"" is one of them",0.6124,Positive,0.25,Positive,0.706084668636322,Positive
The editing is hilarious 😂😂😂,0.886,Positive,0.5,Positive,0.5351029634475708,Positive
The amount of screaming in this video it’s just- it’s just unbelievable,-0.2023,Negative,-0.25,Negative,-0.3752471208572387,Negative
WHAT HAPPENED TO YOUR INTO JAMESSS,0.0,Neutral,0.0,Neutral,0.3846685886383056,Positive
i love the way ythey put the forte sign (its a music sign that signals to play loud) instead of the word itself! (sry ik this isn't the most relatable comment),0.784,Positive,0.375,Positive,0.4399465918540954,Positive
Love it and you doing very well,0.7645,Positive,0.35,Positive,0.8650156855583191,Positive
"James : Hi sisters 
Brothers : 😔",0.0772,Positive,0.0,Neutral,0.3124154210090637,Neutral
I don’t know what your paying your editor James but it’s not enough 🤣🤣🤣,0.9313,Positive,0.0,Neutral,0.3376884162425995,Positive
