Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Still a masterpiece,0.6249,Positive,0.0,Neutral,0.6401798129081726,Positive
I remember my mother listening to post while i was in fetus mode now im here and it does hit different 😪,0.0,Neutral,0.0,Neutral,0.2912772595882416,Neutral
1078 years later and this song still bumps,0.0,Neutral,0.0,Neutral,0.3376469016075134,Positive
"Day 352 of me listening to ""White Iverson"" by Post Malone everyday for 1 year",0.0,Neutral,-0.1,Negative,-0.271892100572586,Negative
Ty post!! From Maine!! Love ya kid,0.8388,Positive,0.5,Positive,0.6529577374458313,Positive
Love this song,0.6369,Positive,0.5,Positive,0.8493074774742126,Positive
You the best singer ever,0.6369,Positive,1.0,Positive,0.948815643787384,Positive
It's tragic I make it happen🔥🔥🔥🔥🔥🔥,-0.9371,Negative,-0.75,Negative,0.2319325506687164,Neutral
Came....,0.0,Neutral,0.0,Neutral,-0.3345098793506622,Negative
Your my favorite singer i listened to you when i was like 2,0.6705,Positive,0.5,Positive,0.8906491994857788,Positive
40 mil to go guys...lets get it,0.0,Neutral,0.0,Neutral,0.3059382140636444,Neutral
"This is my boy silent's song... Our saying became, ""Don't feed the apes.""",0.0,Neutral,0.0,Neutral,0.3526122868061065,Positive
Still listening to it in 2022,0.0,Neutral,0.0,Neutral,0.2814184427261352,Neutral
don't let this classic die,-0.5994,Negative,0.1666666666666666,Positive,-0.6221570372581482,Negative
"Day 351 of me listening to ""White Iverson"" by Post Malone everyday for 1 year",0.0,Neutral,-0.1,Negative,-0.2794632017612457,Negative
when i started ballin i was short,0.0,Neutral,0.0,Neutral,-0.3420482575893402,Negative
7 years and it still hits,0.0,Neutral,0.0,Neutral,0.72865229845047,Positive
Still slaps. 👊,0.0,Neutral,0.0,Neutral,-0.363447904586792,Negative
Sitsit sitcom sitrep the movie it ***,0.0,Neutral,0.0,Neutral,0.2314428985118866,Neutral
Posty 🥰,0.8074,Positive,0.0,Neutral,0.3085989952087402,Neutral
Still bumpin 2022 lake playlist 😝,0.0,Neutral,0.0,Neutral,0.2404706180095672,Neutral
Love it🥰,0.91,Positive,0.5,Positive,0.7371776700019836,Positive
٦ سنوات وانا أسمعها..اخوكم من تشاد 😍🤩,0.4588,Positive,0.0,Neutral,-0.264407604932785,Negative
2022?,0.0,Neutral,0.0,Neutral,-0.3836294710636139,Negative
Sure do there mad  now 😅,0.1531,Positive,-0.0625,Negative,0.3801258504390716,Positive
Shout-out to the guy that lent him the cars for the video... Posti said something about it in an interview,0.0,Neutral,0.0,Neutral,-0.5363723635673523,Negative
It is weird to think this guy was part of Team Crafted back in the day.,-0.1779,Negative,-0.25,Negative,0.3089878857135772,Neutral
Awesome national racing workers in the future asleep every time I see is complete,0.6249,Positive,0.3666666666666667,Positive,0.8980202078819275,Positive
Nikeez on my feet knock knock letm in,0.0,Neutral,0.0,Neutral,-0.2995381653308868,Negative
"Day 350 of me listening to ""White Iverson"" by Post Malone everyday for 1 year",0.0,Neutral,-0.1,Negative,-0.2642318308353424,Negative
I miss this bruh,-0.1531,Negative,0.0,Neutral,-0.3845064043998718,Negative
이거 누가 번역했냐ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.0,Neutral,0.0,Neutral,0.2329335510730743,Neutral
that car is so cool I wish I had that car 🧏🏼‍♂️,0.7145,Positive,0.35,Positive,0.7111113667488098,Positive
summer of 2015 was so nice...wish I had a time machine 👨🏼‍🚀,0.0,Neutral,0.0,Neutral,0.4158262312412262,Positive
This bring back so much memories,0.0,Neutral,0.1,Positive,0.7757880091667175,Positive
