Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
the intro tho,0.0,Neutral,0.0,Neutral,0.2407671809196472,Neutral
I was only here for Brett Pearson Andrew and Ben,0.0,Neutral,0.0,Neutral,0.3045025765895843,Neutral
spanish please,0.3182,Positive,0.0,Neutral,-0.2871867418289184,Negative
He still moving shoot his ass again 😂😂🤣🤣😂😂,0.9022,Positive,0.0,Neutral,0.2320631295442581,Neutral
He playing for the hot girl foundation 😂🤣🤣🤣🤣is that a thing …no😂🤣🤣🤣😂😂😂,0.9867,Positive,0.25,Neutral,0.4058020710945129,Positive
did yall not see that taylor cheated he used a lighter instead for the last challenge,-0.4588,Negative,0.0,Neutral,-0.3465320467948913,Negative
338 was using a lighter in the last game,0.0,Neutral,-0.2,Negative,0.2435661405324936,Neutral
The only thing I staring at right now are his nails. I LOVE THEM I NEED A TUTORIAL!!,0.7592,Positive,0.3556547619047618,Positive,0.6810905337333679,Positive
Wow,0.5859,Positive,0.1,Neutral,0.6995608806610107,Positive
This is awesome but the teams I wanted to win in tug off war both lost-,-0.1406,Negative,0.9,Positive,0.3647920489311218,Positive
I love you James 😍 💗 💛,0.9538,Positive,0.5,Positive,0.8602915406227112,Positive
"why is everyone just talking about how Mr. Beast's video was ""better"". Stop comparing and just appreciate what James put out for us to enjoy.",0.765,Positive,0.45,Positive,-0.3591015636920929,Negative
"4:35 

That's looks sus because look it really looks sus 🤣🤣🤣🤣😂😂😂",0.9661,Positive,0.2,Neutral,0.2797386050224304,Neutral
Im so glad that Ben's players 456,0.5095,Positive,0.5,Positive,0.493878424167633,Positive
I love it when James says hi sisters! Love your vids,0.8655,Positive,0.5625,Positive,0.8466513752937317,Positive
Well duh Mr. Beats cost 4 million dollars to make. What do you expect.,0.2732,Positive,-0.3,Negative,-0.3223306238651275,Negative
"5:13 lol i was diying





bitch you better not miss",0.3278,Positive,0.65,Positive,-0.3787018954753876,Negative
Brent and Pierson look cute,0.4588,Positive,0.5,Positive,0.4540610015392303,Positive
Fantastic job on this video James!! Loved it and whole idea behind it and loved that everyone had a charity to donate the money to! ❤️ you could tell all y’all had so much fun filming this😊,0.9768,Positive,0.3833333333333333,Positive,0.8978739380836487,Positive
4:55 had me cry laughing,0.0258,Neutral,0.0,Neutral,-0.2817036211490631,Negative
Aw James,0.0,Neutral,0.0,Neutral,0.311428815126419,Neutral
Amp sqwad pierson ben brent Andrew en lexi hensler,0.0,Neutral,0.0,Neutral,0.3052805960178375,Neutral
James i saw jou on a video of Andrew,0.0,Neutral,0.0,Neutral,0.2247832268476486,Neutral
Amazing 😍 Greetings from Scotland 😊 Have a wonderful day everyone 🌻,0.9601,Positive,0.8,Positive,0.8850981593132019,Positive
()()()()()(),0.0,Neutral,0.0,Neutral,0.2425109148025512,Neutral
👻💀☠️👻💀☠️👻💀☠️👻💀☠️👻💀☠️👻💀☠️👻💀☠️👻💀☠️👻💀☠️👻💀☠️👻💀☠️👻💀☠️,-0.9705,Negative,0.0,Neutral,0.3085779249668121,Neutral
I have a question why are y’all faking like y’all past out,-0.0772,Negative,-0.25,Negative,-0.4996164441108703,Negative
