Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
💛💙,0.8555,Positive,0.0,Neutral,0.3085779249668121,Neutral
Imagine Dragons dont miss. Just sometimes its also a critical hit,-0.049,Neutral,-0.0875,Negative,0.4064105153083801,Positive
"Wow, 🎶 love them",0.8402,Positive,0.3,Neutral,0.9241696000099182,Positive
POV:You click the like button a million times because it's satisfying 😂😂,0.8834,Positive,0.5,Positive,0.3949176967144012,Positive
Boy this band has been creating what I call legendary stuff. Keep up the good work. Imagine dragons will always be loved by india. ♥️🇮🇳,0.9217,Positive,0.7999999999999999,Positive,0.7390919327735901,Positive
bullshit,-0.5859,Negative,0.0,Neutral,-0.7358127236366272,Negative
Nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
Su ptm que canción tan god,0.2732,Positive,0.0,Neutral,0.372715950012207,Positive
"PICK UP YOUR PHONE AND START DIALING >""<",0.0,Neutral,0.0,Neutral,0.3796388506889343,Positive
đỉnh caoo,0.0,Neutral,0.0,Neutral,0.271119087934494,Neutral
Imagine dragons is the best that’s has ever done it,0.6369,Positive,1.0,Positive,0.8614600896835327,Positive
0:29,0.0,Neutral,0.0,Neutral,-0.4880891144275665,Negative
"ซบ
สาาา",0.0,Neutral,0.0,Neutral,0.3206331133842468,Neutral
Trhiller in 2022,0.1027,Positive,0.0,Neutral,0.2443849146366119,Neutral
Man que pieza!!,0.0,Neutral,0.0,Neutral,-0.2843455970287323,Negative
damn dan you really know how to throw it back at 0:35 sheeesh 🥵,-0.4019,Negative,0.1,Neutral,-0.4850832819938659,Negative
"Love the video Imagine dragons! Do you have any advice for young budding artists, Rico and Tsoysauce (local teens from Tampa). Check out their recent work: https://youtu.be/8IDHyxDiQkY",0.6696,Positive,0.1649999999999999,Neutral,0.6351041197776794,Positive
"Bones X enemy mashup
Just hear it
Trust me",-0.0516,Negative,0.0,Neutral,0.4648610353469848,Positive
"I've always wondered what Wallstreet would be like if it was crossed with the movie Zombi, and now i know.",0.3612,Positive,0.0,Neutral,0.2630933225154876,Neutral
Imagine dragons never disappoint,0.3089,Positive,0.0,Neutral,0.4610679745674133,Positive
This si art,0.0,Neutral,0.0,Neutral,0.5808781981468201,Positive
god music,0.2732,Positive,0.0,Neutral,0.4052683711051941,Positive
Erra nunca,0.2584,Positive,0.0,Neutral,-0.589350700378418,Negative
savage.https://youtu.be/WPdWvnAAurg.,0.0,Neutral,0.0,Neutral,0.3504151403903961,Positive
saben como se llama la cancion¿¿,0.0,Neutral,0.0,Neutral,-0.3737079203128814,Negative
It’s entertaining,0.4404,Positive,0.5,Positive,0.4992760121822357,Positive
Triller version moderna y mejorada,0.5423,Positive,0.2,Neutral,0.4544681310653686,Positive
Imagine Dragons es simplemente perfecto las canciones que sacan son tan adictivas!,0.6114,Positive,1.0,Positive,0.9009976387023926,Positive
The reaper is his friend. Oh I like this one.,0.6908,Positive,0.0,Neutral,0.5307642221450806,Positive
Todos os clipes dessa banda são incríveis kkk,0.765,Positive,0.7000000000000001,Positive,-0.3509033024311065,Negative
This man can twerk daaaamn,0.0,Neutral,0.0,Neutral,0.4974518418312073,Positive
"do you feel bad, don't worry go to your room and turn on the last sound imagine dragons and dance wildly.",-0.2718,Negative,-0.0499999999999999,Negative,0.6708515286445618,Positive
:D,0.5106,Positive,1.0,Positive,0.2872094810009002,Neutral
Is anyone going to talk about 0:36?,0.0,Neutral,0.0,Neutral,-0.6071480512619019,Negative
EY yo BOYS WHO W8 FORRRRRR BOYS NEW SEASONNNNN!,0.0,Neutral,0.1704545454545454,Neutral,0.6617524027824402,Positive
The song is so good that even the zombies are grooving to it,0.5777,Positive,0.7,Positive,0.5067228674888611,Positive
new scp the zombie plage contain metod vibe,0.0,Neutral,0.1363636363636363,Neutral,0.3554989993572235,Positive
Senti uma forte referência de M.J 🫶🏽😻,0.743,Positive,0.4333333333333333,Positive,0.4195050001144409,Positive
"Eu te amo cara, eu te amo 🤌🏽🫶🏽🫂❤️😍 o melhor kkkkk ta muito fofo nesse Clipe e ficou uma obra de arte 🖼",0.9709,Positive,0.6599999999999999,Positive,0.6177411079406738,Positive
"a different take on their usual style, but very good.",0.6474,Positive,0.2199999999999999,Neutral,0.7180989980697632,Positive
Great job as I expected. ;),0.7184,Positive,0.3166666666666667,Neutral,0.6677384376525879,Positive
"I loved this song the moment I heard it, then I saw the music video and mind blown!!! Love the kinda Wolf Of Wall Street homeage....",0.8743,Positive,0.75,Positive,0.6521051526069641,Positive
That haircut is actually fire on Dan,-0.34,Negative,0.0,Neutral,-0.4414871335029602,Negative
