Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Si tuvieras talento,0.4215,Positive,0.0,Netural,0.28509852290153503,Netural
Alguien que la siga escuchando???,0.0,Neutral,0.0,Netural,-0.5629472136497498,Negative
My Nigga,0.0,Neutral,0.0,Netural,0.3253989815711975,Netural
My Nigga,0.0,Neutral,0.0,Netural,0.3253989815711975,Netural
My Nigga,0.0,Neutral,0.0,Netural,0.3253989815711975,Netural
la ronpio esta cancion bad bunny teamooooooooooo,-0.2732,Negative,-0.09999999999999992,Negative,-0.6127845048904419,Negative
amigo este tema es GoooooooooooooooooooooooooooD,0.4939,Positive,0.0,Netural,0.3531350791454315,Positive
Y todavia lo escucho en el 2022,0.0,Neutral,0.0,Netural,0.4044232964515686,Positive
quien escucha esto en abril 2022,0.0,Neutral,0.0,Netural,-0.5030152797698975,Negative
Quien la escucha todos los dias😎🤑,0.4588,Positive,0.0,Netural,0.5917338132858276,Positive
`xd,0.0,Neutral,0.0,Netural,0.42595699429512024,Positive
Aguante lo que escuchan está jollita en abrilll me recuerda cosas,0.0,Neutral,-0.1875,Negative,0.5106803178787231,Positive
Ya yo me enteré que el muerto voy ha se Bad Bunny baby 🤣🤣 ay no Sony si es bien chistoso,-0.1045,Negative,-0.21666666666666665,Negative,-0.4821755588054657,Negative
BABY YAYO,0.0,Neutral,0.0,Netural,0.32980048656463623,Netural
Escuchandola hoy 28 de abril 2022,0.0,Neutral,0.0,Netural,-0.30144238471984863,Negative
no les pasa que Bad Bunny con falda😂🤣,0.3818,Positive,-0.6999999999999998,Negative,-0.30768683552742004,Negative
28/04/22 👁️,0.0,Neutral,0.0,Netural,-0.32131844758987427,Negative
Bad bunny Gracias me inspiras para ser cantante🙂🙉🖒y que Dios lo vendiga😙😚,0.9623,Positive,-0.6999999999999998,Negative,0.5001153945922852,Positive
El MUerto,-0.6486,Negative,-0.2,Negative,-0.31331130862236023,Negative
Your music is making me miss Puerto Rico 🙈😘,0.296,Positive,0.0,Netural,0.5261434316635132,Positive
You listen to Bad Bunny not to take away your sadness but to have sadness but with rhythm,-0.7935,Negative,-0.6999999999999998,Negative,0.335440456867218,Positive
that one english comment your looking for.,0.0,Neutral,0.0,Netural,-0.2862166166305542,Negative
Y si es necesario hacerlo el medio ambiente es cosa 😍,0.4588,Positive,0.0,Netural,0.3387507498264313,Positive
🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,-0.9638,Negative,0.0,Netural,0.30857792496681213,Netural
1.80 billion views keep streaming DÁKITI FOR KING BAD BUNNY 👑🐰🤍!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,-0.7507,Negative,-1.0,Negative,-0.6838809251785278,Negative
"https://youtu.be/5M4XTwtlr70
Esto es un Ratitoo",0.0,Neutral,0.0,Netural,-0.6124308109283447,Negative
"Bad bunny papi, 1 billón en un año mi bro👽👌😎, quisiera que estas haciendo ahora a las 12:15-aqui en rd- República Dominicana👌👽😎😎",0.961,Positive,-0.6999999999999998,Negative,-0.5698717832565308,Negative
Dakitii es un arte 🙏😍,0.4588,Positive,0.0,Netural,0.4382646083831787,Positive
Uffffffff dakitii 🙏🙏🙏🥶🥶🥶🥶🥶,0.0,Neutral,0.0,Netural,0.2747299373149872,Netural
20,0.0,Neutral,0.0,Netural,0.31040334701538086,Netural
No,-0.296,Negative,0.0,Netural,-0.531922459602356,Negative
"BAD BUNNY.. algún día grabaré contigo, ese es mi gran sueño.. voy a luchar y esforzarme al máximo.. por poder cumplirlo..!!",0.4312,Positive,0.27031250000000007,Netural,0.7853891253471375,Positive
Hola,0.0,Neutral,0.0,Netural,0.25504207611083984,Netural
Un billón de vistas en esta bella canción❤️,0.6833,Positive,0.85,Positive,0.5073720216751099,Positive
🤟🏻,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Tu tan bien suelta,-0.0478,Neutral,-0.07692307692307693,Negative,0.43288949131965637,Positive
Yergue eyfr,0.0,Neutral,0.0,Netural,0.24982231855392456,Netural
"¿Quien hoy 27 de Abril, escuchando este temazo? 😍",0.8349,Positive,0.8,Positive,-0.5538303256034851,Negative
Abril de 2022 y sigo escuchándolo,0.0,Neutral,0.0,Netural,-0.34259575605392456,Negative
This song and “Did You Call Me” by Lukaz are some of the only things getting me through tough times. I hope everyone is doing well. I love you! 💓💗,0.9806,Positive,0.0787037037037037,Netural,0.8224565982818604,Positive
Yo soy El Niño,0.0,Neutral,0.0,Netural,0.4377153515815735,Positive
Miércoles 27 de  abr,0.0,Neutral,0.0,Netural,-0.40056735277175903,Negative
1.080 billion views streaming DÁKITI FOR KING BAD BUNNY 🐰🤍👑!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,-0.7507,Negative,-1.0,Negative,-0.6816602349281311,Negative
"😯 me la dedicaron, viene bien o mal la cosa?",0.34,Positive,5.551115123125783e-17,Netural,0.30035802721977234,Netural
Ahhhhhh I love this song sm,0.6369,Positive,0.5,Positive,0.7714526057243347,Positive
👁👄👁,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
😘😘,0.6808,Positive,0.0,Netural,0.30857792496681213,Netural
🥰😍😘😇 Hola Bad Bunny Tengo 12 años y me encanta tu canción y todo,0.9501,Positive,-0.03333333333333329,Negative,0.8298708200454712,Positive
Los incas me encanta tus videos que siempre veo esos videos y baile como 4 veces,0.7717,Positive,0.5,Positive,0.8297269940376282,Positive
Esta cancion me tra recuerdos inolvidables,0.0,Neutral,0.8,Positive,-0.44980746507644653,Negative
🔥Temazoooooooo 🔥,-0.34,Negative,0.0,Netural,0.34280773997306824,Positive
Quien en 2022?,0.0,Neutral,0.0,Netural,-0.4163244068622589,Negative
Quien en 2022??,0.0,Neutral,0.0,Netural,-0.5067848563194275,Negative
LLEGÓ AL BILLÓN!!!!!🔥🔥🔥,-0.7379,Negative,0.0,Netural,-0.49558648467063904,Negative
2:40,0.0,Neutral,0.0,Netural,-0.2577764391899109,Negative
Esta buena,0.4404,Positive,0.7,Positive,0.4465431272983551,Positive
"Cómo me calma el alma , está canción<3",0.6369,Positive,1.0,Positive,0.6892345547676086,Positive
¡Hola amigos! Hoy es 26 de abril del 2022 y encontré esta canción en estas fechas pero del 2021 y es de mi agrado decirles que ya llevo más de 1 Millón de veces que la he escuchado.,0.8122,Positive,0.5,Positive,0.3696628212928772,Positive
them mamis are so damn HOTTTTT i cant.,-0.541,Negative,0.25,Netural,-0.37007200717926025,Negative
",s,sms,dmdld,,sml",0.0,Neutral,0.0,Netural,0.30013805627822876,Netural
Like sieres sobreviviente de la pandemia covid 19 💪👍,0.6124,Positive,0.0,Netural,0.3375890851020813,Positive
This sounds worse that diarrhea. You ppl need help for your ass taste in music,-0.5994,Negative,-0.4,Negative,-0.44888800382614136,Negative
"baby ya  yo me entere se nota cuando me ve ahí donde no has llegado sabes que yo te llevare dime que quieres beber y esque tu eres me bebe y de nosotros quien va hablar si no nos dejamos ver , e",0.0772,Positive,-0.125,Negative,-0.47041600942611694,Negative
Sounds gay,0.0,Neutral,0.4166666666666667,Positive,-0.31779685616493225,Negative
Te quedó brutal bus Bunny digo Bad Bunny 👺👹,-0.8225,Negative,-0.7874999999999999,Negative,-0.6815053224563599,Negative
