Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
HP,0.0,Neutral,0.0,Neutral,0.3254750072956085,Neutral
Sheet loco cara de nena buena,0.128,Positive,0.0499999999999999,Positive,0.4192121922969818,Positive
Tdavia la sigo escuchando,0.0,Neutral,0.0,Neutral,0.2362207770347595,Neutral
Pinche kwai,0.0,Neutral,0.0,Neutral,-0.2733669579029083,Negative
Los Bandolero del Trap Urbano music y Biga Respeto a Luian lo Maestro 😈,0.5859,Positive,0.0,Neutral,0.5315583944320679,Positive
2:48,0.0,Neutral,0.0,Neutral,-0.2400842010974884,Negative
Bullota alegante muchachos 💪✌️🤘🤤,0.0,Neutral,0.0,Neutral,-0.5091801285743713,Negative
El anuncio de Youtube nos unió a todos acá xd,0.5859,Positive,0.0,Neutral,0.5096097588539124,Positive
To dura,0.0,Neutral,0.0,Neutral,0.3615483343601227,Positive
Un tema de billón,0.0,Neutral,0.0,Neutral,0.3139798939228058,Neutral
Que asco de musicaaa,0.0,Neutral,0.0,Neutral,0.2472246438264846,Neutral
Infravalorado,0.0,Neutral,0.0,Neutral,-0.5071752667427063,Negative
Mostros,0.0,Neutral,0.0,Neutral,0.287497341632843,Neutral
Esta bueno esté temaso,0.4404,Positive,0.0499999999999999,Positive,0.4236958622932434,Positive
Farruko y wisin nunca fallan! 🐰👑,0.484,Positive,0.3125,Positive,0.4688803553581238,Positive
Que basura esta es la musica de Los anuncios de youtube para que tengan algo de fama yo escucho musica de mas de un millon de sucriptores y de LIKES dediquense a no molestar en Los anuncios repetitivos para que sepan que viven bye,0.854,Positive,0.1287878787878787,Positive,-0.7295650243759155,Negative
Gay🙊🙊 😆😌😜😛🙊,0.6249,Positive,0.0,Neutral,0.3428077399730682,Positive
Byeby 🙂,0.4033,Positive,0.0,Neutral,0.4334255754947662,Positive
POV:anuncio de youtube 2:47,0.0,Neutral,0.0,Neutral,-0.4518758952617645,Negative
"En el inicio de la canción cuando aparece este Dj  Luyan o como sea que se escriba no les pasa que suena como si se lo dijeran que  tiene cara de nena buena 😂

😂de igual está buena la música",0.891,Positive,0.7,Positive,0.373313695192337,Positive
2:48 momento del anuncio de la mierda de kwai,-0.5423,Negative,-0.4,Negative,-0.3398441970348358,Negative
2:48 GRACIAS POR HACER QUE ODIE ESTE TEMA.,-0.296,Negative,-0.8,Negative,-0.3568574786186218,Negative
Cada vez que sale Wisin en una canción le pone más flow siempre el papá W,0.0,Neutral,0.5,Positive,-0.3120031952857971,Negative
Dejen de usar tanto autotune,-0.296,Negative,0.2,Positive,0.2685242891311645,Neutral
La canción se hizo popular por los anuncios de YouTube xD,0.765,Positive,0.6,Positive,0.2708441913127899,Neutral
Hay que asco,-0.5994,Negative,0.0,Neutral,-0.2609104514122009,Negative
Los reales saben que la parte más famosa es de ñejo y dalmata,0.0,Neutral,0.3999999999999999,Positive,0.3025847971439361,Neutral
Me gustaría que arcangel vuelva a grabar con HEAR THIS MUSIC,0.3612,Positive,0.0,Neutral,0.3268420696258545,Neutral
Myke towers ídolo,0.0,Neutral,0.0,Neutral,0.6147024035453796,Positive
"Ya me tiene hasta la verga la app de Kwai, no veo las horas de que muera la app de mierda esa xd",-0.8074,Negative,-0.2,Negative,-0.3798169493675232,Negative
Lpm me tiene arta kwaii,-0.5106,Negative,-0.7142857142857143,Negative,0.2778601050376892,Neutral
El único anunció q me gusta !!! Y vine a buscarlo jajajaja 😂😂,0.8472,Positive,0.1,Positive,0.3469763696193695,Positive
Muy buenp,0.4927,Positive,0.91,Positive,0.7106310129165649,Positive
Xd,0.5859,Positive,0.0,Neutral,0.4124718010425567,Positive
Por culpa del anuncio ya la estoy por descarga JAJAJA🙄😂😂,0.8788,Positive,0.2,Positive,-0.5738980174064636,Negative
Vine por el anuncio de kwai jajaja,0.4215,Positive,0.8,Positive,0.3364890217781067,Positive
TAMBIÉN yo entre x el anuncio!!!!🤣buen tema jajaj,0.8825,Positive,0.4499999999999999,Positive,0.3291784524917602,Neutral
los q vinieron a ver este video por el anuncio delen like xd😂😂😂,0.9325,Positive,0.0,Neutral,0.2590182423591614,Neutral
Maldito kwai y su publicidad,-0.4019,Negative,0.0,Neutral,-0.796649694442749,Negative
Aceptemoslo todos vinimos por el anuncio.,0.0,Neutral,0.0,Neutral,-0.3940044343471527,Negative
:v kwai lo hiciste de nuevo,0.0,Neutral,0.0,Neutral,-0.2778293192386627,Negative
Solo vine por la parte de myke,0.0,Neutral,0.0,Neutral,0.2845470905303955,Neutral
Una verga,-0.5106,Negative,0.0,Neutral,-0.55075603723526,Negative
Pura mierda.estilo asqueroso,-0.7906,Negative,-0.3285714285714285,Negative,-0.6738192439079285,Negative
"Lo lograste anuncio , aki estoy",0.0,Neutral,0.0,Neutral,0.4835543632507324,Positive
"Cuando aprete esta cancion tambien me aparecio la publicida de la misma jaja, nunca te deja en paz",0.5775,Positive,0.2,Positive,-0.5594853758811951,Negative
"2:48 minuto del anuncio Todos cantando los.quiero, LISTOS y acción",0.5473,Positive,0.15,Positive,0.3649552464485168,Positive
Anuncio de kwai 🤣😁,0.7351,Positive,0.0,Neutral,0.2248134762048721,Neutral
👁☯️😜,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
😲,0.3818,Positive,0.0,Neutral,0.3085779249668121,Neutral
No  necesitaba  anuncio  esto  es  musica,0.0,Neutral,0.0,Neutral,0.3132778704166412,Neutral
Las personas que vinieron por el anuncio de kwai ✋😎,0.7351,Positive,0.0,Neutral,-0.3033575415611267,Negative
Quien viene por los anuncios de kwai?,0.0,Neutral,0.0,Neutral,-0.3642598390579223,Negative
Buenarda X2 Xd,0.5859,Positive,0.0,Neutral,0.4012213349342346,Positive
El Anunció De Mierda Lo Mismo el Tema,-0.5574,Negative,-0.1,Negative,-0.4437557458877563,Negative
2:47 a lo que vinimos todos.,0.0,Neutral,0.0,Neutral,0.4562844038009643,Positive
Cómo te hace doler la cabeza del pene está música de mierda.,-0.7351,Negative,0.0,Neutral,-0.626651406288147,Negative
2021 Y sigue jodiendo Kwai con ese anuncio xd,0.5859,Positive,-0.6,Negative,0.4827026724815368,Positive
"La parte del anuncio es del tema ""peligrosa"" de ñejo y dalmata ..temazo !! Esto solo lo saben los de la vieha escuela jjjj..",0.7035,Positive,0.26,Positive,-0.349828153848648,Negative
"Yo queriendo escuchar la canción 

Youtube: No Sólo mira esta parte 2:48

Yo: Wao",0.4404,Positive,0.1,Positive,-0.4236385822296142,Negative
Por el anuncio de kwai....x1000  ajajjajajaj,0.0,Neutral,0.0,Neutral,0.2760255932807922,Neutral
Me salió el anuncio de ésta canción  mientras la escuchaba xdxd,0.0,Neutral,0.0,Neutral,-0.4321891367435455,Negative
"Llegue por el anuncio de youtube pero ahora no puedo parar de cantar bellaqueo,bellaqueoooo!♪♪😎😎",0.8916,Positive,0.0,Neutral,-0.317526638507843,Negative
La mejor de todas las rolas,0.6369,Positive,1.0,Positive,0.8751043081283569,Positive
Solo por el anuncio de YouTube busque esto... Jaja,0.5423,Positive,0.2,Positive,-0.4988856315612793,Negative
Vine por el minuto 2:47 jajaajja,0.5574,Positive,0.2,Positive,-0.4931203424930572,Negative
Vine por el anuncio de kwai en youtube jajajajaka,0.0,Neutral,0.2,Positive,0.3359085917472839,Positive
"Vine por el anuncio , espero que el mío tenga éstos resultados 😂",0.7003,Positive,0.0,Neutral,0.3657696545124054,Positive
Esto da mas cancer que ozuna sin autotune,-0.6901,Negative,0.5,Positive,-0.5948377251625061,Negative
Me lo recomendó YouTube 🔥,-0.1531,Negative,0.0,Neutral,0.5709426999092102,Positive
Vine por el anuncio de YouTube:3 y me encanto la música completa,0.802,Positive,0.5166666666666666,Positive,0.7257072329521179,Positive
Por la parte del anuncio de youtube mike tawer the best🥶,0.6369,Positive,0.0,Neutral,0.2302628457546234,Neutral
2:47,0.0,Neutral,0.0,Neutral,0.2405894696712494,Neutral
Yo vine por el comercial,0.0,Neutral,0.0,Neutral,-0.2637707591056824,Negative
"Vine aca solo por los anuncios de youtuber 
Like si ustedes  tmb",0.3612,Positive,0.0,Neutral,-0.4393793642520904,Negative
Vine por el anuncio y la única parte que me gustó es la del anuncio en el minuto 2:50 después una cagada,-0.2023,Negative,0.1333333333333333,Positive,-0.3811056315898895,Negative
Temazo!,0.6588,Positive,1.0,Positive,0.4321722984313965,Positive
Es la mejor musica del mundo,0.6369,Positive,1.0,Positive,0.9136163592338562,Positive
"Y asi mis amigos es como se hace promocion, después de tanto romper las bolas con el pinche anuncio :^",0.4767,Positive,-0.1999999999999999,Negative,0.3215084075927734,Neutral
Cómo se llama la canción?,0.0,Neutral,0.0,Neutral,-0.2684862017631531,Negative
2:49,0.0,Neutral,0.0,Neutral,0.2246116250753402,Neutral
🔥🔥🔥🔥🔥,-0.875,Negative,0.0,Neutral,0.3085779249668121,Neutral
"A saber cuánto tiempo llevo escuchando la misma parte de los anuncios, finalmente me gano la curiosidad y tuve que buscarla",0.3182,Positive,-0.0375,Negative,0.4369792342185974,Positive
Vixi e voces vao pra onde sem mim.,0.0,Neutral,0.0,Neutral,-0.4890101253986358,Negative
QUE MUSICA DE MIERDAAAAAAAAAA AAAAAÁAAAAAAAHHHHHHHHHHHHHHHH,-0.5574,Negative,-0.2,Negative,-0.5462918281555176,Negative
Wey odio a ese wey siempre cuando estaba en la sala estaba mirando yotube y me aparecía este anuncio y mis padre sus demierda escucha este,-0.8074,Negative,-0.5,Negative,0.35990110039711,Positive
A todo volumen,0.0,Neutral,0.35,Positive,0.5608643889427185,Positive
🤩,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Me justa,0.3182,Positive,0.7,Positive,0.3605630695819855,Positive
Soy la única que no vino por el anuncio??😂,0.504,Positive,0.0,Neutral,-0.63383549451828,Negative
Quien mas busco este video de tanto que rompió las bolas ese anuncio de internet,-0.4215,Negative,0.2,Positive,-0.6193578243255615,Negative
Me gusta mucho una des las modelos,0.4201,Positive,0.2,Positive,0.4740543663501739,Positive
Ajjajaa kway por esa mierda de publicidad estoy acá,-0.5574,Negative,-0.2,Negative,-0.4904922246932983,Negative
"Ellaecucha la musica y secree quesecsoo, se da lotrago y le saben a hueso...",0.5267,Positive,0.5,Positive,-0.5527845025062561,Negative
Farruko la rompiooo.... El mejor,0.34,Positive,1.0,Positive,0.3346001505851745,Positive
Un minuto de silencio para los que no han escuchado esta joyita 🥵,0.0,Neutral,0.0,Neutral,-0.5169440507888794,Negative
"No vine por ningun anuncio, la tuve que buscar.",0.0,Neutral,0.0,Neutral,-0.690075695514679,Negative
"Antes los títulos rarroz la CANCIÓN aora MUSICA😂
Comenta con Kien kieres un remix",0.4939,Positive,0.0,Neutral,-0.3642914593219757,Negative
Esta chda,0.0,Neutral,0.0,Neutral,-0.2543135285377502,Negative
💲💲💲💲💲💲💲💲💲💰,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Esta bien berga esta rolita,0.2263,Positive,0.5,Positive,0.443144142627716,Positive
El mejor tema de dij luian,0.6369,Positive,1.0,Positive,0.7546048164367676,Positive
Es la mejor música pero no me gusta la botas,-0.0168,Neutral,1.0,Positive,0.4603078663349151,Positive
Ey si la maldad que.existo tu reinventaste en mi por aburrido  y no pelarte  todo mal.tu me diste por conocer.,-0.3498,Negative,-0.8999999999999999,Negative,-0.451884776353836,Negative
Wisin omg tú estás muy bien,0.4927,Positive,0.91,Positive,0.5186445116996765,Positive
Darell eres muy bueno,0.4927,Positive,0.91,Positive,0.5999321937561035,Positive
Soy la unica que no le aparecio en los anuncios,0.0,Neutral,0.0,Neutral,-0.4982403218746185,Negative
Darell❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Uff. Que duro darell,-0.4939,Negative,-0.2916666666666667,Negative,-0.2753365337848663,Negative
