Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
i love this song,0.6369,Positive,0.5,Positive,0.8526678681373596,Positive
great lgbt promotion 👌👌,0.9466,Positive,0.8,Positive,0.6993241310119629,Positive
"Literally looked up ""that one Lil Nas X song"" and it brought me here, good job Youtbue",0.4404,Positive,0.7,Positive,0.4697800576686859,Positive
PUT SOME CLOTHES ON,0.0,Neutral,0.0,Netural,0.32878899574279785,Netural
Gay,0.0,Neutral,0.4166666666666667,Positive,0.25974181294441223,Netural
"My track record so clean
They couldn't wait to just bash me
I must be gettin' too flashy
Y'all shouldn't have let the world gas me (woo)
It's too late 'cause I'm here to stay 
And these girls know that I'm nasty (mm)
I sent her back to her boyfriend 
With my handprint on her ass cheek
City talkin', we takin' notes
Tell 'em all to keep makin' posts
Wish he could but he can't get close
OG so proud of me that he chokin' up while he makin' toasts
I'm the type that you can't control
Said I would then I made it so (so)
I don't clear up rumors (ayy)
Where's y'all sense of humor? (Ayy)
I'm done makin' jokes 'cause they got old like baby boomers
Turn my haters to consumers
I make vets feel like they juniors (juniors)
Say your time is comin' soon but just like Oklahoma (mm)
Mine is comin' sooner (mm)
I'm just a late bloomer (mm)
I didn't peak in high school, I'm still out here gettin' cuter (woo)
All these social networks and computers
Got these pussies walkin' 'round like they ain't losers (losers)",0.9873,Positive,-0.08142857142857142,Negative,0.3843417167663574,Positive
Uncensored?,0.0,Neutral,0.0,Netural,-0.428049772977829,Negative
BRUHHH is that mahrez!?!??!,0.0,Neutral,0.0,Netural,-0.5447548627853394,Negative
Wtf the clip is cringe,-0.5859,Negative,-0.5,Negative,-0.42795562744140625,Negative
Are you really without braib to be without clothe what a shame.Even bad words.Song is not for not kids.Just 18+.,-0.5423,Negative,-0.24999999999999992,Negative,-0.9149426817893982,Negative
why do i pee yogurt,0.0,Neutral,0.0,Netural,-0.3358122408390045,Negative
gej,0.0,Neutral,0.0,Netural,0.35302335023880005,Positive
Bro wtf,-0.5859,Negative,-0.5,Negative,0.2665678560733795,Netural
0:22,0.0,Neutral,0.0,Netural,-0.44747671484947205,Negative
The bgm 👍👍👍,0.0,Neutral,0.0,Netural,0.3773224949836731,Positive
"Youtubes double standards smh
This song shd be demonitised.",-0.3182,Negative,0.0,Netural,-0.7540462017059326,Negative
Tell me the only prisoner that not a gay,-0.5423,Negative,-0.10416666666666667,Negative,-0.37431931495666504,Negative
