Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"bona can u make video ""how to make my oc """,0.0,Neutral,0.0,Neutral,0.4218937456607818,Positive
Pt 2???????????!!!!!!!!!!!!,0.0,Neutral,0.0,Neutral,-0.6187182068824768,Negative
OMG YOUR ABOUT TO HIT 800K SUBS❣😍😍😍,0.9217,Positive,0.0,Neutral,-0.2861621379852295,Negative
Omgg youre on 799k aahhhh💨💀💀💕,0.6486,Positive,0.0,Neutral,-0.3344387412071228,Negative
"I dare you to go back to your ex and hug him and say you look good today! :> ""infront"" of  Alper- 😃",0.8977,Positive,0.4583333333333333,Positive,0.4811072945594787,Positive
WE NEED THIS GIRL TO GET TO ONE MIL!,0.0,Neutral,0.0,Neutral,0.6622097492218018,Positive
New vid pla,0.0,Neutral,0.1363636363636363,Neutral,0.4279901683330536,Positive
Your so close to 800k!,0.0,Neutral,0.0,Neutral,-0.3947553336620331,Negative
You're intro is sooooo cuteeee :),0.4588,Positive,0.5,Positive,0.3408874571323395,Positive
Keep Up With The Cuteness😊,0.8519,Positive,0.0,Neutral,0.2599716782569885,Neutral
Nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
Hallo,0.0,Neutral,0.0,Neutral,0.2814788222312927,Neutral
PLS I WANT PART TWO PLZZZ IM NOT FORCING U BUT PLZ MAKE PART TWO AND BTW I LOVEEEEE ALLLL URRR VIDDDDDDD!!!🥵😅☺️,0.9137,Positive,0.0,Neutral,0.2686183154582977,Neutral
What the finally song name?You're videos is masterpiece!💖💖💖,0.9738,Positive,0.0,Neutral,0.7216938734054565,Positive
Yass gurl Kill Them😃,-0.4939,Negative,0.0,Neutral,-0.4935726523399353,Negative
Cool video Bona! Don't ever give up we all love you!!,0.8114,Positive,0.609375,Positive,0.7788628935813904,Positive
New sub,0.0,Neutral,0.1363636363636363,Neutral,0.4453530609607696,Positive
I just wanna ask I feel like the first part doesnt really mean anything i mean like ts not related to him cheating😐,0.1027,Positive,-0.09375,Negative,-0.370160311460495,Negative
Lol the hybrid spoiled brat,0.4215,Positive,0.8,Positive,0.3308272063732147,Positive
When u friend like enemy,0.296,Positive,0.0,Neutral,0.2758010029792785,Neutral
Is there a part 2 ????!!!,0.0,Neutral,0.0,Neutral,-0.4050399363040924,Negative
🙏🙏,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
U👄U deserve that brat,0.0,Neutral,0.0,Neutral,0.7428577542304993,Positive
Does this have a part 2?,0.0,Neutral,0.0,Neutral,0.3417820930480957,Positive
You and choco pika UwU give so much time for a video so I really like your's videos ❤️❤️,0.469,Positive,0.2,Neutral,0.5568149089813232,Positive
안녕하세요! 보나님! 4일전영상도 멋져요!,0.7163,Positive,1.0,Positive,0.4103545844554901,Positive
love it bona ur amazing!!!!! and ur  edits sooooo coooooooooooooool!!!!!! and can u make a part 2 of this?,0.8798,Positive,0.75,Positive,0.8602858781814575,Positive
Hai devil bona we meet again,-0.6597,Negative,0.0,Neutral,0.4825215935707092,Positive
This is the last video I have to watch untill I’ve watched all of your vids !,0.0,Neutral,0.0,Neutral,0.5525040626525879,Positive
:o,-0.1027,Negative,0.05,Neutral,0.3122876286506653,Neutral
3:27 how’d you know?,0.0,Neutral,0.0,Neutral,0.2834400832653045,Neutral
Hello bona! Im a b8g fan of u i subscribe to u on 2 g mail accs and i follow ur TT! How do u get the crouch pose in gacha life? Thats all i wanna ask ty!,0.4898,Positive,0.0,Neutral,0.556898832321167,Positive
"I luv ur new intro and outro!
Have a nice day!",0.5242,Positive,0.4602272727272727,Positive,0.5395733714103699,Positive
How to you chat in live?,0.0,Neutral,0.1363636363636363,Neutral,0.3964086771011352,Positive
The title confused me I thought you were the one cheating on your mom lol,-0.4767,Negative,0.2,Neutral,-0.4223142266273498,Negative
I just want no cliffhangers for this trend =((((,-0.2263,Negative,-0.75,Negative,0.2549248039722442,Neutral
Bona your mother is so..PRETTY EEK!,0.0,Neutral,0.0,Neutral,0.3829055428504944,Positive
Cute Intro,0.4588,Positive,0.5,Positive,0.4503794014453888,Positive
POV- Marinette is the maid,0.0,Neutral,0.0,Neutral,0.3380593061447143,Positive
"You are my idol, I've spent hrs watching ur memes, if you replied, this would be the best day of my life <3",0.7964,Positive,0.6333333333333333,Positive,0.7496603727340698,Positive
WAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA😱😱😱😱😱😱😱😱😱😱😱111111111111111111111,-0.9953,Negative,0.0,Neutral,0.3085779249668121,Neutral
XD,0.5859,Positive,0.0,Neutral,0.4124718010425567,Positive
I LOVE THIS GURL its AMAZING,0.8877,Positive,0.55,Positive,0.9058863520622252,Positive
Hİ BONA İ FOLLOW UR TİKTOK CHANNEL!,0.0,Neutral,0.0,Neutral,0.3906349837779999,Positive
No school huh? How the tf do you tal-,-0.296,Negative,0.0,Neutral,-0.433058351278305,Negative
"Konichiwa Bona  I have I video suggestion for you it can be called "" ancient hair""  I hope you can do it! Btw love your videos",0.8122,Positive,0.5,Positive,0.5405193567276001,Positive
Hi bona I'm such a big fannn oh and idk if u seen that this guy like says ur vids r bad and also idk if u and coffee r friends but he's hateing on her too bruh but il never stop being ur fan and also to coffee and alper 😉 I mean I like love u guys so much well I hope u see this,0.9698,Positive,-0.0520833333333332,Negative,0.5054025053977966,Positive
can you make a video to the sond angel with a shootgun,0.0,Neutral,0.0,Neutral,-0.2384935766458511,Negative
U should make a part 2,0.0,Neutral,0.0,Neutral,0.2556800544261932,Neutral
That intro look so cute and you or the theme,0.5949,Positive,0.5,Positive,0.4953847229480743,Positive
I love your TikTok vids,0.6369,Positive,0.5,Positive,0.7137465476989746,Positive
Oh my gosh it’s Apple head😂,0.4404,Positive,0.0,Neutral,0.3780524134635925,Positive
Part 2 please,0.3182,Positive,0.0,Neutral,0.2663317918777466,Neutral
part 2?,0.0,Neutral,0.0,Neutral,0.3124995827674866,Neutral
Wanna be friends:D,0.0,Neutral,0.0,Neutral,0.3636210560798645,Positive
"This vid is so good that i could replay it over and over again
And can anyone reccomend me some good foods to eat if u have covid? I feel little weak
Btw nice vid i luv u TvT♡",0.7629,Positive,0.2875,Neutral,0.4764201641082763,Positive
What is your Mbti?,0.0,Neutral,0.0,Neutral,0.3056827485561371,Neutral
OMG why you always upload about yourself powerful ;-;,0.4215,Positive,0.3,Neutral,0.5943648219108582,Positive
Hay 2 part?,0.0,Neutral,0.0,Neutral,-0.3784429430961609,Negative
Omg apple head 🤣,0.4939,Positive,0.0,Neutral,0.3753145635128021,Positive
How the heck did this guy from *3:31* just went into Her bedroom out of nowhere in *4:25*,0.0,Neutral,0.0,Neutral,0.2811849117279053,Neutral
Hey bona can you and Alper meet you're future child? (I LOVE YOUR VIDEOS),0.7125,Positive,0.25,Neutral,0.7111940979957581,Positive
