Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
9:35 give me the chills I thought he gonna restart,0.0,Neutral,0.0,Neutral,-0.3887396156787872,Negative
Why would thomas be so scary in me whole life of the day!?😮😯😲😮😯😲😮😯😲😮😯😲😮😯😲😮😯😲😮😯😲😮😯😲😮😯😲😮😯😲😮😯😲😮,0.9673,Positive,-0.15,Negative,-0.2698283791542053,Negative
the First Intro of thomas The skank jumpscare Got me Out!!Im shaking but thomas Made My childhood,-0.2344,Negative,0.25,Neutral,0.2349504232406616,Neutral
"The last game reminded me of the film Krampus, not sure if it is based off of that",-0.2411,Negative,-0.2166666666666666,Negative,0.2980631291866302,Neutral
I was obsessed with Thomas when I was a kid do you know that,-0.1779,Negative,-0.5,Negative,0.2487769126892089,Neutral
9:50 was the most scared I've been.,-0.4927,Negative,0.5,Positive,0.3753548264503479,Positive
Has anyone made an extended version of that sick beat?,-0.5106,Negative,-0.7142857142857143,Negative,-0.6748096346855164,Negative
I hope he picks up Choo Choo Charles if he really found that Thomas the Shank Engine game to be terrifying.,-0.2023,Negative,-0.3999999999999999,Negative,0.4106335341930389,Positive
HONK,0.0,Neutral,0.0,Neutral,0.2536775171756744,Neutral
"26:56 
**Turns around**
*E*",0.0,Neutral,0.0,Neutral,-0.4861538410186767,Negative
Am I the only one who finds his whistle when he blasts by absolutely hilarious,0.4576,Positive,0.25,Neutral,0.3306989669799804,Positive
The whistle sounds like a drunk guy playing the trumpet,0.2263,Positive,-0.5,Negative,-0.4975813627243042,Negative
The Tiny Box Tim reference hit me with nostalgia like a brick.,0.3612,Positive,0.0,Neutral,0.3888834118843078,Positive
My face: 😐 my mind: 💀,0.0,Neutral,0.0,Neutral,0.3150759637355804,Neutral
33:30 it was so funny just watching his reaction,0.5777,Positive,0.25,Neutral,0.4405975043773651,Positive
29:59 sus...,0.0,Neutral,0.0,Neutral,-0.3419079184532165,Negative
"Blood is red 
You better stampede 






Thomas is a giant centipede",0.0258,Neutral,0.1666666666666666,Neutral,-0.4058502912521362,Negative
How is markiplier screaming the worst thing I've ever heard in my whole life...?,-0.7717,Negative,-0.4,Negative,-0.9213378429412842,Negative
I shouldn't be dancing to horror games at midnight,-0.5719,Negative,0.0,Neutral,-0.3188792765140533,Negative
Train game was so scary X_X,-0.6269,Negative,-0.45,Negative,0.2886877357959747,Neutral
Thomas is one fast boiii,0.0,Neutral,0.2,Neutral,0.281423807144165,Neutral
Drinking some of my coffee right as the first Tomas the train jumpscare happens wasn't the best idea.. I split it on myself 💀😅,-0.2187,Negative,0.5119047619047619,Positive,-0.3993413746356964,Negative
"If you watch this 1:58 at 0.5 or 0.25 video speed 

You can see the word die",-0.5994,Negative,0.0,Neutral,-0.3641434609889984,Negative
34:34 Why he built like that 🤣🤣💀,0.836,Positive,0.0,Neutral,0.376852422952652,Positive
Thomas made me shit my self,-0.5574,Negative,-0.2,Negative,-0.6919442415237427,Negative
Mark after realization hit him: I have a *FLASHLIIIIIGHT*,0.0,Neutral,0.0,Neutral,-0.4606491923332214,Negative
the thomas one is actually so scary 😭,-0.8166,Negative,-0.5,Negative,-0.2686371803283691,Negative
"Yes, pls vibe now - 21:25",0.4588,Positive,0.0,Neutral,0.2975594401359558,Neutral
He figures out he has a flashlight: “I hAvE a FlAsHlIIIIIIIIIIIgHt”,0.0,Neutral,0.0,Neutral,0.2442573457956314,Neutral
Mark is literally real life kronk,0.0,Neutral,0.2,Neutral,-0.3533548712730407,Negative
"Mark: ""you aint scarry""
Thomas the dank: ""are you sure a out that?""",0.3182,Positive,0.5,Positive,0.2741409242153168,Neutral
FlashLights In horror games are like god giving you a gift,0.6369,Positive,0.0,Neutral,0.4530457556247711,Positive
Th,0.0,Neutral,0.0,Neutral,0.2571329474449157,Neutral
is it just me or would markiplier be such and great actor for something like 21 jump street he hears beating on something and his fist idea is to create a beat out of it,0.6908,Positive,0.4,Positive,0.2346849292516708,Neutral
"You have money in your pocket sure... 
You have bombs in your bag? Okay...
But do you have...
SHIT IN YOUR PANTS",-0.7095,Negative,0.2666666666666666,Neutral,-0.3238728642463684,Negative
Thank you Lixian for everything you do 💕💕💖💖🥰🥰🥰☺☺☺,0.9951,Positive,0.0,Neutral,0.7774879932403564,Positive
Bro this guy is a leagend he’s so funny,0.5777,Positive,0.25,Neutral,-0.5304081439971924,Negative
I watch this when eating:O,0.0,Neutral,0.0,Neutral,0.5755978226661682,Positive
HO HO HO to you as well,0.2732,Positive,0.0,Neutral,0.5302959680557251,Positive
Mark giving major Ace Ventura vibes as a detective,0.34,Positive,0.0625,Neutral,0.5386437773704529,Positive
"Me just watching:            


Mark: I HAVE A FLAAAAASSSSSHHLIGHHHT!!",0.0,Neutral,0.0,Neutral,-0.4168001711368561,Negative
You played 243 Horror games in this series. Thats just... AWESOME,0.5473,Positive,1.0,Positive,0.5991910099983215,Positive
"7:35, that scream tho🤣 oh yeah and 5:07",0.4019,Positive,0.0,Neutral,0.4103762209415436,Positive
"No one:
Mark: I HAVE A FLASHLIGIGIGIGIGHT





Also we need a full song of the beat. You know the one lixian! (I think)",-0.3595,Negative,0.4375,Positive,-0.3738095164299011,Negative
Hey Mark! PLS try a horror game ~from the darkness~,-0.6071,Negative,-0.4,Negative,0.5285177826881409,Positive
Should’ve been named Thomas the Shank tank,0.0,Neutral,0.0,Neutral,-0.2834923267364502,Negative
😨,-0.4939,Negative,0.0,Neutral,0.3085779249668121,Neutral
Tomas the shank engine was giving me bad chills the way he crawled was unbeatable the tornukto was fucked up,-0.7579,Negative,-0.6499999999999999,Negative,-0.6626473069190979,Negative
The beginning jumpscare I threw my phone plz tell me I'm not the only one and I even knew it was coming,0.0772,Positive,0.0,Neutral,-0.3617455065250397,Negative
21:23,0.0,Neutral,0.0,Neutral,-0.2904295921325683,Negative
The shank engine games art style was actually really cool,0.3804,Positive,0.35,Positive,0.4905612468719482,Positive
"MY FAVORITE PART
9:51",0.5766,Positive,0.5,Positive,0.8375272750854492,Positive
"3:35 
You ain’t so bad
*REGRET*",-0.852,Negative,-0.6999999999999998,Negative,-0.4548305571079254,Negative
8.  .674,0.0,Neutral,0.0,Neutral,-0.2301749736070633,Negative
8...8974,0.0,Neutral,0.0,Neutral,0.2315803170204162,Neutral
21:23,0.0,Neutral,0.0,Neutral,-0.2904295921325683,Negative
Disco beat bit in the red hallway. That's a freaking straight copy of PT! Complete with upper balcony!,-0.3578,Negative,0.0875,Neutral,0.275973379611969,Neutral
The last one was especially scary because I live in Alaska 😭,-0.7645,Negative,-0.2878787878787879,Negative,0.2551600933074951,Neutral
21:24 replayed it atleast 50 times just to vibe,0.0,Neutral,0.0,Neutral,-0.591366171836853,Negative
Screenshot,0.0,Neutral,0.0,Neutral,0.2646657228469848,Neutral
