Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Amazing songs,0.5859,Positive,0.6000000000000001,Positive,0.8398808240890503,Positive
gei,0.0,Neutral,0.0,Neutral,0.2825987339019775,Neutral
He wrote it in 6 mins,0.0,Neutral,0.0,Neutral,0.2444066703319549,Neutral
Imagine how many words be there in this?,0.0,Neutral,0.5,Positive,-0.3008065223693847,Negative
SUPERSONIC SPEED FLOW BEST SPEED IN VIDEO ON YT STARTS AT 4:25,0.7125,Positive,1.0,Positive,0.829978883266449,Positive
😈😈😈😈😈😈😈😈😈😈😈😈😈😈,0.9906,Positive,0.0,Neutral,0.3085779249668121,Neutral
I put this in 2x speed and i am enjoying,0.5267,Positive,0.5,Positive,0.6601216197013855,Positive
"In the start you can hear, “6 minutes, 6 minutes”. And guess what the length of the song is? 6 minutes!",0.0,Neutral,0.0,Neutral,-0.4148735105991363,Negative
X2 4:26,0.0,Neutral,0.0,Neutral,0.2308436781167984,Neutral
4:26 un saludo a kristen,0.0,Neutral,0.0,Neutral,0.3254887759685516,Neutral
"04:25 is the moment you are waiting for 😁
Thank me later :)",0.8176,Positive,0.25,Neutral,0.5591667294502258,Positive
El mejor rapeando,0.6369,Positive,1.0,Positive,0.8357131481170654,Positive
Aaaaaaa,0.0,Neutral,0.0,Neutral,-0.273673266172409,Negative
Eminem raps so fast even the captions can't catch up,0.0,Neutral,0.2,Neutral,-0.5655894875526428,Negative
subtitle cant reach his speed,-0.0191,Neutral,0.0,Neutral,0.3576982617378235,Positive
みんなが知ってるのは4:26,0.0,Neutral,0.0,Neutral,0.5492435097694397,Positive
"Captions be like - Slow down man No hurry,",0.0772,Positive,-0.2277777777777778,Negative,-0.3874646723270416,Negative
I hear of this and I hear of Godzilla and so long I come back to Rap God,0.2732,Positive,-0.025,Negative,0.6035675406455994,Positive
Fastest song,0.0,Neutral,0.0,Neutral,0.7682672142982483,Positive
Fastest song,0.0,Neutral,0.0,Neutral,0.7682672142982483,Positive
Where my 2022 people at???,0.0,Neutral,0.0,Neutral,-0.4483656287193298,Negative
Be faster,0.0,Neutral,0.0,Neutral,0.3263144791126251,Neutral
He looks like Tom Holland 's big brother,0.3612,Positive,0.0,Neutral,0.3437710106372833,Positive
노래 너무 좋다.,0.5777,Positive,0.7,Positive,0.4762184023857116,Positive
عالی فارسی 😂,0.765,Positive,1.0,Positive,0.5324077010154724,Positive
Still come back to this masterpiece and can rap the fast part now,0.7073,Positive,0.1,Neutral,0.6912391185760498,Positive
Sad how Santanic em has become,-0.4767,Negative,-0.5,Negative,-0.3494089841842651,Negative
4:25,0.0,Neutral,0.0,Neutral,0.3043347895145416,Neutral
I bet i can rap faster,0.0,Neutral,0.0,Neutral,-0.2942091226577759,Negative
And im listening this song in 1.75x speed......😑😑,0.0,Neutral,0.0,Neutral,0.5518303513526917,Positive
"time traveler: *breathes*
the timeline:",0.0,Neutral,0.0,Neutral,0.3306470215320587,Positive
Mano Eminem 2x de velocidade é impossível de entender,0.0,Neutral,-0.6666666666666666,Negative,-0.4844743311405182,Negative
"I totally forgot about this song, glad I remember. Can’t believe this came out in 2013",0.4588,Positive,0.25,Neutral,-0.7153682112693787,Negative
2022,0.0,Neutral,0.0,Neutral,0.2900533974170685,Neutral
He could have said anything in his rap cuz nobody understood him.😂😂😂,0.8271,Positive,0.0,Neutral,-0.537258505821228,Negative
The person who understands him is god(which is me) cuz my name is god,0.2732,Positive,0.0,Neutral,0.3013672232627868,Neutral
It’s a good song,0.4404,Positive,0.7,Positive,0.4984360635280609,Positive
ЛАААААААААААААААААААААААААААААААААААТ,0.0,Neutral,0.0,Neutral,0.3188470900058746,Neutral
The Max Headroom look in the beginning,0.0,Neutral,0.0,Neutral,0.3464289903640747,Positive
Rap  fraud,-0.5859,Negative,0.0,Neutral,-0.7808716893196106,Negative
1:05,0.0,Neutral,0.0,Neutral,-0.2733657360076904,Negative
Eminem rap speed is faster than my internet connection  or than Lamborghini or any bike I have also try this but Eminem is faster  than me,0.0,Neutral,0.0,Neutral,0.2549464106559753,Neutral
I was gonna give major props but he said the n word,0.0,Neutral,0.0625,Neutral,-0.2809094488620758,Negative
good emy,0.4404,Positive,0.7,Positive,0.4875425994396209,Positive
4.20,0.0,Neutral,0.0,Neutral,0.2826592624187469,Neutral
In 2022 Steal listing ❤️,-0.4939,Negative,0.0,Neutral,-0.6859461665153503,Negative
I watch this when I'm in depression & frustration. After watching this I get charged.😎,-0.6808,Negative,0.0,Neutral,-0.5380115509033203,Negative
gieo vần hơi phức tạp mà vẫn hiểu nha,0.0,Neutral,-0.5,Negative,0.444537341594696,Positive
Wow RapGod🎤👑❤️,0.5859,Positive,0.1,Neutral,0.6722603440284729,Positive
GOAT,0.0,Neutral,0.0,Neutral,-0.30313840508461,Negative
Sheesh eminem is insane fast raper,-0.7964,Negative,-0.4,Negative,-0.4645535051822662,Negative
Good man rory,0.4404,Positive,0.7,Positive,0.4675340950489044,Positive
"He really hates Portal, should have played Counter-Strike instead.",-0.2006,Negative,0.2,Neutral,-0.5949771404266357,Negative
Kau garing la,0.0,Neutral,-0.0666666666666666,Negative,0.2689680457115173,Neutral
Jao ndoi le,0.0,Neutral,0.0,Neutral,0.2686189115047455,Neutral
this song came out before I was born but I love it♥,0.9274,Positive,0.5,Positive,0.721091091632843,Positive
4:26,0.0,Neutral,0.0,Neutral,0.3141993284225464,Neutral
43:4,0.0,Neutral,0.0,Neutral,0.2505278289318084,Neutral
"Underrated, can't wait for the english version",0.0,Neutral,0.0,Neutral,0.5115135908126831,Positive
Rap music 🎶🎶 COOl,0.3182,Positive,0.35,Positive,0.5036745667457581,Positive
Wow,0.5859,Positive,0.1,Neutral,0.6995608806610107,Positive
Pew :>,0.4767,Positive,0.5,Positive,0.2495363652706146,Neutral
Legend listion this song 2022 may,0.0,Neutral,0.0,Neutral,-0.4764156639575958,Negative
He said every word in the dictionary in just 6 mins,0.0,Neutral,0.0,Neutral,-0.466772049665451,Negative
"This song is already 8 yo
I'm really getting old",0.0,Neutral,0.15,Neutral,-0.3967373073101043,Negative
"This is so good. Can't wait for the English version 


I am in love with  *Authentic views*  to get views",0.8377,Positive,0.425,Positive,0.6518602967262268,Positive
"Indian people attedance here🤭😜
👇",0.4939,Positive,0.0,Neutral,0.3443326950073242,Positive
2022 still watching 🎉,0.4019,Positive,0.0,Neutral,0.3635818362236023,Positive
4:19,0.0,Neutral,0.0,Neutral,0.3295943140983581,Neutral
Yo anyone heard of this 'SickxO-Hope Driven' rapper yet?He ain't 🔥 but is fasho the coldest 🥶 lyricist on the mic right now..you don't beleive me take a listen & let your 👂's be the judge🤷‍♂️,0.1326,Positive,0.2857142857142857,Neutral,-0.5119864344596863,Negative
Try to hear it on 2x,0.0,Neutral,0.0,Neutral,0.2376178354024887,Neutral
I’m so in love!  Since day one ❤,0.8741,Positive,0.625,Positive,0.8648110032081604,Positive
"Ladies and gentlemen, that's rap god for u",0.2732,Positive,0.0,Neutral,-0.2918213903903961,Negative
"Time and time again, history shows that this is what happens when a white man dedicates himself to something.",0.0,Neutral,0.0,Neutral,0.5099216103553772,Positive
You came for 4:25?,0.0,Neutral,0.0,Neutral,-0.4024562537670135,Negative
Esse cara é uma máquina 😁 Canta muito 🇧🇷 Como alguém pode cantar assim tão rápido? 😆,0.6705,Positive,0.2,Neutral,0.4937878251075744,Positive
ㄷㄷ,0.0,Neutral,0.0,Neutral,0.3203867375850677,Neutral
"'Be a 🤴 king think not, Why be a king when you can be a god ' this line is so cool",0.6238,Positive,0.35,Positive,0.6911938190460205,Positive
My God I love you too much 💞,0.891,Positive,0.35,Positive,0.8959952592849731,Positive
忙しい人用 4:26,0.0,Neutral,0.1,Neutral,0.2215105444192886,Neutral
Nie. Rap,0.0,Neutral,0.0,Neutral,-0.7493149042129517,Negative
"Damn, his rap slaps harder than Will Smith.",-0.4019,Negative,-0.1,Negative,-0.3865387439727783,Negative
I think machine gun Kelly Is  better than you,0.128,Positive,0.5,Positive,0.4596647620201111,Positive
3:40 👌,0.7297,Positive,0.0,Neutral,0.2632725238800049,Neutral
🇧🇷🇧🇷🇧🇷❤❤❤,0.9274,Positive,0.0,Neutral,0.3085779249668121,Neutral
Even the lyrics can’t keep up,0.0,Neutral,0.0,Neutral,-0.253344863653183,Negative
Eminem you are a god,0.2732,Positive,0.0,Neutral,0.4747998416423797,Positive
4:24 best part,0.6369,Positive,1.0,Positive,0.4770183563232422,Positive
Wow,0.5859,Positive,0.1,Neutral,0.6995608806610107,Positive
"let""s do 1,5kkk to Em)",0.0,Neutral,0.0,Neutral,0.2263381332159042,Neutral
he rap FASTER than SONIC!!! 4:24,0.0,Neutral,0.0,Neutral,0.5254122018814087,Positive
S U M M A L U M M A,0.4588,Positive,0.0,Neutral,-0.2715015113353729,Negative
How my teacher explains physics:,0.0,Neutral,0.0,Neutral,0.5684090852737427,Positive
