Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
This song is for me N Love Of My Life! 😘💯,0.807,Positive,0.625,Positive,0.8210687041282654,Positive
SHAY MOONEY AND JUSTIN BIEBER'S SINGING VOCALS SOUND SO DAMN GOOD TOGETHER JUST BEAUTIFUL👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌,0.9995,Positive,0.55,Positive,0.5503538846969604,Positive
Lovely,0.5859,Positive,0.5,Positive,0.5615791082382202,Positive
Omg this is cute,0.4588,Positive,0.5,Positive,0.4020566344261169,Positive
love it,0.6369,Positive,0.5,Positive,0.8348285555839539,Positive
"Nice song, 😘😘😘❤️❤️❤️",0.8807,Positive,0.6,Positive,0.4610815048217773,Positive
years passed but this song is still a banger ✨🤍,0.0,Neutral,0.0,Neutral,0.2977945804595947,Neutral
i got to know this from Jungkook's cover and I'm obsessed,-0.1779,Negative,-0.5,Negative,0.4078252911567688,Positive
My boyfriend likes this song,0.4215,Positive,0.0,Neutral,0.452792078256607,Positive
La mejor d Justin Bieber my good para mi boda es esta mi wedding,0.743,Positive,1.0,Positive,0.794218122959137,Positive
DREWWWWWWWWWWWWW RAAAAAAAAAAAAAAA JB,0.0,Neutral,0.0,Neutral,-0.5083391070365906,Negative
My  cousin  just  said full,0.0,Neutral,0.35,Positive,0.3522745370864868,Positive
I DO !,0.0,Neutral,0.0,Neutral,0.4096170365810394,Positive
I'm still listening to this 2022-etc,0.0,Neutral,0.0,Neutral,0.3155576586723327,Neutral
Wow this song is asome,0.836,Positive,0.55,Positive,0.8180851936340332,Positive
"This song reminds me about that girl whom i fell in love with...🙂🙂 . Btw, i really love this song so much.",0.9338,Positive,0.3999999999999999,Positive,0.8168238997459412,Positive
I never knew this was a country song,0.0,Neutral,0.0,Neutral,-0.2917778789997101,Negative
I'm beside my bf and he wants it to play over and over sml 😘😘,0.7906,Positive,0.2,Neutral,0.4509412348270416,Positive
So sweet song ❤️❤️❤️,0.5095,Positive,0.35,Positive,0.6278193593025208,Positive
This song and “Did You Call Me?” by Lukaz are some of the only things getting me through tough times. I hope everyone is doing well. I love you! 🥀🥀,0.8398,Positive,0.0787037037037037,Neutral,0.8050400018692017,Positive
I love it!,0.6696,Positive,0.625,Positive,0.9018257260322572,Positive
I miss 2019,-0.1531,Negative,0.0,Neutral,-0.3807096779346466,Negative
0:27 to 0:50 tbh the best part of the song imo...,0.6369,Positive,1.0,Positive,-0.2511200904846191,Negative
สสวส,0.0,Neutral,0.0,Neutral,0.3619276285171509,Positive
tignan mo oh ikaw nalang walang jowa,0.0,Neutral,0.0,Neutral,-0.2895911931991577,Negative
This song and “Did You Call Me?” by Lukaz are some of the only things getting me through tough times ❤️ I hope everyone is doing well. I love you ❤️,0.8271,Positive,0.037037037037037,Neutral,0.7324890494346619,Positive
9okki,0.0,Neutral,0.0,Neutral,-0.2509661316871643,Negative
💙💙✨,0.8934,Positive,0.0,Neutral,0.3085779249668121,Neutral
Much Girls jealous justin are married,-0.4588,Negative,0.225,Neutral,0.2666103839874267,Neutral
Why the heck duration is too short?,0.0,Neutral,0.0,Neutral,-0.4007538259029388,Negative
Don't pretend to a happy... I know you are not happy,0.2495,Positive,0.2,Neutral,-0.4928692579269409,Negative
Love you Justin and Hailey and amazing song 🎵 and I really really love this music video alot,0.9296,Positive,0.5333333333333333,Positive,0.9319981932640076,Positive
I love this song ❤️❤️❤️❤️😍❤️😍,0.8807,Positive,0.5,Positive,0.8624796271324158,Positive
I love ten thousand hours!,0.6696,Positive,0.25,Neutral,0.9023289680480956,Positive
Kamu itu cantik coba baca lagi,0.5994,Positive,0.85,Positive,0.4672447144985199,Positive
"I love them,,, so sweet, feel so blessed",0.9133,Positive,0.425,Positive,0.9277479648590088,Positive
It’s 2022 let’s see how many people are watching this masterpiece❤🎉,0.9149,Positive,0.5,Positive,0.4814895987510681,Positive
❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
2:37,0.0,Neutral,0.0,Neutral,0.244494691491127,Neutral
