Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"I’m 12 parents are as happy as can be 2021 happens cancer happens my dad gets it we become a mess I understand how you feel and I feel as I took him for granted. I miss him, June 5th 21",-0.4215,Negative,0.3125,Positive,-0.3132974505424499,Negative
"It is very sad emotional dan,s life, I also fell very sad emotional. ☹️",-0.7713,Negative,-0.325,Negative,-0.4825707376003265,Negative
this song is perfect,0.5719,Positive,1.0,Positive,0.8227277398109436,Positive
It's probably the only song that can take me to the depths of my thoughts. Thanks Imagine Dragon and Dan Reynolds,0.4404,Positive,0.1,Positive,0.3658317029476166,Positive
54T.,0.0,Neutral,0.0,Neutral,0.229997232556343,Neutral
🙂,0.4033,Positive,0.0,Neutral,0.3085779249668121,Neutral
I'm from Russia but I really like your songs very cool 💗,0.9497,Positive,0.3275,Positive,0.5500872135162354,Positive
i like songg .love from 🇦🇿🇦🇿🇦🇿,0.7717,Positive,0.0,Neutral,0.5787426233291626,Positive
Wrecked then fall then..,0.0,Neutral,0.0,Neutral,-0.7201570868492126,Negative
"Вот уже пару месяцев, как я тащусь от этой вещи. 
Я не просто гурман музыки. Мне 64, я слышал всё. От битлов, через роллингов, криденсов, ранних Дипов, Аббы, Брюса. Да вообще всего. Включая джаз и оперу. Последними были Muse. Но мощь этой вещи Драгонов меня просто убила. Я как ребёнок реву, слушая каждый раз. Впитываю каждое слово. Боже, как далеко пошла музыкальная культура... 
А ведь такая простая вещь. Я без вопросов подберу её на гитаре...",-0.7184,Negative,-3.9650822308041295e-18,Negative,0.6167207360267639,Positive
"I'm an English tutor and I'm so devoted to bringing this composition to my students and analyzing the words and the best, its message. Thank you so much for making this!!",0.8951,Positive,0.4375,Positive,0.8897149562835693,Positive
"My mom passed away three months ago of an accident at 61. She was a huge fan of Imagine Dragons. At the ICU I used to play her ""believer"", her favorite, every day while in a coma. We both wanted to have attended a concert. Now it won't be possible, but this song gives me comfort, I feel I could have wrote it myself in her memory. Thank you for having a perfect song even for the worst moments.",0.8338,Positive,0.1333333333333334,Positive,0.7622683644294739,Positive
"February 26 my cat died
The cat went missing on March 7



I miss.",-0.7506,Negative,-0.2,Negative,-0.5909879803657532,Negative
"Meu Deus. 
Como eu amo essa banda.
O Dan é meu crush realmente imaginário.
Tenho 70 anos e curto demais tudo que eles fazem.",0.8366,Positive,0.3,Positive,0.8613903522491455,Positive
The songs you guys right makes me feel It enemy for example I feel like everyone ignores me and wants to be my enemy,-0.765,Negative,0.2428571428571428,Positive,-0.3126287758350372,Negative
Vati..Schachmatt..,0.0,Neutral,0.0,Neutral,0.2748089730739593,Neutral
"Chess, trump..tesla",0.0,Neutral,0.0,Neutral,0.3808260560035705,Positive
"Imagine, okay..2022 freedom tesla, deutschland",0.6369,Positive,0.0,Neutral,0.5180427432060242,Positive
This is perfect song...I cried too much....,0.2732,Positive,0.6,Positive,0.8694431185722351,Positive
I LOVE this song. I am from CZ and I LOVE Imagine Dragons! Well Done!,0.9267,Positive,0.640625,Positive,0.904240071773529,Positive
Esta e para ti Soraia 🥰🥰,0.9393,Positive,0.0,Neutral,0.5016682744026184,Positive
"🌝🌝🌝🌝🌝🌝
🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷



Jeju speakeasy music bar at
귀덕 04.2022
song requested
Would the requestor be lucky enough
to spot this comment? Finger crossed



제주 귀덕골방에 손님이 신청해주신 음악입니다.

음악은 추억이 아닐까요
누군가에 신청곡으로 첨 듣는 음악을 듣게 되고
어디선가 그음악을 또 듣게 되면
아! 골방에서 들었던 그노래

이런 추억을 다른이에게도 만들어주셨내요

누군가 듣고싶어 신청해주신 이노래를
만들어주신 작사,작곡, 편곡자분들과 불러주신 가수분에게 
정말 감사합니다.


제댓글이 많아 불편하셨다면 정말 죄송합니다.

하지만 제 댓글이 많다는건
이노래를 신청해주신 분들이 많다는거에요

그시간에 신청해주신 분이 이댓글을 보신다면
행복해 하실꺼라는걸 알거든요

그래서 신청곡이 들어올때마다 댓글을 남겨드리고 있어요

그시간에 소중한 신청곡 정말 감사합니다.

골방을 하면서 정말 모르고 있던
좋은 음악들을 많이 듣게되어 행복합니다.




22년   04월 19일 7시타임
어느 손님의 신청곡😶‍🌫️.",0.978,Positive,0.2812121212121212,Positive,-0.451644629240036,Negative
🌹,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Just saw this song live last week....song really spoke to me since I lost my cousin who was 27 in 2010. Still miss him and the times we had together,-0.4404,Negative,0.1121212121212121,Positive,0.2925906181335449,Neutral
"Absolutely wonderful, 
Replay for life",0.6115,Positive,1.0,Positive,0.929591715335846,Positive
"The Legends are back!!!!!! its becoming my favorite track currently been listening to this song since yesterday till today, love your work guys and you guys never disappoint",0.8916,Positive,0.29,Positive,0.8866640329360962,Positive
