Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Are u a noob scape step?,-0.0516,Negative,0.0,Neutral,-0.6406269073486328,Negative
"Me crying when no ""YOu SeE I uSeD f5""",-0.6486,Negative,-0.2,Negative,-0.3550000786781311,Negative
Cringe,0.0,Neutral,0.0,Neutral,-0.4394421875476837,Negative
The reason they have things to escape is because it is meant,0.1779,Positive,0.0,Neutral,0.334215372800827,Positive
i already play genshin best game ever,0.765,Positive,0.3,Positive,0.8951429128646851,Positive
"But then, I had a very good idea, I used F5. You see, using F5 gave me a whole new perspective and I was able to see a chest I couldn't have seen before.",0.6474,Positive,0.436590909090909,Positive,0.3620205223560333,Positive
"You know what's funny is that I used that same boat trick and one of the same songs in my video THREE months ago:
https://www.youtube.com/watch?v=ZC2hEL0EB4Y&t=607s

Edit: Go near the end to watch me use the trick.",0.3612,Positive,0.0875,Positive,-0.2490811198949813,Negative
yk to trap a warden you can literally just surround it with rails,-0.3182,Negative,0.0,Neutral,0.2923998236656189,Neutral
Just... break the netherite blocks,-0.2263,Negative,0.0,Neutral,-0.3862353563308716,Negative
"Can't wait for that one guy to make a video roasting this ""prison escape""

(In a good way both videos are entertaining)",0.3869,Positive,0.6,Positive,0.3459275960922241,Positive
"RLC I exec crypto small token supply Partnered with Ibm, Intel Amazon, Microsoft, Nivida! Selling Idle computer power for Fortune 500 companies small cap small token supply can skyrocket at any time...",0.2481,Positive,-0.2708333333333333,Negative,0.3952443599700928,Positive
TEDDY HAS BOATS DUMMY HE CAN GET OUT,0.0,Neutral,0.0,Neutral,-0.4801588356494903,Negative
4:45  or you could just throw some iron into the pressure plate to activate it idk or the shears or something else,-0.3818,Negative,0.0,Neutral,-0.2556749880313873,Negative
"""But then I used F5, F5 GIVES ME A WHOLE NEW PERSPECTIVE OF IEXSMSKKDJXJXNXM""",0.0,Neutral,0.1681818181818181,Positive,0.3056663870811462,Neutral
Though I bet this was scripted it doesn't make it a bad video ya know,-0.5423,Negative,-0.6999999999999998,Negative,0.3752496242523193,Positive
Wait morning love you guys do have a fireplace right you know the mad well that thing where you can do now you can cook the chicken of the fireplace so do that but you need flint and steel tooth,0.2617,Positive,-0.1098214285714285,Negative,0.2395083904266357,Neutral
you could have saved a peace of wood ha ha noob,0.872,Positive,0.0,Neutral,-0.2407379448413849,Negative
watch this new gamming channel https://www.youtube.com/channel/UCuUYPcLJCHxoE_yBkN2RrQQ/videos,0.0,Neutral,0.1363636363636363,Positive,0.564926028251648,Positive
s in the chart,0.0,Neutral,0.0,Neutral,0.2597031891345978,Neutral
Wait he didn’t know the camp fire trick wow,0.296,Positive,0.1,Positive,-0.4044764339923858,Negative
Oh shit its genshin impact,-0.5574,Negative,-0.2,Negative,-0.4539339542388916,Negative
Anything is possible. Like SeaWattgaming  getting a gf,0.3612,Positive,0.0,Neutral,0.3824061453342438,Positive
Wait couldn’t you have saved blocks by placing one plank and also couldn’t “teddy” get the boat himself,0.2263,Positive,0.0,Neutral,-0.6079461574554443,Negative
"you should have done this with wifies, he has some experience",0.0,Neutral,0.0,Neutral,0.3931766450405121,Positive
"Nice! however at the beginning, couldn't you have just used the snowball on the item frame instead of blowing up",0.4753,Positive,0.75,Positive,0.6327483654022217,Positive
"For whosoever shall call upon the name of the Lord shall be saved. (Romans 10:13)
Know ye not that the unrighteous shall not inherit the kingdom of God? Be not deceived: neither fornicators, nor idolaters, nor adulterers, nor effeminate, nor abusers of themselves with mankind, Nor thieves, nor covetous, nor drunkards, nor revilers, nor extortioners, shall inherit the kingdom of God. (1 Corinthians 6:9-10)
I tell you, Nay: but, except ye repent, ye shall all likewise perish. (Luke 13:5)",0.5916,Positive,0.0,Neutral,-0.5174539685249329,Negative
🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️😰🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️🅰️🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️👿🌶️😰🌶️😰🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️🤥🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️😂😂🌶️🌶️,-0.7096,Negative,0.0,Neutral,0.3085779249668121,Neutral
"chess in mineraft im really good at chess
\",0.4927,Positive,0.7,Positive,0.5283122658729553,Positive
Staged,0.0,Neutral,0.0,Neutral,0.3067852854728699,Neutral
But then i Got a good idea i used f5,0.5927,Positive,0.7,Positive,0.3783182203769684,Positive
producer: How fake do you want this to be? Him: yes,-0.0258,Neutral,-0.5,Negative,-0.759610116481781,Negative
You didn't know how campfires worked lol,0.4215,Positive,0.8,Positive,0.2615465521812439,Neutral
Weren’t you exposed?,-0.0772,Negative,0.0,Neutral,-0.3058536052703857,Negative
Yum yum yum,0.0,Neutral,0.0,Neutral,0.3143453299999237,Neutral
high iq,0.0,Neutral,0.16,Positive,0.3319823443889618,Positive
d,0.0,Neutral,0.0,Neutral,0.2499866187572479,Neutral
why could he not just break the pumpkin and craft it into seeds,0.0,Neutral,0.0,Neutral,-0.4483343958854675,Negative
I'm gonna have to find a way to open the netherite door Me: Break it,0.0,Neutral,0.0,Neutral,-0.5607818365097046,Negative
"5:09
There is a fonction call jump that allow you to keep that extra piece of wood.
And also, campfire cook food

Starting to think it's scripted :(",-0.25,Negative,-0.25,Negative,-0.2497096210718155,Negative
"So your saying this is impossible to escape, but you escaped?",0.09,Positive,-0.6666666666666666,Negative,-0.5968645811080933,Negative
Hello kenadian someone is here with something worse. Legit sea watt it’s easy. Your just using new techqniques you found on tik Tok. You ignore the obvious answer. In the first 40 seconds. Teddy may crouch and jump at a timing to get the boat then boat out,-0.4019,Negative,0.0839393939393939,Positive,-0.2449716627597808,Negative
"Do u guys even know what ""prison""  means? 💀",-0.5106,Negative,0.0,Neutral,-0.3513113260269165,Negative
Gayshit,0.0,Neutral,0.0,Neutral,0.231899157166481,Neutral
Simply piano chord,0.0,Neutral,0.0,Neutral,0.2902065813541412,Neutral
W,0.0,Neutral,0.0,Neutral,0.3924260437488556,Positive
My sister has Genshin Impact but she does not play it,-0.3724,Negative,0.0,Neutral,-0.3939391076564789,Negative
9:57 HOW DID YOU NOT KNOW THAT!?!?!?,0.0,Neutral,0.0,Neutral,-0.506826639175415,Negative
Ooooh we w,0.0,Neutral,0.0,Neutral,-0.3103304803371429,Negative
"5:10 “I was forced to use my two wooden blocks”

*conserving resources go brrrr*




(totally not kenadian reference)",-0.4588,Negative,-0.1,Negative,-0.5376991033554077,Negative
you see f5 gives me a hole ne-..,0.0,Neutral,0.0,Neutral,-0.3560368716716766,Negative
You now Evbo right?,0.0,Neutral,0.2857142857142857,Positive,-0.2851162254810333,Negative
You make amazing videos :).,0.5859,Positive,0.55,Positive,0.7069619297981262,Positive
I know what to do you get the snow and throw on the fireplace and heat the chicken to get cooked but the think is there was no shovel,-0.4215,Negative,-0.6,Negative,0.4126191437244415,Positive
"SeaWatt: I asked Tedey ""calmly"" to help me
Also SeaWatt: TEDDY HELP",0.8143,Positive,0.3,Positive,0.2897249162197113,Neutral
So it's not impossible,0.0,Neutral,0.3333333333333333,Positive,0.4684807062149048,Positive
my fav character from genshin inpcact is arataki,0.4588,Positive,0.0,Neutral,0.251694768667221,Neutral
A,0.0,Neutral,0.0,Neutral,0.3187072873115539,Neutral
9:53 man doesn’t even know what a campfire does bc all he does is escape prisons,0.1779,Positive,0.0,Neutral,-0.5149965882301331,Negative
He has a boat on his head,0.0,Neutral,0.0,Neutral,0.2793723046779632,Neutral
