Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
People watching this in 2022:,0.0,Neutral,0.0,Netural,0.30016636848449707,Netural
My dad is obsessed with this song omfg,-0.1779,Negative,-0.5,Negative,0.39233240485191345,Positive
Lol the meme when then country boys found lil nas was gay 😂,0.6908,Positive,0.6083333333333334,Positive,-0.3312546908855438,Negative
I like the music,0.3612,Positive,0.0,Netural,0.49695852398872375,Positive
Cadê os BRs que curtem um bom som?😎🇧🇷,0.8126,Positive,0.7,Positive,-0.3191141188144684,Negative
I remember that this music was on afv.,0.0,Neutral,0.0,Netural,0.23683129251003265,Netural
Very nostalgic,0.0,Neutral,-0.65,Negative,0.5165179967880249,Positive
I remember my ex telling me this was his favorite song like 3years ago and 11 years old me listening to it over and over again when i missed him🥺,0.5106,Positive,0.3,Netural,0.665182888507843,Positive
love the song,0.6369,Positive,0.5,Positive,0.6877331137657166,Positive
Comment below I love this song so much,0.6369,Positive,0.35,Positive,0.824192225933075,Positive
I blinked to the the tune of this. Very easy try 😂😃,0.8221,Positive,0.5633333333333334,Positive,0.47286009788513184,Positive
Love this song sang it in the old days!,0.6696,Positive,0.3125,Netural,0.8612348437309265,Positive
"It’s crazy how different life was two years ago before covid messed everything up, this song brings back good vibes and good memories for sure! Even though it’s not that long ago it feels so distant lol",0.7698,Positive,0.2305555555555555,Netural,0.4669160544872284,Positive
Hat dow,0.0,Neutral,0.0,Netural,0.3086058795452118,Netural
BEM CHAOTO,0.0,Neutral,0.2,Netural,-0.38877132534980774,Negative
roses,0.0,Neutral,0.0,Netural,0.2706716060638428,Netural
I miss 2019,-0.1531,Negative,0.0,Netural,-0.3807096779346466,Negative
anyone here in 2022?,0.0,Neutral,0.0,Netural,-0.5978764295578003,Negative
2022 anyone🎉😁,0.6908,Positive,0.0,Netural,0.29935815930366516,Netural
2022 anyone?!,0.0,Neutral,0.0,Netural,-0.6921989917755127,Negative
1:38,0.0,Neutral,0.0,Netural,-0.23126418888568878,Negative
Call me by your name,0.0,Neutral,0.0,Netural,0.41009917855262756,Positive
Who is watching in 2022,0.0,Neutral,0.0,Netural,0.37936508655548096,Positive
I love this song 😃,0.7717,Positive,0.5,Positive,0.8624796271324158,Positive
This had the whole world lit😭😭,-0.7351,Negative,0.2,Netural,0.6698489785194397,Positive
My daughter loves this song so much,0.5719,Positive,0.2,Netural,0.7285848259925842,Positive
Wtf is this trash,-0.5859,Negative,-0.5,Negative,-0.9043442606925964,Negative
"""Yeah I'ma gonna take my ass back to the good old days I'm gonna, travel till I can't no more we're gonna remember all  the good old days were gonna, listen till we can't no more"" 😩💅",0.6659,Positive,0.15714285714285717,Netural,-0.2899864912033081,Negative
Aquele comentário em português que vc estava procurando...,0.0,Neutral,0.0,Netural,-0.47777843475341797,Negative
Keep it in your mailbox 📫 if not you will need help with a good 😊 and you have an extra help to come in your office for a few hours so we are,0.9231,Positive,0.16666666666666666,Netural,0.37304309010505676,Positive
Love this song so much!,0.6696,Positive,0.375,Positive,0.9069565534591675,Positive
I remember play fortntie in season five and land at paradise palms and I would pop of to this song,0.765,Positive,0.0,Netural,0.48454299569129944,Positive
I remember singing this with my friends in the bus to a trip,0.4767,Positive,0.0,Netural,0.5422214865684509,Positive
"I remember being at farm camp, we all built a huge fort and some kid played this and we sing along… I miss those times:(",0.4767,Positive,-0.17499999999999996,Negative,0.31050312519073486,Netural
"🤠
              \I /🎸
              / \",0.0,Neutral,0.0,Netural,0.34953853487968445,Positive
Damn I sang this since year 2-,-0.4019,Negative,0.0,Netural,0.4698454737663269,Positive
Mr. Shades do you just copy all songs and put them with the lyrics?,0.0,Neutral,0.0,Netural,-0.3521382212638855,Negative
Makes me feel the futureer,0.0,Neutral,0.0,Netural,0.49669378995895386,Positive
Master top 10 😆,0.5106,Positive,0.5,Positive,0.9313324093818665,Positive
Brings bark the hat down cross down trend,0.0,Neutral,-0.10370370370370373,Negative,-0.36317506432533264,Negative
Awesome,0.6249,Positive,1.0,Positive,0.830653965473175,Positive
All i need is a Limitless Pill and I will build  myself a gym,0.0,Neutral,0.0,Netural,0.6634995937347412,Positive
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxcc,0.0,Neutral,0.0,Netural,0.4971667528152466,Positive
I find loves this song,0.5719,Positive,0.0,Netural,0.6522531509399414,Positive
Anyone here from Shangchi?,0.0,Neutral,0.0,Netural,-0.4966481626033783,Negative
Its been so since I heard this song :),0.4588,Positive,0.5,Positive,0.46170517802238464,Positive
"I remember this song from 2019, i remember my class dancing this song in a mini party we had in june",0.4019,Positive,0.0,Netural,0.6051737070083618,Positive
When it say cheated on my baby is him not her,-0.5106,Negative,0.0,Netural,-0.49636128544807434,Negative
Clima #velho oeste,0.0,Neutral,0.1,Netural,0.2826363742351532,Netural
Old town road vs beliver plz,0.0772,Positive,0.1,Netural,0.24801777303218842,Netural
Back in my days,0.0,Neutral,0.0,Netural,0.602148711681366,Positive
Love your song,0.6369,Positive,0.5,Positive,0.7615663409233093,Positive
"I remember a few weeks ago I played with bottle cans and sang this song with my friends.They are all in another country now ,now I made new friends in this country but we are leaving the school what can I do absolutely nothing.",0.4118,Positive,0.04545454545454545,Netural,-0.731132447719574,Negative
"Yeah, I'm gonna take my chicken to the old town coop
I'm gonna take their eggs 'til I can't no more
I'm gonna take my chicken to the old town coop
I'm gonna take their eggs 'til I can't no more (kio kio
I got the chickens in the back
chicken eggs attached
Hat is kinda brown black
Got the boots that look like that to match
makin' eggs from a chicken, ha
You can whip your Porsche
I been in the coop
You ain't been up off that laptop, now
Can't nobody sell me nothin'
You can't sell me nothin'
i just sell people something
You can't sell me nothin'
Ridin' on a lawn mower
building something taller
Cheated on my test
You can go and ask me
My life is a movie
chicken coops and eggies
Cowboy hat from Ron Jon
eating all my eggs yummy
Can't nobody sell
You can't sell me nothin'
Can't nobody sell me nothin'
only i sell people something
Yeah, I'm gonna take my chicken to the old town coop
I'm gonna take their eggs 'til I can't no more
I'm gonna take my chicken to the old town coop
I'm gonna take their eggs 'til I can't no more",0.9178,Positive,-0.2759259259259259,Negative,-0.5475612878799438,Negative
Wow it's a nice song,0.765,Positive,0.35,Positive,0.5608744025230408,Positive
when this song came out i remember every single lyric,0.0,Neutral,0.08928571428571429,Netural,-0.2884802520275116,Negative
When I’m sad I sing the old town road,-0.4767,Negative,-0.2,Negative,0.2869941294193268,Netural
when the gym teacher used to play this song...,0.34,Positive,0.0,Netural,-0.29991430044174194,Negative
I poo,0.0,Neutral,0.0,Netural,0.23767352104187012,Netural
"Jojo fans, think Gyro and Johnny.",0.0,Neutral,0.0,Netural,0.3390422463417053,Positive
I love old town road,0.6369,Positive,0.3,Netural,0.6574010252952576,Positive
I always herd this song and it brings back memories,0.0,Neutral,0.0,Netural,0.7031317353248596,Positive
I'm gonna ride 'til i can't no more,0.2235,Positive,-0.25,Negative,0.39608123898506165,Positive
🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊 🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊🎊,0.0,Neutral,0.0,Netural,0.34280773997306824,Positive
Same,0.0,Neutral,0.0,Netural,-0.2256717085838318,Negative
Thanks for the lyrics upload. Acoustic short here https://youtube.com/shorts/X3BIpVJ0UkE?feature=share,0.4404,Positive,0.1,Netural,0.4168862998485565,Positive
Stream Red Taylor's Version,0.0,Neutral,0.0,Netural,0.28484559059143066,Netural
Things were alot better when this song was trending,0.4404,Positive,0.5,Positive,0.48131996393203735,Positive
i love this song,0.6369,Positive,0.5,Positive,0.8526678681373596,Positive
"Brings back memories of red dead redemption 2 chasing people,Bar fights, gunslinger duels. Man good old days",-0.6249,Negative,0.12,Netural,0.5164185762405396,Positive
People in my class said this song has cuss words but it doesn’t,0.0,Neutral,0.0,Netural,-0.4178576171398163,Negative
Yeah I’m gonna take my shoe 👞 to the old shoe 👞 store I’m gonna whack it till I can no more     To be continued,0.0,Neutral,-0.075,Negative,-0.4155512750148773,Negative
"i liked it,pretty cool",0.6249,Positive,0.475,Positive,0.6540528535842896,Positive
😆,0.3612,Positive,0.0,Netural,0.30857792496681213,Netural
🤗🤗🤗🤗😃😃😃😃😁😁😁,0.9803,Positive,0.0,Netural,0.30857792496681213,Netural
You are good guys,0.4404,Positive,0.7,Positive,0.36628326773643494,Positive
This is fun because I just went horseback riding,0.5106,Positive,0.3,Netural,0.44353070855140686,Positive
I love old town road,0.6369,Positive,0.3,Netural,0.6574010252952576,Positive
Went from riding on a horses lap to booty clap on Satan's lap,0.0,Neutral,0.0,Netural,-0.6620308756828308,Negative
I wanna go old town road...,0.0,Neutral,0.1,Netural,0.3333522081375122,Positive
NOSTALGIA,0.0,Neutral,0.0,Netural,0.4865351915359497,Positive
I love old town road,0.6369,Positive,0.3,Netural,0.6574010252952576,Positive
My sister loves it,0.5719,Positive,0.0,Netural,0.5666623115539551,Positive
Love this song man,0.6369,Positive,0.5,Positive,0.8364861011505127,Positive
+,0.0,Neutral,0.0,Netural,0.2822500765323639,Netural
N O S T A L G I A,0.4588,Positive,0.0,Netural,0.2926902174949646,Netural
Omg when It was 2016,0.0,Neutral,0.0,Netural,-0.26513171195983887,Negative
I would sing this in highschool now XD.,0.0,Neutral,0.0,Netural,0.4593030512332916,Positive
Just as a fake friend,0.0258,Neutral,-0.5,Negative,-0.5753762722015381,Negative
Like it,0.3612,Positive,0.0,Netural,0.4702777862548828,Positive
Lol love this song! XD,0.9157,Positive,0.7125,Positive,0.8633430600166321,Positive
12345678910,0.0,Neutral,0.0,Netural,0.24951133131980896,Netural
