Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Daddy Yanke Deja Una Marca En La industria De la Musica Desde Peru Daddy,0.0,Neutral,0.0,Neutral,0.5243731141090393,Positive
La Leyenda... Nunca Morirá..! Daddy Yankee FOREVER. Maracay - Venezuela. Bendiciones.,0.7869,Positive,0.0,Neutral,0.8148548007011414,Positive
REY HASTA LA MUERTE <3 :),0.0688,Positive,0.75,Positive,0.5866811871528625,Positive
Di Why!,0.0,Neutral,0.0,Neutral,-0.2908569574356079,Negative
Saludos desde venezuela tedeamos lo mejor tu que a sido una gran Ejemplo  para todos cundo paso por las calles por todos lados veo como se escucachan tus musica    tu sienpre sera el mejor  el maximo lider  y digan lo que diga simpre seras el mejor de todos los tiempos te deseamos lo mejor,0.9806,Positive,0.96,Positive,0.7953652739524841,Positive
Casi me pierdo este temazo 🔥 😭,-0.7512,Negative,0.0,Neutral,-0.4467604756355285,Negative
Ajax vs curacao el 20 de maio en curaza,0.0,Neutral,0.0,Neutral,-0.3021568059921264,Negative
gg,0.296,Positive,0.0,Neutral,0.2632448673248291,Neutral
"no hh&^^**%="";*¿kiuu",-0.296,Negative,0.0,Neutral,-0.5476959943771362,Negative
Not yet but I'll try and call to,0.0,Neutral,0.0,Neutral,0.3820520341396332,Positive
Now that I know what you are doing in this world you have,0.0,Neutral,0.0,Neutral,0.6531516313552856,Positive
Lá rompieron,-0.4215,Negative,0.0,Neutral,-0.4802877604961395,Negative
"It's been 20 years I am listening to daddy Yankees songs, but I have never even understood  a single word, still love to listen tho. I am from India",0.7783,Positive,0.2142857142857143,Neutral,0.513496994972229,Positive
los amo mis hombres,0.6369,Positive,0.5,Positive,0.5843768119812012,Positive
Épico temardo! A nivel de ustedes 2,0.0,Neutral,0.125,Neutral,0.4921263754367828,Positive
Siempre fuiste una leyenda de la música urbana Daddy la mejor de la mejor,0.8555,Positive,0.6666666666666666,Positive,0.862646758556366,Positive
🇨🇴,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Great,0.6249,Positive,0.8,Positive,0.741083025932312,Positive
Daddy Yankee y punto. 🇵🇦,0.0,Neutral,0.0,Neutral,0.5465947389602661,Positive
y a los tuyos 😘😘😘,0.8126,Positive,0.0,Neutral,0.3328132331371307,Positive
Mucha simbologia iluminati detras del video,0.0,Neutral,-0.4,Negative,0.282650738954544,Neutral
Finally legends is back 😁😬😁😁😁,0.8625,Positive,0.0,Neutral,0.6223936676979065,Positive
Otra canción para Carliz ❤,0.6369,Positive,0.0,Neutral,0.2320154309272766,Neutral
"Daddy, te vamos a extrañar... Has dejado un gran legado... ❤❤❤",0.9524,Positive,0.4,Positive,0.768620491027832,Positive
