Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Como adan y Eva tengamos nuestro  pecado como 2 ladrones un secreto bien guardado un camino y un destino asegurado ...que buena cansion,0.0,Neutral,0.1499999999999999,Positive,0.4745701253414154,Positive
"Fom3, kkl",0.0,Neutral,0.0,Neutral,0.229359820485115,Neutral
Mi canción 🎶,0.0,Neutral,0.0,Neutral,0.4872115552425384,Positive
Yo acá escuchando después de la sesión con el biza! Es uno de los pocos artistas de este género que se le puede escuchar nítido todo lo que dice. Que crack🔥,0.1511,Positive,-0.0499999999999999,Negative,0.4948500990867615,Positive
"Y Si, Revivimos Este
 PALO DE LONDRA🍎.   
       ❤️2022❤️",0.6249,Positive,0.0,Neutral,-0.3409838080406189,Negative
En x 1.2.5 se escucha re bien xd 🖐️,0.8442,Positive,0.0,Neutral,0.3081836700439453,Neutral
<3 buena rola,0.7003,Positive,0.85,Positive,0.3944546282291412,Positive
Ya volvimos,0.0,Neutral,0.0,Neutral,0.3387531638145447,Positive
TEMAZOO💪🏼,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
A VUELTO EL REY!!! 😭,-0.6093,Negative,0.0,Neutral,0.7382300496101379,Positive
sos buen cantente como person no sos un ejemplo,0.4404,Positive,0.7,Positive,0.3740742802619934,Positive
Eress un crak sigue asin lo vas a petarrr leon,0.0,Neutral,0.0,Neutral,-0.670326292514801,Negative
Thiago moli,0.0,Neutral,0.0,Neutral,0.2588513493537903,Neutral
"AhhHhaHH 4 años escuchando este tema y sigue siendo de los mejores de la galaxia entera, dios te bendiga paulito",0.8442,Positive,0.5,Positive,0.7979924082756042,Positive
"En 2022 sigue siendo un gran éxito, como todo lo que hace Paulo... Arriba Leones 🦁",0.8834,Positive,0.55,Positive,0.7282061576843262,Positive
2022 y esta canción la rompe toda millones,0.0,Neutral,0.0,Neutral,-0.804900050163269,Negative
Nunca tuve a quien poder dedicar este tema,0.0,Neutral,0.0,Neutral,-0.293826013803482,Negative
