Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Oooppp,0.0,Neutral,0.0,Neutral,-0.308225005865097,Negative
I am very big fan,0.3774,Positive,0.0,Neutral,0.5753173828125,Positive
Op Manohar back,0.0,Neutral,0.0,Neutral,0.2674445211887359,Neutral
Poromo code,0.0,Neutral,0.0,Neutral,-0.2626838088035583,Negative
Kya manohar wapas ayega please usko wapas la do vo ab ACHA ban gya tha lakin shiv ne USA maf nhi kiya,-0.1459,Negative,0.0,Neutral,-0.3038924038410187,Negative
Opopopopopopopoopooooopoopoo  face revel,0.0,Neutral,0.0,Neutral,-0.2685378789901733,Negative
Bhayya me apka Bohot badam subriber hu mujhko har ek log mujhe     noob kehete hai diamond 💎 ka app bataav bhayya,0.296,Positive,0.0,Neutral,-0.4454601109027862,Negative
Op video bro! 🔥🔥🔥❤️❤️,0.0,Neutral,0.0,Neutral,-0.2732894718647003,Negative
FF ID For Sell Vedio  Channel Pe Trusted & Safe Deal 🔥,0.7983,Positive,0.5,Positive,0.5963960289955139,Positive
☺️☺️,0.7184,Positive,0.0,Neutral,0.3085779249668121,Neutral
😎😎,0.7184,Positive,0.0,Neutral,0.3085779249668121,Neutral
ह्फ्फ्य्य्र्,0.0,Neutral,0.0,Neutral,0.2425386905670166,Neutral
Video me tora tora funny bi ta😂 bhot accha laga❤️🥰 story type video tumara best hei or koyi contain video mat dalna.story type video tumara vest hai❤️🥰keep supporting❤️❤️🥰,0.9842,Positive,0.625,Positive,0.2972168326377868,Neutral
Bhai guild me lelo plz my uid is 2328024197,0.0772,Positive,0.0,Neutral,-0.2634562849998474,Negative
FACE REVEL ho gaya 👍😁😁😁😁😉,0.0,Neutral,0.0,Neutral,0.2618339657783508,Neutral
Nice video,0.4215,Positive,0.6,Positive,0.4692580997943878,Positive
Hi i am tambirul  your videos is most,0.0,Neutral,0.5,Positive,0.4096680879592895,Positive
"Every one had smile on his face while watching these video you had smile so like 
👇",0.8042,Positive,0.3,Positive,0.4566341042518616,Positive
MRNEGAMERXFREEFIRESTORY,0.0,Neutral,0.0,Neutral,0.2358870506286621,Neutral
🤣🤣😁😁😅😅😜😛😱😱😱😱,-0.7003,Negative,0.0,Neutral,0.3085779249668121,Neutral
"Love from jharkhand (deoghar)
Love you bro",0.8555,Positive,0.5,Positive,0.6074300408363342,Positive
Sala,0.0,Neutral,0.0,Neutral,0.2907676100730896,Neutral
THANK YOU RITIK BHAI,0.3612,Positive,0.0,Neutral,0.5012935400009155,Positive
PLZZZZZZZZZZZZZ BRING MANHOR BACK 😭😭😭😭,-0.9081,Negative,0.0,Neutral,-0.5973974466323853,Negative
Your ff id,0.4215,Positive,0.0,Neutral,0.3605870306491852,Positive
Mahonal is back,0.0,Neutral,0.0,Neutral,-0.4386305809020996,Negative
Hii,0.0,Neutral,0.0,Neutral,0.2661617994308471,Neutral
Meri  comment  ko  like 👍,0.3612,Positive,0.0,Neutral,0.331523597240448,Positive
👋 please meri I'd,0.6705,Positive,0.0,Neutral,0.2547163665294647,Neutral
Koshish karo,0.0,Neutral,0.0,Neutral,0.2825062870979309,Neutral
Ritik bhai op face 😍😍 aap rahate kaha ho,0.0,Neutral,0.0,Neutral,0.2933894097805023,Neutral
Op golu  next level story,0.0,Neutral,0.0,Neutral,0.2999309599399566,Neutral
Manohar kab aaega date kabka he,0.0,Neutral,0.0,Neutral,0.2673636674880981,Neutral
"7o
Uo",0.0,Neutral,0.0,Neutral,0.45418381690979,Positive
"One of the best thing about dude is that he never takes credit for himself when he achieves something. He always respect us, the audience and his team, and he is polite in all his videos. We congratulation ourselves on this achievement. More to.....

49",0.8755,Positive,0.75,Positive,0.7912846803665161,Positive
Rishi bohot acha video banata hai bhai,0.4927,Positive,0.91,Positive,-0.4773391187191009,Negative
Bhai app rishi gaming ka sath colab karlo sir,0.0,Neutral,0.0,Neutral,0.2293684780597686,Neutral
Mera uid. -.   1816860659 .......... Please bro friend request bhejo please,0.7783,Positive,0.0,Neutral,0.2789887189865112,Neutral
Nice video bro ♥️😅,0.8591,Positive,0.6,Positive,0.4627154767513275,Positive
Bro konsa stream ha,0.0,Neutral,0.0,Neutral,0.2588338553905487,Neutral
Hey there I am lie now join my stream giveaway of m1014,0.296,Positive,0.0,Neutral,0.4455631375312805,Positive
Minecraft op and FF best of luck 😜☺️☺️,0.9496,Positive,1.0,Positive,0.414421409368515,Positive
this is so funny momment go and watch 15:02,0.5777,Positive,0.25,Positive,0.784487783908844,Positive
Ha,0.34,Positive,0.0,Neutral,0.2427652031183242,Neutral
Waiting for garu and manohar collab,0.0,Neutral,0.0,Neutral,0.2873498499393463,Neutral
Aapka setup dikhaiye,0.0,Neutral,0.0,Neutral,-0.3112773299217224,Negative
I am watching you from 600k,0.0,Neutral,0.0,Neutral,0.4448192715644836,Positive
oppp,0.0,Neutral,0.0,Neutral,-0.3187237679958343,Negative
Bhai please ek video banaa do na aapke game Mein Ham video mein Kaise a sakte hain,0.3182,Positive,-0.4,Negative,-0.654255211353302,Negative
Op,0.0,Neutral,0.0,Neutral,0.2698663473129272,Neutral
I like and I can't avoid ur videos,0.5248,Positive,0.0,Neutral,0.4663148522377014,Positive
Thank you Bhai face Ravel,0.3612,Positive,0.0,Neutral,0.3246645033359527,Neutral
"Nef gamer op or what 
By 
Nef doreamon",0.0,Neutral,0.0,Neutral,-0.273935854434967,Negative
Hello bhai agar manohar aur sab milkar ek sath rahenge,0.0,Neutral,0.0,Neutral,0.363870769739151,Positive
AK4RBYEUM,0.0,Neutral,0.0,Neutral,0.2254107296466827,Neutral
I love you Bhai 😊,0.8807,Positive,0.5,Positive,0.8207066059112549,Positive
"Manohar ki partner aaegi kya usmein cobra 
aaega",0.0,Neutral,0.0,Neutral,0.2583425343036651,Neutral
From which area in Jharkhand do you live?,0.0,Neutral,0.1363636363636363,Positive,-0.2367250770330429,Negative
"I am too from Jharkhand 
Love u  bro♥️",0.8555,Positive,0.5,Positive,0.7649286389350891,Positive
I àlso live in jharkhand,0.0,Neutral,0.1363636363636363,Positive,0.4187930822372436,Positive
Wow,0.5859,Positive,0.1,Positive,0.6995608806610107,Positive
15;48,0.0,Neutral,0.0,Neutral,0.2678459286689758,Neutral
My favourite part 15:8,0.0,Neutral,0.0,Neutral,0.7599266767501831,Positive
manhor jaldi lau,0.5859,Positive,0.3,Positive,0.2553961277008056,Neutral
Web camera se kabhi bhi baat karte hain ya nahin vah bahut hard story banata hai main bhi uska bahut,0.3612,Positive,-0.0895833333333333,Negative,-0.5140792727470398,Negative
12🤗🤗🤗,0.8126,Positive,0.0,Neutral,0.3085779249668121,Neutral
1 weeks in 2milion,0.0,Neutral,0.0,Neutral,-0.3912185132503509,Negative
Im from Bangladesh Big fan🥰🥰🥰,0.9756,Positive,0.0,Neutral,-0.2778219282627105,Negative
Bro your DISCORD link is not working    expired   fix it plz   send me link    reply plz,-0.4278,Negative,0.0,Neutral,-0.7572103142738342,Negative
BEST VIDEO,0.6369,Positive,1.0,Positive,0.8711560368537903,Positive
I Love you bro,0.6369,Positive,0.5,Positive,0.7434676289558411,Positive
"Hxyfhc
❤️❤️❤️❤️❤️❤️",0.0,Neutral,0.0,Neutral,0.24911530315876,Neutral
Next part.kab aayga Bhai my uid 2621915827,0.0,Neutral,0.0,Neutral,0.3104837238788605,Neutral
Yes he will come to story,0.4019,Positive,0.0,Neutral,0.4476655721664428,Positive
wow so handsome boy ❤❤❤❤❤❤❤❤,0.9922,Positive,0.3,Positive,0.9078488945961,Positive
Shiva be like.. Choti bachee ho kya🤣🤣,0.836,Positive,0.0,Neutral,0.2479737848043441,Neutral
Sir. Plz manohar ko wapas le aao plzz,0.0772,Positive,0.0,Neutral,0.249178946018219,Neutral
I love you super video ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0.9999,Positive,0.4166666666666666,Positive,0.8877193927764893,Positive
Hlo,0.0,Neutral,0.0,Neutral,0.2591811120510101,Neutral
K.g.f  ki video banao,0.0,Neutral,0.0,Neutral,-0.4435798525810241,Negative
Mujay gayab maat karna ok,-0.296,Negative,-0.2,Negative,0.3630689978599548,Positive
hii,0.0,Neutral,0.0,Neutral,0.2661617994308471,Neutral
hello bro,0.0,Neutral,0.0,Neutral,0.3917534947395324,Positive
one of the best things about dude is that he never takes credit for himself when he achieves somethings.,0.4617,Positive,1.0,Positive,0.2794081270694732,Neutral
MANOHAR WILL BE BACK,0.0,Neutral,0.0,Neutral,-0.3372878134250641,Negative
Tnx bro,0.2732,Positive,0.0,Neutral,0.2529679536819458,Neutral
Thankyu bhai manohar is back karka ek episode bananakaliya😭😭,-0.7351,Negative,0.0,Neutral,0.310032457113266,Neutral
Rishi bhai is here so reply plz I am his big fan,0.4364,Positive,0.0,Neutral,0.5885207056999207,Positive
Vkkjhj,0.0,Neutral,0.0,Neutral,0.2467917650938034,Neutral
Bhjbu,0.0,Neutral,0.0,Neutral,0.2721692025661468,Neutral
Bhjbuik,0.0,Neutral,0.0,Neutral,0.2506666481494903,Neutral
Bbbbh,0.0,Neutral,0.0,Neutral,0.2529588341712951,Neutral
Congratulations bro tumara face revil video bahut accha ta love u 🥰,0.8442,Positive,0.5,Positive,0.4401080906391144,Positive
Shiv ak coschan pooch ni thi,0.0,Neutral,0.0,Neutral,-0.4219485819339752,Negative
U are so  hardworker,0.0,Neutral,0.0,Neutral,-0.4524233341217041,Negative
Op monari is back,0.0,Neutral,0.0,Neutral,-0.3106206655502319,Negative
U are soo cute,0.5949,Positive,0.5,Positive,0.3146170377731323,Neutral
Are nef bhai ⚡⚡🔥,0.0,Neutral,0.0,Neutral,-0.3260317742824554,Negative
RÃJÅ ❤️❤️❤️❤️❤️❤️❤️❤️ hii,0.0,Neutral,0.0,Neutral,0.3999610245227813,Positive
Bhaiya Ap ka same name mere chota Bhaiya ka name same,0.0,Neutral,-0.125,Negative,-0.4853603541851043,Negative
Super bhaiya ap ka photos,0.5994,Positive,0.3333333333333333,Positive,0.6827595829963684,Positive
🥳🥳🥳🥳🥳🥳,0.9274,Positive,0.0,Neutral,0.3085779249668121,Neutral
Op fas,0.0,Neutral,0.0,Neutral,0.2903880774974823,Neutral
"(shock""",-0.3818,Negative,0.0,Neutral,-0.4078280925750732,Negative
😘😘😘😘😘😘😘😘💚💚💚💚 (shock),0.9887,Positive,0.0,Neutral,-0.253432422876358,Negative
Final hi intijar ke bad stories aa hi gyi,0.0,Neutral,0.0,Neutral,-0.3862732946872711,Negative
Mere taraf se pura suport hai,0.4019,Positive,0.35,Positive,0.4066349864006042,Positive
Lol,0.4215,Positive,0.8,Positive,0.2506950199604034,Neutral
Thank you bro ap n Manohar written liar,-0.2023,Negative,0.0,Neutral,-0.8005574345588684,Negative
Bai I like your videos and we will support allows you I hope you are fine,0.836,Positive,0.4166666666666667,Positive,0.4583345651626587,Positive
Bai muja support me please🙏,0.6124,Positive,0.0,Neutral,0.3361805081367492,Positive
Op,0.0,Neutral,0.0,Neutral,0.2698663473129272,Neutral
16:22 OH MA TO DAR GI,0.0,Neutral,0.0,Neutral,-0.2529236078262329,Negative
Please manohar please please please please please please please,0.9371,Positive,0.0,Neutral,-0.2852486371994018,Negative
Op bhai ❤️🥰🥰🥰,0.0,Neutral,0.0,Neutral,0.2436395436525344,Neutral
Apna number bhi dho,0.0772,Positive,0.0,Neutral,0.3133313953876495,Neutral
Iam also from Jharkhand ♥️,0.6369,Positive,0.0,Neutral,0.3685230910778045,Positive
Bro next level video,0.0,Neutral,0.0,Neutral,0.2482567131519317,Neutral
Yalgaar ka chapter 3 bhejo aur cosic ko  dhikhao,0.0,Neutral,0.0,Neutral,-0.2371752560138702,Negative
PO Manohar,0.5994,Positive,0.85,Positive,0.241262212395668,Neutral
Manohar jindabad,0.0,Neutral,0.0,Neutral,0.2515715956687927,Neutral
Po,0.0,Neutral,0.0,Neutral,0.278959721326828,Neutral
Manohar return soon 🖕🖕🙏🙏🙏🤘🤘🤘🤘🤘🤘😜🤘🤘🤘🤘🤘🤘,0.0,Neutral,0.0,Neutral,-0.4603687226772308,Negative
Season 2,0.0,Neutral,0.0,Neutral,0.3386867642402649,Positive
Good,0.4404,Positive,0.7,Positive,0.4969631731510162,Positive
Good,0.4404,Positive,0.7,Positive,0.4969631731510162,Positive
I m from Jharkhand garhwa,0.0,Neutral,0.0,Neutral,-0.2764744758605957,Negative
Op,0.0,Neutral,0.0,Neutral,0.2698663473129272,Neutral
Ritesh Kumar,0.0,Neutral,0.0,Neutral,0.2591719031333923,Neutral
Manuwr wapas Agaiga ne nai agiga,0.0,Neutral,0.0,Neutral,-0.3478050231933594,Negative
Manohar  is back,0.0,Neutral,0.0,Neutral,-0.3381515741348266,Negative
Nice video,0.4215,Positive,0.6,Positive,0.4692580997943878,Positive
🥰🥰💞💞,0.9756,Positive,0.0,Neutral,0.3085779249668121,Neutral
Manohar king is back 👑❤️,0.0,Neutral,0.0,Neutral,0.2760632038116455,Neutral
"Ek no bro
..... Kaise ho....",-0.296,Negative,0.0,Neutral,-0.5175074338912964,Negative
गढ़वा टेलर का गेम प्ले करो,0.34,Positive,-0.4,Negative,0.4648797512054443,Positive
I m very excited plz jaldi lana manohar per nayi series,0.8004,Positive,0.4912878787878787,Positive,-0.3174494802951813,Negative
Tum mere game me para tha,0.0,Neutral,-0.4,Negative,0.459451675415039,Positive
Har maa apne bacche ko bolti hai beta sojaou varna shiv gayab kardega,-0.2263,Negative,0.0,Neutral,-0.4160008132457733,Negative
Make next part fast please,0.3182,Positive,0.1,Positive,0.3431937396526336,Positive
Manovar is gone like sider man in no way home,0.0772,Positive,0.0,Neutral,-0.6240242123603821,Negative
Sfzt,0.0,Neutral,0.0,Neutral,0.2561745047569275,Neutral
Thanks bro,0.4404,Positive,0.2,Positive,0.3634016513824463,Positive
I was already excited for it.,0.34,Positive,0.375,Positive,0.3582774400711059,Positive
Next week me manohar aajay ga,0.0,Neutral,0.0,Neutral,0.2393348515033722,Neutral
Lefgamer x Risi gamer x JAZZ FF,0.5473,Positive,0.0,Neutral,0.3906288743019104,Positive
मनोहर कब वापस आएगा जल्दी मूवी भेजना,0.0,Neutral,0.0,Neutral,0.3027231693267822,Neutral
Wow you are so very nice face revil 😍😍😍😍,0.9594,Positive,0.44,Positive,0.8785014152526855,Positive
Jaldi lao,0.0,Neutral,0.0,Neutral,0.2541761994361877,Neutral
Manohar ko lekar aao,0.0,Neutral,0.0,Neutral,-0.4363569021224975,Negative
Aur yeay laoga kay,0.0,Neutral,0.0,Neutral,0.238078162074089,Neutral
YouTube,0.0,Neutral,0.0,Neutral,0.3540264368057251,Positive
Your videos best and very very very nice,0.8332,Positive,0.89,Positive,0.8360392451286316,Positive
তু গায়েব কারেগা তুছছে ডারতা হোকেয়া,-0.296,Negative,-0.2,Negative,-0.4067025184631347,Negative
😈😈😈😈😈😈😈,0.9638,Positive,0.0,Neutral,0.3085779249668121,Neutral
Iska dusra paath chahie,0.0,Neutral,0.0,Neutral,-0.2940658628940582,Negative
Jay Jay gamer ka sath club ga,0.0,Neutral,0.0,Neutral,0.3607254028320312,Positive
Bhai YouTube se monkey un kese.kare.and.apna account joint kase kare bro mere bhi chenal 1k ka please bro tell broo....,0.3182,Positive,-0.275,Negative,-0.5107361078262329,Negative
I am waiting for Manohar plz 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,-0.9978,Negative,0.0,Neutral,0.22685506939888,Neutral
oa vhai mhanohar   back aaayeegaaa love you bro💕💕😊😊😊,0.9846,Positive,0.25,Positive,0.4699454009532928,Positive
Are o gadhi ke bacche banoge wapas la,0.0,Neutral,0.0,Neutral,-0.3809639811515808,Negative
❤️❤️❤️❤️❤️❤️❤️❤️❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
