Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Cardi B is so cute here,0.5949,Positive,0.5,Positive,0.5996981263160706,Positive
mk ULTRA,0.0,Neutral,0.0,Netural,0.3491722047328949,Positive
"Personally, I think Selena would look a better as an anime character, but someone thought “nah let’s 16-bit this vid..”",0.2382,Positive,0.25,Netural,0.29301682114601135,Netural
"3:25  I love how DJ Snack dance  hahaha he's cute here  look he's  cool dance
Yall",0.9201,Positive,0.38749999999999996,Positive,0.5642063617706299,Positive
DJ snack looks cool and ozun and Selena and cardi b,0.3182,Positive,0.35,Positive,0.4431588649749756,Positive
I love them their are soo cute,0.8429,Positive,0.5,Positive,0.7152522802352905,Positive
I can watch it with my kids,0.0,Neutral,0.0,Netural,0.435019314289093,Positive
Yes,0.4019,Positive,0.0,Netural,0.3790786862373352,Positive
DJ Snake and Selena Gomez Selfish Love check out guys,0.2732,Positive,0.0,Netural,0.6200569272041321,Positive
Is somebody gonna tell me why does Selena keep touching her hair,0.0,Neutral,0.5,Positive,-0.3063408136367798,Negative
Worship step - ozuna,0.296,Positive,0.0,Netural,0.3462999165058136,Positive
Its fun hahahahah🤣🤣🤣,0.9169,Positive,0.3,Netural,0.484934538602829,Positive
Why were they jumping again and again🤣🤣?,0.7506,Positive,0.0,Netural,-0.39035508036613464,Negative
I'm here for new collab coming soon😚😚🇮🇳🇮🇳 lol they all look so cute...Selena dance is just so😚😚😍😍😍😍😅😅😅💜💜💜💜😘😘😘😘,0.9965,Positive,0.4681818181818182,Positive,0.5932990908622742,Positive
Taki Taki For Super Nintendo,0.5994,Positive,0.3333333333333333,Positive,0.33833032846450806,Positive
Cory on,0.0,Neutral,0.0,Netural,0.26042789220809937,Netural
And now we're waiting for Selfish Love,0.2732,Positive,0.0,Netural,0.6386351585388184,Positive
for kids,0.0,Neutral,0.0,Netural,0.37335264682769775,Positive
Cardi B so cute,0.5949,Positive,0.5,Positive,0.3712993264198303,Positive
selena is so cutee even as an animation 🥺,0.5949,Positive,0.5,Positive,0.6065505743026733,Positive
Selfish love coming 🥰,0.8555,Positive,0.0,Netural,0.6677870154380798,Positive
Dance,0.0,Neutral,0.0,Netural,0.3491361737251282,Positive
It's best,0.6369,Positive,1.0,Positive,0.5387921929359436,Positive
Nice DJ 🐍,0.4215,Positive,0.6,Positive,0.4858754873275757,Positive
Who love selina gomez,0.6369,Positive,0.5,Positive,0.631438136100769,Positive
SELFISH LOVE 🌹,0.2732,Positive,0.0,Netural,0.678956151008606,Positive
I loved,0.5994,Positive,0.7,Positive,0.6992748975753784,Positive
Who’s here after DJ Snake and Selena Gomez announced their new single #SelfishLove?,0.0,Neutral,0.032467532467532464,Netural,-0.28337693214416504,Negative
This is best than real one🤘,0.6369,Positive,0.6,Positive,0.6520658731460571,Positive
que gracioso  XD  8yyh0<u8j <z n8m  z893878734,0.8143,Positive,0.25,Netural,0.4558083117008209,Positive
Alguien escuchando este temazo en 2028?,0.0,Neutral,0.0,Netural,-0.5736061334609985,Negative
I love I love this song so much that it's very nice taki taki who made the song taki taki,0.9099,Positive,0.495,Positive,0.8084495067596436,Positive
DAN THE MAN,0.0,Neutral,0.0,Netural,0.36081260442733765,Positive
Make the same but they are reapers,0.0,Neutral,0.0,Netural,0.44616207480430603,Positive
"Soy yo?
O el instrumental es lo único que se escucha un poco a 8 bits?",0.4329,Positive,0.0,Netural,0.3981465995311737,Positive
0:36 in SHAREit video,0.0,Neutral,0.0,Netural,-0.5036302208900452,Negative
I,0.0,Neutral,0.0,Netural,0.24874816834926605,Netural
"0:55 
Beside the volcano",0.0,Neutral,0.0,Netural,-0.441638320684433,Negative
😂😂,0.7003,Positive,0.0,Netural,0.30857792496681213,Netural
Lol😂😂,0.8225,Positive,0.0,Netural,0.30857792496681213,Netural
Lol,0.4215,Positive,0.8,Positive,0.25069501996040344,Netural
Selena 🔥🔥,-0.5859,Negative,0.0,Netural,0.4026755392551422,Positive
"30% singing
70% dj snake doing dance moves",0.0,Neutral,0.0,Netural,-0.31437423825263977,Negative
Jajajaja😂😂😂😂😂😂,0.9468,Positive,0.2,Netural,0.30857792496681213,Netural
Very good editing,0.4927,Positive,0.9099999999999999,Positive,0.5257863998413086,Positive
Chui mort 🤣,0.4939,Positive,0.0,Netural,-0.35178977251052856,Negative
"All selena's MV that has views under 100M :
1. Baila Conmigo - 5,1M
2. Boyfriend (Doll Version) - 2,3M
3. Look At Her Now (The Alternative Vid) - 3M
4. Taki Taki (Animation Version) - 12M 
5. Hit The Light (Version 2) - 13M
6. Birthday - 16M
7. Lose You To Love Me (The Alternative Vid) - 19M
8. New Classic - 23M
9. Wolves (Vertical Video) - 27M
10. Trust Nobody - 29M
11. Past Life - 30M
12. Falling Down - 33M
13. Good For You (The ft Version) - 36M
14. De Una Vez - 47M 
15. Boyfriend - 61M
16. Rare - 88M

Let's str3am for Selena! She deserves atleast 100M! Let's go! Playlist on my channel pls check it out! Thank you and enjoy! ❤️",0.9357,Positive,0.3033218469416386,Netural,0.7490322589874268,Positive
Mm minecraft,0.0,Neutral,0.0,Netural,0.25006431341171265,Netural
Ozuna twerking 🤪,0.0,Neutral,0.0,Netural,0.25183385610580444,Netural
taki taki version habbo ._.,0.0,Neutral,0.0,Netural,-0.2915779650211334,Negative
"All selena's MV that has views under 100M :
1. Boyfriend (Doll Version) - 2,3M
2. Look At Her Now (The Alternative Vid) - 3M
3. Taki Taki (Animation Version) - 12M 
4. Hit The Light (Version 2) - 13M
5. Birthday - 16M
6. Lose You To Love Me (The Alternative Vid) - 19M
7. New Classic - 23M
8. Wolves (Vertical Video) - 27M
9. Trust Nobody - 29M
10. Past Life - 30M
11. Falling Down - 33M
12. Good For You (The ft Version) - 36M
13. De Una Vez - 40M 
14. Boyfriend - 61M
15. Rare - 88M

Let's stream for Selena! She deserves atleast 100M! Let's go playlist on my channel pls check it out! Thank you and enjoy! ❤️",0.9357,Positive,0.2870458052749719,Netural,0.7628435492515564,Positive
12.875.174M,0.0,Neutral,0.0,Netural,-0.23636998236179352,Negative
DJ SNAKE Grooving was the best thing !,0.6696,Positive,1.0,Positive,0.8094944953918457,Positive
3:25 Check it out the dance of DJ Snake,0.0,Neutral,0.0,Netural,0.2951505780220032,Netural
I never watch the seniors in the Philippines,0.0,Neutral,0.0,Netural,-0.46056509017944336,Negative
This is what graphics we play in Nokia mobile games😎,0.6597,Positive,0.0,Netural,0.656261146068573,Positive
My selena💚,0.6369,Positive,0.0,Netural,0.5787277817726135,Positive
Guys! Pls stream De Una Vez now! Thank you!,0.5684,Positive,0.0,Netural,0.7909325957298279,Positive
"All selena's MV that has views under 100M :
1. Taki Taki (Animation Version) - 12M
2. De Una Vez - 13M
3. Boyfriend (Doll Version) - 2,3M
4. Look At Her Now (The Alternative Vid) - 3M
5. Lose You To Love Me (The Alternative Vid) - 19M
6. Hit The Light (Version 2) - 13M
7. Birthday - 16M
8. New Classic - 23M
9. Wolves (Vertical Video) - 27M
10. Trust Nobody - 29M
11. Past Life - 30M
12. Falling Down - 33M
13. Good For You (The ft Version) - 36M
14. Boyfriend - 61M
15. Rare - 87M

Let's stream for Selena! She deserves atleast 100M! Let's go playlist on my channel pls check it out! Thank you and enjoy! ❤️",0.9357,Positive,0.2870458052749719,Netural,0.7777094841003418,Positive
12.863.244M,0.0,Neutral,0.0,Netural,-0.22140322625637054,Negative
Best graphics 👍🤣,0.8126,Positive,1.0,Positive,0.8887321949005127,Positive
Why ozuno not singing,0.0,Neutral,0.0,Netural,-0.589152991771698,Negative
EN NETFLIX,0.0,Neutral,0.0,Netural,0.3148656487464905,Netural
VIERON LA PELICULA DE MAMA DE SELENA GOMEZ SELENA QUINTANILLA,0.0,Neutral,0.0,Netural,0.34140217304229736,Positive
SI OZUNA FT CARDI B FT DJ SNAKE FT SELENA GOMEZ,0.0,Neutral,0.0,Netural,0.26411300897598267,Netural
&#&#^#;#*£÷*#(÷(÷(@*#*÷£÷€=_=€=7÷÷&#&#&#&#&×*×¥×( taki taki rumpaaa,0.0,Neutral,0.0,Netural,-0.3330738842487335,Negative
Every one is jumping so high🤣,0.4939,Positive,0.0,Netural,0.3807021379470825,Positive
Ozuna had rashed,0.0,Neutral,0.0,Netural,-0.3759288191795349,Negative
LINDO,0.0,Neutral,0.0,Netural,0.24885211884975433,Netural
how come i never knew about it,0.0,Neutral,0.0,Netural,0.5180495977401733,Positive
"All selena's MV that has views under 100M :
1. Boyfriend (Doll Version) - 2,3M
2. Look At Her Now (Alternative Vid) - 3M
3. Lose You To Love Me (Alternative Vid) - 18M
4. Taki Taki  (Animation Version) - 12M
5. Hit The Light (Version 2) - 13M
6. Birthday - 16M
7. New Classic - 23M
8. Past Life - 29M
9. Trust Nobody - 29M
10. Falling Down - 33M
11. Good For You (Featuring Version) - 36M
12. Boyfriend - 60M
13. Rare - 86M

If you feel like you wanted to help streaming, playlist on my channel pls check it out! Thank you and enjoy! ❤️",0.9577,Positive,0.2636083052749719,Netural,0.5976244211196899,Positive
12.835.749M,0.0,Neutral,0.0,Netural,-0.2495911866426468,Negative
🔥cool,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Love this song  bro DJ 🐍,0.6369,Positive,0.5,Positive,0.7858151197433472,Positive
@DJ Snake Awesome song,0.6249,Positive,1.0,Positive,0.7551749348640442,Positive
I am Your big Fan DJ Snake!,0.3802,Positive,0.0,Netural,0.8046354651451111,Positive
ateez,0.0,Neutral,0.0,Netural,-0.3946099877357483,Negative
Any indian here,0.0,Neutral,0.0,Netural,0.36295509338378906,Positive
"*someday someone will find this comment*
.
.
👇
*if you found it then i wish  you luck for the rest of your life* 💙💙💙",0.9601,Positive,0.0,Netural,0.2725474536418915,Netural
mac miller,0.0,Neutral,0.0,Netural,0.26215824484825134,Netural
This is so damn CRINGE FFS,-0.8514,Negative,0.0,Netural,-0.7015429139137268,Negative
🤟🤟🤟🤟🤟🤘🤘🤘🤟🤟🤟🤘🤘🤘,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
J’aime beaucoup taki taki,0.4201,Positive,0.2,Netural,0.5719151496887207,Positive
DJ Snake x Selena Gomez x Cardi B x Ozuna 🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤,0.9928,Positive,0.0,Netural,0.3071635961532593,Netural
Earthbound Vibes,0.0,Neutral,0.0,Netural,0.3786373436450958,Positive
2020 anyone?,0.0,Neutral,0.0,Netural,-0.47932031750679016,Negative
perfvekt musıc,0.0,Neutral,0.0,Netural,0.26302626729011536,Netural
Evreyone become 90's game graphics. 😂😂,0.7003,Positive,-0.4,Negative,0.4738742411136627,Positive
1:18 The New Avatars,0.0,Neutral,0.13636363636363635,Netural,0.3602707087993622,Positive
Who is in 2020?,0.0,Neutral,0.0,Netural,-0.25372111797332764,Negative
So cool,0.3804,Positive,0.35,Positive,0.67906254529953,Positive
Haha,0.4588,Positive,0.2,Netural,-0.40259507298469543,Negative
"Vshxhxjdkja.....

.........",0.0,Neutral,0.0,Netural,-0.4326092302799225,Negative
Shhffbbdhshhdhsyfyhfhfufufhfhhfhffh,0.0,Neutral,0.0,Netural,-0.26350700855255127,Negative
Uydyyeyfhryhf,0.0,Neutral,0.0,Netural,0.23523488640785217,Netural
Svbsjdfdgjshdjs💙❤🧡🧡💚💜💛🖤,0.9887,Positive,0.0,Netural,0.30857792496681213,Netural
Yaaaaa yaya,0.0,Neutral,0.0,Netural,-0.33177974820137024,Negative
So we are we back in the mine,0.0,Neutral,0.0,Netural,0.3731132447719574,Positive
Creepy aaa man,0.0,Neutral,-0.5,Negative,0.4637012481689453,Positive
Jdk,0.0,Neutral,0.0,Netural,0.24588236212730408,Netural
Even though it's cartoon it's 18+ for kids now 😂😂,0.7003,Positive,0.0,Netural,0.3404317796230316,Positive
this is the best song,0.6369,Positive,1.0,Positive,0.8339566588401794,Positive
Todos ablan es idiomas que no son dr bolivia😐😐🤨,0.0,Neutral,0.0,Netural,-0.48060837388038635,Negative
I like this 🎧,0.3612,Positive,0.0,Netural,0.6525714993476868,Positive
"Understand : 0%
Enjoy : 100% 
Beats awesomeness : 1000%",0.4939,Positive,0.4,Positive,0.8744773268699646,Positive
I wanna watch this video all day,0.0,Neutral,0.0,Netural,0.6632207036018372,Positive
"You have to listen this 
https://youtu.be/vRqzshbIO8Q",0.0,Neutral,0.0,Netural,-0.2680045962333679,Negative
supernatural theneedledrop tamilsongs,0.0,Neutral,0.16666666666666666,Netural,0.22977536916732788,Netural
I like part he says taki taki,0.3612,Positive,0.0,Netural,0.413692444562912,Positive
"You called me, but what do you need",0.0,Neutral,0.0,Netural,0.2570154070854187,Netural
Jajajaja,0.4215,Positive,0.8,Positive,0.2831229269504547,Netural
I wanna watch this video all day,0.0,Neutral,0.0,Netural,0.6632207036018372,Positive
I wanna watch this video all day,0.0,Neutral,0.0,Netural,0.6632207036018372,Positive
sans,0.0,Neutral,0.0,Netural,0.2860032916069031,Netural
"nadie: 
Absolutamente nadie:





Taki taki movistar",-0.296,Negative,0.2,Netural,-0.8510884642601013,Negative
Calidad esa canción mi canción favorita,0.4588,Positive,0.5,Positive,0.7606224417686462,Positive
😂😂damnnn cute,0.6124,Positive,0.5,Positive,0.4211750328540802,Positive
"Pj masks 2
Ep 22 (2)",0.0,Neutral,0.0,Netural,0.3031657636165619,Netural
"Doraemon
Ep 710",0.0,Neutral,0.0,Netural,0.317574679851532,Netural
"1:30 
I wrote this just to repeatedly see cardi b bending scene... that soo funny 😂",0.7003,Positive,0.25,Netural,-0.31743288040161133,Negative
EU GOSTO DA MÚSICA DO TAKI TAKI,0.3612,Positive,0.0,Netural,0.47487860918045044,Positive
Me Encanta esta canción es una de mis favoritas xd,0.8957,Positive,0.5,Positive,0.8497477769851685,Positive
I think this is better version for kids 😂😂😉,0.8271,Positive,0.5,Positive,0.45719653367996216,Positive
I wanna watch this video all day,0.0,Neutral,0.0,Netural,0.6632207036018372,Positive
khatam,0.0,Neutral,0.0,Netural,0.2279295027256012,Netural
parece del juego dan the man,0.3612,Positive,-0.4,Negative,0.30946412682533264,Netural
baby,0.0,Neutral,0.0,Netural,0.4427248537540436,Positive
lindsay ellis,0.0,Neutral,0.0,Netural,0.2858806848526001,Netural
"0:40 *inserte a Ozuna de un AU donde se convierte en Canela, (no en la de Animal Crossing)*",0.0,Neutral,0.0,Netural,-0.6720107197761536,Negative
jajajajajjajjaja,0.0,Neutral,0.0,Netural,0.2927360236644745,Netural
waduheck wierd,-0.1779,Negative,-0.5,Negative,0.25461626052856445,Netural
tyga,0.0,Neutral,0.0,Netural,0.2503340244293213,Netural
bhad bhabie,0.0,Neutral,0.0,Netural,0.2781570255756378,Netural
Virus 19,0.0,Neutral,0.0,Netural,-0.2910800874233246,Negative
Mvmvmun,0.0,Neutral,0.0,Netural,0.23116935789585114,Netural
Taki iland i miss you🥺💜,0.5574,Positive,0.0,Netural,0.2851008474826813,Netural
Super,0.5994,Positive,0.3333333333333333,Positive,0.7829087972640991,Positive
🤟🤟🤟🤩🤩🤩 👍👍👍❤️❤️❤️🔥🎉🎉🎉,0.6908,Positive,0.0,Netural,0.34280773997306824,Positive
So good,0.4927,Positive,0.7,Positive,0.6291981339454651,Positive
Amazing😂👌👍,0.9158,Positive,0.0,Netural,0.30857792496681213,Netural
Cool~,0.3182,Positive,0.35,Positive,0.4593924880027771,Positive
Вауууу это круто,0.7269,Positive,0.22499999999999998,Netural,-0.41756579279899597,Negative
taki taki taki taki,0.0,Neutral,0.0,Netural,-0.390874445438385,Negative
"3:03

This song is amazing!
And the 8-bit animation ^-^",0.6239,Positive,0.7500000000000001,Positive,0.7674622535705566,Positive
pa pai cool,0.3182,Positive,0.35,Positive,0.3372404873371124,Positive
Growtopia :D,0.6166,Positive,1.0,Positive,0.2914283275604248,Netural
Who finds it funny and cute,0.7096,Positive,0.375,Positive,0.43096429109573364,Positive
waow,0.5859,Positive,0.1,Netural,0.2515537738800049,Netural
animation,0.0,Neutral,0.0,Netural,0.3563903868198395,Positive
Taki taki rumba oooooo,0.0,Neutral,0.0,Netural,0.2996506690979004,Netural
Que,0.0,Neutral,0.0,Netural,0.2669675052165985,Netural
King of music dj snake,0.0,Neutral,0.0,Netural,0.5946679711341858,Positive
😂😂🤣🤣👍😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣🤣🤣,0.9961,Positive,0.0,Netural,0.30857792496681213,Netural
Why this music Good The Beta WR,0.4404,Positive,0.7,Positive,0.4633399248123169,Positive
❤❤❤❤,0.9571,Positive,0.0,Netural,0.30857792496681213,Netural
Hello,0.0,Neutral,0.0,Netural,0.561444878578186,Positive
Get well soon Selena :),0.6249,Positive,0.5,Positive,0.5320442914962769,Positive
Kenapa gak bisa di downloads,0.0,Neutral,0.0,Netural,0.2888299822807312,Netural
agtredda,0.0,Neutral,0.0,Netural,0.3217955529689789,Netural
Awwww Selena ❤️,0.0,Neutral,0.5,Positive,0.33414700627326965,Positive
😏🐱🎧🎤🎤🎤🎤,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
euphoria,0.6486,Positive,0.0,Netural,0.25245508551597595,Netural
Taki Taki Kawasaki. Ahhhhhhhhhh,0.0,Neutral,0.0,Netural,0.3101500868797302,Netural
Que le pasa a ozuna tienen cara de drogado jajjja😂🤣😁😀😄😎😋😊,0.9766,Positive,-0.15,Negative,-0.6994550824165344,Negative
me encanta,0.6369,Positive,0.5,Positive,0.7738614678382874,Positive
"HAVE NO FEAR!
SPIDER SELENA IS HERE!
🤣🤣🤣🤣🤣",0.9596,Positive,0.0,Netural,0.6757795810699463,Positive
Wtf is Selena doing?🤣🤣🤣,0.7003,Positive,-0.5,Negative,-0.2737131714820862,Negative
Why the fuck is this so funny???🤣🤣🤣🤣🤣,0.95,Positive,-0.4,Negative,-0.6074150204658508,Negative
Wow hahaha 😆😂 it's so funny,0.9432,Positive,0.18333333333333335,Netural,0.8075500726699829,Positive
Good,0.4404,Positive,0.7,Positive,0.49696317315101624,Positive
Taki taki versión 8bit,0.0,Neutral,0.0,Netural,-0.28445035219192505,Negative
ONO 1,0.0,Neutral,0.0,Netural,0.28385990858078003,Netural
Don't get angry at me but I don't think I heard DJ snake sing-,0.2146,Positive,-0.5,Negative,0.3940439522266388,Positive
Hola buenos días,0.4404,Positive,0.7,Positive,0.359668105840683,Positive
♥️♥️♥️♥️👄👄👄,0.9571,Positive,0.0,Netural,0.30857792496681213,Netural
redlettermedia,0.0,Neutral,0.0,Netural,0.3531562089920044,Positive
https://www.youtube.com/channel/UC6FTfwvZDLhCY7Q1USR9uMA,0.0,Neutral,0.0,Netural,-0.26576268672943115,Negative
Kawai AF!!!!!!!!!!!!!!!,0.0,Neutral,0.0,Netural,-0.6656948924064636,Negative
DJ snake eu gosto de você e gosto do seu irmão DJ balve,0.6124,Positive,0.0,Netural,0.49835851788520813,Positive
Why this is tousan like but in real milion,0.1901,Positive,0.2,Netural,-0.2861291170120239,Negative
I don't know about you guys but this music makes me feel like I want to move my hips with the dad like taki taki know it makes you feel amazing just listen without any sound in the house just to make you feel like you wanted answers shake your body just feels amazing so you boys it going to make you feel that you're going to sell sign or something like that girl you move your head too badly really bad like amazing,0.9742,Positive,0.3000000000000001,Netural,0.35664495825767517,Positive
Don't know about you guys but like this music makes me feel absolutely amazing at makes no moves my body moves with their hit an amazing,0.923,Positive,0.6000000000000001,Positive,0.756518542766571,Positive
Me to it is cute,0.4588,Positive,0.5,Positive,0.4265805184841156,Positive
🙅,-0.4466,Negative,0.0,Netural,0.30857792496681213,Netural
Minecraft Action Song By D J Snake 😃😃😃,0.7579,Positive,0.1,Netural,0.3655112683773041,Positive
"""              """,0.0,Neutral,0.0,Netural,0.24370749294757843,Netural
"Other artists: Upload an audio version of their song
DJ Snake: Uploads a super mario version of the OG Video",0.5994,Positive,0.10416666666666666,Netural,-0.27071264386177063,Negative
3:34,0.0,Neutral,0.0,Netural,0.3209870755672455,Netural
football,0.0,Neutral,0.0,Netural,0.29609009623527527,Netural
Quarantine.  take care I mean TAKI care  🤣,0.8625,Positive,-0.3125,Negative,-0.49419859051704407,Negative
"Pol
Nhvmhnvh",0.0,Neutral,0.0,Netural,0.21873173117637634,Netural
Kkkkkkkk,0.0,Neutral,0.0,Netural,0.24864965677261353,Netural
1:21 This dance looks cute and funny 😍😂,0.8957,Positive,0.375,Positive,0.5537880659103394,Positive
Sth dyis,0.0,Neutral,0.0,Netural,0.2835395038127899,Netural
😁😁😁😁😁😁😁😍😍😍😂😂😂😂😏😂,0.9915,Positive,0.0,Netural,0.30857792496681213,Netural
",",0.0,Neutral,0.0,Netural,0.25913411378860474,Netural
give that man a raise who made this,0.0,Neutral,0.0,Netural,0.5253210663795471,Positive
