Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
😭😭just say lalisa love me lalisa love me🫰🏻🫰🏻🫰🏻🫰🏻🫰🏻🫰🏻🫰🏻,0.4939,Positive,0.5,Positive,0.7796759009361267,Positive
Lalisa Lalisa Lalisa Lalisa,0.0,Neutral,0.0,Neutral,-0.2591478824615478,Negative
Say Lalisa love me Lalisa love me,0.8555,Positive,0.5,Positive,0.7157924771308899,Positive
Our beautiful little pretty queen,0.7787,Positive,0.3041666666666666,Neutral,0.7685827016830444,Positive
Lisa i love youu,0.6369,Positive,0.5,Positive,0.8085408210754395,Positive
Best song ever!!!,0.7249,Positive,1.0,Positive,0.9564169645309448,Positive
Never stop listening,0.2235,Positive,0.0,Neutral,-0.3830046057701111,Negative
Hau,0.0,Neutral,0.0,Neutral,0.2947559058666229,Neutral
Can we appreciate the fact that Lisa delighted her fans in Thailand by wearing the traditional golden headdress in the music video?? You go girlllll!!,0.7872,Positive,0.3895833333333333,Positive,0.2742641866207123,Neutral
Omg black pink🤗,0.4215,Positive,-0.1666666666666666,Negative,0.2435755133628845,Neutral
"L: Laughter Queen
I: Incredible Singer
S: Superior Idol
A: Adorable Vocals
Lisa is the definition of perfection.",0.8946,Positive,0.7000000000000001,Positive,0.8061397671699524,Positive
🥵,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
0:40 my favourite,0.0,Neutral,0.0,Neutral,0.7109188437461853,Positive
0ต,0.0,Neutral,0.0,Neutral,-0.6223742961883545,Negative
Day two for Lisa,0.0,Neutral,0.0,Neutral,0.2833352088928222,Neutral
From day three,0.0,Neutral,0.0,Neutral,0.2840313911437988,Neutral
I love lisa,0.6369,Positive,0.5,Positive,0.7757072448730469,Positive
Beautiful,0.5994,Positive,0.85,Positive,0.7432551383972168,Positive
1:20 my favorite part ❤️,0.4588,Positive,0.5,Positive,0.8460214138031006,Positive
❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
i really love it💓,0.9348,Positive,0.5,Positive,0.8760644793510437,Positive
ياربيي اموتت علييكك❤😩,0.296,Positive,0.0,Neutral,0.2745466232299804,Neutral
Happy New Year,0.5719,Positive,0.4681818181818182,Positive,0.6392757296562195,Positive
Hi plssss views this lalisa,0.0,Neutral,0.0,Neutral,0.4057981371879577,Positive
This song needs more views,0.0,Neutral,0.5,Positive,-0.34126016497612,Negative
"""Being the greatest of all time ain't fabtasy""~lalisa💗",0.0808,Positive,1.0,Positive,0.5729599595069885,Positive
"Best body
Best girl
Best idol
Best woman
Best human
Best dancer
Global it girl
Lisa perfect",0.9847,Positive,0.7777777777777778,Positive,0.8966355323791504,Positive
"She's a literal queen, living without a crown",0.0,Neutral,0.0,Neutral,-0.3096522986888885,Negative
