Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Essa música é sensacional 👏👏😍💕,0.9022,Positive,0.6000000000000001,Positive,0.6633164882659912,Positive
Nice voic,0.4215,Positive,0.6,Positive,0.4577459394931793,Positive
Is this spanish?,0.0,Neutral,0.0,Neutral,-0.445861279964447,Negative
Amo essa musica ♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️💖💖💖🧡,0.9982,Positive,0.9666666666666668,Positive,0.6332128047943115,Positive
1:38 lo mejor 🔥❤️,0.4215,Positive,1.0,Positive,0.7205756902694702,Positive
This song will never get old!!! Many people come back listening to this masterpiece in everyday ♡,0.7751,Positive,0.123828125,Positive,0.8459086418151855,Positive
superb,0.6249,Positive,1.0,Positive,0.814047634601593,Positive
I don't understand but i enjoy it and i like  daddy yankee songs,0.8201,Positive,0.4,Positive,0.5613349676132202,Positive
Now I Know Why We Have 2 Ears (:,0.4939,Positive,0.0,Neutral,0.2428365796804428,Neutral
I love Snow's rhymes,0.6369,Positive,0.5,Positive,0.6181465983390808,Positive
Song Beeutifui ❤️🇭🇷🌞🌍🙋,0.4939,Positive,0.0,Neutral,0.2797667980194092,Neutral
Power that song,0.0,Neutral,0.0,Neutral,0.6057154536247253,Positive
J'ai aimé cette musique 🥰,0.8779,Positive,0.6,Positive,0.5226374268531799,Positive
Good song,0.4404,Positive,0.7,Positive,0.5417960286140442,Positive
Reggeaton qué vale la pena...,0.2263,Positive,0.3,Positive,0.5182207226753235,Positive
I came here because I used to listen to Snow's Informer in the 1990's haha,0.4588,Positive,0.2,Positive,0.3145405948162079,Neutral
すごい素晴らしい曲大好きです🍒❤️,0.8402,Positive,0.55,Positive,0.6478577256202698,Positive
GOSTO muito<3,0.6597,Positive,1.0,Positive,0.5261451005935669,Positive
I Love💗💗💗💝💝💝,0.9877,Positive,0.0,Neutral,0.3422314524650574,Positive
Amo essa música ñ consigo parar de ouvir boa de mais cara kkk,0.8954,Positive,0.6666666666666666,Positive,0.3045539557933807,Neutral
I speak English and learned how to pronounce song. I’m proud,0.4767,Positive,0.4,Positive,0.7392374277114868,Positive
