Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
The free robux is fake,0.0516,Positive,-0.0499999999999999,Negative,-0.6957269310951233,Negative
I LOVE YOUR VIDS CRAFTY,0.6369,Positive,0.45,Positive,0.7873981595039368,Positive
Umm craftee i think u should look on ur comments they are kinda weird,-0.1045,Negative,-0.5,Negative,0.5140103697776794,Positive
"Craftee: it's like an ice 🧊 blaze


Me: I thought that",0.3612,Positive,0.0,Neutral,0.2931637465953827,Neutral
Fake fake fake fake fake,-0.9382,Negative,-0.5,Negative,-0.8245760202407837,Negative
"Craftee : To ascend the-
Me: I found Dio guys he trying to ascend heaven again",0.5106,Positive,0.0,Neutral,0.237635001540184,Neutral
"One of the best thing about dude is that he
never takes credit for himself when he archives
We congratulate overselves on this achievement
something He always respect us, the audience.
and his team and he is polite in all his videos
more to come",0.8525,Positive,0.75,Positive,0.8020943999290466,Positive
Do you want Craftee to do a name and face reveal when he hits 3 mil???,0.212,Positive,0.0,Neutral,-0.3556931614875793,Negative
"U guys see that one stack of steak,? At the start?",0.0,Neutral,0.0,Neutral,-0.3562211394309997,Negative
"One of the best thing about dude is that he
never takes credit for himself when he archives
We congratulate overselves on this achievement
something He always respect us, the audience.
and his team and he is polite in all his videos
more to come",0.8525,Positive,0.75,Positive,0.8020943999290466,Positive
"hey craftee, i am a big fan and try to watch youre videos as fast as possible, but what i miss is something you said in a video; do like a 100 days series (or hardcore world or something) so im asking that to make that happend :D. also keep the good work up, youre videos are the best.",0.928,Positive,0.38,Positive,0.367506742477417,Positive
Haaaaaaaaaaaaaaaaaaaaaaaaaaaa,0.0,Neutral,0.0,Neutral,-0.5372394919395447,Negative
MADEDO IN HEAVEN,0.5106,Positive,0.0,Neutral,0.4607440233230591,Positive
mighty craftee! we subscricbed you!❤,0.6988,Positive,0.5,Positive,0.9083860516548156,Positive
yor nat maytiy😆😆😆😆😆😆,0.9186,Positive,0.0,Neutral,0.2384032607078552,Neutral
❤❤❤❤,0.9571,Positive,0.0,Neutral,0.3085779249668121,Neutral
Craftee Do  Herat  to the next week,0.0,Neutral,0.0,Neutral,0.2991237640380859,Neutral
Craftee's real name is parker,0.0,Neutral,0.2,Positive,0.2933413386344909,Neutral
"Craftee: I AM MIGHTY!

Portal:nope

Craftee:it is just the wind, i wont let me go in",0.0,Neutral,0.5,Positive,-0.4464089572429657,Negative
That is a big boss in minecraft?,0.0,Neutral,0.0,Neutral,-0.2958841025829315,Negative
1:08 Fungus Monster,0.0,Neutral,0.0,Neutral,-0.2313819378614425,Negative
"BOSSES with pokemon name
1:00 amoongus
2:45 zapdos
6:40 clesteela
9:49 galarian wheezing
 11:53 2 headed shiny charizard",0.0,Neutral,0.0,Neutral,-0.2610912024974823,Negative
brb,0.0,Neutral,0.0,Neutral,0.2645633220672607,Neutral
I have bought everything you own in minecraft,0.0,Neutral,0.6,Positive,0.6468127965927124,Positive
"Firstable you didn't even make bosses
Secondable you missed one rule
Thirdable listen to the rules of how to make bosses
First, they need to be very cool (Checked)
Second, do not steal Addons and make them into bosses (Checked)
Third, give them health bars like the wither and the ended dragon (Unchecked)
THERE ARE *N O  B O S S E S*",0.6727,Positive,0.17625,Positive,-0.3301248252391815,Negative
This is madness it's soooo good video:D,0.0,Neutral,0.7,Positive,0.2804210484027862,Neutral
The time you said jungle ghast dragon it was so funny that i had to put it on loop,0.5777,Positive,0.25,Positive,-0.3046448230743408,Negative
Can to you make video but with face reveal plz plz plz plz plz plz plz plz plz plz 👉👈👉👈🦁🦁,0.7579,Positive,0.0,Neutral,0.2860175967216491,Neutral
I thought you get strenths not getting items.,0.0,Neutral,0.0,Neutral,-0.3576608896255493,Negative
BRO YOU SAY F,0.0,Neutral,0.0,Neutral,-0.2466505765914917,Negative
im day good!,0.4926,Positive,0.875,Positive,0.4386914670467376,Positive
Preston unsubscribed to you when you trapped him in lava prison,-0.7717,Negative,-0.2,Negative,-0.3788968622684479,Negative
jjm,0.0,Neutral,0.0,Neutral,0.2414916902780532,Neutral
oh great Craftee is a god now,0.7351,Positive,0.8,Positive,0.8211503028869629,Positive
Why does he have 64 beef in inventory at start,0.0,Neutral,0.0,Neutral,-0.3861978352069855,Negative
Craftee you'r discord link? Give me pls,-0.34,Negative,0.0,Neutral,0.2962231934070587,Neutral
"Hey Parker, I just want to thank you. Ever since you started uploading on the ParkerGames, I watched you. I was 14. Now I’m 22 and still love your content. I grew up watching you and you are a part of my childhood and now my adulthood, and this is something I could never pay back. You completely deserve all of your subscribers and am very happy for you! We need MamaGames to come in at one point 😂",0.938,Positive,0.4,Positive,0.9183804988861084,Positive
how about these craftee: minecraft but cows beaat the game for you,0.0,Neutral,-0.4,Negative,0.2548093199729919,Neutral
Noo! I love birds!,0.6988,Positive,0.625,Positive,0.7200884222984314,Positive
yay!! another day another vlog,0.6103,Positive,0.0,Neutral,-0.4044577777385711,Negative
Thats facts man,0.0,Neutral,0.0,Neutral,0.3439732193946838,Positive
Craftee is so funny,0.5777,Positive,0.25,Positive,0.6703671216964722,Positive
Plus there is a new mod of dinosaurs in Minecraft! It has the new hybrid dinosaur! Scorpius-rex!,0.0,Neutral,0.199810606060606,Positive,0.4859053194522857,Positive
"Can u make a video were there are dinosaurs? U can search jurrasic world, jurrasic world fallen kingdom, and jurrasic dominion!",-0.4199,Negative,0.0,Neutral,0.2339337319135666,Neutral
"Each boss 
Cannon blaze 
The hardheaded ghast
Fomshroom
Time hearted zombie
All the way to ender dragtongon of doom",-0.4019,Negative,0.0,Neutral,-0.4363018870353699,Negative
Crafty,0.0,Neutral,0.4,Positive,0.439226895570755,Positive
Bozo,0.0,Neutral,0.0,Neutral,-0.4630492627620697,Negative
what about sheepstax,0.0,Neutral,0.0,Neutral,-0.2271163612604141,Negative
good vid,0.4404,Positive,0.7,Positive,0.4749829769134521,Positive
Crafter my man my fav YouTuber you are the BEST YOUTUBER ever,0.8374,Positive,1.0,Positive,0.940159797668457,Positive
Go  craftee,0.0,Neutral,0.0,Neutral,0.3870183527469635,Positive
No,-0.296,Negative,0.0,Neutral,-0.531922459602356,Negative
... :),0.4588,Positive,0.5,Positive,0.3655546307563782,Positive
Cringe,0.0,Neutral,0.0,Neutral,-0.4394421875476837,Negative
HES POOPIN PURPLE-craftee 2022,0.0,Neutral,0.0,Neutral,0.2558462023735046,Neutral
Where did you get the steak from?,0.0,Neutral,0.0,Neutral,-0.3616326153278351,Negative
💞💕💌💟❣️,0.9726,Positive,0.0,Neutral,0.3085779249668121,Neutral
"Where I am right it's very windy and raining heavily,and craftee brought up both of those things as they started",0.0,Neutral,0.2428571428571428,Positive,0.3594833016395569,Positive
Loooool,0.4215,Positive,0.8,Positive,0.2400197088718414,Neutral
hey craftee i got a question do u play roblox?,0.34,Positive,0.0,Neutral,-0.2951978147029876,Negative
@craftee where can we download these datapacks if they are datapacks sure😅,0.5859,Positive,0.0,Neutral,0.2387069165706634,Neutral
New lava Sprite limited edition and come get it,-0.2263,Negative,0.0324675324675324,Positive,0.7027775049209595,Positive
You get so many subs and no likes bearly,-0.3252,Negative,0.5,Positive,0.375166118144989,Positive
Crafty please make more of these Elemental videos because they look so cool with you you are the most awesomest person I ever knew please make more videos,0.7644,Positive,0.45,Positive,0.8196951150894165,Positive
