Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
It's the best opening song ever kpop,0.6369,Positive,1.0,Positive,0.7760857343673706,Positive
"It has been 5yrs AND GOT ""140crore"" WOW ❤️",0.6739,Positive,0.1,Positive,0.3902921378612518,Positive
"Blackpink ustedes son unas diosas, ojalan vuelvan a cantar💕, y ojala que algun dia las conozca💜🖤❤️💙🧡💛",0.9862,Positive,0.0,Neutral,0.2823360860347748,Neutral
my first k-pop stan,0.0,Neutral,0.25,Positive,0.5009671449661255,Positive
Muito bomm cara,0.4927,Positive,0.91,Positive,0.6243935227394104,Positive
why  you four  dosent  make new video/,0.0,Neutral,0.1363636363636363,Positive,0.3376567959785461,Positive
IM    a fannnnnnnn,0.0,Neutral,0.0,Neutral,0.242696538567543,Neutral
Son geniales mi prima sa sabe todas sus canciones,0.6249,Positive,0.8,Positive,0.7972875237464905,Positive
Hello 💖💖,0.9153,Positive,0.0,Neutral,0.6239954829216003,Positive
미국가야 너휘들,0.0,Neutral,0.0,Neutral,-0.4692234396934509,Negative
The only Female Adisl in Hislory io have 1b views on Dehul song!,0.0,Neutral,0.0,Neutral,-0.3750951886177063,Negative
JISOOOOOOOO,0.0,Neutral,0.0,Neutral,0.2445647716522216,Neutral
🎉🎉,0.6597,Positive,0.0,Neutral,0.3085779249668121,Neutral
Uno de los mejores debuts de la historia !!!!!!!!!Blackpink in You area💗🖤,0.9474,Positive,1.0,Positive,0.926355242729187,Positive
How you like that 🙂,0.6378,Positive,0.0,Neutral,0.685585081577301,Positive
Me encanta esta canción 😙,0.8979,Positive,0.5,Positive,0.7863094806671143,Positive
놀랍습니다. 나는 이런 것을 들어본 적이 없습니다.,0.743,Positive,0.6000000000000001,Positive,-0.7556500434875488,Negative
hermosas 🥰,0.9042,Positive,0.85,Positive,0.6984395980834961,Positive
😍❗😍😍😍😍😫😍,0.9337,Positive,0.0,Neutral,0.3085779249668121,Neutral
Cool,0.3182,Positive,0.35,Positive,0.4904145896434784,Positive
Vovv,0.0,Neutral,0.0,Neutral,0.265089213848114,Neutral
ممهدين الطࢪيقق,0.0,Neutral,0.0,Neutral,0.4318344891071319,Positive
"Hey Blinks this is a message for all of us. As you know DDU DU DDU DU have 1.8 billion views, so let's make it 2 billion. And it will be a record of first group of kpop to reach 2 billion views. Hope you will share this message and make BL proud of us.",0.9068,Positive,0.525,Positive,0.7554168701171875,Positive
I love blackpink,0.6369,Positive,0.5,Positive,0.7265112400054932,Positive
I love lisa,0.6369,Positive,0.5,Positive,0.7757072448730469,Positive
ICONIC,0.0,Neutral,0.5,Positive,0.7523034811019897,Positive
Proo,0.0,Neutral,0.0,Neutral,0.2707707285881042,Neutral
ارجانتاتاليننحنفشلفالتحت,-0.5423,Negative,-0.5,Negative,-0.2547575831413269,Negative
Love rosé's voice,0.6369,Positive,0.5,Positive,0.5653319954872131,Positive
Son las mejores,0.6369,Positive,1.0,Positive,0.8582122921943665,Positive
Love💜🖤,0.9274,Positive,0.0,Neutral,0.3085779249668121,Neutral
love love love love love love,0.9803,Positive,0.5,Positive,0.770626962184906,Positive
Doğum günü şarkısı seçildi <3,0.4404,Positive,1.0,Positive,0.3191101253032684,Neutral
Love Jennie Kim.  Allá the way from México.,0.6369,Positive,0.5,Positive,0.7468338012695312,Positive
My granddaughter only stays in this blakpink,0.0,Neutral,0.0,Neutral,-0.3725901246070862,Negative
jisoo,0.0,Neutral,0.0,Neutral,0.2482283562421798,Neutral
jisoo,0.0,Neutral,0.0,Neutral,0.2482283562421798,Neutral
