Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"Listening all the way from SA♥♥♥♥ ,",0.9571,Positive,0.0,Netural,0.38461387157440186,Positive
"I'm leaving this comment here so after a month or a year
when someone likes it, I get reminded of this song❤️",0.4215,Positive,0.0,Netural,-0.2782900929450989,Negative
sahi aper gud,0.0,Neutral,0.2857142857142857,Netural,-0.26117607951164246,Negative
love indian songs,0.6369,Positive,0.5,Positive,0.5580951571464539,Positive
207M sub 🥺,0.0,Neutral,0.0,Netural,0.2689723074436188,Netural
"11:02 Honey, you dropped this lover!",0.6996,Positive,0.0,Netural,-0.4159180819988251,Negative
I will be watching with nora super dancer,0.5994,Positive,0.3333333333333333,Positive,0.7083778977394104,Positive
Sorry,-0.0772,Negative,-0.5,Negative,-0.5370847582817078,Negative
Bhai maina to sarswati puja ma a gana bajaa to maja a gaya,0.6249,Positive,0.5,Positive,0.26993411779403687,Netural
"Right, *,,, ⭐⭐⭐⭐⭐",0.0,Neutral,0.2857142857142857,Netural,0.3475385904312134,Positive
I love india,0.6369,Positive,0.5,Positive,0.7777019739151001,Positive
😆😆😆😆😆😆😆😆😆😆😆😀😀😀😀😀😀,0.9887,Positive,0.0,Netural,0.30857792496681213,Netural
Hello legends,0.0,Neutral,0.0,Netural,0.6172789335250854,Positive
Jabardast Songs,0.6249,Positive,0.8,Positive,0.24708054959774017,Netural
Ultra legend pro are watching this video on 2022 😂,0.4404,Positive,0.0,Netural,0.5873425602912903,Positive
"I am leaving this comment here so whenever anyone hit like on this comment,  I get reminded of this song ❤❤❤❤",0.9652,Positive,0.0,Netural,-0.24811047315597534,Negative
Can I get a 1:08,0.0,Neutral,0.0,Netural,0.23075060546398163,Netural
good 😊 DAY,0.836,Positive,0.7,Positive,0.5106996893882751,Positive
Listening this song is on February 2022😍🤩,0.4588,Positive,0.0,Netural,0.27247411012649536,Netural
Ultra pro Max legands are watching this video in February 2022😂💍💦,0.4404,Positive,0.0,Netural,0.4869976043701172,Positive
Blue eyes nhi hai kya,0.0,Neutral,0.0,Netural,0.2749790549278259,Netural
"I'm from Omicron Persei 8, but I really love Indian music.",0.8042,Positive,0.5,Positive,0.41274163126945496,Positive
Marathi sindhi .,0.0,Neutral,0.0,Netural,0.3201817274093628,Netural
"Mere mulk ka budget 3 trillion dollars hai  , chahe woh haraam main hi kyun na ho kharch karne ke liye hi hai  , magar ye politicians chupa kyun lete hai  , jaise agle saal awaam tax pay nahin karegi.",-0.1027,Negative,-0.16666666666666669,Negative,-0.6729739904403687,Negative
Nora fatehi ki career John abhraham ki movie rocky handsome se shuru hui .,0.4939,Positive,0.5,Positive,0.35639357566833496,Positive
anyone in 2025?,0.0,Neutral,0.0,Netural,-0.4842718839645386,Negative
anyone in 2025?,0.0,Neutral,0.0,Netural,-0.4842718839645386,Negative
wana song,0.0,Neutral,0.0,Netural,-0.3224572539329529,Negative
Only the last one ☝️ is 😍😍😂😍😍😂,0.9501,Positive,0.0,Netural,0.3444359004497528,Positive
