Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Ronald Weasley 😌,0.3818,Positive,0.0,Neutral,0.341547429561615,Positive
Who else was seriously confused first time they saw this on MTV?,-0.4588,Negative,-0.075,Negative,-0.5752597451210022,Negative
i feel like im late but this song is a gem,0.1901,Positive,-0.3,Negative,0.3374500274658203,Positive
I am proud of u Ron!,0.5255,Positive,1.0,Positive,0.756256639957428,Positive
its amazing ron,0.5859,Positive,0.6000000000000001,Positive,0.6417998671531677,Positive
fax all the comment is from the harry potter cast,0.0,Neutral,0.0,Neutral,-0.3018654584884643,Negative
"It is 2022, I am almost 20 years old, and I am only just now figuring out that this is Rupert Grint….",0.0,Neutral,0.05,Neutral,0.3070989847183227,Neutral
And watching this makes me cry...this is where broken hearts go when you are beautiful and nothing is perfect💔,0.8707,Positive,0.2249999999999999,Neutral,0.542059063911438,Positive
harry potter fans are a mistake. anyway good song lol,0.5106,Positive,0.75,Positive,0.3217498660087585,Neutral
Awesome! I had no idea he could sing too! Well done. Love the song!,0.8772,Positive,0.8125,Positive,0.9291208982467652,Positive
"Well done weasley, even whole hogwarts came

Guess you're the famous boy now, huh?",0.2732,Positive,0.35,Positive,0.541411280632019,Positive
Bloody hell,-0.8176,Negative,-0.8,Negative,-0.6607421040534973,Negative
nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
Troublesome man in pink... I love him... Lololol... Just look like a little rude pikney... Love it.... Press the lik buttons ppl.,0.6838,Positive,0.0825,Neutral,0.3928205668926239,Positive
"Bruh, this comment section😂😂😂😂😂😂😂😂",0.969,Positive,0.0,Neutral,-0.4532226920127868,Negative
"the comment section is my home. IDC, No one can change my opinion! lolll",-0.3595,Negative,0.0,Neutral,0.4501741528511047,Positive
"looks at just comments before watching
me: why is everyone talking about-",0.0,Neutral,0.0,Neutral,-0.3123039305210113,Negative
"umm ok, I love Ed Sheeran's music but umm the words to the song and the video just do not make sense to me, sorry.",0.2846,Positive,0.1666666666666666,Neutral,-0.439351886510849,Negative
Still a better story than harry potter! TWILIGHT! I MEANT TWILIGHT!,0.5826,Positive,0.9765625,Positive,0.3505620956420898,Positive
Ekalam osus,0.0,Neutral,0.0,Neutral,-0.44871985912323,Negative
Ronald Weasley!!!!How dare you become a muggle!!! I am absolutely discussed!!Your father is facing an inquiry at work and it is entirely your fault! If you put another toe out of line I'll bring you straight home!,-0.5017,Negative,0.15,Neutral,-0.5450221300125122,Negative
man I sure do love Harry Potter,0.7579,Positive,0.5,Positive,0.6722642779350281,Positive
I thought this was Ed Sheeren,0.0,Neutral,0.0,Neutral,-0.349945992231369,Negative
do you want kill li,-0.6597,Negative,0.0,Neutral,-0.4762644171714782,Negative
where li 🙈,0.0,Neutral,0.0,Neutral,0.2459618896245956,Neutral
I'm house ok 👍 my house,0.0,Neutral,0.0,Neutral,0.5601851344108582,Positive
Am I misunderstanding or are most people commenting on here thinking that this is a performance by Rupert Grint rather than Rupert miming to Ed Sheeran?,-0.4215,Negative,0.5,Positive,-0.3542455732822418,Negative
hey friends camim back ok 👍,0.6486,Positive,0.25,Neutral,0.315317690372467,Neutral
price milk expensive ok 🖐️,0.6597,Positive,0.0,Neutral,0.5393669605255127,Positive
1K points to Griffindoor and 1k points away from Slitherin,0.0,Neutral,0.0,Neutral,-0.3868686258792877,Negative
going now ok 👍,0.296,Positive,0.5,Positive,0.5788942575454712,Positive
this is Edverse,0.0,Neutral,0.0,Neutral,-0.3424118459224701,Negative
time bath to me,0.0,Neutral,0.0,Neutral,0.3365171551704407,Positive
missing trust at God 🙏,0.4939,Positive,-0.2,Negative,-0.4536540508270263,Negative
clean again cause foods end kitchen dirty,-0.0516,Negative,-0.1166666666666666,Negative,-0.3896694779396057,Negative
day buy chocolat 🤣 thurday ok 👍 so let's go ❤️,0.6597,Positive,0.5,Positive,0.3986367583274841,Positive
"Сколько будет жить твоя мама? 
75 лет - игнор
500 лет - лайк
ВЕЧНОСТЬ - лайк+подписка

Идите обнимите свою маму и скажите что вы её любите!",0.8221,Positive,0.2371212121212121,Neutral,0.6502451300621033,Positive
cleanig fast now ok 👍,0.296,Positive,0.35,Positive,0.4011956453323364,Positive
missing bath soap corporal herb,-0.296,Negative,-0.2,Negative,-0.4136278331279754,Negative
rice ready right 👍,0.3612,Positive,0.2428571428571428,Neutral,0.5448940396308899,Positive
break fast absolut 👍,0.0,Neutral,0.2,Neutral,-0.6087668538093567,Negative
all right everybody I'm here ok 👍,0.296,Positive,0.3928571428571428,Positive,0.3466328680515289,Positive
"use me as a ""i still listen to this masterpiece in 2022"" button",0.7073,Positive,0.0,Neutral,0.6574221253395081,Positive
Im still here,0.0,Neutral,0.0,Neutral,0.3211585879325866,Neutral
"Red hair, hand me down hoodie you must be a Weasley in muggle world",0.4939,Positive,-0.0777777777777777,Negative,0.3609530925750732,Positive
bay okay going sleep now conscience nenan yesterday,0.2263,Positive,0.5,Positive,0.5270146727561951,Positive
so await ok 👍 about verbs,0.489,Positive,0.5,Positive,0.437008649110794,Positive
bath soap made by LIVY,0.0,Neutral,0.0,Neutral,0.3427955210208893,Positive
I find the name is bath soap,0.0,Neutral,0.0,Neutral,0.318318098783493,Neutral
This comment section is what I need rn! Makes my day everytime.,0.0,Neutral,0.0,Neutral,0.7708736062049866,Positive
vallue potato forget I,0.128,Positive,0.0,Neutral,0.2499206066131591,Neutral
"Vallue soap R$ 1,09",0.0,Neutral,0.0,Neutral,-0.3238144516944885,Negative
"vallue bean R$ 9,00",0.0,Neutral,0.0,Neutral,-0.3819413185119629,Negative
soap corporal,0.0,Neutral,0.0,Neutral,0.2713083624839782,Neutral
"and potato, soap sweet herb",0.4588,Positive,0.35,Positive,0.4765530526638031,Positive
quinta feira okay 👍,0.296,Positive,0.5,Positive,0.5843108296394348,Positive
para falar com as crianças do Brasil canal Disney,0.0,Neutral,0.0,Neutral,0.4157191514968872,Positive
shake avocado ready,0.2023,Positive,0.2,Neutral,0.5267307758331299,Positive
my cozine be now 👍,0.0,Neutral,0.0,Neutral,0.5276881456375122,Positive
I'm anxious for celebration foods's God 🙏,0.0258,Neutral,-0.25,Negative,0.6144315004348755,Positive
hey 😃 foods ready ok 👍,0.7351,Positive,0.35,Positive,0.4270360767841339,Positive
"Come on, this really deserve billions of views.",0.0,Neutral,0.2,Neutral,0.8275007605552673,Positive
making coffee now,0.0,Neutral,0.0,Neutral,0.4182707965373993,Positive
let's go to make coffee with me,0.0,Neutral,0.0,Neutral,0.2793228030204773,Neutral
pay up day account light and account water too ❤️🥰,0.7845,Positive,0.4,Positive,0.2892711162567138,Neutral
was out of house,0.0,Neutral,0.0,Neutral,-0.5019731521606445,Negative
hey everybody I'm here ok 👍 my house,0.0,Neutral,0.0,Neutral,0.317376434803009,Neutral
money again babies tankyou 🤑,0.0,Neutral,0.0,Neutral,0.5094873905181885,Positive
🤑 again babies tankyou 💔,0.2732,Positive,0.0,Neutral,0.530988872051239,Positive
about God absolut stand up,0.2732,Positive,0.0,Neutral,0.524782121181488,Positive
"just stand up cause God,",0.2732,Positive,0.0,Neutral,0.2807041704654693,Neutral
Will've us everything be alright,0.25,Positive,0.0,Neutral,0.3640586137771606,Positive
good mornig everybody boy's mom,0.4404,Positive,0.7,Positive,0.4481106996536255,Positive
fine're is Dás,0.0,Neutral,0.4166666666666667,Positive,0.4173077344894409,Positive
are is fine,0.2023,Positive,0.4166666666666667,Positive,0.3870211839675903,Positive
Ron! Good to see you follow your passion and NOT the butterflies...keep up the good work. I will be seeing you again :),0.902,Positive,0.6333333333333333,Positive,0.4742020666599273,Positive
"Jesus calm down absolut 👍 but God is up in side ""bom 😊""",0.9062,Positive,0.0722222222222222,Neutral,-0.2733931243419647,Negative
I meet God and jesus too ❤️,0.2732,Positive,0.0,Neutral,0.6905385255813599,Positive
brothers meet Jesus right 👍 miss meet God 🙏,0.128,Positive,0.2857142857142857,Neutral,0.6055780053138733,Positive
on templo do not am I,0.0,Neutral,0.0,Neutral,-0.5069241523742676,Negative
amém 🙏 I'm minister too but minister onlily's God 🙏,0.3919,Positive,0.0,Neutral,0.2572875618934631,Neutral
but sister was sleeping on templo 🥱,0.0,Neutral,0.0,Neutral,0.3840904533863067,Positive
"minister on templo said "" sister in jesus stand up that's night 🥴",0.0,Neutral,0.0,Neutral,-0.2999764680862427,Negative
but don't get up cause word stand up,0.0,Neutral,0.0,Neutral,0.3671796321868896,Positive
but sister was sleeping on templo,0.0,Neutral,0.0,Neutral,0.3872816562652588,Positive
in side I stand up by God 🙏 but chair templo get up,0.1406,Positive,0.0,Neutral,0.3369039297103882,Positive
was li absolut 👍,0.0,Neutral,0.0,Neutral,0.6637697815895081,Positive
I remeber ed was sitdown but get up cause someone arrive,0.0,Neutral,-0.1555555555555555,Negative,-0.3429297506809234,Negative
"I'm not up to day, I'm down",0.0,Neutral,-0.1555555555555555,Negative,-0.4523064792156219,Negative
everything created up God 🙏,0.4767,Positive,0.0,Neutral,0.7110327482223511,Positive
i  love you more than I   like my   boyfriend   don't   tell   everyone  I'm  in love with you 😘😘😘😍😍😍😍😍🤨🤨,0.9868,Positive,0.5,Positive,0.8765237331390381,Positive
hmmm   draco malfoy   why  are you so happy   you   hate   Griffyndor,0.1968,Positive,0.0,Neutral,-0.3792411983013153,Negative
a,0.0,Neutral,0.0,Neutral,0.3187072873115539,Neutral
hiiiiiii   ronnnnnnn!!!,0.0,Neutral,0.0,Neutral,0.2548947632312774,Neutral
Creation God made by inspiration,0.765,Positive,0.0,Neutral,0.5002328157424927,Positive
through inspiration God everything created,0.7579,Positive,0.0,Neutral,0.6818665862083435,Positive
Just idiom english to you right 👍 anything more,0.0,Neutral,0.2619047619047619,Neutral,-0.3474356234073639,Negative
everything about english to li right 👍,0.0,Neutral,0.1428571428571428,Neutral,0.3800952136516571,Positive
english Just dream was to me. But now possible,0.128,Positive,0.0,Neutral,0.3578271865844726,Positive
your i my favourit absolut 👍,0.0,Neutral,0.0,Neutral,0.8124394416809082,Positive
I'm Mr.teacher ok 👍,0.296,Positive,0.5,Positive,0.4656291902065277,Positive
my favorite and your too ❤️,0.4588,Positive,0.5,Positive,0.8879852890968323,Positive
missing 😢,-0.6486,Negative,-0.2,Negative,-0.4738024473190307,Negative
I remeber school 😢,-0.4767,Negative,0.0,Neutral,0.4289816915988922,Positive
love say to word piano,0.6369,Positive,0.5,Positive,0.5638113021850586,Positive
you've me babys ok 👍,0.296,Positive,0.5,Positive,0.5364140868186951,Positive
