Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
“There’s probably not even ads on this anymore” immediately cuts to an ad,-0.296,Negative,0.0,Neutral,-0.5515817403793335,Negative
"At this point if we were to discover another paralleled life form out there, we would likely be more shocked if they were also human. Medea has provided us with images that all Aliens are generally based off of, so imagine if they looked just like any other human.",-0.024,Neutral,-0.0392857142857142,Negative,0.3367827236652374,Positive
"no offense, Johnny",0.1877,Positive,0.0,Neutral,-0.5980716347694397,Negative
Ken and Pewds collabs always make me laugh lol,0.7506,Positive,0.55,Positive,0.3606056869029999,Positive
i don't think that bat is for self defense O.O,-0.2577,Negative,0.05,Neutral,-0.3282874226570129,Negative
"Jesus Christ I forgot that robocop video existed, that was something else. Probably long gone from the internet by now",0.0,Neutral,-0.05,Negative,-0.4460463523864746,Negative
I want a pewds and ken podcast talking about random things,0.0772,Positive,-0.5,Negative,0.2537952363491058,Neutral
I think that the Baseball bat was used to do something else... It is her very special friend,0.7559,Positive,0.4642857142857143,Positive,0.3854540884494781,Positive
anna persettä,-0.5423,Negative,0.0,Neutral,-0.2678553164005279,Negative
"Omg. I'm watching on the edge of my seat. I've personally had contact with the dude in the thumbnail, and honestly was just telling someone a week ago about how incredibly amazing of a life he led. A self taught king fu master, an hypnoanesthesiologist, a CIA agent, pet tigers, it's a wild ride. He is living his best life. I literally was going thru old emails with him a week ago telling someone about him. This is wild. Lol",0.8553,Positive,0.4125000000000001,Positive,0.4701298773288727,Positive
"""Don't call my hair the big swoop like a trashy sequel "" lmaoo",0.3612,Positive,0.0,Neutral,-0.7307237386703491,Negative
"""there's probably no ads on this anymore""
Two unskippable ads even before Ken finishes that sentence: baby I'm not even here, I'm just a hallucination",-0.2263,Negative,0.0,Neutral,-0.6113728880882263,Negative
is it me or only US make tv shows/documentary about ufo/aliens? I don't see any other countries doing this shit 😂😂,0.1406,Positive,-0.1083333333333333,Negative,-0.7293591499328613,Negative
"Hmm aliens and a pug, pug runs off after alien spaceship was shown. This is Frank the pugs brother confirmed.",0.0,Neutral,0.075,Neutral,-0.3818860948085785,Negative
17:45 SIZE MATTER'S.,0.0,Neutral,0.0,Neutral,-0.3198582530021667,Negative
That guy seen cowboys vs aliens and made it his career,0.0,Neutral,0.0,Neutral,0.6103012561798096,Positive
"17:14 I actually had a small *_souvenir_* baseball bat like that as a child (though I think it was smaller than that one).  Despite being small, it _was_ solid wood, so it probably still would've done enough damage at close range to make someone back off.",-0.0258,Neutral,-0.0714285714285714,Negative,0.3973953425884247,Positive
Could be that little bat has multiple uses. 😉,0.0,Neutral,-0.09375,Negative,0.4186510443687439,Positive
I laughed so hard with the guy not raising his hand and the guy wearing headphones,-0.1266,Negative,0.2041666666666666,Neutral,-0.5041270852088928,Negative
They just gave JRE a run for their alien money.,0.0,Neutral,-0.25,Negative,-0.3933059275150299,Negative
"greatest alien investigation: 

Not even 10 mins later: GUY BANGS DOLPHIN",0.6369,Positive,0.25,Neutral,0.6749070882797241,Positive
"10:12 I thought she said ""Two big black guys"".",0.0,Neutral,-0.0833333333333333,Negative,-0.3383483290672302,Negative
"‘There’s probably not even ads on this anymore!’
*an ad immediately starts*",0.0,Neutral,0.0,Neutral,-0.5079143047332764,Negative
Ready to pour,0.3612,Positive,0.2,Neutral,0.4760270714759826,Positive
"this video has a high pitch noise which is a bit annoying, anyone else hear it?",-0.4019,Negative,-0.32,Negative,0.4040075838565826,Positive
My god shsgsshshshs this is so freaking funny,0.1685,Positive,0.25,Neutral,0.5016111135482788,Positive
"Dang, Seeing buffpro is nice",0.4215,Positive,0.6,Positive,0.361926794052124,Positive
Felix it just means extraterrestrial. LOL not the literal ET,0.5473,Positive,0.8,Positive,-0.3057311177253723,Negative
"RLC I exec crypto partnered with Amazon, Google, Microsoft, Ibm, Intel & Alibaba real world utility has room for astronomical growth plus its a small market cap & small token total supply.",0.5106,Positive,-0.075,Negative,0.6783206462860107,Positive
"“Patrick, do you know what this is?” 
“Stinky.”
“No, it’s an egg sack.”",0.0,Neutral,0.0,Neutral,-0.5442822575569153,Negative
Can we get another one of these on Swamp People 😂😂😂,0.8271,Positive,0.0,Neutral,0.2313316315412521,Neutral
"Ken: “there’s probably not even ads on this anymore”
*cuts immediately to ad*",-0.296,Negative,0.0,Neutral,-0.4816229939460754,Negative
"bet that if the acting guys saw their video again, they will hide in the cave for the whole year",-0.1779,Negative,0.1,Neutral,0.3540220558643341,Positive
"Got an ad just after Ken said, there probably wouldn't be any😂",0.4404,Positive,0.0,Neutral,0.2940026521682739,Neutral
"Hey, my alarm clock is across the whole room, that's how I got out of bed without snoozing all through high school, that's a life hack, sir",-0.34,Negative,0.18,Neutral,-0.4592968225479126,Negative
Im here for the aliens but that wiener talk tho,0.0,Neutral,0.0,Neutral,0.2780414819717407,Neutral
Not sure if the plug for buffpro at the beginning was intentional or not but if it is that’s funny,0.5218,Positive,0.0,Neutral,0.4901812374591827,Positive
ET means extra terrestrial.,0.0,Neutral,0.0,Neutral,0.3202700614929199,Neutral
Why is Felix labeled as BuffPro?  Editor fail?,-0.594,Negative,-0.5,Negative,-0.6959474086761475,Negative
Living things give off “trace amounts” of radiation so…..,0.0,Neutral,0.0,Neutral,-0.2372953444719314,Negative
THE MINI BASEBALL BAT STICK WAND PART HAD ME CRYING 😂,-0.2342,Negative,-0.2,Negative,0.2579821944236755,Neutral
Simpsons predicted aliens too?! Damn,-0.4574,Negative,0.0,Neutral,-0.5095747709274292,Negative
Lmao it's not mr.smithers it's mr.burns 🧐,0.5994,Positive,0.6,Positive,-0.4165522456169128,Negative
Much prefer the vids with BuffPro!,0.0,Neutral,0.25,Neutral,0.3636506795883178,Positive
Yeah that baseball bat is most likely used for something else..,0.296,Positive,0.25,Neutral,-0.2936910390853882,Negative
I feel like I was shorted the video.. I need more answers!!!!,0.5673,Positive,1.0,Positive,-0.4497373402118683,Negative
bro she definitely penetrated herself with that thinass bat 😂😂😂😂,0.9231,Positive,0.0,Neutral,-0.2652324736118316,Negative
"10:12 plot twist,  she said 2 big black guys. she was just shocked about the bbc they had.",-0.3182,Negative,-0.2888888888888888,Negative,-0.3462005257606506,Negative
"yea it is great to have alarm clock a bit away so you MUST go up, walk and turn it off, it is easier to stay up instead of just snooze or turn off and fall a sleep again",0.6705,Positive,0.8,Positive,0.4591049551963806,Positive
Does anyone else hear like a really high pitched sound when Ken talks?,0.3612,Positive,0.28,Neutral,-0.3102158606052398,Negative
Hi Edgar.,0.0,Neutral,0.0,Neutral,0.2669976055622101,Neutral
"as soon as Ken said ""there's probably not even ads on this anymore"" I got two ads lmao nice",0.7717,Positive,0.6,Positive,-0.2806307673454284,Negative
Dolphin lover man looks like an older Elon Musk...,0.743,Positive,0.1666666666666666,Neutral,0.2688800990581512,Neutral
ken is so lame and creepy. how could a youtube commentator be so disconnected with culture. because hes a creepy dad with a creepy gray mullet and a barely legal youngest mail order bride you could have,-0.5282,Negative,-0.36,Negative,-0.8005685806274414,Negative
Been waiting for too long on another BroKen vid..,-0.4767,Negative,-0.225,Negative,-0.4159471690654754,Negative
"Ken ""there's probably not even adds on here.""
Ad immediately after",0.0,Neutral,0.0,Neutral,-0.3437967002391815,Negative
"For more stupid alien stuff, 100% you guys should react to some of the stuff on the ""streaming service"" Gaia. I got ads for that shit so often for while and it sounds so crazy. ""The moon was a vehicle"" stands out in my mind",-0.8862,Negative,-0.27,Negative,-0.5073058009147644,Negative
PewDiePie was funny in this one. 👍,0.4404,Positive,0.25,Neutral,0.4409173130989074,Positive
Buffpro looks different. Hmmmm.,0.0,Neutral,0.0,Neutral,-0.3375303447246551,Negative
I laughed way to hard with this one,0.3818,Positive,0.2041666666666666,Neutral,-0.247083842754364,Negative
Ken's wheezing laugh after making Felix cringe is what I'm here for,0.5574,Positive,0.3,Neutral,0.3620279133319855,Positive
"Oh man, it's funny to actually listen to what that dude was asking, question-wise.... it's so obvious that it's leading questions. The same way those 'hypnosis memory regression therapy' assholes literally implant false memories in people, through basically suggestions. We are talking aliens here, okay, so by asking 'what is the same height?' you literally expect the person to respond with a no, cuz it is aliens and as such of course they have different heights unless the prior-mentioned idea is 'clone aliens' or some such which would instantly give you a 'yes they have same height' response.
Now here is how you SHOULD ask such questions - Did you notice anything out of the ordinary? what did you see/hear? <--- aka. open questions.",0.5007,Positive,0.0066666666666666,Neutral,-0.2842855751514435,Negative
Yeah sure that bat is for 'beating' aliens,0.128,Positive,0.5,Positive,-0.2847276031970978,Negative
13:51,0.0,Neutral,0.0,Neutral,0.2311516255140304,Neutral
Bruh him scanning for radiation and it staying on zero while he continues to point around his property is comedy gold,0.3612,Positive,0.0,Neutral,-0.4751195311546325,Negative
This video with toastyken and pewdiepie reminds me of my daily life,0.0,Neutral,0.0,Neutral,0.5758962035179138,Positive
She's didn't say black eyes she said black guys...then described their size.,0.0,Neutral,-0.1666666666666666,Negative,-0.2825907170772552,Negative
It's not Mr smithers it's Mr burns,0.0,Neutral,0.0,Neutral,-0.4516645669937134,Negative
Thx for the teary eyes of laughter,0.6908,Positive,0.0,Neutral,0.4257139861583709,Positive
"Ken, maybe you or Buff can answer this question: Why is it aliens always land in the Deep South?",0.0,Neutral,0.0,Neutral,-0.3480593264102936,Negative
ken’s keen eyes in finding weird objects in this video is just astonishing… 🧍🏻‍♀️,0.2023,Positive,-0.5,Negative,0.6292010545730591,Positive
"I have a hunch that ""investigator"" would have had something else to say about that mini-bat had he sniffed it.",0.0,Neutral,0.0,Neutral,0.3750384747982025,Positive
that legit outfit is the exact outfit of the black guy that is hunting jason vorhees in the friday the 13th series. *continues to smile for the camera* the eyes were 4 inches wide and black... I saw them in the dark...,0.3612,Positive,-0.0047619047619047,Negative,0.4199478030204773,Positive
you guys should react to ghost adventures,0.0258,Neutral,0.0,Neutral,0.3461866378784179,Positive
so we all agree the baseball bat was a dildo?,0.4144,Positive,0.0,Neutral,0.3346635997295379,Positive
So out of the billions of planets in the universe you believe that there is no other life forms or what we call aliens. It really doesn't matter.,-0.372,Negative,0.13125,Neutral,-0.3670158088207245,Negative
loving the banner at the start shouting out Buffpro even though it's Pewds joining CTK. X'D,0.5994,Positive,0.6,Positive,0.2341537773609161,Neutral
Lmao wth 😆 🤣,0.7351,Positive,0.6,Positive,0.246731549501419,Neutral
sometimes i wish i was this ignorant,0.0836,Positive,0.0,Neutral,-0.3503346145153045,Negative
12:10,0.0,Neutral,0.0,Neutral,0.2296748608350753,Neutral
"Proof octopi are aliens (REAL) : octodad. 
Nuff said.",0.0,Neutral,0.2,Neutral,-0.5325549244880676,Negative
Don’t do drugs kids,0.0,Neutral,0.0,Neutral,-0.5155271291732788,Negative
4:26 it's a glowing French fry,0.0,Neutral,0.0,Neutral,0.3070972263813019,Neutral
"Ken: There's probably not even ads on this video
Ad: *starts playing*",0.2023,Positive,0.0,Neutral,-0.3648999631404876,Negative
"They are both right about the dolphin thing.
The woman was back in the 60's or 70's to do with science experiments.",0.0,Neutral,0.1428571428571428,Neutral,0.4327763617038727,Positive
That is undertaker's lost brother.,-0.3182,Negative,0.0,Neutral,-0.3334977030754089,Negative
I love Ken's dad shirt. I'm pretty sure I have a mask that matches it.,0.8658,Positive,0.4166666666666667,Positive,0.4740816354751587,Positive
I had to pause and go watch that robocop video. Holy shit hahahaha,-0.5574,Negative,0.0,Neutral,-0.7847853302955627,Negative
"Tombstone is an amazing movie 10/10, good reference!",0.7901,Positive,0.7375,Positive,0.9151665568351746,Positive
Dont you need to spray some liquid to see anything with an UV flashlight,0.0,Neutral,0.0,Neutral,-0.3884609341621399,Negative
You sound more like idiots making fun of this when the FBI literally declassified documents from their programs investigating UFOs lol,0.8357,Positive,0.24,Neutral,0.2154760658740997,Neutral
The irony of getting an ad directly after Ken says “there’s probably not even ads on this anymore”,-0.0516,Negative,0.1,Neutral,-0.4517907798290252,Negative
My guy reminds me of my paranormal investigation professor in college Mr hasley. We couldn't believe this was an actual course either which is why we took it,0.0,Neutral,0.0,Neutral,0.3468143045902252,Positive
"I find myself singing ""Good morning, starshine.... the Earth says helloOOOOoooo...."" way more often than one would think.",0.4404,Positive,0.6,Positive,-0.2456830292940139,Negative
"I keep my alarm clock across the room as well!
if I didn't I probably wouldn't have gotten out of bed this morning lol",0.4199,Positive,0.8,Positive,0.4663127958774566,Positive
Wel at least we know now where aliens hide... cheap motel rooms. Those are covered in alien sweat. 🤔,-0.1779,Negative,-0.0499999999999999,Negative,-0.4913496971130371,Negative
"Ken, you know that most of us watch you two while we're eating right?",0.0,Neutral,0.3928571428571428,Positive,0.2903659641742706,Neutral
It’s mr Burns not mr Smithers you swedish meatball duh,0.0,Neutral,-0.3,Negative,-0.461224228143692,Negative
Johnny Sins also has like 56 occupations,-0.128,Negative,0.0,Neutral,0.3035709857940674,Neutral
"4:04
That... that is the Moon. You've seen it before. That's what it looks like if you make a bad photo of it at night. You don't even have to come up with explanations for that one, like 'chinese lanterns'. What the heck people? 😅

Man, this is why I can't watch these shows. I just can't shut up while watching them. At least watching other people react to it and do the same is reassuring in a way. 😂",0.8225,Positive,-0.2249999999999999,Negative,-0.345236986875534,Negative
"the way that guy was handling "" tiny bat"" I think he knew whats that used for",0.0,Neutral,0.0,Neutral,0.3536446094512939,Positive
"I just realised that secret alien stories are scary, but stories about people who are deluded about secret alien invasions are even more scary.",-0.7808,Negative,-0.2571428571428571,Negative,0.41145920753479,Positive
"Ken: there's probably not even ads on this video anymore
YT: surprise mf",0.2732,Positive,0.0,Neutral,-0.3560174703598022,Negative
The robocop video is a fatal farms parody. The duck tales one is the best,0.1779,Positive,1.0,Positive,0.2742562890052795,Neutral
Nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
The Souvenir baseball bat took me out lmao,0.5994,Positive,0.6,Positive,0.2243184596300125,Neutral
Dolphussy 🥵🥵,0.0,Neutral,0.0,Neutral,0.2586949169635772,Neutral
Hmmmm my baseball bat is shaped a little different but I respect the covert style,0.631,Positive,-0.09375,Negative,0.4535336494445801,Positive
Just had my appendectomy and decided to watch pewds and ken while laying on bed just to cure my boredom. Needless to say it’s a challenge not to laugh and potentially hurt my stomach 🥲,-0.8087,Negative,-0.0666666666666666,Negative,0.2749077379703522,Neutral
"God y'all are irritating. Having an open mind is a great thing to have. You two are like most of this world. Close minded and blind to anything that isn't told to you by the media. I'm not out here saying shits real just the fact y'all dog on it so hard, what's funny is most of the people, you two included, believe in some magically fairytale of a man in the sky who created all life 🤣🤣🤣 now I'll say now that's waaaaaay more unbelievable then some aliens being out there. We wonder why we haven't seen aliens? Ppl like y'all. Ppl like, people . People are violent . We are savage creature's probe to war and fighting.  I'd like to see the world burn to be honest, so I'm no peace loving hippy. Just think about it. Humanity itself is our biggest enemy because of how and who we are as people. Aliens would NEVER want us out in the cosmos. They would do everything in their power to keep us AWAY from space as long as they can before letting a war prone human civilization go to space. 🤣 Listen to you fuckin animals talking about nuking the aliens and shooting them cuz, merica. 😂 Y'all be the reason we are all fucked to begin with",-0.3639,Negative,0.086574074074074,Neutral,-0.3654492497444153,Negative
Mental more like spiritual.,0.4201,Positive,0.1333333333333333,Neutral,-0.2699328362941742,Negative
"""probably not even ads on this anymore!"" he couldn't even finish the sentence before an ad started for me",0.1511,Positive,0.0,Neutral,-0.4844832122325897,Negative
My mind is dirty😂 he used a black light and went to the baseball bat like he found alien sweat and the size of it is small..,0.3612,Positive,-0.0666666666666666,Negative,-0.3499339818954468,Negative
I’m sorry but they’re facing demons,-0.0387,Neutral,-0.5,Negative,0.2848914861679077,Neutral
"😻😻😻😻😻😻😻😻😻😻😻😻😻
😹😹😹😹😹😹😹😹😹😹😹😹😹",0.9971,Positive,0.0,Neutral,0.3428077399730682,Positive
"I just watched that episode of Simpsons like 2 days ago, weird.",0.2023,Positive,-0.5,Negative,-0.3033515512943268,Negative
Pewds mixing up mr.burns and mr.smithers bothered me lol,0.128,Positive,0.8,Positive,0.3817115724086761,Positive
I'm not talking about wieners there's prob not adds anymore.... a ad comes on,0.0,Neutral,0.0,Neutral,-0.5729609131813049,Negative
You know what she really does with that bat.,0.0,Neutral,0.2,Neutral,0.4321112334728241,Positive
That tiny bat scene was intense LOL  I'm not sure how good his investigation skills are if he couldn't figure out the context hahahahaha  Can't trust this guy to find aliens,-0.3043,Negative,0.2749999999999999,Neutral,-0.3717343807220459,Negative
Just two guys hanging out,0.0,Neutral,0.0,Neutral,0.2511489987373352,Neutral
Somebody tell this man radiation can be found at Chernobyl.,0.0,Neutral,0.0,Neutral,-0.4525282680988312,Negative
"15:27 context pleeease , what are they talking about?",0.0,Neutral,0.0,Neutral,-0.3051567375659942,Negative
Around 17:15 you can hear Felix speaking a little bit of alien 🤯,0.0,Neutral,-0.21875,Negative,0.3483167886734009,Positive
"I love that Edgar sits and chills with Felix while he films, the goodest boy 🥰",0.91,Positive,0.5,Positive,0.7265115976333618,Positive
Does pewds have a tongue ring in the thumbnail?,0.0,Neutral,0.0,Neutral,-0.3417486548423767,Negative
"I like the reaction video 
'S but you guys  pause to mutch🙈",0.1901,Positive,0.0,Neutral,0.4641197919845581,Positive
when he said probably not ads anymore i got one lol,0.4215,Positive,0.8,Positive,-0.5548561811447144,Negative
no Edgar cam disappointed smh,-0.765,Negative,-0.75,Negative,-0.4910053312778473,Negative
16:37 I usually skip this part...,0.0,Neutral,-0.25,Negative,-0.374288409948349,Negative
The only scary thing in this video is the guy that fucks dolphins.,-0.743,Negative,-0.25,Negative,-0.2518688440322876,Negative
Any video with a cameo of edger is a good video 🥰🥰,0.9552,Positive,0.7,Positive,0.4124405682086944,Positive
Dude my history teacher in high school and junior high said he would have his alarm across the room for the sole purpose of getting up to go turn it off,-0.34,Negative,0.1066666666666666,Neutral,-0.4797299206256866,Negative
U guys should watch some stuff on skinwalker ranch,0.0,Neutral,0.0,Neutral,0.2530120015144348,Neutral
"Every time it cuts to Pewdiepie, I just see Edgar trying to get comfortable and sleep lmao",0.7184,Positive,0.5,Positive,-0.3021169006824493,Negative
Just helicopter your d**k at the ghost and it’ll throw its hands up and blow away. Lmao 🤣,0.7003,Positive,0.6,Positive,-0.5083442330360413,Negative
"“There’s prolly not even ads on this anymore” 
*evertale ad plays IMMEDIATELY after ken says that* 
We’ve been deceived to the highest degree",-0.2263,Negative,0.0,Neutral,-0.7555975914001465,Negative
"The ""Wow""s are getting me every time. So well timed.",0.4101,Positive,0.1,Neutral,0.7719311118125916,Positive
