Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"Felicidades, es un buen ejemplo. 
250 sentadillas son unos HOTCAM.Uno muchas y un buen ejercicio.
5:25 Se deja ver que hay muy buenos resultados 😍👍 

Saludos desde la Cd.. de world 🌹😉💖 
los mortales abian apreciado tan hermosa mujer.",0.9856,Positive,0.5514285714285714,Positive,0.5902162194252014,Positive
The first dancer is awesome.,0.6249,Positive,0.625,Positive,0.7979131937026978,Positive
Hell to the yeah!!!!!  🔥🔥🔥🔥🔥🔥🔥,-0.9605,Negative,0.0,Neutral,-0.5011494755744934,Negative
ужас,-0.5719,Negative,0.0,Neutral,0.325396180152893,Neutral
thank you 🙃🙂,0.6378,Positive,0.0,Neutral,0.6302096843719482,Positive
Ты Крутая! 🥰🥰🥰,0.9764,Positive,0.4375,Positive,-0.4202919602394104,Negative
that was fun to watch!  Thanks.,0.7574,Positive,0.2875,Positive,0.3174952864646911,Neutral
iwanna see taht choreo with a guy,0.0,Neutral,0.0,Neutral,0.2448509931564331,Neutral
Jesus is God,0.2732,Positive,0.0,Neutral,0.5830488801002502,Positive
first one awesome. what a way to move every part of his body! really aweome,0.8685,Positive,0.75,Positive,0.9368704557418824,Positive
♥♥♥♥,0.9571,Positive,0.0,Neutral,0.2824088335037231,Neutral
I licked my eyebrows a few times,0.0,Neutral,-0.2,Negative,-0.4542714655399322,Negative
How wonderful is  this.,0.5719,Positive,1.0,Positive,0.9014567136764526,Positive
Этот танец специфический и хорошо смотрится только у преподавательницы.,0.4404,Positive,0.2333333333333333,Positive,0.4008879661560058,Positive
GOOD,0.4404,Positive,0.7,Positive,0.4969631731510162,Positive
"''5:55 Son unos de los Topgirls.Uno

15:55 Sun: ''Hotter''
15:55 Hopi: ''Sweeter''
15:55 Joonie: ''Cooler''
15:55 Yoongi: ''Butter''

15:55 Son unos de los mejores conciertos ,
, no puede ir pero de tan solo verlos desde pantalla, se que estuvo sorprendente...''",0.8316,Positive,0.8,Positive,0.5243344902992249,Positive
"Kind of boring. Repetitive.
And why the heels?
You'll snap a bone in your foot or a tendon for sure, then you're done. Never heals correctly.
Whatever. Done.",-0.25,Negative,-0.0375,Negative,-0.558503270149231,Negative
The fact that they did it in hells,0.0,Neutral,0.0,Neutral,0.2933260798454284,Neutral
Ihr seid der absoluteWahnsinn! 😍😎😍😎😍,0.9621,Positive,0.7500000000000001,Positive,0.8372310400009155,Positive
"23:23 Hermosa elección 😘 Topgirls.Uno de los mejores conciertos ❤

23:23  Senada: ''Hermoso''
23:23  Megan: ''Hotter''
23:23  Hopi: ''Sweeter''
23:23  Joonie: ''Cooler''
23:23  Yoongi: ''Butter''
23:23  Amor: ''Momentos''
23:23  Alfiora: ''Preety''
23:23  Alana: ''Awesome''

23:23 Son unos de los mejores conciertos, no puede ir pero de tan solo verlos desde pantalla, se que estuvo sorprendente 🖤.",0.983,Positive,0.8285714285714286,Positive,0.7604809999465942,Positive
Nope I hated it,0.5216,Positive,-0.9,Negative,-0.6377249360084534,Negative
"Ellos dicen, oh Dios mío,
veo la forma en que brillas.
Toma tus manos querida,
y colócalas sobre las mías.
Sabes que me paraste en seco,
cuando pasaba tu lado.
Y ahora suplico por verte bailar solo una vez más.

Oh, te veo, te veo, te veo siempre,
y oh Dios mío..
Me, me gusta tu estilo,
tú, tú me haces, me haces, me haces querer intentarlo.
Y ahora, suplico por verte bailar solo una vez más.

Así que dicen:
Baila para mí,
baila para mí,
baila para mí, oh.
Nunca antes he visto a nadie hacer lo que tú haces.
Dicen:
Muévete para mí,
muévete para mí,
muévete para mí, eh.
Y cuando hayas terminado,
haré que lo vuelvas a hacer todo otra vez.

Lo que digo es que
oh Dios mío, te veo pasar,
tomas mis manos, querida,
y me miras a los ojos.
Como un mono,
he estado bailando todo mi vida,
pero tú acabas de suplicar para verme bailar una vez más.

Oh, te veo, te veo, te veo siempre,
y oh Dios mío..
Me, me gusta tu estilo,
tú, tú me haces, me haces, me haces querer intentarlo.
Y ahora, suplico por verte bailar solo una vez más.

Así que dicen:
Baila para mí,
baila para mí,
baila para mí, oh.
Nunca antes he visto a nadie hacer lo que tú haces.
Dicen:
Muévete para mí,
muévete para mí,
muévete para mí, eh.
Y cuando hayas terminado,
haré que lo vuelvas a hacer todo otra vez.

Dicen:
Baila para mí,
baila para mí,
baila para mí, oh.
Nunca antes he visto a nadie hacer lo que tú haces.
Dicen:
Muévete para mí,
muévete para mí,
muévete para mí, eh.
Y cuando hayas terminado,
haré que lo vuelvas a hacer todo otra vez.",0.9042,Positive,0.39,Positive,0.6457972526550293,Positive
This is weird but I am not your friend of my life,-0.5848,Negative,-0.5,Negative,0.3746472001075744,Positive
Out of time and off beat.,0.0,Neutral,0.0,Neutral,-0.3553717136383056,Negative
In heels tho...,0.0,Neutral,0.0,Neutral,-0.2601128816604614,Negative
Don't want to be mean but does she want to go to the bathroom? 0:30,0.0872,Positive,-0.3125,Negative,0.399957537651062,Positive
The girls are dropdead gorgeous I like it but the beginning the girl actually watch her two times in a row because she is fine,0.6652,Positive,0.3722222222222222,Positive,0.4238779842853546,Positive
Hey boo lol,0.4215,Positive,0.8,Positive,0.305222749710083,Neutral
I like the beginning of the song what the second part makes my ears wanna go off,0.3612,Positive,0.0,Neutral,0.3620682954788208,Positive
Those girls can dance they ain’t stiff,0.0,Neutral,-0.2142857142857142,Negative,0.3022187352180481,Neutral
"She has an ordinary face, Not wow!  not ugly. But her dancing skills, her sexyness (body and mouvements) makes it a wow. She has a nice body (great butt)
 and she moves it so fine.",0.9533,Positive,0.2791666666666667,Positive,0.5248849391937256,Positive
Co ona robi 😯❓❗,0.0,Neutral,0.0,Neutral,0.384267121553421,Positive
La primera chica siente la música,0.0,Neutral,0.25,Positive,0.3635806441307068,Positive
Bahahahahahahaha,0.0,Neutral,0.0,Neutral,0.2662736475467682,Neutral
You're one very beautiful and sexy woman dear 😘😍,0.9456,Positive,0.75,Positive,0.8839848041534424,Positive
"Son unos de los TOPGIRLS.Uno

Sun: ''Hotter'' 
Sugar: ''Sweeter'' 
Joonie: ''Cooler'' 
Yoongi: ''Butter'' 

Son unos de los mejores conciertos.#垃圾",0.6369,Positive,1.0,Positive,0.4816506505012512,Positive
"orange multi pazsch monkey...
jo well kumm in europ'",0.2732,Positive,-0.05,Negative,0.3300428092479706,Positive
"https://youtu.be/68bhGEu78hw
Checkout the new revision",0.0,Neutral,0.1363636363636363,Positive,0.246912732720375,Neutral
I would love a video with the whole song and only the first woman. It would replace this video as my go to repeat video with this song.,0.6369,Positive,0.2375,Positive,-0.2614258229732513,Negative
👍👍👍👍🤑🤩😘😋❤️❤️❤️❤️💗💞,0.9186,Positive,0.0,Neutral,0.3085779249668121,Neutral
how the fuck did they dance i high heals if i was there i would be in the hospital lol hahahahaha lmao,0.4939,Positive,0.2719999999999999,Positive,-0.5298460721969604,Negative
Redhead special,0.4019,Positive,0.3571428571428571,Positive,0.4067082703113556,Positive
"Facial expression, eye expression  and attitude is such a large part of dance to me.",0.0,Neutral,0.0714285714285714,Positive,0.5101622939109802,Positive
"That ginger at the beginning was next level hot... like core of the sun, or a 1megAmp electrical arc. 

I may be baised though cause I like reds... but those muscles and moves...**bites knuckle**",0.3612,Positive,0.125,Positive,-0.3554008603096008,Negative
Kkkkkkkkkkkk,0.0,Neutral,0.0,Neutral,0.2504546046257019,Neutral
THIS TYPE OF MUSIC IS FUUUU8KKKING SH*T REALLLLLLLY IS COMMM ON THE VOICE IS WHAT DOES MY FU8KING HEAD IN AND THE WAY IT'S SONG WHAT TYPE OF MUSIC IS THIS NY WAY IT JUST SOUNDS &^(*&^(*&(*&^(*&^ BAD,-0.6408,Negative,-0.6999999999999998,Negative,-0.6262519955635071,Negative
"Great !!!! dancing is the powerful  ....beautiful ,good for health & beauty because of this movement 😊
Love you Dance Monkey  😅",0.9853,Positive,0.49,Positive,0.8999777436256409,Positive
Как зовут первую,0.0,Neutral,0.25,Positive,0.5506919622421265,Positive
Yeah the first girl is soo good,0.7133,Positive,0.475,Positive,0.3855451941490173,Positive
"Great ! the powerful of dancing ....beautiful ,good for health & beauty because of this
movement 😊",0.9744,Positive,0.6666666666666666,Positive,0.8674013614654541,Positive
"Wow, last 3 girls are just .... amazing, all of them!",0.8356,Positive,0.2833333333333334,Positive,0.916249454021454,Positive
I do for sure she's good,0.6369,Positive,0.6,Positive,0.4801344871520996,Positive
Love it 😀 😍 ❤,0.9313,Positive,0.5,Positive,0.8599876165390015,Positive
Damn the first girl has cast a spell on me😅,-0.0516,Negative,0.25,Positive,0.3089832961559295,Neutral
So Geil ! eine wahre Freude. ❤❤❤,0.9647,Positive,0.31875,Positive,0.8959923982620239,Positive
Vous êtes un peut bizarre comme même pour le dance,0.2058,Positive,-0.34375,Negative,0.3777603805065155,Positive
Great!!!,0.7163,Positive,1.0,Positive,0.8222636580467224,Positive
What is this style of dance called?,0.0,Neutral,0.0,Neutral,-0.2453968077898025,Negative
ME GUSTA DESDE QUE ERA LA MISTERIOSA BAILARINA DE RICKY MARTIN,0.3612,Positive,0.0,Neutral,0.4571638703346252,Positive
