Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Rosé is on another level,0.0,Neutral,0.0,Netural,0.27281078696250916,Netural
Rosé ❤️💛🧡,0.8555,Positive,0.0,Netural,0.49219849705696106,Positive
I really need a Blackpink song like this again I really miss them...😭😭😭,-0.8268,Negative,0.2,Netural,-0.3604621887207031,Negative
W,0.0,Neutral,0.0,Netural,0.3924260437488556,Positive
I used to only know the song how you like that but now I know almost every song you guys have made,0.1901,Positive,0.0,Netural,0.4340653419494629,Positive
Essa descrição kkkkkk,0.4215,Positive,0.8,Positive,-0.2597656548023224,Negative
kangen,-0.1531,Negative,0.0,Netural,0.2756718099117279,Netural
"1:16

2:31",0.0,Neutral,0.0,Netural,-0.28711143136024475,Negative
Blackpink in your area 🖤💗,0.8779,Positive,0.0,Netural,0.500845730304718,Positive
rosanegro,0.0,Neutral,0.0,Netural,-0.27301913499832153,Negative
blackpink queen of world,0.0,Neutral,0.0,Netural,0.5705189108848572,Positive
I hate you Lisa,-0.5719,Negative,-0.8,Negative,-0.5772584080696106,Negative
2022 год. Есть ту слушатели этого шедевра.,0.7073,Positive,0.0,Netural,-0.37053272128105164,Negative
"l ❤ all songs of black pink 
but whistle song is my ❤favorite ❤❤❤❤",0.9846,Positive,-0.13333333333333333,Negative,0.2882617712020874,Netural
766.652,0.0,Neutral,0.0,Netural,-0.28709176182746887,Negative
Love it 💗🖤❤️❤️,0.936,Positive,0.5,Positive,0.8467325568199158,Positive
🖤💕,0.8591,Positive,0.0,Netural,0.30857792496681213,Netural
💚💚,0.8555,Positive,0.0,Netural,0.30857792496681213,Netural
I love this,0.6369,Positive,0.5,Positive,0.8869144320487976,Positive
Eu sou fã bleckpinkmusicas,0.3182,Positive,0.0,Netural,0.2519988715648651,Netural
🛑,-0.296,Negative,0.0,Netural,0.30857792496681213,Netural
"1:40.

""V badam badam badam..""


            (No hate..:(..)",-0.765,Negative,-0.175,Negative,-0.43451493978500366,Negative
766M,0.0,Neutral,0.0,Netural,0.26030153036117554,Netural
"Rosie's voice is amazing 
Jennie's rap is awesome
Lisa's dance is super",0.9153,Positive,0.6444444444444445,Positive,0.6976950168609619,Positive
Jennie's part is superrrrrr👌👌👌,0.9545,Positive,0.0,Netural,0.3624073565006256,Positive
I love Jennie's part so muchhhhhhh... ❤❤❤❤,0.9728,Positive,0.5,Positive,0.7033125758171082,Positive
"Yo soy adicta al ""Hey boy"" De Jisso 💙💙💙",0.9274,Positive,-0.4,Negative,0.37682291865348816,Positive
I'm obsessed with this song bruh +_+,-0.1779,Negative,-0.5,Negative,0.3883473873138428,Positive
I love it @_@,0.6369,Positive,0.5,Positive,0.8252403140068054,Positive
This beat :)))),0.0,Neutral,0.5,Positive,0.6586511135101318,Positive
"Love this song sm 💗😭
Jennie rap 💨💨
Lisa dance 💋
Jisoo hey boy 💗
Rosé vocal ✨",0.9517,Positive,0.5,Positive,0.8172122836112976,Positive
ke sini karna tweet twitter,0.0,Neutral,0.0,Netural,-0.3944759666919708,Negative
❤️❤️❤️❤️❤️❤️❤️❤️,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
5 years ago but I still fined it attractive,0.5927,Positive,0.8,Positive,0.557657778263092,Positive
"Como que essa música não tem 1B ainda blinks?????
How does this song still not have 1B blinks?????
이 노래에 1B 깜박임이 없는데?????",-0.4871,Negative,0.0,Netural,-0.642202615737915,Negative
Lest goo,0.0,Neutral,0.0,Netural,-0.26592880487442017,Negative
Vamos Por los 800M,0.0,Neutral,0.0,Netural,0.3469780683517456,Positive
위대한험하다구요 위도험하다구요,0.2263,Positive,0.8,Positive,-0.6559228897094727,Negative
kesini gegara kunkun 🤩,0.0,Neutral,0.0,Netural,0.31704461574554443,Netural
"766M görüntüləmə, 8,8M bəyənmə, 592K şərh 30.4.2022",0.4215,Positive,0.0,Netural,-0.5653427243232727,Negative
GO 800 M,0.0,Neutral,0.0,Netural,0.23940744996070862,Netural
i ked you can get the best forou to the 🍎🎵👸💃🎉❤️,0.7845,Positive,1.0,Positive,0.5479230284690857,Positive
"Hello, blink! please watch the clip duddudu as many times as possible! It would be fabulous if he reached 2B before June 15th! (it was released on June 15, 2018 according to my information) so for the anniversary of this sound, 2B! I think it's the best gift we can give to blackpink! Watch it 20 times a day if you have to, but please do your best! I come over you!",0.9553,Positive,0.5833333333333334,Positive,0.7397074699401855,Positive
Lisa is very very cute when they say numbers,0.5531,Positive,0.65,Positive,0.4106760621070862,Positive
BLACKPINK THE BEST,0.6369,Positive,1.0,Positive,0.8498963713645935,Positive
Blackpink in your area 🥰🥰🥰🥰,0.9837,Positive,0.0,Netural,0.500845730304718,Positive
Who likes the hey boy part,0.4215,Positive,0.0,Netural,0.329001247882843,Netural
10000/10,0.0,Neutral,0.0,Netural,0.5025588870048523,Positive
I am a very big fan of Blackpink . I am a blink.😍,0.6786,Positive,0.0,Netural,0.2946380078792572,Netural
"'WHISTLE' ES SUPERIOR. LA MEJOR  CANCIÓN DEBÚT DE LA TERCERA GENERACIÓN DE KPOP, DE MEJOR GIRL GRUOP:  LLAMADO BLACKPINK. LET GO BLINKS VAMOS POR 800 MILLONES PARA 'WHISTLE' VAMOS POR LAS TITANES DE KPOP : BLACKPINK!!",0.9492,Positive,0.675,Positive,0.4668528437614441,Positive
I am Indian so that I can't understand what you are saying but I love it and you,0.7783,Positive,0.5,Positive,0.6182927489280701,Positive
0:19,0.0,Neutral,0.0,Netural,-0.4795115292072296,Negative
19:00,0.0,Neutral,0.0,Netural,-0.33388611674308777,Negative
Tomorrow is another day,0.0,Neutral,0.0,Netural,0.40276554226875305,Positive
"Vamos nene, acercándome voy
un jackmate, la ganadora soy (ah huh)
Te tomo a ti, te abrazo fuerte
antes de que sea demasiado tarde, uh",0.7845,Positive,-0.23928571428571427,Negative,-0.2770746052265167,Negative
Its 2022 lets see who else is watching this masterpiece 🌟,0.7073,Positive,0.0,Netural,0.6368632912635803,Positive
Hwiparam uhhhhhh,0.0,Neutral,0.0,Netural,-0.3913590610027313,Negative
800M coming soon,0.0,Neutral,0.0,Netural,0.34169822931289673,Positive
💖💖💖,0.9595,Positive,0.0,Netural,0.30857792496681213,Netural
IGOT7 hamil ari ari,0.0,Neutral,0.0,Netural,0.24678337574005127,Netural
Igot7 hamil ari ari,0.0,Neutral,0.0,Netural,0.24678337574005127,Netural
go for 1B !!,0.0,Neutral,0.0,Netural,-0.3512135148048401,Negative
W,0.0,Neutral,0.0,Netural,0.3924260437488556,Positive
melhor musica de todas amei,0.6369,Positive,1.0,Positive,0.936495304107666,Positive
te amo Black pink,0.0,Neutral,-0.13333333333333333,Negative,-0.3155134320259094,Negative
34 MILLONES PARA LOS 800,0.0,Neutral,0.0,Netural,-0.3728976845741272,Negative
"Kok gw mikirnya org"" twitter sengaja ya bilang nih lagu horor kalo didengerin malem"" biar banyak yg kepo trs nyobain puter lagunya sekalian naikin views😂",0.3182,Positive,0.2,Netural,-0.5764690637588501,Negative
Keren banget,0.3804,Positive,0.45499999999999996,Positive,0.24870508909225464,Netural
Quien amando a Jennie 💜,0.8442,Positive,0.6,Positive,0.4973814785480499,Positive
와 몇년만에왔는데 조회수레전드다,0.5859,Positive,-0.05,Negative,0.2350899577140808,Netural
I love you bebeklerim,0.6369,Positive,0.5,Positive,0.7983485460281372,Positive
يجنننوووووووو 😭💗,0.0,Neutral,0.0,Netural,-0.32751938700675964,Negative
Rose looks fabulous as always,0.5267,Positive,0.5,Positive,0.810510516166687,Positive
