Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
we need a comeback!,0.0,Neutral,0.0,Neutral,0.544043779373169,Positive
Me when my mom lets me keep the change.,0.0,Neutral,0.0,Neutral,0.2944320142269134,Neutral
Love,0.6369,Positive,0.5,Positive,0.6595039963722229,Positive
❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Lalisa Manoban♡,0.0,Neutral,0.0,Neutral,0.3860479891300201,Positive
I believe we can reached 700M this year,0.1027,Positive,0.0,Neutral,0.3868783712387085,Positive
Blessed eid,0.5994,Positive,0.0,Neutral,0.8108677268028259,Positive
Still in the World's Trend wow she is really soo powerful,0.7832,Positive,0.2,Positive,0.655232310295105,Positive
Such Powerful lyrics Lisa. Queen indeed rap & dance star,0.4215,Positive,0.15,Positive,0.7284455299377441,Positive
BlackPiнк wow Mila💎💎💜💜💜💘💘💗❤️❤️🥰😘😘,0.9926,Positive,0.1,Positive,0.6403377056121826,Positive
"DESCLAIMER :- This song is really addictive 😁 
[Because of Lisa's style ]",0.4588,Positive,0.0,Neutral,0.4629418551921844,Positive
Swag girl Lisa,0.0,Neutral,0.0,Neutral,0.3076402246952057,Neutral
Can't wait for them to come back K-pop queens,0.0,Neutral,0.0,Neutral,0.2622600495815277,Neutral
"Every time I finish listening to this song, I'm full of energy",0.2732,Positive,0.35,Positive,0.7472859025001526,Positive
"Describe Lisa
She is a dancer 
She is a singer
She is an idol 
She is a rapper
She is beautiful 
She is a cutie
According to me lisa is in everything💗",0.9062,Positive,0.85,Positive,0.4053601920604706,Positive
"The queen of beauty, music, dance and creativity... She is Lisa 💗",0.9062,Positive,0.0,Neutral,0.8379544019699097,Positive
"She's a literal queen, living without a crown💗",0.5693,Positive,0.0,Neutral,-0.3076834976673126,Negative
"Everyone! Move aside,  the queen is finally here and she's servin everything! To the looks, the vocals, the rap, the lyrics, the outfits, the set, the concept and everything. Literally everything!! 
Queen👸👑💗",0.7946,Positive,0.0,Neutral,0.7686426043510437,Positive
"The fact that this song went viral all around the world just says how much we (fans) love her, theres no one who does it like her💗",0.886,Positive,0.35,Positive,-0.3872365951538086,Negative
This song is such a banger I can't stop listening to it...💗,0.7775,Positive,0.0,Neutral,-0.6626636385917664,Negative
"Singer✅
Dancer✅
Rapper ✅
Beauty ✅
Moral✅
Personality ✅
Lisa got everything girl😌",0.7506,Positive,0.0,Neutral,0.6950762867927551,Positive
Srar,0.0,Neutral,0.0,Neutral,-0.2914600670337677,Negative
Still trending till now what an iconic debut,0.0,Neutral,0.5,Positive,0.7210672497749329,Positive
💯,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Wow i cant say it i say i love it😍😍,0.9325,Positive,0.3,Positive,0.8667087554931641,Positive
Can we reach to 1B?,0.0258,Neutral,0.0,Neutral,0.274567574262619,Neutral
Lisa es la persona más increíble que he conocido,0.624,Positive,0.55,Positive,0.8905290365219116,Positive
Bu ask değilde ne be,-0.5216,Negative,0.5,Positive,-0.554503321647644,Negative
Perfect<33,0.0,Neutral,0.0,Neutral,0.8317386507987976,Positive
We love you LISAAA,0.6369,Positive,0.5,Positive,0.5619935989379883,Positive
love lisa  😍,0.802,Positive,0.5,Positive,0.6810336112976074,Positive
Muy buena musica y coreografía,0.4927,Positive,0.91,Positive,0.6607348918914795,Positive
Luv uhhh,0.0,Neutral,0.0,Neutral,0.3015097975730896,Neutral
donde Lisa😂                                                               tan hermosa🤩😍🥰               pensastes que iva a insultar a tu idolo yo no hago eso,0.9447,Positive,0.0,Neutral,-0.4053665995597839,Negative
Dollar bills 2x,0.0,Neutral,0.0,Neutral,-0.5118502378463745,Negative
Addiction is INSANE!!!,-0.6496,Negative,-1.0,Negative,-0.8105344176292419,Negative
"After 7 Months, It Is Still on Trending  in 27th Globally . I Love This Song ❤️",0.6369,Positive,0.5,Positive,0.752540647983551,Positive
dude this girl is no joke,-0.2235,Negative,0.0,Neutral,-0.4572227001190185,Negative
Only MS. Manobal thing.,0.0,Neutral,0.0,Neutral,-0.3068815469741821,Negative
All blinks are missing the old blackpink house🥺,-0.296,Negative,-0.05,Negative,-0.3442980051040649,Negative
"every day i will say how much i love you in some corner of the earth. you are the one who inspires me every day, you are the one who advises me with songs and gestures, moving on is no longer difficult, Thank you for everything Lisa, for being who you are and for making so many people happy! You are amazing, you are a star that shines in the darkness, you are my light, my princess, I love you so much, forever ❤️",0.9673,Positive,0.4,Positive,0.962880790233612,Positive
So cool! Love it,0.8107,Positive,0.46875,Positive,0.8847594857215881,Positive
Esta chica es increíble,0.5859,Positive,0.6000000000000001,Positive,0.831020712852478,Positive
554.2m,0.0,Neutral,0.0,Neutral,0.2972781956195831,Neutral
CHIPS KILLER )))  CHINA   URRA ))  por la PAZ,-0.2023,Negative,0.0,Neutral,0.4665398299694061,Positive
te amo Lisa ❤️🥺,0.6369,Positive,0.5,Positive,0.2424857914447784,Neutral
*Acabei de postar 50 FATOS sobre a Lisa no meu canal venham ver ❤️*,0.0,Neutral,0.0,Neutral,-0.6830917596817017,Negative
Tuyệt,0.6249,Positive,0.8,Positive,0.4157778620719909,Positive
"I hope lisa will stop using hairspray to her bangs, shes more beautiful with her natural bangs, but overall, the performance is awesome and I really love the song. I love you lisa to the moon and back❤️❤️❤️",0.9761,Positive,0.4928571428571429,Positive,0.4730092585086822,Positive
banger yesssp,0.0,Neutral,0.0,Neutral,-0.3691119849681854,Negative
LISAAAA ilys,0.0,Neutral,0.0,Neutral,0.2964988946914673,Neutral
I’m so confused! Why is this more popular than LALISA?,0.2003,Positive,0.1999999999999999,Positive,-0.523901641368866,Negative
73.9m subs 💪,0.0,Neutral,0.0,Neutral,0.3466987311840057,Positive
Still waiting for jisoo's solo album,0.0,Neutral,0.0,Neutral,0.2955377399921417,Neutral
Junho 600M 💪,0.0,Neutral,0.0,Neutral,-0.3250740170478821,Negative
❤,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
"Lisa te amoooooo
tremendo temazoooo de la princesa de Tailandia sisisi",0.6369,Positive,0.4166666666666666,Positive,0.4591496884822845,Positive
Don't worry you are not the only one who listen to this MASTERPIECE 🐐,0.848,Positive,0.0,Neutral,0.613710343837738,Positive
gente tô na festa de aniversário da minha prima e estou como DJ hahahaha estou colocando muitas música do Black Pink HAHAHAHA E MONEY NÃO PODE FALTAR NÉ? 😜❤️,0.5699,Positive,0.0838095238095238,Positive,0.3445979952812195,Positive
Lisa is Love.... Lisa is Life 😌❤️,0.7783,Positive,0.5,Positive,0.6609248518943787,Positive
Star ✨,0.3182,Positive,0.0,Neutral,-0.7118279933929443,Negative
ปังที่สุด,0.0,Neutral,0.5,Positive,0.2415462583303451,Neutral
600M cố lênnnn,-0.3612,Negative,0.0,Neutral,0.2274679392576217,Neutral
What a song 💥,-0.3612,Negative,0.0,Neutral,0.5956032872200012,Positive
May for Lalice,0.0,Neutral,0.0,Neutral,0.326819360256195,Neutral
"Targets of Blinks and Fansé, Lililes, Jensetters, Sooyas:
Boombayah: 1 billion 500 million views!
Gone-200 million turns 
On The Ground: 300 million views (2 Rosie's MVs are at the top because views are growing very slowly 😔)
Lalisa:500 million views
Money:600 million views
Solo:900 million views
Waiting for Jisoo to release her MV",0.522,Positive,0.0549999999999999,Positive,-0.485354334115982,Negative
She is the best I can't help it,0.4482,Positive,1.0,Positive,0.7013059854507446,Positive
Let's go 600 milion view,0.0,Neutral,0.0,Neutral,0.2629874646663666,Neutral
love Queen kpop Lisa,0.6369,Positive,0.5,Positive,0.6806933879852295,Positive
Vamos lisa,0.0,Neutral,0.4,Positive,-0.4405300617218017,Negative
ليسا من اسود وردي اغنيتها ادمان,0.0,Neutral,-0.0888888888888888,Negative,-0.326152503490448,Negative
this beat is way too hard,-0.1027,Negative,-0.2916666666666667,Negative,-0.4432422220706939,Negative
갈비뼈가 보여서 다이어트 과한거 아닌가 걱정됩니다 :(,-0.6249,Negative,-0.75,Negative,0.294539600610733,Neutral
"Time passing by, but I’m still here listening to this masterpiece!",0.8444,Positive,0.0,Neutral,0.5066260099411011,Positive
"Pov:*casa sola pones Money a todo volumen y empiezas a lavar los trastes*
lo mejor",0.4939,Positive,0.675,Positive,0.437800645828247,Positive
"Esta canción para mi es un mezcla de emociones 
A y aveces siento que fue ayer la primera vez que la escuche y fue lanzada y ya han pasado 7 largos meses uff",0.3612,Positive,0.1,Positive,0.5131640434265137,Positive
ฉันรักลิซ่า❤️❤️,0.6369,Positive,0.5,Positive,0.3085779249668121,Neutral
Espectacular,0.0,Neutral,0.6,Positive,0.8134649991989136,Positive
อยากเหนน้องในงาน Met gala,0.0772,Positive,0.0,Neutral,0.4833164811134338,Positive
i can be the drop some money⚡️⚡️⚡️,-0.2732,Negative,0.0,Neutral,0.4358534812927246,Positive
💖🎀💖,0.9153,Positive,0.0,Neutral,0.3085779249668121,Neutral
Nhạc rất hay 🥰🥰,0.9587,Positive,0.91,Positive,0.2980828285217285,Neutral
why bread connect to this lyrics,0.0,Neutral,0.0,Neutral,0.397847831249237,Positive
554M,0.0,Neutral,0.0,Neutral,0.2286604940891266,Neutral
lisa world domination,-0.0516,Negative,0.0,Neutral,0.474568635225296,Positive
kraliçem,0.0,Neutral,0.0,Neutral,0.2542647123336792,Neutral
"بلينكز؟؟👀
الاغنيهه دمااااررر للحين اسمعها تجنن😭♥️",-0.168,Negative,-0.6,Negative,-0.5587356090545654,Negative
I love you ❤❤❤❤❤❤❤💃🕺🎶,0.9887,Positive,0.5,Positive,0.8701996207237244,Positive
soy yo o en unas partes del video se le miran a lisa las costillas,0.0,Neutral,0.0,Neutral,-0.3793394565582275,Negative
¡¿Por qué esta OBRA MAESTRA no tiene video?!?! YG exijo un clip!!!,-0.8212,Negative,0.0,Neutral,-0.6456612348556519,Negative
I lave you Lisa♥️🫶🏻🌈🌈,0.6369,Positive,0.0,Neutral,0.3911177814006805,Positive
😻,0.4588,Positive,0.0,Neutral,0.3085779249668121,Neutral
"The fact that this song went viral all around the world just says how much we (fans) love her, theres no one who does it like her",0.6705,Positive,0.35,Positive,-0.4623588025569916,Negative
Amo essa musica,0.6369,Positive,0.5,Positive,0.6222327351570129,Positive
queen of kpop,0.0,Neutral,0.0,Neutral,0.7131686210632324,Positive
I love you Lisa 👑💖🎂,0.891,Positive,0.5,Positive,0.8532382249832153,Positive
I LOVE YOU LISA,0.6369,Positive,0.5,Positive,0.8346372842788696,Positive
I love you lisa me 🇹🇷,0.6369,Positive,0.5,Positive,0.8511523604393005,Positive
Lisa❤️❤️❤️❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Money by my fave soloist,0.4404,Positive,0.0,Neutral,0.2701582312583923,Neutral
0:23,0.0,Neutral,0.0,Neutral,-0.4416943490505218,Negative
Şarkıyı her açtığımda Squıd Game aklıma geliyor Çok güzel bayılıyorum,0.8483,Positive,0.1999999999999999,Positive,0.4441023170948028,Positive
👑L A L İ S A  M O N O B A L👑,0.8159,Positive,0.0,Neutral,0.2755621075630188,Neutral
wUW,0.0,Neutral,0.0,Neutral,0.2564293146133423,Neutral
553.8m,0.0,Neutral,0.0,Neutral,0.3190134167671203,Neutral
Lisa is the best Kpop dancer within the industry.,0.6369,Positive,1.0,Positive,0.8096022605895996,Positive
Q PERFEIÇÃO,0.5719,Positive,0.0,Neutral,0.7049832344055176,Positive
리포트 지난 주말 토요일 밤,0.0,Neutral,0.0,Neutral,0.2883943319320678,Neutral
Ummm,0.0,Neutral,0.0,Neutral,0.2445404231548309,Neutral
Nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
Pasen por SG tamb y lilifilm the movie está cerca de certificar 100M pleeeese,0.0,Neutral,0.0,Neutral,-0.3142634034156799,Negative
bellaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaasssssssssssssss reina,0.0,Neutral,0.0,Neutral,0.5616476535797119,Positive
Seni çok seviyorum lisa,0.6369,Positive,0.35,Positive,0.3635529279708862,Positive
