Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Paulo ahora quedaste cómo otro cartonero 😅 te lo dice duki skereee 😅 buena paulo buen temón,0.8442,Positive,0.7,Positive,0.4517287313938141,Positive
Me encanta ese tema tipo HEAVY 😍🤩🤩🤩,0.802,Positive,0.15,Netural,0.6905028223991394,Positive
STREAM DESPUÉS DE LAS DOCE,0.0,Neutral,0.0,Netural,-0.2566661536693573,Negative
"Eres mi ídolo y te amo ❤
Eres todo un rey y siempre lo serás, las leyendas nunca mueren 💖💖💖",0.9642,Positive,0.5,Positive,0.9266983866691589,Positive
"La repito una y otra vez, y no me canso de oirla
Te amo Paulo, eres el mejor 💖
Eres un rey ❤",0.9698,Positive,0.3666666666666667,Positive,0.8367635607719421,Positive
kiero saver nada de ti,0.0772,Positive,0.0,Netural,-0.40701553225517273,Negative
te amo pauloooooo!!!!!!,0.0,Neutral,0.0,Netural,0.3776458203792572,Positive
ESTAS SON LEYENDAS QUE NUNCA MUEREN,0.4847,Positive,0.0,Netural,0.5951768755912781,Positive
"No es un  adan ni una eva 

Es un  plan A  los dice paulo londra😝😝",0.0,Neutral,0.0,Netural,-0.47193798422813416,Negative
❤️❤️😍😍,0.7184,Positive,0.0,Netural,0.30857792496681213,Netural
"¿LE SE O NO LE SE AL SHITPOST ?


😭😭😭😭😭😭😭😭😭😭😭",-0.9862,Negative,0.0,Netural,-0.4648081362247467,Negative
LEONES CON FLOW🔥🔥🔥🇸🇪🇸🇪🇦🇷🇦🇷,-0.5859,Negative,0.0,Netural,0.27753129601478577,Netural
nueva cancion fav oficialmente ❤,0.802,Positive,0.13636363636363635,Netural,0.5283023715019226,Positive
"Lastima  que no pusieron mùsicos reales en el video, el tecladista simula que toca cuando no suena el teclado en el tema, pero eso son errores del que produjo el video. La canciòn muy buena.",0.0745,Positive,0.2025,Netural,0.3357503414154053,Positive
Valió la pena esperar tanto tiempo 😞,-0.3566,Negative,0.125,Netural,0.4160041809082031,Positive
El verdadero esa no porq lloro:,0.3724,Positive,0.2,Netural,0.4461438059806824,Positive
espere mucho esta cancion,0.0,Neutral,0.0,Netural,0.5704708099365234,Positive
"108 Millones, las leyendas siempre se recuerdan",0.0,Neutral,0.0,Netural,0.6080732345581055,Positive
Saludos desde chile mi hija y yo nos encantas :),0.875,Positive,0.5,Positive,0.836122989654541,Positive
Eres el mejor Te extrañamos  :),0.765,Positive,0.75,Positive,0.8351054191589355,Positive
es la mejor cancion que e escuchado,0.6369,Positive,1.0,Positive,0.8614359498023987,Positive
Entre ese grupo que se formó en Big ligas para mí el que siempre destacó fue Paulo londra y siempre fue el siempre con éxitos Paulo tu puedes 🙌🙌🙌 éxitos y bendiciones que todos los anhelos de tu corazón se cumplan 🙌😊🙏,0.9747,Positive,0.375,Positive,0.7475355863571167,Positive
"1 mes y aun en tendencia, grande Paulo Londra",0.6249,Positive,0.8,Positive,-0.2872397005558014,Negative
Grande Paulo....,0.6249,Positive,0.8,Positive,0.341842383146286,Positive
Temazos como estos si que duran,0.3612,Positive,0.0,Netural,0.4078391194343567,Positive
♥,0.6369,Positive,1.0,Positive,0.3810153007507324,Positive
Estas en plan A en mi playlist 🤷🏿‍♂️🔥,-0.34,Negative,0.0,Netural,0.4901297092437744,Positive
"𝑃𝑎𝑢𝑙𝑜 𝑙𝑜𝑛𝑑𝑟𝑎-𝑃𝑙𝑎𝑛 𝐴- 𝐿𝑒𝑡𝑟𝑎

Quiero saber qué soy para ti
Porque siempre que no' vemos, se me olvida decir
Que ando muy confundido, tus besos son má' fríos
Y empiezo a creer, que soy uno má' de tus amigos
Ando siempre en la nada, se hace de noche y no llama
Me dice: ""mejor mañana"", que ya tiene otro' planes
Y yo esperaba ser el primero
Tu plan A, no el tercero
Pero estamo' lejos
De sentir lo mismo, es siempre lo mismo
Esperaba ser el primero
Tu plan A, no el tercero
Pero estamo' lejos
De sentir lo mismo, es siempre lo mismo
Esperaba, por lo menos
Una indicación para ver cómo hacemos (plo, plo, plo)
Si debo de mantenerme cerca o má' lejos
Porque ahora besa' rápido y ante' era lento (oh)
Ya no lo entiendo, 'toy que me pierdo (pierdo, pierdo)
En esas noches cuando fumo y bebo
Parece que soy un zombi, ando medio muerto
Pasa que intento entenderte
Y no te entiendo, ¿cuál es mi puesto?
Si voy primero o voy tercero
No te entiendo, ¿cuál es mi puesto?
Si voy primero o voy tercero
Ando muy confundido, tus besos son má' fríos
Y empiezo a creer, que soy uno má' de tus amigos
Ando siempre en la nada, se hace de noche y no llama
Me dice: ""mejor mañana"", que ya tiene otros planes
Y yo esperaba ser el primero
Tu plan A, no el tercero (¡no!)
Pero estamo' lejos
De sentir lo mismo, es siempre lo mismo
Esperaba ser el primero
Tu plan A, no el tercero
Pero estamo' lejos
De sentir lo mismo, es siempre lo mismo
Quiero saber qué soy para ti
Porque siempre que no' vemos, se me olvida decir",0.9552,Positive,0.03520325203252032,Netural,0.336740642786026,Positive
#Paulo hacete cargo,0.0,Neutral,0.0,Netural,0.3072664439678192,Netural
Volvió el león!!!!,0.0,Neutral,0.0,Netural,-0.48736271262168884,Negative
🦁🦁🔥🔥🔥,-0.7351,Negative,0.0,Netural,0.30857792496681213,Netural
"Parece que soy un zombie ando medio muerto 
Pasa que intento entenderte y no te entiendo
Cuál es mi puesto, si voy primero o voy tercero.",-0.6486,Negative,-0.029166666666666674,Negative,-0.6154574155807495,Negative
Quiero saber que soy para ti...,0.0772,Positive,0.0,Netural,0.4079356789588928,Positive
El director de este video no sabe como el baloncesto funciona.,0.0,Neutral,0.0,Netural,-0.4618207812309265,Negative
Para mí Eres el mejor de Argentina y de muchos países.. Friend..🌎🐎✍,0.891,Positive,0.75,Positive,0.8551619648933411,Positive
"Como te extrañeeeeeeeee, necesitaba una dosis de tus canciones",-0.296,Negative,0.0,Netural,0.3120381534099579,Netural
Media España llevo escuchando esta joya a la q llamamos canción y no me canso,0.6464,Positive,-0.2833333333333333,Negative,0.36913803219795227,Positive
MI PAULITO❤️ TE AMO ❤️,0.7125,Positive,0.5,Positive,0.49605560302734375,Positive
👍👍👍 denle like si les encanta esta canción,0.7717,Positive,0.5,Positive,0.624447762966156,Positive
