Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Tanqr can u get me  all kits plzz name queenmayhem_10  when i get robox i will give u and add me plz and do live plz,0.1531,Positive,0.1363636363636363,Neutral,0.4268326461315155,Positive
Tanqr why the hell do u laugh like that,0.128,Positive,0.3,Neutral,-0.4463810920715332,Negative
"When you have to pull out MS paint, you know theres going to be a big brain moment",0.0,Neutral,0.0,Neutral,0.2657929062843323,Neutral
i dare you to say Mike hawk is stuck in the wall in a video,-0.25,Negative,0.0,Neutral,-0.3044548332691192,Negative
"Will u ever do a setup on how u play bedwars (like what PC u use,mouse.headphones,keyboard)",0.5994,Positive,0.0,Neutral,0.5908723473548889,Positive
Arsenal challenge: you have to do head shot only you have 5 attempts if you fail you have to lose your bedwars win streak,-0.2732,Negative,0.1,Neutral,0.2356746643781662,Neutral
"he used to have so much fun playing this game, its sad that his attitude towards it only got worse, but still epic content and ur my fav always man!",0.614,Positive,-0.1458333333333333,Negative,0.5287835597991943,Positive
When are u 1v1 tap,0.0,Neutral,0.0,Neutral,0.2364610284566879,Neutral
tips for new players dont rush if u rush waste of iron let them rush if they dont means they noob mean only proz rush so hen u rush mean ez iron then get ems bc lot of ppl dont get ems then get max damage then get axe for beds dont protect bed then 78 percentage to win if u pro and use this u 100 percentage too win from i have less friends my user name Dragonsonic123456789 i like pancakes :) have a noice day :))))),0.8741,Positive,0.1744696969696969,Neutral,-0.5118527412414551,Negative
yo tanqr try to do the 1v100 challenge (custom match),0.0772,Positive,0.0,Neutral,0.3725896179676056,Positive
tanqR you can reprt this guy is name is join_bot pls reprt join am in you can see am hack,0.5719,Positive,0.0,Neutral,-0.5469048619270325,Negative
TanqR can i 1v1 u at may 14 2022? 5:00,0.0,Neutral,0.0,Neutral,-0.5810633301734924,Negative
if only tanqr replied...,0.0,Neutral,0.0,Neutral,-0.3071655035018921,Negative
I feel sick So I watch tanqr NOW IM ON MY PC CRANKIMG 60S GETTING 52 WINS AND I VOMIT ON YHE FLOOR ON MY KNEES,0.2808,Positive,-0.2071428571428571,Negative,-0.5698171854019165,Negative
Tanqr is the best YouTuber,0.6369,Positive,1.0,Positive,0.8839760422706604,Positive
WHY DO U HAVE NO FRIENDS I SAW UR PROFILE,-0.3724,Negative,0.0,Neutral,-0.412454217672348,Negative
This is the only reason i don't play bedwars i get dumber every minute while playing it,-0.409,Negative,0.0,Neutral,-0.5017067790031433,Negative
please do a video of you reacting to people killing you in roblox bedwars or any other game,-0.4767,Negative,-0.2625,Negative,-0.4967236816883087,Negative
adro12o12,0.0,Neutral,0.0,Neutral,0.3039979338645935,Neutral
Guy: teams in solo when there is a gamemode for two people But has the audacity to say play fair and square,0.7227,Positive,0.7,Positive,0.4557467103004455,Positive
NO NOO. NOooooooOOOOOOOOoOoOoO,-0.4466,Negative,0.0,Neutral,-0.5831689834594727,Negative
1v1me tankr server me name me. hwe19kan,0.0,Neutral,0.0,Neutral,-0.2673012912273407,Negative
Hi tankr plis play arsenal,0.4005,Positive,0.5,Positive,0.4430664777755737,Positive
Uhm tanqr we forgot about ur channel,0.0,Neutral,0.0,Neutral,-0.4368692934513092,Negative
you should try to play minecraft bedwars to see if you good at that,0.6486,Positive,0.7,Positive,0.286090612411499,Neutral
save earth,0.4939,Positive,0.0,Neutral,0.42483651638031,Positive
play  some attack on titan games it doesnt have to be roblox just smth else pls we got enough bedwars,-0.1027,Negative,0.0,Neutral,0.3684564232826233,Positive
you know arsenal i having headshots alot cuz of you i got inspired of you thx alot :),0.8271,Positive,0.5,Positive,0.4420439004898071,Positive
"Next video idea:absolutely rekt  people and say ""EZ EZ"" on solos (also in the last match 2v1 random people and your the team with 1 player)",0.0,Neutral,-0.1666666666666666,Negative,-0.4873523116111755,Negative
Hi tanqr can you plssss play big paint ball and kill the flip out of ppl,-0.5106,Negative,0.0,Neutral,-0.2462817877531051,Negative
Day 5 of asking tanqr to play roblox hoopz,0.34,Positive,0.0,Neutral,-0.297998309135437,Negative
Can you play today 3:00,0.34,Positive,0.0,Neutral,0.3990378975868225,Positive
!!!,0.0,Neutral,0.0,Neutral,-0.3101676106452942,Negative
"I defeated a hacker. In the doubles
 with spirits",-0.4767,Negative,0.0,Neutral,0.4606810808181762,Positive
