Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Still listening in 2022🥲😭,-0.4767,Negative,0.0,Neutral,0.3466874063014984,Positive
"God I miss the 2000's, such a great time.",0.6808,Positive,0.4,Positive,0.859255850315094,Positive
"The amount of nostalgia with this track, from 22 years back...
*It's one of a kind.*",0.5267,Positive,0.3,Positive,0.3851310312747955,Positive
❤️🌹🇧🇷🦜🙏,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
"I hate this song
I hate this song",-0.8126,Negative,-0.8,Negative,-0.8237776756286621,Negative
Dream Stans be like,0.5423,Positive,0.0,Neutral,0.3849209547042846,Positive
Still stunning - what a song,0.3818,Positive,0.5,Positive,0.5576063990592957,Positive
2022 🥲,0.0,Neutral,0.0,Neutral,0.2993581593036651,Neutral
her saying stanley is the most annoying shit tbh,-0.7828,Negative,-0.1666666666666666,Negative,-0.7578755617141724,Negative
Any literally me guy….???,0.0,Neutral,0.0,Neutral,-0.6187820434570312,Negative
"Find a better song,












I'm waiting.....",0.4404,Positive,0.5,Positive,-0.3674506247043609,Negative
his wordplay is top tier,0.2023,Positive,0.5,Positive,0.6541411280632019,Positive
Hay quá,0.3804,Positive,0.35,Positive,0.2703143060207367,Neutral
Қазақтар барма,0.0,Neutral,0.0,Neutral,-0.234156534075737,Negative
Best song 🤍,0.6369,Positive,1.0,Positive,0.8443126082420349,Positive
The censoring is so disgusting,-0.656,Negative,-1.0,Negative,-0.79521244764328,Negative
"I saw an address in a magazine that said eminem would get his fan mail. Wrote the guy a letter, never heard back lol",-0.0083,Neutral,0.4,Positive,-0.6143121719360352,Negative
La amo esa canción,0.6369,Positive,0.5,Positive,0.6536148190498352,Positive
#1ofTheBest!🙌🏽🔥🔥🔥🎤,-0.7574,Negative,0.0,Neutral,0.4273069202899933,Positive
WUAT!! 😗,0.0,Neutral,0.0,Neutral,-0.4655762612819671,Negative
"""A man cries not because he is weak, but because he has been strong for too long.""",0.3919,Positive,0.0027777777777777,Positive,-0.3788766860961914,Negative
"Literally, I haven't seen this video in 19 years.",0.0,Neutral,0.0,Neutral,-0.6671678423881531,Negative
