Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Esto Si Es 8D 🔥,0.4995,Positive,0.0,Neutral,0.2926062643527984,Neutral
Esto Si Es 8D 🔥,0.4995,Positive,0.0,Neutral,0.2926062643527984,Neutral
Çok güzel  YAAAAA despa sido,0.4754,Positive,0.78,Positive,0.4385543465614319,Positive
Please reply me say hi hello,0.3182,Positive,0.0,Neutral,-0.4082339406013489,Negative
First time I listening this song very-2 like this song 😊😊,0.926,Positive,0.25,Neutral,0.4106739163398742,Positive
"000% understanding 
100% enjoyment 😂😂😂",0.9062,Positive,0.0,Neutral,0.8442503213882446,Positive
Nothing to say 😍😍😍,0.5454,Positive,0.0,Neutral,-0.4244185984134674,Negative
Ribet,0.0,Neutral,-0.5,Negative,0.250778466463089,Neutral
My all time favourite❤👑,0.6369,Positive,0.0,Neutral,0.8829513192176819,Positive
The music is amazing and iam loved this song❤️❤️❤️,0.8271,Positive,0.65,Positive,0.8201106190681458,Positive
I cant understand any lyrics of this song..but i most like this....😘😘😘😘😘,0.9412,Positive,0.5,Positive,0.3596611022949219,Positive
💕💕❣😌💕😌❣💕😌❣💕💕❣😌💕💕❣😌💕❣💕😌💕💕💕😌😌😌💕😌❣😌❣😌,0.9991,Positive,0.0,Neutral,0.3085779249668121,Neutral
"Understanding: 0%
Enjoying: 100%",0.5267,Positive,0.5,Positive,0.662958562374115,Positive
"Not understanding a single word
Enjoying alooooooootttt!!............ 😂🤣😂🤣🤣🤣",0.9705,Positive,0.3549107142857143,Positive,-0.2564223110675812,Negative
PURA NOSTALGIA,0.0,Neutral,0.0,Neutral,0.6230804324150085,Positive
Nice song,0.4215,Positive,0.6,Positive,0.4662424027919769,Positive
"-000 % understanding
+100 % enjoying",0.5267,Positive,0.5,Positive,0.8303183317184448,Positive
Wow,0.5859,Positive,0.1,Neutral,0.6995608806610107,Positive
"Eu consigo entender um pouco do que ele fala, eu falo português mas consigo entender",0.0,Neutral,-0.1875,Negative,0.3779696822166443,Positive
So cool,0.3804,Positive,0.35,Positive,0.67906254529953,Positive
OK NOW HIS VOICE CANT BE MORE PERFECT 😍😍😍,0.8228,Positive,0.6666666666666666,Positive,0.6334441900253296,Positive
Awesomeeee❤️😀🔥....Love From India❤️😍,0.6705,Positive,0.0,Neutral,0.6321104168891907,Positive
للحين اسمعها,0.0,Neutral,0.0,Neutral,0.274471253156662,Neutral
മലയാളീസ് ഇങ്ങു പോരെ 😂,0.0,Neutral,0.0,Neutral,0.2730135917663574,Neutral
"JHOPE: PASITO A PASITO SUAVE SUAVECITO JJAJAJAJ
QUIERO VER BAILAR TU PELO QUIERO SER DORITO JAAJJAJAJA",0.1531,Positive,0.3333333333333333,Positive,-0.2722306847572326,Negative
I understand only one world. Despacito,0.0,Neutral,0.0,Neutral,-0.5692830681800842,Negative
Ohh my good just love it so much🥰🥰😍😍,0.9802,Positive,0.5,Positive,0.7558714151382446,Positive
Awesome bro,0.6249,Positive,1.0,Positive,0.6995285153388977,Positive
Goooooooooooood,0.0,Neutral,0.0,Neutral,0.2351989299058914,Neutral
following you from 🇮🇶🇮🇶🇮🇶,0.0,Neutral,0.0,Neutral,0.3361643254756927,Positive
full concert like like feel...........,0.6124,Positive,0.35,Positive,0.5738368034362793,Positive
All Bgm are really very good in this video bcz it differs from video to video ❤️,0.5379,Positive,0.91,Positive,0.608772873878479,Positive
🇱🇰🇱🇰🇱🇰🇱🇰 best 🎵💞,0.8591,Positive,1.0,Positive,0.6830523610115051,Positive
Its jst wowww...,0.0,Neutral,0.0,Neutral,0.2793914377689361,Neutral
Good job😉😉😉😉😎 by Sri Lanka 🇱🇰🇱🇰🇱🇰🇱🇰🇱🇰,0.7096,Positive,0.7,Positive,0.4857719838619232,Positive
Wow✨✨😍,0.886,Positive,0.0,Neutral,0.3085779249668121,Neutral
I like it,0.3612,Positive,0.0,Neutral,0.5181156396865845,Positive
