Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Yeah this song is hit the spot bacon eggs bacon eggs bacon eggs I am so freaking thankful for my eggs,0.3741,Positive,0.0,Neutral,-0.4514115452766418,Negative
Its like mean girls,0.3612,Positive,-0.3125,Negative,0.3055432140827179,Neutral
You’re so beautiful can you to my house in  North America in Dewey street 201  my door is number 12,0.6697,Positive,0.85,Positive,0.7799216508865356,Positive
Oh Ariana loves pink,0.5719,Positive,-0.1,Negative,0.6262707114219666,Positive
I LOVE IT!❤️❤️❤️😍,0.8491,Positive,0.5,Positive,0.912941038608551,Positive
i like this song Ariana Grande,0.3612,Positive,0.0,Neutral,0.5990080833435059,Positive
Thank you next,0.3612,Positive,0.0,Neutral,0.5764452219009399,Positive
HORRIBLE,-0.5423,Negative,-1.0,Negative,-0.9311315417289734,Negative
This song is always going to be a gem.,0.0,Neutral,0.0,Neutral,0.6918275952339172,Positive
And she is regina gorge,0.0,Neutral,0.0,Neutral,0.5535739660263062,Positive
The remake of mean girls,0.0,Neutral,-0.3125,Negative,0.3581152558326721,Positive
0:45,0.0,Neutral,0.0,Neutral,-0.4426338374614715,Negative
You you're my favorite celebrity,0.4588,Positive,0.5,Positive,0.9052802324295044,Positive
This music video and song is still so iconic,0.0,Neutral,0.5,Positive,0.8077027797698975,Positive
Is that Kim's mom ?,0.0,Neutral,0.0,Neutral,0.314480185508728,Neutral
Why nobody is talking about Kris Jenner at the end literally iconic lol.,0.4215,Positive,0.65,Positive,0.6292918920516968,Positive
Qeen,0.0,Neutral,0.0,Neutral,0.2510891556739807,Neutral
"Lyrics🎧

Thought I'd end up with Sean
But he wasn't a match
Wrote some songs about Ricky
Now I listen and laugh
Even almost got married
And for Pete, I'm so thankful
Wish I could say ""thank you"" to Malcolm
'Cause he was an angel

One taught me love
One taught me patience
And one taught me pain
Now, I'm so amazing
Say I've loved and I've lost
But that's not what I see
So, look what I got
Look at what you taught me
And for that, I say

Thank you, next (next)
Thank you, next (next)
Thank you, next
I'm so grateful for my ex

Thank you, next (next)
Thank you, next (next)
Thank you, next (next)
I'm so

Spend more time with my friends
I ain't worried 'bout nothin'
Plus, I met someone else
We're havin' better discussions
I know they say I move on too fast
But this one gon' last
'Cause her name is Ari
And I'm so good with that (so good with that)

She taught me love (love)
She taught me patience (patience)
She handles pain (pain)
That amazing (yeah, she's amazing)
I've loved and I've lost (yeah, yeah)
But that's not what I see (yeah, yeah)
'Cause look what I've found (yeah, yeah)
Ain't no need for searching
And for that, I say

Thank you, next (thank you, next)
Thank you, next (thank you, next)
Thank you, next (thank you)
I'm so grateful for my ex
Thank you, next (thank you, next)
Thank you, next (said thank you, next)
Thank you, next (next)
I'm so grateful for my ex

Thank you, next
Thank you, next
Thank you, next
I'm so

One day I'll walk down the aisle
Holding hands with my mama
I'll be thanking my dad
'Cause she grew from the drama
Only wanna do it once, real bad
Gon' make that last
God forbid something happens
Least this song is a smash (song is a smash)

I've got so much love (love)
Got so much patience (patience)
I've learned from the pain (pain)
I turned out amazing (turned out amazing)
I've loved and I've lost (yeah, yeah)
But that's not what I see (yeah, yeah)
'Cause look what I've found (yeah, yeah)
Ain't no need for searching
And for that, I'll say

Thank you, next (thank you, next)
Thank you, next (thank you, next)
Thank you, next
I'm so grateful for my ex
Thank you, next (thank you, next)
Thank you, next (said thank you, next)
Thank you, next (next)
I'm so grateful for my ex

Thank you, next
Thank you, next
Thank you, next
Yeah, yee
Thank you, next
Thank you, next
Thank you, next
Yeah, yee",0.9998,Positive,0.1376006441223832,Positive,0.3586468696594238,Positive
Does anyone noticed that the intro when everyone were talking about Ari that sound is from 7 rings ( sorry for my English😄😄),0.8658,Positive,-0.0499999999999999,Negative,-0.4469868242740631,Negative
Kris was good support 😂🎉,0.8807,Positive,0.7,Positive,0.5209037661552429,Positive
"Love u Ariana, you are my memories",0.6369,Positive,0.5,Positive,0.7637147903442383,Positive
"For everyone, this was made inspired from mean girls and legally blond! they are bolth really good movies, so i recommend you watch them ;)",0.8948,Positive,0.221875,Positive,0.5863437056541443,Positive
_yuh_,0.0,Neutral,0.0,Neutral,-0.2361839115619659,Negative
Fav ariana song💗,0.836,Positive,0.0,Neutral,0.3686006069183349,Positive
I cant believe kris jenner and liz are there!,0.0,Neutral,0.0,Neutral,0.4978619217872619,Positive
https://youtu.be/YqhyJYlYbgU      wa,0.0,Neutral,0.0,Neutral,0.2276068329811096,Neutral
Damn this so is good,0.1226,Positive,0.7,Positive,0.3601637780666351,Positive
It is a great song !!I love it ! It made me laugh >the video was funny!!,0.9514,Positive,0.57890625,Positive,0.8325737714767456,Positive
Ever dated no teeth at all?,-0.296,Negative,0.0,Neutral,-0.5820040702819824,Negative
quiero regresar a mi etapa obsesionada con Ariana Grande,-0.1027,Negative,-0.25,Negative,0.4824175834655761,Positive
This vid is Soo bad for kids,-0.6696,Negative,-0.6999999999999998,Negative,-0.4890578687191009,Negative
Life was great when this released 2018 was a great year imo,0.8481,Positive,0.8,Positive,0.5251975655555725,Positive
710M,0.0,Neutral,0.0,Neutral,0.2712661623954773,Neutral
