Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"Trying to get over a tough breakup, and this song is not helping! However it’s truly a masterpiece!!!",0.777,Positive,-0.9494357638888888,Negative,0.3403924107551574,Positive
"Beautifully matching all I long for in life - you finally put this just in a sudden so very perfectly, words fail to describe what I mean.

 Wow! Thank You - This upshifts my awareness for living my life openheartedly from now on till forever ...very more easily",0.9357,Positive,0.2045833333333333,Positive,0.9670160412788392,Positive
Amazing song is he a lucafarian,0.5859,Positive,0.6000000000000001,Positive,0.7796530723571777,Positive
"einfach super, E.S.!!!",0.7163,Positive,1.0,Positive,0.8772208094596863,Positive
https://youtu.be/YqhyJYlYbgU,0.0,Neutral,0.0,Neutral,-0.2279269248247146,Negative
Gooooood,0.0,Neutral,0.0,Neutral,-0.2582341432571411,Negative
😉💖,0.7506,Positive,0.0,Neutral,0.3085779249668121,Neutral
Don Henley Boys of summer,0.0,Neutral,0.0,Neutral,0.3285141587257385,Neutral
Diễn vậy mà cũng diễn được,0.0,Neutral,0.0,Neutral,0.2738727331161499,Neutral
lố lăng,-0.3612,Negative,-0.3333333333333333,Negative,0.3190121948719024,Neutral
❤,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
W,0.0,Neutral,0.0,Neutral,0.3924260437488556,Positive
a mi perrito le gusto esta cancion 🛐🛐💗,0.9022,Positive,0.6,Positive,0.3330441415309906,Positive
Bà hoàng là người thằn lằn,0.0,Neutral,0.0,Neutral,0.3158956170082092,Neutral
¡Me encantó! 😍😍😍😍,0.945,Positive,0.875,Positive,0.9054588079452516,Positive
Cách hát của đức phúc luôn làm hài lòng tất cả mn.,0.4019,Positive,0.0,Neutral,-0.4467023909091949,Negative
The Weeknd vibes.,0.0,Neutral,0.0,Neutral,0.4027323126792907,Positive
so gooooooooooooooooooooooooooooooooooooooooooood,0.0,Neutral,0.0,Neutral,0.3009743988513946,Neutral
"I was listenning this song during work and suddenly someone spoke Japanese and I thougt ''Damm, ad begings here?'' but that wasn't ad. He speaks Japanese!",-0.2828,Negative,0.0,Neutral,-0.396850973367691,Negative
"Summer version of “perfect”
He’s one of the best musicians of our time",0.6369,Positive,1.0,Positive,0.8885703682899475,Positive
Wtf,-0.5859,Negative,-0.5,Negative,0.3218501508235931,Neutral
Fantastico!!!!,0.6973,Positive,0.9765625,Positive,0.8848352432250977,Positive
Bài hit làm mưa làm gió một thời của chị Bảo Thy. Cám ơn Đức Phúc mang nó trở lại với màu sắc mới ❤️❤️❤️❤️,0.3612,Positive,0.0681818181818181,Positive,0.4635799825191498,Positive
"Este cantante si que es muy bueno para sacar grandes canciones, me encantan!!!",0.9242,Positive,0.8255208333333334,Positive,0.7162296175956726,Positive
nise,0.0,Neutral,0.0,Neutral,-0.3243627548217773,Negative
❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
This is my fave song ever !!!!!,0.6209,Positive,0.0,Neutral,0.7955657839775085,Positive
The resemblance to Weekend is purely coincidental :-),0.3774,Positive,0.3571428571428571,Positive,0.2681083381175995,Neutral
"Yes, I agree. Fantastic song. Love it Ed. Qnd love you too. Keep it up!",0.9551,Positive,0.5083333333333333,Positive,0.9176174402236938,Positive
Absolutely loved every minute of this video wow,0.8399,Positive,0.3999999999999999,Positive,0.955051064491272,Positive
"Love the beat. It reminds me 80's sounds and musics.
GG from France",0.7983,Positive,0.5,Positive,0.6559784412384033,Positive
"Okay people. Help me out! 

1:03 reminds me of another rock-type song (maybe by Brian adams or someone like that) and I CANNOT put my finger on it!

Pls help",0.8652,Positive,0.78125,Positive,0.691012442111969,Positive
Ed sheeran is a fucking genius,0.0,Neutral,-0.6,Negative,0.6237133741378784,Positive
"So nice,  so much eighties.. i thought it was the weeknd.
Glad to discover this kind of composities are getting some attention",0.7264,Positive,0.475,Positive,0.4841548800468445,Positive
Congratulations ed and thanks for keeping inspiring us my the Lord bless your work🙏🙏,0.9081,Positive,0.35,Positive,0.8851608037948608,Positive
It bothers me how underrated this song is,-0.2023,Negative,0.0,Neutral,0.5011774897575378,Positive
"4:28 Shape of you in Japanese Version, here's the link:
https://www.youtube.com/watch?v=GjCQfXterLY",0.0,Neutral,0.0,Neutral,0.2856109738349914,Neutral
Love you Ed ❤️,0.6369,Positive,0.5,Positive,0.823207676410675,Positive
am I the only one who’s still trying to understand the lyrics? But otherwise I’m absolutely in love with this song. I play it everyday :),0.9362,Positive,0.2,Positive,0.6462806463241577,Positive
olofmeister defuse?,0.0,Neutral,0.0,Neutral,-0.4261737763881683,Negative
Who is that blonde girl...,0.0,Neutral,0.0,Neutral,0.2851667702198028,Neutral
"this is such a good song , i love it, lets me think of an ex boyfriend i had years ago, we had the most beutiful time togheter,but it was the wrong time for us,we are stil good friends,still love him",0.9459,Positive,0.40625,Positive,0.6434076428413391,Positive
This is a very cheap version of blinding lights. (the beat and claps).,0.0,Neutral,0.52,Positive,-0.4748141467571258,Negative
"Ed, please never stop making music!",0.5393,Positive,0.0,Neutral,-0.489535391330719,Negative
Video almost good as the song lol legend,0.6605,Positive,0.75,Positive,0.4082120656967163,Positive
Peace peace peace childrens love aliciafleur,0.9403,Positive,0.5,Positive,0.6022626161575317,Positive
My favourite song in the world,0.0,Neutral,0.0,Neutral,0.9048638343811036,Positive
Top class music out there awesome Ed sheehan ❤🧡💛💚💙💜👌👍👍🥰🤩,0.993,Positive,0.75,Positive,0.9053794741630554,Positive
"If you want to try how much you know Ed Sheeran songs you can here 
https://www.youtube.com/watch?v=2FIMQm3TfJw",0.0772,Positive,0.2,Positive,0.2666583657264709,Neutral
kkkkkkkkkkkkkkkkkk boa boa. That ending was quite a plot twist! =D,0.6514,Positive,1.0,Positive,0.4232511818408966,Positive
"Ein toller, romantischer Song, mit viel Kraft, Dynamik,  super Video dazu!!!!!",0.9345,Positive,0.6,Positive,0.8338093161582947,Positive
Love this song ❤💃💃😍,0.9081,Positive,0.5,Positive,0.8510125875473022,Positive
"Love this song, kinda reminds me of Just Like That by The Coronas",0.7717,Positive,0.5,Positive,0.4364353120326996,Positive
Ed 👀 in the Kbl 🚼 yuor 😁😁,0.7184,Positive,0.0,Neutral,0.420891135931015,Positive
Ripping off Don Henley Boys from summer,0.0,Neutral,0.0,Neutral,0.3753269612789154,Positive
Think you very mutchpeace love aliciafleur,0.6682,Positive,0.35,Positive,0.5707836151123047,Positive
❤ beautiful ❤ couldn't love this anymore than I do ❤ we all have a love we lost ❤ that's life ❤ one day at a time ❤ we will smile again ❤,0.9894,Positive,0.5375,Positive,0.9015697836875916,Positive
This is such a masterpiece!,0.6588,Positive,0.0,Neutral,0.9466317892074584,Positive
I'm one of your fan for the best thing I've ever heard in my life you are so good at acting and singing I'm in the same place as you my parents have drove past your house before,0.8818,Positive,0.29,Positive,0.9130692481994628,Positive
Been listening to this master piece for a while and had no idea its Ed.   Wow 👌,0.8286,Positive,0.1,Positive,0.6212051510810852,Positive
First part reminded me of night bus travels in Nigeria lol almost missed my bus once at a stop,-0.079,Negative,0.525,Positive,0.2654132843017578,Neutral
obrigado 🇧🇷👊,0.3612,Positive,0.0,Neutral,0.4425489902496338,Positive
"This is a dark parade
Another rough patch to rain on, to rain on
I know your friends may say
This is a cause for celebration, hip-hip-hooray, love
Photographs in sepia tones
It's so still, the fire's barely fighting the cold, alone
There are times when I can feel your ghost
Just when I'm almost letting you go
The cards were stacked against us both
I will always love you for what it's worth
We'll never fade like graffiti on the overpass
And I know time may change the way you think of us
But I'll remember the way we were, you were the first full stop
Love that will never leave
Baby, you will never be lost on me
This is a goddamn shame
I never wanted to break it, or leave us tainted
Know I should walk away
But I just can't replace us, or even erase us
The car was stuck, the engine stalled
And both of us got caught out in the snow, alone
There were times when I forget the lows
And think the highs were all that we'd ever known
The cards were stacked against us both
I will always love you for what it's worth
We'll never fade like graffiti on the overpass
And I know time may change the way you think of us
But I'll remember the way we were, you were the first full stop
Love that will never leave
Baby, you will never be lost on me
Lost on me
Baby, you will never be lost on me
Lost on me
Well, I will always love you for what it's worth
We'll never fade like graffiti on the overpass
And I know time may change the way you think of us
But I'll remember the way we were, you were the first full stop
Love that will never leave
Baby, you will never be lost on me
Yeah, yeah, yeah
Yeah, yeah, yeah
Lost on me
Ooh, graffiti on the overpass

2022.04.08",0.9818,Positive,0.2452380952380952,Positive,-0.6595028638839722,Negative
"4:28 shape of you 🇯🇵ver.  lyrics

I'm in love with the shape of you
心熱くなる (kokoro atsuku naru) 
あなたに見惚れる(anata ni mitoreru) 
知れば苦しいのに(shireba kurushii noni)
またきっと後悔する(mata kitto koukai suru)
貴方とのストーリー(anata tono sutoorii)

(English translation)
I'm in love with the shape of you
It makes my heart burn
and I can't stop looking at you
I'd be in pain if I knew you
I will probably regret the stories I make with you again",0.8803,Positive,0.2214285714285714,Positive,0.3918799161911011,Positive
"0:03 someone noticed that on the bus there are mathematical symbols of all the albums, the best thing is that it is also ""less"" it is an album very soon to be released",0.7964,Positive,0.2583333333333333,Positive,-0.4140940606594085,Negative
This song sounds SO similar to Diana by One Direction,0.0,Neutral,0.0,Neutral,-0.3233108222484588,Negative
"April 7,2022
💘💔💕💞💓💖🙏",0.9744,Positive,0.0,Neutral,-0.5698255300521851,Negative
Let's take the moment to appreciate how much effort he puts into the content for us,0.4019,Positive,0.2,Positive,0.4750683605670929,Positive
"One of the best singers left in this world,  I absolutely love this song and the music video too.",0.8655,Positive,0.5,Positive,0.963358759880066,Positive
steppenwolf rip off,0.0,Neutral,0.0,Neutral,-0.3903926014900207,Negative
We love you really ❤️❤️ you angel God loves you 💞,0.936,Positive,0.35,Positive,0.8991501927375793,Positive
Cooler chat,0.0,Neutral,0.0,Neutral,0.4418428838253021,Positive
Great song,0.6249,Positive,0.8,Positive,0.715724527835846,Positive
"Do I detect a hint of ""Boys Of Summer"" in there...",0.0,Neutral,0.0,Neutral,0.4540882408618927,Positive
This is one of favourite songs It always plays at work,0.25,Positive,0.0,Neutral,0.8064017295837402,Positive
Sounds like Don Henley's - the boys of summer 😉,0.3612,Positive,0.0,Neutral,0.3192374110221863,Neutral
"Of all the songs he’s being done for plagarism, this is the most brazen one. Don Henley go get him lol.",0.4215,Positive,0.65,Positive,-0.3662392497062683,Negative
"Toller Typ ,bin 52 Jahre, finde es geil, meine Tochter auch. Würde mit  Ed mal ne Bier 🍺 trinken",0.7506,Positive,0.4166666666666667,Positive,0.8326725363731384,Positive
that was awsome!!,0.6892,Positive,1.0,Positive,-0.4471867084503174,Negative
Superb song 🤙🏻😊😚,0.9517,Positive,1.0,Positive,0.8135251998901367,Positive
Lovely tune. Reminds me of Bowie’s Modern Love. Soo cool!,0.8908,Positive,0.409375,Positive,0.656631588935852,Positive
"Thank you, Ed Sheeran, for these lyrics:  ""Baby, you will never be lost on me.""  It corresponds significantly to my feelings for my only child.",0.5365,Positive,0.1875,Positive,0.6204732656478882,Positive
"Ed never let go of the guy who makes your videos (Jason Koening)!!! And please, always be yourself. (Newspaper: WHERE IS ED? and next to it ""BIKERS SAVE CAT""-thanks guys, I am a cat lover, keep up the good job)",0.9301,Positive,0.3,Positive,0.3634280264377594,Positive
Is it possible that Ed Sheeran is one of the best people on the planet?,0.6369,Positive,0.5,Positive,0.3304884433746338,Positive
i love it 😊,0.8807,Positive,0.5,Positive,0.851768434047699,Positive
4:46...absolutely...MEGA!!!,0.0,Neutral,0.0,Neutral,0.8409014344215393,Positive
"Absolut fantastica, chiar mă reprezinta ❤😍",0.902,Positive,0.3,Positive,0.8509473204612732,Positive
The last Japanese scene is wonderful!!!!!!!!!!!!!!,0.7067,Positive,0.3333333333333333,Positive,0.8029767274856567,Positive
Another real positive and perfect Ginger!!!,0.8472,Positive,0.6704545454545454,Positive,0.9257380962371826,Positive
Tudas as musicas do ed fas me lembrar o meu leaozinho  aqui no nosso sofa i ao do nosso aremario castanho  eu gostaria que ele gostase desta musica elisabete goncalves aaa,0.6705,Positive,0.20625,Positive,0.2509303987026214,Neutral
bạn là tấm gương vượt khó cho ae 😍,0.2023,Positive,0.0,Neutral,-0.3875476419925689,Negative
"Glove save, beauty!",0.807,Positive,0.0,Neutral,0.5732543468475342,Positive
Just like my life......,0.3612,Positive,0.0,Neutral,0.653155505657196,Positive
Hip hop hurejszon🎶🎶😍,0.4588,Positive,0.0,Neutral,0.3445229828357696,Positive
"Bon elle  me plaît  , ça parle de rupture , mais aussi qu' il n'oubliera  jamais  son premier Amour  ..et tous nos souvenirs  , rien  ,ni personne  ne les effacera.",0.9087,Positive,0.375,Positive,0.410548985004425,Positive
"nice song ed, im getting good vibes witch this song!!!! Amazing",0.8926,Positive,0.7333333333333334,Positive,0.7469441890716553,Positive
Love this song addicted!,0.6696,Positive,0.0,Neutral,0.8411996960639954,Positive
"very cold play happi,,,,,,,,fun",0.3976,Positive,-0.78,Negative,0.4690941572189331,Positive
"Me: Ed Sheeran can’t keep making these heartbreaking devastating breakup songs anymore 

Ed Sheeran (2021):",-0.8074,Negative,-1.0,Negative,-0.680999755859375,Negative
This song has become my breakfast😍😗,0.7717,Positive,0.0,Neutral,0.7286370992660522,Positive
👍👍👍👍👍👍👍👍😘😘😘😘😘😘😘😊😊😊😊😊😊😊😊Class,0.9963,Positive,0.0,Neutral,0.3085779249668121,Neutral
Why does Ed always write that good numbers? Love it always! Can't stop listening his new numbers. And they never get boring. WOW!,0.7857,Positive,0.1172727272727272,Positive,0.9466047883033752,Positive
Every fan of Ed must comment this video: https://www.youtube.com/watch?v=Y0U0HAwpw2s,0.3182,Positive,0.0,Neutral,0.5356034636497498,Positive
"i love this song! 
does anybody know what language is it in the end?",0.6696,Positive,0.625,Positive,0.8911760449409485,Positive
This song is soo cool 👍,0.4572,Positive,0.35,Positive,0.5497049689292908,Positive
"It's sounds like ""you turn me on like a light switch""😌",0.765,Positive,0.4,Positive,0.2856055796146393,Neutral
It's a rough patch to anal.,0.0,Neutral,-0.1,Negative,0.4210579693317413,Positive
"Klänge, wie sie zu jeder Jugendzeit passt, jede Generation findet in ihnen ihre eigene Identität, leicht, beschwingt, voller Lebensfreude, alles wiederholt sich,....es ist, was es ist,.........",0.4404,Positive,0.45,Positive,0.7968432307243347,Positive
80ies synthwave is back. in a modern way. finally.,0.0,Neutral,0.0666666666666666,Positive,0.6484506726264954,Positive
Absolutely love this song cant stop listening to it xx,0.7492,Positive,0.5,Positive,0.8731546401977539,Positive
bit confused..... so there's not a toilet on that big ass RV??,-0.7319,Negative,-0.1277777777777778,Negative,0.4654827415943146,Positive
I cant wait to hear this livee!!! 🥰🥰,0.9475,Positive,0.0,Neutral,0.3449151217937469,Positive
2022 Everyone,0.0,Neutral,0.0,Neutral,0.3549074530601501,Positive
Música maravilhosa.,0.5719,Positive,1.0,Positive,0.8818660378456116,Positive
"Es trifft mich ins Herz.
Aber nicht in den Kommerz abfallen. Aufpassen.",0.3818,Positive,0.0,Neutral,0.4156014323234558,Positive
The Best!,0.6696,Positive,1.0,Positive,0.9456355571746826,Positive
"karaoke here
https://youtu.be/PqW6IPVd7lo",0.0,Neutral,0.0,Neutral,0.3072510659694671,Neutral
"🙌🙌👂boa música 🎶uma perfeição só ouvir essa música já dá vtde de Dança top demais,😊😊😎😎",0.9702,Positive,0.5,Positive,0.7020696401596069,Positive
"Love the song, hate the ending with Ed talking in Japanese's. So fucking annoying!",-0.4702,Negative,-0.325,Negative,-0.4394173920154571,Negative
A great song! Reminds me of keane a little bit in the best way!,0.8715,Positive,0.6041666666666666,Positive,0.6286123394966125,Positive
I'm going to your consort in Cork Love from Edie so funny badly want to meet you bye,0.7292,Positive,0.0166666666666667,Positive,0.6652346253395081,Positive
"Chorus sounds exactly like Don Henley’s song The Boys of Summer

https://youtu.be/LeBTFjSUNMM",0.3612,Positive,0.25,Positive,0.3023780584335327,Neutral
I love his voice🥰,0.91,Positive,0.5,Positive,0.7692046761512756,Positive
Ed Sheeran/ the overpass Graffiti,0.0,Neutral,0.0,Neutral,0.2634619474411011,Neutral
Wait … was that the girl from Shape of You ? Did you notice her ?,0.0,Neutral,0.0,Neutral,-0.3828102648258209,Negative
This music video is so cute,0.5949,Positive,0.5,Positive,0.6540386080741882,Positive
butterflies,0.0,Neutral,0.0,Neutral,0.2833969891071319,Neutral
"This makes me want to escape to the mountains... Mt Kilimanjaro done in 2021, Mt Everest here I come.",0.25,Positive,0.0,Neutral,0.428972989320755,Positive
"I do not have words for this song💪💓💖🥰👍🙈 
❤️❤️❤️ I love this song for ever ❤️❤️❤️
💚💚 I hope 💚💚 I love ya ❤️",0.9954,Positive,0.5,Positive,0.8726359009742737,Positive
what was the language in the end?????????????????????,0.0,Neutral,0.0,Neutral,-0.4012209475040436,Negative
One part of song is copy of Boys of Sommer from Don Henley. The whole concept is like this song.  Did Ed pay to Don Henley? He is stil alive....,0.5719,Positive,0.15,Positive,-0.2944586277008056,Negative
"I’m Japanese, but honestly I couldn’t understand what smo wrestler said. I realized they’re speaking Japanese when Ed started speaking.",0.6124,Positive,0.1999999999999999,Positive,-0.3553046882152557,Negative
Autobahn and this Song = 👍🏼🍀,0.0,Neutral,0.0,Neutral,0.5808836817741394,Positive
I hope he found happiness in his life. 😊,0.91,Positive,0.7,Positive,0.4955339729785919,Positive
b😉😊,0.7184,Positive,0.0,Neutral,0.3085779249668121,Neutral
What tour buss does not have a toilet?,0.0,Neutral,-0.0333333333333333,Negative,0.225332885980606,Neutral
2022 bring new hopes ❤️,0.4215,Positive,0.1363636363636363,Positive,0.4978603422641754,Positive
is beautiful,0.5994,Positive,0.85,Positive,0.6712144017219543,Positive
does anyone get boys of summer in theie head when listening to this Song?,0.0,Neutral,0.0,Neutral,-0.3603192269802093,Negative
Such a genius! 🌞,0.0,Neutral,0.0,Neutral,0.9312111735343932,Positive
Ed Sheeran steals another song?!! Boys of summer remix.,-0.5972,Negative,0.0,Neutral,-0.280387133359909,Negative
"Músiica apaixonante. 💗💗💗💗💗
Letra linda. Queria o amor voltasse como antes. Aqueles amores pra vida toda. Um amor abençoado e de Deus. Se um dia voltar a acontecer comigo. Que seja pra vida toda.",0.9952,Positive,0.36,Positive,0.6697506308555603,Positive
I lovw him♡♡♡♡♡♡♡,0.6369,Positive,0.5,Positive,0.658811628818512,Positive
Overpass Graffiti 🖤🙃✌🏻,0.8126,Positive,0.0,Neutral,-0.3156635463237762,Negative
love the music,0.6369,Positive,0.5,Positive,0.6933528780937195,Positive
"Why does this song sound like ""the middle"" by Jimmy Eat World? Grafitti in The middle of the overpass?",0.4329,Positive,0.1333333333333333,Positive,-0.3843232095241546,Negative
