Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"Some of his screams sound like godzilla what? Godzilla 2014, the first half of the roar
6:01",0.0772,Positive,0.16111111111111112,Netural,-0.32816407084465027,Negative
he looks like a baby playing in a gym,0.5106,Positive,0.0,Netural,0.2922575771808624,Netural
Has Felix always had a New York accent? I'm confused...,-0.3182,Negative,-0.13181818181818183,Negative,-0.3233334422111511,Negative
"LoLs, He reminds me of my land  lord. But I never saw him scream like Lunker Godzilla.",0.73,Positive,0.0,Netural,0.31474751234054565,Netural
He must be challenging felix's tambourine tower.,0.1531,Positive,0.5,Positive,0.43415817618370056,Positive
the W in his youtube name stands for weak,-0.4404,Negative,-0.375,Negative,-0.4117054045200348,Negative
the scream at 6:00 sounds like the tom and jerry scream ngl,-0.4404,Negative,0.0,Netural,-0.38140344619750977,Negative
long llive bloat,0.0,Neutral,0.043181818181818175,Netural,-0.2774337828159332,Negative
Γιατί πάντα οι Έλληνες ;; Γιατί ; 😂,0.504,Positive,0.0,Netural,-0.27928560972213745,Negative
Can I get name and brand of dumbbells please 🌝,0.2732,Positive,0.0,Netural,-0.5292034149169922,Negative
5:54 he sounds like godzilla,0.3612,Positive,0.0,Netural,-0.24305325746536255,Negative
"You, iDubbbz & Sam Hyde should do a collaboration documentary where Sam & Kyriakos teach you how to bloat.exe",0.0,Neutral,0.0,Netural,0.3823675811290741,Positive
yoo,0.0,Neutral,0.0,Netural,0.26026585698127747,Netural
"ladies and gentlemen, the optimal human being",0.3612,Positive,0.0,Netural,0.7950471639633179,Positive
start Music name?,0.0,Neutral,0.0,Netural,-0.3881990611553192,Negative
This tattoo language...,0.0,Neutral,0.0,Netural,0.4122006595134735,Positive
5:56 Sounds like the Beaver screaming video then turns to Godzilla 🤣,0.4767,Positive,0.0,Netural,-0.3582170903682709,Negative
"bloat king : ""Cardio? never heard of it""",0.0,Neutral,0.0,Netural,-0.4135807156562805,Negative
"pewds has put on a fair amount of mass, those arms are getting jacked.",0.3182,Positive,0.7,Positive,0.3958161771297455,Positive
Anyone notice the seal on the naruto gfuel ain’t even broke man hasn’t even tasted it 😂,0.6407,Positive,0.0,Netural,-0.7238450646400452,Negative
He farting the whole time,0.0,Neutral,0.2,Netural,-0.4232500195503235,Negative
Pewdiepie lookin swole,0.0,Neutral,0.0,Netural,0.2526741921901703,Netural
Pewds is looking good! The training is defo paying off!,0.5399,Positive,1.0,Positive,0.327713280916214,Netural
But why is felix wearing those dark glasses at night tho,0.0,Neutral,-0.15,Negative,0.3375715911388397,Positive
"“If I die, it’ll be an honorable death.”
Me: *shouting zero deaths*",-0.1027,Negative,0.0,Netural,-0.832264244556427,Negative
I’m fucking crying at the audio catastrophe at the end omg 😂😂😹😹,0.4228,Positive,-0.2,Negative,-0.7219447493553162,Negative
His screams reminded me of Godzilla,-0.296,Negative,0.0,Netural,0.27587729692459106,Netural
Imagine that guy going to planet fitness,0.2732,Positive,0.0,Netural,0.357584685087204,Positive
Καβαλα εξαγει πολιτισμο,0.0,Neutral,0.0,Netural,0.29966050386428833,Netural
muguy on 1000mg test jesus the screams :DDDDD,-0.296,Negative,0.0,Netural,-0.34169578552246094,Negative
Marzia just left to find a stronger men,0.3818,Positive,0.0,Netural,0.34925711154937744,Positive
me and the bois marching towards the gym to be fatphobic 💪,0.0,Neutral,0.0,Netural,-0.4181589186191559,Negative
Why does Pewdiepie look like a Russian Villain here...,-0.2732,Negative,0.0,Netural,-0.5031784176826477,Negative
MAN ALSO INHERITED GODZILLA'S SCREAM,-0.4019,Negative,0.0,Netural,0.30298474431037903,Netural
LOOKS LIKE KEVIN CHAMBERLIN,0.3612,Positive,0.0,Netural,0.28208813071250916,Netural
sive editing and hearing choke noises 12:16,-0.5423,Negative,0.0,Netural,-0.35988959670066833,Negative
Dude needs to layoff the bath salts,0.0,Neutral,0.0,Netural,-0.2922118902206421,Negative
Our lord and saviour.,0.0,Neutral,0.0,Netural,0.7812156081199646,Positive
5:58  Hmmm... pp,0.0,Neutral,0.0,Netural,-0.37188875675201416,Negative
I would never want to be fat like that dude,0.3134,Positive,0.0,Netural,-0.23524560034275055,Negative
So many farts. Bloat pills confirmed.,0.0,Neutral,0.45,Positive,-0.2930530905723572,Negative
"The way he is literally just standing and yelling at 5:55 has me laughing so hard. Like, he just slumps forward slightly and screams as hard as he can as if his body is rebooting or shutting down",0.4196,Positive,-0.2263888888888889,Negative,-0.4164465665817261,Negative
Bro pewds is looking swole,0.0,Neutral,0.0,Netural,-0.3834224343299866,Negative
Virgin Pew Die Pie vs Chad Grizzly!,-0.636,Negative,0.0,Netural,0.4079437255859375,Positive
"Pls review Eric Bugenhagen,",0.0772,Positive,0.0,Netural,0.35034555196762085,Positive
I was looking around your page looking for the flag option.,0.0,Neutral,0.0,Netural,0.28074175119400024,Netural
Can somebody tell me what are the glasses Felix is wearing ?,0.0,Neutral,0.0,Netural,-0.32062727212905884,Negative
5:54 sounds like the roar of Godzilla! 😂,0.69,Positive,0.0,Netural,0.3962179720401764,Positive
Pewd ur lookin good.....don't skip leg day tho YA BISH,0.0,Neutral,0.0,Netural,0.24844016134738922,Netural
this video was way well edited for some reason,0.2732,Positive,0.0,Netural,0.34118542075157166,Positive
1:08 he is greek.Lets go greek power baby,0.0,Neutral,0.0,Netural,-0.45597392320632935,Negative
The rock edit was perfect lmao,0.8225,Positive,0.8,Positive,0.5910453200340271,Positive
Farting ASMR Ultra Pro Max,0.0,Neutral,0.0,Netural,0.44999921321868896,Positive
