Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
DOPE BEAT!,0.0,Neutral,0.0,Neutral,0.5511913895606995,Positive
Tall ass moFo 😂😂,-0.2732,Negative,0.0,Neutral,0.3031113147735595,Neutral
Tommy 😍😍😍😍👍🏼,0.9001,Positive,0.0,Neutral,0.3883664011955261,Positive
https://youtu.be/L7VzV9yilWM,0.0,Neutral,0.0,Neutral,-0.2511826157569885,Negative
Mötley crüe,0.0,Neutral,0.0,Neutral,0.3306697309017181,Positive
Mötley crüe,0.0,Neutral,0.0,Neutral,0.3306697309017181,Positive
This song is shit I would rather burn alive than hear it again,-0.25,Negative,-0.05,Negative,-0.8822295069694519,Negative
i've been listing to this everyday 25 times each day for 2 months and plus i love the beat,0.6369,Positive,0.15,Neutral,0.7993403077125549,Positive
♥️,0.6369,Positive,0.0,Neutral,0.3810153007507324,Positive
Trash,0.0,Neutral,0.0,Neutral,-0.7562036514282227,Negative
This is actually pretty dope. Reminds me of a lot of good things :).,0.7269,Positive,0.4833333333333333,Positive,0.5402272939682007,Positive
Omfg! This sucks! Music? I don't think so.,-0.4738,Negative,-0.375,Negative,-0.8657662868499756,Negative
Tommy lee love this song XD,0.8668,Positive,0.5,Positive,0.8222373127937317,Positive
The people around me still ain’t shit👹,-0.5574,Negative,0.0,Neutral,0.3359810709953308,Positive
💙💙💙💙💙💙💙💙,0.9887,Positive,0.0,Neutral,0.3085779249668121,Neutral
Anything post does is 🔥🔥 always heat,-0.5859,Negative,0.0,Neutral,0.3654236495494842,Positive
Reminds me of my Pyramid on Forza 4 top 500 or Mortal Kombat top 100 in the world Love u Post,0.7783,Positive,0.5,Positive,0.8563053607940674,Positive
2:11 anyone who you know name girls infront man ?,0.0,Neutral,0.0,Neutral,-0.4981442093849182,Negative
bro highlight editor banjao bht scope he,0.34,Positive,0.0,Neutral,0.3200095295906067,Neutral
"""Cameron with the army army army yeah"" this is my fav line",0.6369,Positive,0.0,Neutral,0.4575843214988708,Positive
https://youtu.be/vOxc_PbJ-HA,0.0,Neutral,0.0,Neutral,0.2200153321027755,Neutral
Wtf is this shit?,-0.8126,Negative,-0.35,Negative,-0.7499626278877258,Negative
"Semplicemente post malone, incredibile",0.2023,Positive,-0.125,Negative,0.8458328247070312,Positive
Only listened to this because tommy lee is in the video,0.0,Neutral,0.0,Neutral,-0.3857379555702209,Negative
Crazy beat,-0.34,Negative,-0.6,Negative,0.415082037448883,Positive
Alister Crowley's 777 symbolism,0.0,Neutral,0.0,Neutral,0.4680954813957214,Positive
This shit always been firee,-0.0772,Negative,0.1,Neutral,-0.5749128460884094,Negative
They just wanna party,0.4019,Positive,0.0,Neutral,0.4173128306865692,Positive
Yo solo vine por Hyunjin .-.,0.0,Neutral,0.0,Neutral,-0.3131997883319855,Negative
ITS LIT LOLLLLLLLLL,0.0,Neutral,0.0,Neutral,0.3409706652164459,Positive
Barrrrrrrs,0.0,Neutral,0.0,Neutral,-0.3738050162792206,Negative
Just horrible. He is a kind soul but it is impossible to me to listen to this kind of music. Sorry.,-0.128,Negative,-0.1933333333333333,Negative,-0.8295526504516602,Negative
This guy looks like a little kid wrote all over his face with a sharpie,0.3612,Positive,-0.1875,Negative,-0.5340101718902588,Negative
Is this guy serious!? How many flows????,-0.372,Negative,0.0416666666666666,Neutral,-0.6066274642944336,Negative
Ufff qué buena música,0.7717,Positive,0.3999999999999999,Positive,0.4518736004829407,Positive
"Hello, Chris Andrew,🐮🎧🐮🎧🐮📢📠💻🏢👊✋",0.4939,Positive,0.0,Neutral,0.48499396443367,Positive
why there was like mute in 0:45,0.3612,Positive,0.0,Neutral,-0.4566089510917663,Negative
"At 2:20 the subtitles are wrong, he says ""same"" not ""shit"" who did that? or do i need a hearing aid?",-0.1371,Negative,-0.1333333333333333,Negative,-0.5408132672309875,Negative
Post Malone I love this song but how did you make this one was a 2021 valborg 2014 Emma and I'm 8 years old but anyways my birthday was on March 5th 2014 but how did you make this sound because I'm going to listen to it again cuz the song is fire,-0.128,Negative,0.3333333333333333,Positive,0.3039422631263733,Neutral
I think I seen you befor,0.0,Neutral,0.0,Neutral,0.2551431953907013,Neutral
Aye this song a banger 🤟,0.0,Neutral,0.0,Neutral,-0.4905422627925873,Negative
Song slaps,0.0,Neutral,0.0,Neutral,-0.4115070402622223,Negative
My god you cool I love your music,0.8225,Positive,0.425,Positive,0.8939750790596008,Positive
I love this man so much,0.6369,Positive,0.35,Positive,0.899144172668457,Positive
shotout lease boykidlatvlogs... thank's,0.0,Neutral,0.0,Neutral,-0.3474765419960022,Negative
this song is nice,0.4215,Positive,0.6,Positive,0.4433982074260711,Positive
Love the song fier,0.6369,Positive,0.5,Positive,0.7400082945823669,Positive
Listen to it sped up it sounds fire,-0.34,Negative,0.0,Neutral,-0.6098040342330933,Negative
MAAAN THAT DROPPP🤯🤯🤯🤯🤯,0.0,Neutral,0.0,Neutral,-0.3707580864429474,Negative
Love*****,0.6369,Positive,0.5,Positive,0.620727002620697,Positive
TOMMY LEE !!!!!,0.0,Neutral,0.0,Neutral,0.3721578121185303,Positive
You can do no wrong baby! ♥️,0.7933,Positive,0.3125,Neutral,0.5738934278488159,Positive
🐐🐐🐐🐐🐐🔥💥🔥🔥💥🔥💥🔥💥🔥💥🔥💥🔥🔥💥🔥💥🔥💥🔥💥🔥🔥💥💥🔥💥🔥💥💥💥💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥💥💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥💥💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥🔥💥💥🔥💥🔥💥🔥💥🔥💥🔥🔥💥🔥💥🔥💥🔥💥🔥🔥💥💥🔥🔥💥🔥💥💥,-0.9996,Negative,0.0,Neutral,0.3085779249668121,Neutral
🇯🇲🇯🇲🇯🇲🇯🇲🇯🇲🐐🐐🐐🐐💥🔥🔥💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥🔥💥🔥💥🔥💥🔥💥🔥🔥💥🔥💥💥🔥💥🔥💥🔥💥🔥🔥💥🔥💥🔥💥🔥💥🔥💥🔥🔥💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥🔥💥🔥💥🔥💥🔥💥🔥💥🔥💥🔥🔥💥🔥💥🔥💥,-0.9994,Negative,0.0,Neutral,0.3085779249668121,Neutral
"how does he keep on making songs with great beats
and awsome lyrics",0.8481,Positive,0.9,Positive,0.5627436637878418,Positive
I recommend going to the gym,0.3612,Positive,0.0,Neutral,0.4701201617717743,Positive
I've been locked up for a year and hearing this got me super hype this is definitely goin on my hit list keep doing your thing post your on 🔥,0.6369,Positive,0.1666666666666666,Neutral,0.7563291192054749,Positive
Believer By Brayzee Out Now https://youtu.be/LHq6K2NKwZ0,0.0,Neutral,0.0,Neutral,-0.2975874841213226,Negative
You are the best Singer right keep it up,0.6369,Positive,0.6428571428571428,Positive,0.7843007445335388,Positive
"If you may not know, Denny Hamlin and Bubba Wallace are in this video",0.0,Neutral,0.0,Neutral,0.2982951402664184,Neutral
My forever idollll🔥🔥,-0.5859,Negative,0.0,Neutral,0.8142020106315613,Positive
nice!!!,0.5684,Positive,1.0,Positive,0.5041682124137878,Positive
https://youtu.be/zvdFcI7_5QE,0.0,Neutral,0.0,Neutral,-0.2218788415193557,Negative
This song is do good I love it,0.7964,Positive,0.6,Positive,0.6370147466659546,Positive
HORRIBLE,-0.5423,Negative,-1.0,Negative,-0.9311315417289734,Negative
"I feel like some artists can just  make music for a sound, for an experience, for a moment... And not necessarily trying  to be anything in particular.  Post be doin stuff that sounds ""common"" when I hear other artists do it  but he sells that 
sh!t to me better than other artists. I believe him when I hear him. No matter what kind of sounds on the track  he's goin with.
I fuk with this guy for life.",0.6986,Positive,0.1395833333333333,Neutral,0.2746250927448272,Neutral
Yo POST you need to put lil baby on this remix n you can't forget the God lil wayne,-0.0382,Neutral,0.0,Neutral,0.2936122715473175,Neutral
"also congrats for dropping this banger and the song  ""One right now""  with the weekend. So CONGRATS you made it all this way with all these nice songs!!!",0.924,Positive,0.6428571428571428,Positive,0.5571950078010559,Positive
is anyone gonna realize French Montana in in this music vid???,0.0,Neutral,0.0,Neutral,-0.4983055889606476,Negative
nelibi se mi :(,0.0762,Positive,-0.75,Negative,0.281866043806076,Neutral
Number of views equal to the amount of bitcoin,0.0772,Positive,0.0,Neutral,-0.2285021394491195,Negative
Underrated 👌,0.7297,Positive,0.0,Neutral,0.6306917667388916,Positive
Post Molone The Only Man That Can Make Rock N Rap Sound Perfect Plus He's Been A Legend I've Always Felt Like That Said Since He Dropped Post White Iverson N He Still Got More Music 2Make N I'm Sure They Will All Be Great Hits As Always,0.9118,Positive,0.4571428571428572,Positive,0.7875984311103821,Positive
🇧🇷🇧🇷🇧🇷,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
"bussin bussin.
-31",0.0,Neutral,0.0,Neutral,0.2711036801338196,Neutral
Published in Mar 3 2020,0.0,Neutral,0.0,Neutral,-0.2570502161979675,Negative
How many top tier players he got in this mf video jesus I can't keep up,0.2023,Positive,0.5,Positive,0.5211354494094849,Positive
See now all of America leave the democratic party lets show the world America is only country to show the world where number 1 lets come together and how Americans shine,0.4215,Positive,0.0,Neutral,0.3024610877037048,Neutral
💥❤️‍🔥✨🌟😍🥰❤️🤩💥,0.7351,Positive,0.0,Neutral,0.3085779249668121,Neutral
NASCAR+Post Malone= Absolute Masterpiece!!!!!,0.7405,Positive,0.6103515625,Positive,0.9444372653961182,Positive
This song and “Did You Call Me?” by Lukaz just hits different in early 2022. Times may be tough but everything going to be okay in the end. I hope everyone is doing well. I love you 💜,0.969,Positive,0.1422222222222222,Neutral,0.6311843991279602,Positive
party party party yeah 🤟,0.8519,Positive,0.0,Neutral,0.3618464469909668,Positive
"Lyrics:-
Count up the bands sticking out
No rubber band is big enough
Chain is so heavy can't pick it up
Came with the gang, a myriad
I see your whip, hilarious
Fellas are broke, mysterious
My whip from Fast & Furious
Curtains with yellow interior

I get the commas period
Covered in ice, Siberia
I'm at the tip of the pyramid
Bitch I'm a star, I'm Serius
We came to play it's serious
Came with the gang, a myriad
Came with the gang, a myriad
Came with the motley crew

Sit up, ah, I just forgot where I was
Forgot I was
Pour it up, pour it up, pour it
Sit up whoa
Get up bitch get up bitch get up
Came with the wig splitter
I got John wick hitters
I'ma go get, get 'em
Wow!

Came with the army, army yea
The people round me still ain't shit
They just wanna party, party, party, yeah
We rowdy and will never chill

Count up the bands sticking out
No rubber band is big enough
Chain is so heavy can't pick it up
Came with the gang Ameri-ed
I see your whip, hilarious
Fellas are broke mysterious
My whip from Fast & Furious
Curtains with yellow interior

I get the commas period
Covered in ice, Siberia
I'm at the tip of the pyramid
Bitch I'm a star I'm serious
We came to play it's serious
Came with the gang a myriad
Came with the gang a myriad
Came with the motley crew

What you gon' do? I'ma pull up with the crew
When I'm off the juice
I got to hang out the roof
I'm rocking jewels
I like when the diamonds they move
I just go through, I do not wait in the cue

Baby, baby pinky Brady, Brady
AP Navy, Navy
Chain like 2 Mercedes
I come when they pay me
Come with Katy Amy
Crew go crazy, crazy
Kick em down daily

Came with the army, army yea
The people round me still ain't shit
They just wanna party, party, party, yeah
We rowdy and will never chill

Count up the bands sticking out
No rubber band is big enough
Chain is so heavy can't pick it up
Came with the gang Ameri-ed
I see your whip, hilarious
Fellas are broke mysterious
My whip from Fast & Furious
Curtains with yellow interior

I get the commas period
Covered in ice, Siberia
I'm at the tip of the pyramid
Bitch I'm a star I'm serious
We came to play it's serious
Came with the gang a myriad
Came with the gang a myriad
Came with the motley crew
 
Thank you.",-0.2603,Negative,-0.010453216374269,Negative,-0.3866966664791107,Negative
