Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Nice song I guess but bad habits is better,-0.0,Neutral,0.1333333333333334,Neutral,0.4472575187683105,Positive
Single,0.0,Neutral,-0.0714285714285714,Negative,0.2600278258323669,Neutral
THIS SONG IS AWESOME,0.6249,Positive,1.0,Positive,0.8039629459381104,Positive
"This is me and my husband ♥️our story hasn't ended yet, it all started with a fairy tale and alot of in between interruptions, but still our love is strong and even stronger, Alhamdulila ♥️",0.9666,Positive,0.4666666666666667,Positive,0.6284362077713013,Positive
❤,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
💞,0.6486,Positive,0.0,Neutral,0.3085779249668121,Neutral
"Me encantan tus temas, son hermosos. Pareces que sos  una hermosa persona , por lo menos eso es lo que reflejas.",0.9186,Positive,0.475,Positive,0.6520864367485046,Positive
💜,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
Will he not love her at 71? LoL,-0.1451,Negative,0.275,Neutral,-0.3246800899505615,Negative
My husband's an mines song,0.0,Neutral,0.0,Neutral,0.3560973107814789,Positive
i love this song i hear this song many times,0.6369,Positive,0.5,Positive,0.8161603808403015,Positive
Seattell et main qui fait rire mes reves sont realiser by blue Scorpion at colorado.Japon,0.8591,Positive,0.15,Neutral,0.3531925976276397,Positive
Yes I kissed you so sort  and gentle  you still  remember  xx,0.8158,Positive,0.2,Neutral,0.6163381934165955,Positive
perfect,0.5719,Positive,1.0,Positive,0.8318259716033936,Positive
These dance step's are very very cool,0.4351,Positive,0.4549999999999999,Positive,0.7306990027427673,Positive
This is still such an amazing song I guess Ed Sheeran never gets old😊,0.6508,Positive,0.3,Neutral,0.7541060447692871,Positive
This guy is a rare exception from today's shit music..,-0.5574,Negative,0.0499999999999999,Neutral,0.2418381571769714,Neutral
good👍🍜,0.4404,Positive,0.0,Neutral,0.3085779249668121,Neutral
great,0.6249,Positive,0.8,Positive,0.741083025932312,Positive
PEACE AND LOVE FOR EVERBODY WHO IS READING THIS ❤❤ stay save and have a nice day.,0.9765,Positive,0.55,Positive,0.7589603662490845,Positive
夭壽讚！,0.0,Neutral,0.0,Neutral,0.5417584776878357,Positive
Eu sempre gostei dessa música ❤️❤️❤️,0.4215,Positive,0.6,Positive,0.6507627367973328,Positive
2022 and still listening to this song,0.0,Neutral,0.0,Neutral,0.4670381247997284,Positive
Childhood crushes would always be those that have a significant impact in our life.,-0.2732,Negative,0.375,Positive,0.3625231981277466,Positive
Wear headphones and go to 0:45 you will a creepy faded child voice saying heart  still creeps me out after 8 years,0.6369,Positive,-0.5,Negative,-0.5090324878692627,Negative
0:45 ghost voice?,-0.3182,Negative,0.0,Neutral,-0.6090676188468933,Negative
Essa música é uma daquelas coisas que tinham que existir.,0.0,Neutral,0.0,Neutral,0.4385506510734558,Positive
"I met a certain lady today,  this song flashes my imagination with her in future, I hope we end up together and dancing to this song on our wedding day God willing",0.7269,Positive,0.1547619047619047,Neutral,0.6081264615058899,Positive
"muy buena cancion,felicidades",0.8104,Positive,0.91,Positive,0.7125334739685059,Positive
marucs ass stupid parked doing kiss me,-0.6249,Negative,-0.7999999999999999,Negative,-0.6546480655670166,Negative
Butiful dans and song how are angels.,0.5994,Positive,0.85,Positive,0.5642992854118347,Positive
love this song,0.6369,Positive,0.5,Positive,0.8493074774742126,Positive
Timeless 💖,0.7506,Positive,0.0,Neutral,-0.3699584007263183,Negative
X😀😀😀👏👏👏❤️💋,0.8519,Positive,0.0,Neutral,0.3085779249668121,Neutral
00:45,0.0,Neutral,0.0,Neutral,-0.2503443956375122,Negative
man i love your voice 🤍,0.6369,Positive,0.5,Positive,0.8245936632156372,Positive
