Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Sí pero.  No,0.2144,Positive,0.0,Neutral,0.4948942065238952,Positive
Técnica porque entonces,0.0,Neutral,0.0,Neutral,0.2955178916454315,Neutral
Ayer me puedo tomar,0.0,Neutral,0.0,Neutral,0.3074395358562469,Neutral
Aquí no hay sabana,-0.296,Negative,0.0,Neutral,0.2298455089330673,Neutral
Vive,0.0,Neutral,0.0,Neutral,0.4977855384349823,Positive
Baño 😻😻😻😻,0.9001,Positive,0.0,Neutral,0.3024645745754242,Neutral
😍😍😍😍😍😍😍😍 mi canción favorita del mes!!! 😍😍😍😍😍😍,0.9922,Positive,0.9765625,Positive,0.8770122528076172,Positive
Ozuna,0.0,Neutral,0.0,Neutral,0.2419842034578323,Neutral
. T.,0.0,Neutral,0.0,Neutral,0.274650514125824,Neutral
😋😋😋,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
"Y grabado en Ibiza, amo Ibiza 😍👌",0.9236,Positive,0.5,Positive,0.5870938897132874,Positive
Ozon. Yecue. Decesa ♥️♥️,0.6705,Positive,1.0,Positive,-0.5633342266082764,Negative
saludos desde peru.. siempre lo scucho fuerte volumen en mi radio ..limpiando mi casa..,0.4215,Positive,0.1,Positive,0.6372437477111816,Positive
Tjhjkjhjkjhuhjv💖😙,0.9201,Positive,0.0,Neutral,0.3085779249668121,Neutral
Yyhvhhvvj,0.0,Neutral,0.0,Neutral,-0.2730272710323334,Negative
"Grande Ozuna  y  Camilo ,desde 🇪🇬💪💪💪",0.6249,Positive,0.8,Positive,0.6023769974708557,Positive
bonito,0.0,Neutral,0.0,Neutral,0.383009672164917,Positive
1 añoo :0,0.0,Neutral,0.0,Neutral,-0.8502346277236938,Negative
2020 sigo escuchando está canción hermosa me encanta los dos son excelentes cantantes Dios los bendiga😘😘,0.972,Positive,0.7833333333333333,Positive,0.8827841877937317,Positive
RACHEL SEGURA,0.4404,Positive,0.5,Positive,0.2834497988224029,Neutral
Where my girl,0.0,Neutral,0.0,Neutral,0.5215229392051697,Positive
😎,0.4588,Positive,0.0,Neutral,0.3085779249668121,Neutral
Mi favorito artista is Camilo ♥️♥️♥️♥️,0.9674,Positive,0.5,Positive,0.5911482572555542,Positive
me encanta una suscripcion,0.6369,Positive,0.5,Positive,0.7009613513946533,Positive
Que do muy  buena la música 🎶 👌,0.8529,Positive,0.91,Positive,0.6398369669914246,Positive
🥺🥺🥺,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
😎,0.4588,Positive,0.0,Neutral,0.3085779249668121,Neutral
Rkdmdm🤭💕💕💕💕💕,0.9792,Positive,0.0,Neutral,0.3085779249668121,Neutral
camilo,0.0,Neutral,0.0,Neutral,0.2820494472980499,Neutral
👏👏👏💯💯💯🤣🤣🤣😂😂😂🤤🤤🤤🤤,0.9538,Positive,0.0,Neutral,0.3085779249668121,Neutral
🤩😊😉😄😏😌❤️❤️💞,0.9545,Positive,0.0,Neutral,0.3085779249668121,Neutral
🔥🔥🔥🔥😸😎♥️,0.6249,Positive,0.0,Neutral,0.3085779249668121,Neutral
Está canción me recuerda a una amiga muy especial 💖💖,0.9614,Positive,0.4642857142857143,Positive,0.5171388387680054,Positive
"Felicidades Camilo hermosa música  soy paraguayo pero me crié en Brasil  entiendo todas tus canciones,felicidades a ti y a Uzuna hermosa música. 🙂👍🏻",0.9646,Positive,0.85,Positive,0.758701503276825,Positive
Escuchando todo los días en Japón,0.0,Neutral,0.0,Neutral,0.5133040547370911,Positive
Me dedicaron está canción alguien especial,0.6908,Positive,0.3571428571428571,Positive,0.3678372502326965,Positive
J'adore🥺🥺❤❤❤❤❤❤,0.9854,Positive,0.5,Positive,0.3209441304206848,Neutral
Me encanta,0.6369,Positive,0.5,Positive,0.7738614678382874,Positive
Gran mensaje saludos a todas las mujeres,0.7845,Positive,0.8,Positive,0.7800460457801819,Positive
Muy hermoso temita genial 💖💝💕💘💋💯♥️💘💘💕🇨🇱🇨🇱❤️‍🔥💖💝💝❤️💞🔥❤️‍🔥❣️💖💖💝💕💕💕 gracias por subir vídeos suerte 🍀🎧🎤🪗🥁🥁🥁🥁🪘🎻🎸📻📸🎷🔉🎶🎵🎼🔊🎼🎼🎼🎼🎼🔉🔈🔉🔈 bendiciones 🙏,0.8712,Positive,0.5375,Positive,0.9110924005508424,Positive
Incredible que extraño hasta el Ozuna del 2020😪❤️,-0.2177,Negative,0.9,Positive,0.7968374490737915,Positive
Amo esta canción es tan hermosa y adictiva ❤,0.937,Positive,0.45,Positive,0.8491116762161255,Positive
"Ozu enlata pues al principio estipula quién puso esa mierd🤬 por algo será , Despeinada yessssss 😱",-0.8555,Negative,-0.2,Negative,-0.3857497274875641,Negative
0:17,0.0,Neutral,0.0,Neutral,-0.4362735152244568,Negative
1:44,0.0,Neutral,0.0,Neutral,-0.2453426569700241,Negative
Esta canción es las más mejores q saco ozuna con camilo y q lo ponen a uno a 🎶😍💃🏻:-P,0.802,Positive,1.0,Positive,0.784151554107666,Positive
Uesusa,0.0,Neutral,0.0,Neutral,0.2741321623325348,Neutral
😁😀😀😀,0.8591,Positive,0.0,Neutral,0.3085779249668121,Neutral
Aiqa,0.0,Neutral,0.0,Neutral,0.2622226774692535,Neutral
qu,0.0,Neutral,0.0,Neutral,0.2697913348674774,Neutral
Está cacionse llama Despeinada yessssss 😱😍💆‍♀️💇‍♀️,-0.4215,Negative,0.0,Neutral,-0.643825888633728,Negative
