Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
hope this get 1 bil,0.4404,Positive,0.0,Neutral,-0.4292848408222198,Negative
This song has deep meaning.,0.0,Neutral,0.0,Neutral,0.63736492395401,Positive
9 years later still listening,0.0,Neutral,0.0,Neutral,0.4376475214958191,Positive
"wow i just realised this osng was released 9 years ago, it will never get old it's just a measterpize",0.5859,Positive,0.1,Positive,0.4983231723308563,Positive
i love this song so much its 2022 im still listening <3 <3 <3,0.9169,Positive,0.74,Positive,0.726482629776001,Positive
this song is fire 🔥🔥👌👌,0.7241,Positive,0.0,Neutral,0.4850246608257293,Positive
on repeat❤❤❤❤,0.9571,Positive,0.0,Neutral,0.2772875726222992,Neutral
This song deserves 1 billion views,0.0,Neutral,0.0,Neutral,0.5549222230911255,Positive
This one finna hit 1b too 😭 imagine dragons are legendary-geniuses for creating the most catchiest music.,-0.2263,Negative,0.5,Positive,0.8575655221939087,Positive
This song brought me to my childhood.,0.0,Neutral,0.0,Neutral,0.658096432685852,Positive
"P
A
S
E
N
H
E
N
Y
A
I",0.0,Neutral,0.0,Neutral,0.2685228884220123,Neutral
this is nft music,0.0,Neutral,0.0,Neutral,0.3751550316810608,Positive
This help me with my depression with the loss of many friends and my cat is suffering with cancer and blindness and people bully my for not getting my English right my first language is Scottish garlic so yeah and the loss of some of  my family members,-0.8843,Negative,0.2589285714285714,Positive,0.4277842938899994,Positive
Essa música🎼me inspirava pra batalha que eu estava enfrentando em 2013.💪💚💛,0.875,Positive,0.0,Neutral,0.5290669798851013,Positive
*This is goodest song i did listen*,0.0,Neutral,0.0,Neutral,0.4818370044231415,Positive
Something wrong is with this,-0.4767,Negative,-0.5,Negative,-0.3317566514015198,Negative
0:14 / 3:56,0.0,Neutral,0.0,Neutral,-0.3636724948883056,Negative
This song will always be my fav,0.4588,Positive,0.0,Neutral,0.7187358736991882,Positive
This song is so relaxing I don’t like it I love it,0.896,Positive,0.5,Positive,-0.3594033420085907,Negative
NOSTALGIA 🔥 IM BACK IN 2022 😎✋,0.5859,Positive,0.0,Neutral,0.5592185258865356,Positive
2022🇲🇲🇹🇭,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
I cnat even listen to this song normally now,0.0,Neutral,0.15,Positive,0.3328027725219726,Positive
Top 1 song,0.2023,Positive,0.5,Positive,0.8748334050178528,Positive
Never Gets Old Been Listening To The Song Since 2018 Its Solid,0.1531,Positive,0.05,Positive,0.5363508462905884,Positive
Tip: Listen this on low volume and instantly make it full when music rises.,-0.2732,Negative,0.1166666666666666,Positive,0.4640071988105774,Positive
FAVE,0.4404,Positive,0.0,Neutral,0.3664391338825226,Positive
This is more like an emotional song 😭😭😭😭,-0.8291,Negative,0.25,Positive,0.3227613270282745,Neutral
Who's here before 1 billion views?,0.0,Neutral,0.0,Neutral,-0.370016872882843,Negative
❤,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
First I see this song I cryed,-0.3818,Negative,0.25,Positive,-0.296612799167633,Negative
😃 this is the best song it evaer get old,0.7717,Positive,0.55,Positive,0.8125799894332886,Positive
"When the blood goes stale, you will remember to keep it simple and honest and...

Demons hide... A base value can be found if nothing else? ""What value is this in me to the devil to claim it's pedigree?""

It's what you make, when you follow the right shepherd. Someone in YouTube just pointed me at seeing a lense that Elon musk is a shepherd with a pay to win scheme. What value is enlightenment on brilliance? Does musk know? Will you pay him to find out? With the powers that be, provide? You will find it is fate if you follow pay-to-win.",0.8327,Positive,0.0642857142857142,Positive,-0.3596016466617584,Negative
rest in peace tyler,0.5423,Positive,0.0,Neutral,0.4376013576984405,Positive
This song would make a fire song to play on beat saber,0.0,Neutral,0.0,Neutral,-0.2671155631542206,Negative
I went bowling and heard this song play,0.34,Positive,0.0,Neutral,0.4861052930355072,Positive
This is my kingdom come,0.0,Neutral,0.0,Neutral,0.7987015843391418,Positive
Since I started listening to this song it has always touched my heart,0.6369,Positive,0.0,Neutral,0.6812006235122681,Positive
True,0.4215,Positive,0.35,Positive,0.5879018306732178,Positive
How did we get this to this is my kingdom come,0.0,Neutral,0.0,Neutral,0.7509487867355347,Positive
We still are made of seed...,0.0,Neutral,0.0,Neutral,0.2786796391010284,Neutral
Who dislikes such a video,-0.4019,Negative,0.0,Neutral,-0.5360813140869141,Negative
I listen to this masterpiece until 1.000.000.000 views,0.7073,Positive,0.0,Neutral,0.5847539901733398,Positive
This is my kindom come 🇮🇩❣️❣️,0.8555,Positive,0.0,Neutral,0.7108306288719177,Positive
"Finally,,i found my worship song 😆😆😆😆😆",0.9136,Positive,0.0,Neutral,0.5929903984069824,Positive
Czy ja mam tylko wrażenie że wszystkie ich piosenki są hitami,0.128,Positive,0.0,Neutral,-0.3888761401176452,Negative
*GODLIKE!!!* 💖💖💖,0.9642,Positive,0.0,Neutral,0.6200867295265198,Positive
