Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
У Queen нет лучших песен. Они все восхитительные,0.1109,Positive,0.8,Positive,0.3611727356910705,Positive
Queen+Zemfira : we are the champions,0.5267,Positive,0.0,Neutral,0.8128034472465515,Positive
Queen forever... Freddie..R.I.P.,0.0,Neutral,0.0,Neutral,0.7176963090896606,Positive
"I keep 3 air guitars on the wall, in reach, so that when those massive May riffs and solos kick in, neither myself nor my kids have any excuse not to join in! 

While we all always think of Freddie as the hero of Queen, with that unimaginable vocal talent, the other guys together and only together, make something that no one has or will ever create again. Nothing will ever come close to this. Lives as iconic music along with the greatest pieces like Handle's Messiah, Bach's Toccata and Fugue.. breathtaking music that reaches into you and takes your breath away. Not just the first time, but every time you hear it. Long live the Queen!",0.8377,Positive,0.2682954545454545,Neutral,0.9036204814910888,Positive
Queen selalu dihati,0.6369,Positive,0.0,Neutral,0.5128823518753052,Positive
"Queen 💕for ever, ever and ever....",0.0,Neutral,0.0,Neutral,0.9230742454528807,Positive
RIP Freddie Mercury,0.0,Neutral,0.0,Neutral,-0.4707231223583221,Negative
Always good Music,0.4404,Positive,0.7,Positive,0.5641270279884338,Positive
love Queen forever❤❤❤,0.9571,Positive,0.5,Positive,0.7109835743904114,Positive
My new favourite playlist,0.0,Neutral,0.1363636363636363,Neutral,0.817146360874176,Positive
I love songs,0.6369,Positive,0.5,Positive,0.6599331498146057,Positive
"Thanks dad, ever since I was a kid he introduced me to Queen and Michael Jackson, you never were really there for me, but you're music taste surely is!",0.7263,Positive,0.3416666666666666,Positive,0.5918675661087036,Positive
im loosing my relationship. came here to gain energy.,0.4404,Positive,0.0,Neutral,0.6544582843780518,Positive
Najbolji legende🌹🕯️🙏,0.6369,Positive,1.0,Positive,0.8974318504333496,Positive
"Unico, incomparable, lo extraño mucho!!!",-0.3561,Negative,0.3885416666666666,Positive,0.607655942440033,Positive
Very very fantastis music,0.0,Neutral,0.26,Neutral,0.7110989689826965,Positive
"Cleaning my room to this, because my depression room needs some strong motivation music

Update: IT WORKED GUYS I JUST SANG AND ARGUKDNFSGBZDFG MY ROOM NOW LOOKS  *A E S T H E T I C* THANK U FOR MAKING THIS PLAYLIST",0.6408,Positive,0.4333333333333333,Positive,0.3425197899341583,Positive
"4.Good Old-Fashioned Lover Boy 13:53 
THE BEST FOREVER!",0.8757,Positive,1.0,Positive,0.5656646490097046,Positive
❤❤❤❤,0.9571,Positive,0.0,Neutral,0.3085779249668121,Neutral
I'm a tween and I kw what qn is gen z needs to kw,0.0,Neutral,0.0,Neutral,-0.3768689930438995,Negative
I would give any amount of time off my life to have been able to hang out with Freddie and the band.,0.0,Neutral,0.5,Positive,0.2554458677768707,Neutral
Queen forever,0.0,Neutral,0.0,Neutral,0.7898205518722534,Positive
Me encanta. Será siempre la música que me acompañará el resto de mi vida.,0.6369,Positive,0.5,Positive,0.8573008179664612,Positive
I love Queen.,0.6369,Positive,0.5,Positive,0.8102074861526489,Positive
Love of my life is not in the list???? 😩,0.6199,Positive,0.5,Positive,-0.3188697397708893,Negative
The Legendary Band of 19th century💪❤,0.6369,Positive,1.0,Positive,0.7139387726783752,Positive
queen forever,0.0,Neutral,0.0,Neutral,0.7898205518722534,Positive
I seriously think bohemian Rhapsody is the best. I LOVE IT,0.8567,Positive,0.3888888888888889,Positive,0.8953980207443237,Positive
Queen forever ♡,0.0,Neutral,0.0,Neutral,0.8238469958305359,Positive
Bro why didnt put keep yourself alive thats a good one,0.6705,Positive,0.3999999999999999,Positive,0.2898098528385162,Neutral
I am still listening my favourite Queen since 1977.,0.0,Neutral,0.0,Neutral,0.825030505657196,Positive
Просто впадаю в транс.Люблю Фредди. Вечная музыка в моём ❤.,0.8555,Positive,0.5,Positive,0.7458292841911316,Positive
música de verdad q perdurará eternamente!,0.0,Neutral,0.1,Neutral,0.6224324107170105,Positive
This is all i listen to i LOVE queen queen for infinity,0.7125,Positive,0.5,Positive,0.8589009046554565,Positive
"Da ist wirklich ein Song besser als der andere.
Es ist bedauerlich das Freddy Mercury so früh gestorben ist, aber ich bin so dankbar das er überhaupt gelebt hat um mit seiner Band all diese fantastischen Songs zu spielen.
Ich bekomme Gänsehaut am ganzen Körper und hier sind die größten Hits von ihnen das heiß es kribbelt seit 1 Stunde und 20 Minuten.
Danke für`s zusammenstellen und hochladen",0.983,Positive,0.2361111111111111,Neutral,0.9174736142158508,Positive
The best,0.6369,Positive,1.0,Positive,0.9091946482658386,Positive
Talent.,0.4215,Positive,0.0,Neutral,0.6066879034042358,Positive
Esto es pura música no como el caca boni,-0.2755,Negative,0.2142857142857142,Neutral,-0.5043774247169495,Negative
最高！！,0.0,Neutral,0.0,Neutral,0.8844174146652222,Positive
Eu amooooo as músicas deles,0.6369,Positive,0.5,Positive,-0.2874912917613983,Negative
All hail to her majesty's the queen 👑,0.0772,Positive,0.0,Neutral,0.7708128094673157,Positive
"Спасибо за столь чудесную подборку, Queen навсегда в сердечке 💘",0.9393,Positive,0.5,Positive,0.4740669429302215,Positive
"Beautiful collection of fabulous melodies, Queen members are legendary, Rest in peace Freddie you achieved your goal.",0.8957,Positive,0.75,Positive,0.8857466578483582,Positive
KILLER QUEEN! It’s ability is to make the heart of whoever hears it explode!,0.2619,Positive,0.0,Neutral,0.666053295135498,Positive
top teir,0.2023,Positive,0.5,Positive,0.8625237941741943,Positive
"Мы все становимся лучше, когда слушаем песни Quееn",0.4404,Positive,0.5,Positive,0.2685874700546264,Neutral
.Good Old-Fashioned Lover Boy,0.7717,Positive,0.0,Neutral,0.4976615607738495,Positive
The bes.Somebody To Love,0.6369,Positive,0.5,Positive,0.6618590950965881,Positive
Queen 💗,0.7096,Positive,0.0,Neutral,0.627983570098877,Positive
Amazing,0.5859,Positive,0.6000000000000001,Positive,0.8426642417907715,Positive
Queen forever,0.0,Neutral,0.0,Neutral,0.7898205518722534,Positive
just imagine if freedie didnt have aids. MORE LEGENDARY SONG SHOULD BEEN CREATED D:,0.6874,Positive,0.75,Positive,0.239234372973442,Neutral
!!!!!!💕,0.7556,Positive,0.0,Neutral,0.3603877127170563,Positive
Queen 👌,0.7297,Positive,0.0,Neutral,0.627983570098877,Positive
Legendary  band  !!! Unforgettable sweet hearted Freddie  !!!!,0.6331,Positive,0.8848307291666666,Positive,0.9003250002861023,Positive
"1.Killer Queen 0:00
2.Bohemian Rhapsody 3:01
3.Somebody To Love 8:56
4.Good Old-Fashioned Lover Boy 13:53
5.We Will Rock You 16:47
6.We Are The Champions 18:48
7.Don't Stop Me Now 21:54
8.Another One Bites The Dust 25:25
9.Play The Game 29:00
10.Under Pressure 32:32
11.Radio Gaga 36:30
12.I Want To Break Free 42:14
13.It's A Hard Life 46:32
14.One Vision 50:41
15.Who Wants To Live Forever 54:46
16.The Invisible Man 59:42
17.I Want It All 1:03:42
18.I'm Going Slightly Mad 1:07:44
19.The Show Must Go On 1:11:53
20.Too Much Love Will Kill You 1:16:17",0.9214,Positive,0.0524621212121212,Neutral,0.2457945495843887,Neutral
я так рада что могу его слушать.,0.5095,Positive,0.5,Positive,0.5822822451591492,Positive
"probably contributed 100 views, its been a day only.",0.0,Neutral,0.0,Neutral,-0.3531181514263153,Negative
Arte,0.0,Neutral,0.0,Neutral,0.3967564702033996,Positive
YEEAAH,0.0,Neutral,0.0,Neutral,-0.2724380791187286,Negative
Queen>>>Beatles,0.0,Neutral,0.0,Neutral,0.3980891704559326,Positive
❤,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
2022 still favorite songs!! forever QUENN!👑👑👑,0.5962,Positive,0.78125,Positive,0.9062238931655884,Positive
This is some good music right here,0.4404,Positive,0.4928571428571428,Positive,0.3939980566501617,Positive
Пушка-),0.0,Neutral,0.0,Neutral,0.3249087333679199,Neutral
"Queen 💛 Queen 💛 Queen 💛 Queen 💛 Queen 💛
Queen 💛 Queen 💛 Queen 💛 Queen 💛 Queen 💛
Queen 💛 Queen 💛 Queen 💛 Queen 💛 Queen 💛
Queen 💛 Queen 💛 Queen 💛 Queen 💛 Queen 💛
Queen 💛 Queen 💛 Queen 💛 Queen 💛 Queen 💛
Queen 💛 Queen 💛 Queen 💛 Queen 💛 Queen 💛
Queen 💛 Queen 💛 Queen 💛 Queen 💛 Queen 💛",0.9994,Positive,0.0,Neutral,0.5050788521766663,Positive
25:25,0.0,Neutral,0.0,Neutral,0.2284087687730789,Neutral
Самая лучшая группа всех времён и народов!❤️,0.6696,Positive,1.0,Positive,0.9634377360343932,Positive
Легендарная  группа .  А Фредди  легендарный вокалист.каждый день слушаю песни Королевы.,0.0,Neutral,1.0,Positive,0.6334425806999207,Positive
I loved thanks,0.7783,Positive,0.4499999999999999,Positive,0.6774691343307495,Positive
"I wasn’t born in the wrong generation. I was born in the right generation to easily access this awesome music, and to be able to have it today and know it’s legacy. Rock on.",0.5267,Positive,0.3438095238095238,Positive,0.819738507270813,Positive
Quen la mejor banda del mundo del rock lo tenia que decir :D,0.8494,Positive,1.0,Positive,0.8608089089393616,Positive
3:06 When I first met you I felt like I had known you forever.,0.3612,Positive,0.25,Neutral,0.4746913015842438,Positive
Its just great songs,0.6249,Positive,0.8,Positive,0.5320122241973877,Positive
Saludo Mr. Deacon!,0.0,Neutral,0.0,Neutral,0.5485467314720154,Positive
"Queen is 1 of the most popular , impressive bands of the world",0.7688,Positive,0.7000000000000001,Positive,0.8749094605445862,Positive
Bravviiii,0.0,Neutral,0.0,Neutral,0.3185441195964813,Neutral
"항복이냐? 옥쇄냐?
사탄 하느님에게 포위된 니조그룹(조선일보+티비조선)의 운명은?
Surrender? Annihilation?
What is the fate of the Nijo Group (Chosun Ilbo + TV Chosun) surrounded by Satan God?

사탄어 포털/야훼마귀알라마귀예수마귀! 박멸!/파란의 사탄 동생, 태연이(사텬)-아마겟돈의 승리자!

#우주패권천하무적육육은삼십육
#야훼마귀알라마귀예수마귀박멸
#YahwehDevilAllahDevilJesusDevilEradication",-0.9772,Negative,0.0,Neutral,-0.6319414377212524,Negative
Это песнии моей молодости!,0.0,Neutral,0.0,Neutral,0.7037312984466553,Positive
20 meraviglie del creato👑❤😌,0.836,Positive,0.0,Neutral,0.8492164015769958,Positive
"4:53 Hey, I didn't know angels flew so low.",-0.4101,Negative,0.0,Neutral,-0.3154354989528656,Negative
6:03 I'll put a tear drop in ther ocean. When you find it is when I'll stop loving you.,0.1531,Positive,0.6,Positive,0.3022858798503876,Neutral
Parabéns pela seleção,0.5994,Positive,0.0,Neutral,0.2721169590950012,Neutral
Как же это классно! Спасибо!,0.658,Positive,0.546875,Positive,0.7324106097221375,Positive
MUY BUENA LA MUSICA DE QUEEN,0.4927,Positive,0.91,Positive,0.6670275330543518,Positive
Estoy escuchando a QUEEN me pone  feliz...💖💗💟💛 👏👏👏,0.9761,Positive,0.0,Neutral,0.6274963021278381,Positive
bohemian rhapsody must be at the museum! its A.R.T,0.0,Neutral,0.0,Neutral,0.628760576248169,Positive
Queen so cool,0.3804,Positive,0.35,Positive,0.7588564157485962,Positive
Loving this list but I'm missing Innuendo and Love of my life 😢😢❤,0.6059,Positive,0.3,Neutral,0.4399808943271637,Positive
10:58 Ask me why I’m so happy and I’ll give you a mirror.,0.6948,Positive,0.8,Positive,0.6803235411643982,Positive
7:50 I can’t stop thinking about you,-0.296,Negative,0.0,Neutral,0.3038292229175567,Neutral
Queen per sempre ❤️❤️❤️,0.0,Neutral,0.0,Neutral,0.820853590965271,Positive
"List of when diffrent songs begin:
1.Killer Queen 0:00
2.Bohemian Rhapsody 3:01
3.Somebody To Love 8:56
4.Good Old-Fashioned Lover Boy 13:53
5.We Will Rock You 16:47
6.We Are The Champions 18:48
7.Don't Stop Me Now 21:54
8.Another One Bites The Dust 25:25
9.Play The Game 29:00
10.Under Pressure 32:32
11.Radio Gaga 36:30
12.I Want To Break Free 42:14
13.It's A Hard Life 46:32
14.One Vision 50:41
15.Who Wants To Live Forever 54:46
16.The Invisible Man 59:42
17.I Want It All 1:03:42
18.I'm Going Slightly Mad 1:07:44
19.The Show Must Go On 1:11:53
20.Too Much Love Will Kill You 1:16:17",0.9214,Positive,0.0524621212121212,Neutral,0.3111718595027923,Neutral
Great,0.6249,Positive,0.8,Positive,0.741083025932312,Positive
Eeewweeeeweweeeeeeeeeeeeeeeweeweeeeeeeeeweeeeeweeeeeeeeeeeeeeeeweeeeeeewweeeweeeeweeweeeeeweeeweeeeeweee0ppeeppppppewewppewppppweeeeweeeweweeeeewwewweeeeeeeeweeeeeeeeeeeeeweeweeweeewewewwwweewewwpweewppewwppppppppppppppppp0w0ww0wwwwwwtww www wewwwwwwpww rww0w0w wwwwwwww ww w w 0ww,0.0,Neutral,0.0,Neutral,-0.3902938961982727,Negative
2:29 I can't stop thinking about you.,0.2235,Positive,0.0,Neutral,-0.3490329682826996,Negative
😍😍😍,0.8402,Positive,0.0,Neutral,0.3085779249668121,Neutral
Long live queen,0.0,Neutral,0.0431818181818181,Neutral,0.6357640624046326,Positive
P9,0.0,Neutral,0.0,Neutral,-0.264072448015213,Negative
Love of my life?,0.6369,Positive,0.5,Positive,0.3385221362113952,Positive
