Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
;(,0.0,Neutral,0.0,Neutral,0.2835903763771057,Neutral
tomi se afeita ella se para transpiren,0.0,Neutral,0.0,Neutral,-0.3815485835075378,Negative
he  to go to bed,0.0,Neutral,0.0,Neutral,-0.2641971707344055,Negative
Micheal Jackson >,0.0,Neutral,0.0,Neutral,0.2569278180599212,Neutral
Lol I love that song Michael Jackson it never gets old,0.7906,Positive,0.4666666666666667,Positive,0.7046128511428833,Positive
Love,0.6369,Positive,0.5,Positive,0.6595039963722229,Positive
Michael Jackson inspired us to do curles hair 😘😗😎😎😎💇💇,0.9565,Positive,0.0,Neutral,0.5020438432693481,Positive
Alguien en 2022?,0.0,Neutral,0.0,Neutral,-0.5548878908157349,Negative
"Even if he’s a Pedo, which I sure hope not, he was still a great artist may he still Rest In Peace",0.9153,Positive,0.65,Positive,0.3324359953403473,Positive
🤩🤩🤩🤩🤩🤩,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Michael can never be compared in terms of TALENT!!!,0.6607,Positive,0.0,Neutral,-0.3104494214057922,Negative
Michael Jackson song well  never get old,0.2732,Positive,0.1,Positive,0.5545519590377808,Positive
"Michael Joseph Jackson was an American singer, songwriter, and dancer. Dubbed the ""King of Pop"", he is regarded as one of the most significant cultural figures of the 20th century. Wikipedia
Born: 29 August 1958, Gary, Indiana, United States
Died: 25 June 2009, Holmby Hills, Los Angeles, California, United States
Spouse: Debbie Rowe (m. 1996–1999) and Lisa Marie Presley (m. 1994–1996)
Children: Paris Jackson, Prince Jackson and Prince Michael Jackson II
https://youtube.com/channel/UCmtng0GiwLB4BHmlzoleFig",0.4754,Positive,0.195,Positive,0.265121191740036,Neutral
👍,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
MJ might be dead but his music isn't,-0.3919,Negative,-0.2,Negative,-0.3800746202468872,Negative
Legend💯,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
I like all your songs michael,0.3612,Positive,0.0,Neutral,0.641512393951416,Positive
Hello,0.0,Neutral,0.0,Neutral,0.561444878578186,Positive
Chaspire,0.0,Neutral,0.0,Neutral,0.3091956675052643,Neutral
"I was listening to this, and I forgot that he's dead. He's that iconic",-0.6486,Negative,0.15,Positive,0.6477785110473633,Positive
30/4/2022,0.0,Neutral,0.0,Neutral,-0.3026973307132721,Negative
Muito top,0.3804,Positive,0.4549999999999999,Positive,0.8203961253166199,Positive
his songs never gets old.,0.0,Neutral,0.1,Positive,0.2745603322982788,Neutral
"O cara era rei cantando, dançando, em tudo namoral, Eterno MJ",0.0,Neutral,0.0,Neutral,0.7064173221588135,Positive
マイケル-ジャクソンのダンスは本当にかっこいい!!,0.49,Positive,0.546875,Positive,0.3824651539325714,Positive
"To this day, no one has ever come close to perfection!!",0.4738,Positive,0.0,Neutral,0.8961473703384399,Positive
The BEAT is the Shi%$$#&,0.0,Neutral,0.0,Neutral,0.3560608029365539,Positive
almost 1 million,0.0,Neutral,0.0,Neutral,-0.4060566425323486,Negative
