Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
?,0.0,Neutral,0.0,Netural,-0.36149606108665466,Negative
Interesting similarity? Bronski Beat - Smalltown Boy,0.4019,Positive,0.5,Positive,0.37532779574394226,Positive
Lol,0.4215,Positive,0.8,Positive,0.25069501996040344,Netural
VERY GOOOD😆😆😆,0.9207,Positive,0.2,Netural,0.34821319580078125,Positive
I am not claiming any negativ energy 🤞,0.6246,Positive,-0.3,Negative,-0.5460472106933594,Negative
the people in the back round in the song were GTAd i can tell look at them eventaully you'll see please like this comment,0.7783,Positive,0.09999999999999999,Netural,-0.3164975345134735,Negative
La cancion del año 2022,0.0,Neutral,0.0,Netural,0.6063414812088013,Positive
What a beginning,0.0,Neutral,0.0,Netural,0.41848161816596985,Positive
Maby sing of a vampirehero saving good people  getting bad people iam like a hero cus I save good people  bite the bad gyes to nothing and some friends  wants to join me StrongVampireHero I play minecraft multiplayer  they like me,0.8921,Positive,0.04000000000000005,Netural,0.3477596640586853,Positive
Slime power is not real you just put on a a fake vampire teeth.,-0.4767,Negative,-0.3,Negative,-0.4399400055408478,Negative
Love ED SHEEHAN 😍,0.802,Positive,0.5,Positive,0.6548886299133301,Positive
Bad habits,-0.5423,Negative,-0.6999999999999998,Negative,-0.638948380947113,Negative
I really like this song called bad habit it’s one of my favorite songs ever my friend Zoe and my friend Nikki they both like this song too and I’m glad they like it so maybe can you make some more films of Bad habits,0.8985,Positive,0.050000000000000065,Netural,0.771324872970581,Positive
Ed Sheeran please add some more vampire songs I really love your songs I never heard anything more that I have liked then your songs,0.8622,Positive,0.525,Positive,0.7513085007667542,Positive
Ed Sheeran can you please make some more vampire songs I love your song so much and you’re the best singer I have ever heard,0.8934,Positive,0.55,Positive,0.9133104681968689,Positive
What a tune,0.0,Neutral,0.0,Netural,0.6088398694992065,Positive
The reason we’re meant to be is so we leave all the boring divs to each other we’re far too superior I think the world of u your mind body and soul I just want too hug you and make it all better we can heal together I’m allergic to all other men romantically because of u . X,0.8235,Positive,0.00833333333333334,Netural,-0.38859823346138,Negative
Looks like Ed Sheeran finally remembered his Log in password.,0.3612,Positive,0.0,Netural,-0.22920428216457367,Negative
🤩,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
😱hoo,-0.3818,Negative,0.0,Netural,0.30857792496681213,Netural
Ed sheeran I 💙  you're music,0.6369,Positive,0.0,Netural,0.40225353837013245,Positive
You Made my Day ❤️🍀❤️,0.0,Neutral,0.0,Netural,0.6249157786369324,Positive
Just listing and relaxing 😌 😎,0.8316,Positive,0.0,Netural,0.43267011642456055,Positive
I love this song 🥰,0.91,Positive,0.5,Positive,0.8624796271324158,Positive
"ed sheeran, i promise that i am gonna become a very popular edm producer and be good enough to do a colab withu . Please wait for me.",0.8622,Positive,0.49333333333333335,Positive,0.2422887682914734,Netural
You looks like scary but how?,-0.09,Negative,-0.5,Negative,0.343980610370636,Positive
Nice 🇧🇩,0.4215,Positive,0.6,Positive,0.43827590346336365,Positive
beautiful song 🇧🇩🇧🇩🇧🇩,0.5994,Positive,0.85,Positive,0.7052157521247864,Positive
Ed Sheeran always makes catchy music,0.0,Neutral,0.0,Netural,0.45398157835006714,Positive
Jupiter and kona,0.0,Neutral,0.0,Netural,0.3179152309894562,Netural
Jupitrer,0.0,Neutral,0.0,Netural,0.2789003252983093,Netural
"Ed sheeran really is a blessing on our time. I've liked quite a few of his songs. They're very well made and emotionally satisfying to sing.
Thanks man, for all your hard work!",0.9253,Positive,0.16220238095238093,Netural,0.8448174595832825,Positive
"I don't  know how he make such good music 
He is very talented and he has a penchant to make good songs",0.8553,Positive,0.5774999999999999,Positive,0.5031461119651794,Positive
"Our Bad Habits: 

Me sleeping at 4am, you on a break DM-ing each other, sending each other random memes. 
…
We can’t study together🤪
We could spend hours on Zoom together.",-0.5423,Negative,-0.36249999999999993,Negative,-0.6558692455291748,Negative
1234 nothing happen's after 2 <3,0.4404,Positive,1.0,Positive,-0.5347659587860107,Negative
"Just horrible. Sorry, no talent here. What has happened to music?",-0.7296,Negative,-0.75,Negative,-0.9271994233131409,Negative
I love you,0.6369,Positive,0.5,Positive,0.8546807765960693,Positive
Con bring me the horizon  es mucho mejor 😍,0.7096,Positive,0.5,Positive,0.27752232551574707,Netural
He's come a long way from busking in Sheffield and look at him now! From rags to Riches he's done some good tunes and done very well for himself as if he never sang another song ever again he's made for life!!! 😎🥳🥳🥳,0.9621,Positive,0.34270833333333334,Positive,0.7105145454406738,Positive
you have one new sub btw☺,0.4588,Positive,0.13636363636363635,Netural,0.33946463465690613,Positive
great job i love your songs but maybe fix the flying its easy to see your on a hook,0.8402,Positive,0.5777777777777778,Positive,0.496933251619339,Positive
"Toda vez que ouço essa música dá vontade de dançar, e ou andar no ritmo ....🎶🎶🎶🎶",0.0772,Positive,0.0,Netural,-0.325114369392395,Negative
Vampire  wow cool I love this,0.8834,Positive,0.31666666666666665,Netural,0.8988879323005676,Positive
now you plagiarize David Bowie's look?,0.0,Neutral,0.0,Netural,-0.5663608312606812,Negative
i work a lot on everything,0.0,Neutral,0.0,Netural,0.5610366463661194,Positive
0:50,0.0,Neutral,0.0,Netural,-0.4160228371620178,Negative
I have liked so much good music (I was 18 years old already in 1982) But the music made after 2015 is pure shit. Sorry,-0.5205,Negative,0.15238095238095237,Netural,-0.5491918325424194,Negative
What would innocent peoples responsible would be?,0.5719,Positive,0.35,Positive,-0.45134374499320984,Negative
My friend who overdose on heroin show me this song. R.i.p Kessler,0.0,Neutral,0.0,Netural,0.3945082724094391,Positive
goode song,0.0,Neutral,0.0,Netural,0.4494556486606598,Positive
Ti adoro. Sei fantastico 😍,0.8957,Positive,0.45,Positive,0.890425443649292,Positive
Tôp das galáxias,0.2023,Positive,0.5,Positive,0.8196035027503967,Positive
🇧🇷🇧🇷♥️♥️💏,0.9042,Positive,0.0,Netural,0.30857792496681213,Netural
addicted ❤,0.6369,Positive,-0.4,Negative,0.5547329783439636,Positive
Gratz,0.4588,Positive,0.0,Netural,0.2484508454799652,Netural
J'adore les m'auvaise  habitudes ! 😔🙄,0.3164,Positive,-0.1874999999999999,Negative,0.6351434588432312,Positive
Varlamov ≠ igovarev ≈,0.0,Neutral,0.0,Netural,-0.24752472341060638,Negative
Amazing,0.5859,Positive,0.6000000000000001,Positive,0.8426642417907715,Positive
The People who disliked this song should get a coronavirus test because they have no taste of music.,-0.5994,Negative,-0.2,Negative,-0.5338947772979736,Negative
Why is he flying like a royale high character 💀,0.3612,Positive,0.16,Netural,-0.24728451669216156,Negative
This is my favourite song 🎵 ❤,0.6369,Positive,0.0,Netural,0.8383463025093079,Positive
"I have nothing against Sheeran, but I don't understand how could this get a Grammy when its main riff is plagiarism. It's taken straight from 'September - Cry For You' or 'Supermode - Tell Me Why'.",-0.4215,Negative,0.18333333333333335,Netural,-0.3828219175338745,Negative
I Like your Songs top good luck,0.8481,Positive,0.6,Positive,0.7665244340896606,Positive
Ed Sheeran is so great,0.7384,Positive,0.8,Positive,0.7542187571525574,Positive
Freakiest part of this video is the fact that he pours ketchup on his fries rather than dipping them.,-0.3818,Negative,0.0,Netural,-0.6262116432189941,Negative
Watch in 2022,0.0,Neutral,0.0,Netural,0.48441874980926514,Positive
This people runing kinda look like kanibals in The Forest 😂,0.6275,Positive,0.0,Netural,0.3182087242603302,Netural
B,0.0,Neutral,0.0,Netural,0.2911197245121002,Netural
Milsick boa até meu dog dance,0.4404,Positive,0.7,Positive,0.3668099343776703,Positive
I'm naming my first brain tumor after him.,-0.3818,Negative,0.25,Netural,0.4528421461582184,Positive
VuuuuV,0.0,Neutral,0.0,Netural,0.23217834532260895,Netural
His songs never die,0.4847,Positive,0.0,Netural,0.30104148387908936,Netural
Graet song!,0.6588,Positive,1.0,Positive,0.35005104541778564,Positive
Masterpiece 💥💥🔥🔥,-0.5719,Negative,0.0,Netural,0.8407883644104004,Positive
Love from Philippines ❤️,0.6369,Positive,0.5,Positive,0.5896161198616028,Positive
I love this song like Ed Sheeran.,0.7717,Positive,0.5,Positive,0.8050020337104797,Positive
Not everyone just randomly running around and hitting each other while Ed Sheeran just zinging with his pals and a little girl standing in the middle of no where be like-,0.0772,Positive,-0.203125,Negative,-0.43406587839126587,Negative
I wish he would love me... or keep trying 😚☺️😇 I'm yours so...,0.9485,Positive,0.5,Positive,0.36715447902679443,Positive
"Everyone has been hating on Ed recently, like I don’t understand, he’s been in the industry for so long but not once has he caused drama or been disrespectful I love him",0.7506,Positive,0.15,Netural,0.4942488968372345,Positive
