Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
👏👏👏👏,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Stream jikjin by treasure Feb 15 5pm kst ty !!!,0.6884,Positive,0.0,Neutral,-0.4495098888874054,Negative
Lisa <333,0.0,Neutral,0.0,Neutral,0.2539055943489074,Neutral
Lisa’s body proportion just makes every moves more sick. Too good,-0.1102,Negative,0.1619047619047618,Neutral,-0.4884518682956695,Negative
เพราะเต้นเพลงนี้ทำให้พ่องูคลั่งรักหนักมากกก🤤🐈🐍💕😌,0.9022,Positive,0.35,Positive,0.3085779249668121,Neutral
รัก,0.6369,Positive,0.5,Positive,0.4092471301555633,Positive
Fun fact: we r imagining ourselves dancing while laying on the bed 🤣🤣,0.8658,Positive,0.3,Neutral,0.6011682152748108,Positive
"what I think when I'm dancing:

what I look like when dancing: 🌴",0.3612,Positive,0.0,Neutral,0.5149615406990051,Positive
ayy go Lisa goo,0.0,Neutral,0.0,Neutral,0.3655642867088318,Positive
LİSA REAL DANCE QUEEN,0.0,Neutral,0.2,Neutral,0.6263555884361267,Positive
It is beautiful,0.5994,Positive,0.85,Positive,0.6422748565673828,Positive
👏👏,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Lisas moves r just 🤌✨,0.3182,Positive,0.0,Neutral,0.2400466054677963,Neutral
"2018 : covering dj snakes dance 
2021: collaborating with them !!!

Power of the queen ✨~",0.4898,Positive,0.0,Neutral,0.6393486261367798,Positive
Wowwwwwwwwwwwwwqwwwwwwwaaaaaaaaaaww,0.0,Neutral,0.0,Neutral,-0.3113524913787842,Negative
"LILIES KEEP STR3AMING LALISA & MONEY MVs & DANCE PRACTICES AND ALL LISA'S CONTENTS, LILIFILM & HER FANCAMS TOO",0.0,Neutral,0.0,Neutral,0.3563409447669983,Positive
"Lisa, your dances are spectacular, you did very well, you dance so well that I kept seeing you and repeating the video several times.",0.6291,Positive,0.2666666666666666,Neutral,0.7403450012207031,Positive
Daebak #Lisa and Kiel..💛💛💛,0.9274,Positive,0.0,Neutral,0.2611163258552551,Neutral
Every small detail… Lisa is mad legendary,-0.4939,Negative,0.0416666666666666,Neutral,0.7204636335372925,Positive
Woah....Lisa actually dance better than Kiel..? Never knew....O__O,0.4404,Positive,0.25,Neutral,-0.4182933866977691,Negative
Is Kiel a gay?,0.0,Neutral,0.4166666666666667,Positive,-0.4371984899044037,Negative
Sanki şarkının sözlerini bedeni söylüyor o kadar mükemmel ki,0.6948,Positive,1.0,Positive,0.2714545428752899,Neutral
Wow👏👏,0.5859,Positive,0.0,Neutral,0.3085779249668121,Neutral
🥰🥰🥰🥰🥰🥰🥰🥰😍😍😍😍😘😘🥰🥰🥰🥰,0.9987,Positive,0.0,Neutral,0.3085779249668121,Neutral
I have also tried this dance its very easy☺️,0.7559,Positive,0.2,Neutral,0.4994966685771942,Positive
"Even without facial expressions, she rocks to seven heavens.",0.4019,Positive,0.0,Neutral,0.5081073045730591,Positive
Learned the dance,0.0,Neutral,0.0,Neutral,0.384463369846344,Positive
Lalisa i love you 💗💗✨,0.9538,Positive,0.5,Positive,0.7632033824920654,Positive
Queen Lisa,0.0,Neutral,0.0,Neutral,0.4357272088527679,Positive
ً,0.0,Neutral,0.0,Neutral,0.2846148908138275,Neutral
she's eating kiel tuttin deymm.. what a presence. 💕💕💕 and her forms are cleaner sheesh 🔥🤯,0.9217,Positive,0.0,Neutral,0.4382384121417999,Positive
Love you Lisa💗💕,0.9371,Positive,0.5,Positive,0.856530487537384,Positive
Keep on coming to watch lisa..,0.0,Neutral,0.0,Neutral,0.2400365471839904,Neutral
"I can watch Lisa-related videos all day, it's so satisfactory.",0.5009,Positive,0.0,Neutral,0.5393984317779541,Positive
YOOO Royal Fam come through! Love you Kiel!,0.6988,Positive,0.625,Positive,0.8431804180145264,Positive
Đỉnh,0.2023,Positive,0.5,Positive,0.3004636764526367,Neutral
"🤣🤣🤣
First time in human reaction...
.
Lisa's  attitude be like boy 
.
That boy attitude is like gay 😂",0.9477,Positive,0.2222222222222222,Neutral,-0.3541998267173767,Negative
I love Lisa dance,0.6369,Positive,0.5,Positive,0.7270559668540955,Positive
lisa is sooooo good at dancing that she even outsold the choreographer,0.4404,Positive,0.7,Positive,0.378650426864624,Positive
Dancing machine,0.0,Neutral,0.0,Neutral,0.2973683178424835,Neutral
She makes dancing look so easy,0.5777,Positive,0.4333333333333333,Positive,0.5467860102653503,Positive
The fact lisa has collabed with all these amazing artists on this song is amazing 😍,0.891,Positive,0.6000000000000001,Positive,0.7881978750228882,Positive
"A lisa nadie la puede opacar, esa mujer es una diosa",0.0,Neutral,0.0,Neutral,0.6672674417495728,Positive
"I love you, Lisaaa!!!",0.7249,Positive,0.9765625,Positive,0.8439751267433167,Positive
؟,0.0,Neutral,0.0,Neutral,-0.3309517800807953,Negative
this is so perfect,0.6948,Positive,1.0,Positive,0.9046763777732848,Positive
<3💍,0.4404,Positive,0.0,Neutral,0.250719666481018,Neutral
Proud to be an blink 😍😇🤗😘,0.9287,Positive,0.8,Positive,0.6315491199493408,Positive
i love how kiel minimized his movements just so lisa could get the spotlight,0.6369,Positive,0.5,Positive,0.6245373487472534,Positive
The beginning of DJSnake Collab Lisa,0.0,Neutral,0.0,Neutral,0.320641815662384,Neutral
Did the video maker make Lisa as main focus or only my eye despite the other 😜,0.0,Neutral,0.0138888888888888,Neutral,0.3461708724498749,Positive
My bias Lisa 😏😏,-0.1027,Negative,0.0,Neutral,0.2588014304637909,Neutral
Lisa has something that always grab my attention,0.0,Neutral,0.0,Neutral,0.3643862307071686,Positive
80% of the people are imagining themselves dancing 😂😂,0.7003,Positive,0.0,Neutral,-0.2817054688930511,Negative
Amo esse vídeo ❤️,0.6369,Positive,0.5,Positive,0.5617630481719971,Positive
Awesome queen Lalisa reached 40m views...,0.6705,Positive,1.0,Positive,0.8323439359664917,Positive
Love Lisa,0.6369,Positive,0.5,Positive,0.609939455986023,Positive
Lisa is the best female k-pop dancer,0.6369,Positive,0.5,Positive,0.7536517977714539,Positive
"3years ago :danced on dj song
Now: collaboration with dj snake",0.0,Neutral,0.0,Neutral,0.2766490876674652,Neutral
ㄷㅂ,0.0,Neutral,0.0,Neutral,0.2957104742527008,Neutral
Omg i watched already this 100x but still can’t get over😬😬😬 lisa you are so talented and beautiful 🥰🥰🥰,0.99,Positive,0.7749999999999999,Positive,0.5320122838020325,Positive
Lisaaaaaa,0.0,Neutral,0.0,Neutral,-0.2833788096904754,Negative
"Lisa she kills me everytime, literally shes the best better than all the rest!",0.5983,Positive,0.8125,Positive,0.876388430595398,Positive
Dj snake became a huge fan of Lisa after this performance of her.,0.5574,Positive,0.4000000000000001,Positive,0.4042741954326629,Positive
Am waiting for new dance collaboration with that GUY and LALISA...KIEL TUTIN PLEASE,0.4648,Positive,0.1363636363636363,Neutral,-0.2649887502193451,Negative
Lisa,0.0,Neutral,0.0,Neutral,0.3173010349273681,Neutral
Lisa dancing to kiwi is my worlds colliding,-0.128,Negative,0.0,Neutral,0.4560797214508056,Positive
0:18 im addicted to,0.0,Neutral,-0.4,Negative,0.3334892690181732,Positive
Love this duo,0.6369,Positive,0.5,Positive,0.8419619202613831,Positive
they both are dancing amazingly,0.0,Neutral,0.6000000000000001,Positive,0.7500246167182922,Positive
Lisaaayaaa🥰🥰🥰🥰🥰💍,0.9895,Positive,0.0,Neutral,0.3085779249668121,Neutral
I love 💝,0.8555,Positive,0.5,Positive,0.8423482775688171,Positive
He's a man but his body movements are just like a girl hahahaha,0.5023,Positive,0.2,Neutral,0.4095253050327301,Positive
0:56 seconds of perfection,0.5719,Positive,0.0,Neutral,0.6799220442771912,Positive
รักลิซ่าาา,0.6369,Positive,0.5,Positive,0.3085779249668121,Neutral
สวยอ่ะ,0.5994,Positive,0.85,Positive,0.3085779249668121,Neutral
why this in my recommendation this is insaneeee she killed it,-0.6705,Negative,-0.2,Negative,-0.8062230348587036,Negative
Now lalisa is trending for his solo,0.0,Neutral,0.0,Neutral,0.3464125394821167,Positive
LISA the best kpop dancer.,0.6369,Positive,1.0,Positive,0.8476225733757019,Positive
Very good,0.4927,Positive,0.91,Positive,0.5479444265365601,Positive
lisa,0.0,Neutral,0.0,Neutral,0.3173010349273681,Neutral
The common denominator for X Academy's most popular videos: LISA. And don't you forget it.,0.5802,Positive,0.2666666666666666,Neutral,0.3151039183139801,Neutral
رقصص الولد😩😩😩😩🐛🦗🦟,-0.7506,Negative,0.0,Neutral,0.3112436830997467,Neutral
Lisa's body control is insane T_T,-0.4019,Negative,-1.0,Negative,-0.6897231936454773,Negative
리사 너~~무예뻐♡.♡,0.6269,Positive,0.25,Neutral,-0.3819014728069305,Negative
"Lisa is the goddess of dance, I love it💍",0.6369,Positive,0.5,Positive,0.8020392060279846,Positive
🖤💖♥️💓💗💯,0.9792,Positive,0.0,Neutral,0.3085779249668121,Neutral
ITS LISAAAAAÁ!,0.0,Neutral,0.0,Neutral,-0.4512971341609955,Negative
Selena voice is just🥰❤️❤️♥️,0.91,Positive,0.0,Neutral,0.3509158790111542,Positive
ate up kiel’s nasty a$$,-0.5574,Negative,-1.0,Negative,-0.5512228012084961,Negative
Lisa,0.0,Neutral,0.0,Neutral,0.3173010349273681,Neutral
"The lyrics in taki taki girl wanna run 
Lisa is running so far she is the first beautiful girl in k pop 
best girl dancer ever I love I like all the members in Blackpink",0.9413,Positive,0.54,Positive,0.7821947336196899,Positive
Who else imagined dancing like Lisa Infront of friends 😂😂,0.886,Positive,0.0,Neutral,0.2735886573791504,Neutral
Woo,0.4767,Positive,0.0,Neutral,0.2439749091863632,Neutral
Who's here at 2022 😍 ?,0.4588,Positive,0.0,Neutral,-0.3403615951538086,Negative
Creo que lisa se ve muy bien con gorra ella es hermosa 😍 la amooo,0.9451,Positive,0.7166666666666667,Positive,0.6190363168716431,Positive
"from covering DJ Snake, Selena and Cardi B, to collaborating with them✨",0.3182,Positive,0.0,Neutral,0.5138729214668274,Positive
❤,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
この曲の名前はなんですか？,0.0,Neutral,0.0,Neutral,0.2816463112831116,Neutral
What is the name of this song？,0.0,Neutral,0.0,Neutral,-0.5370124578475952,Negative
good lawd lisa 😩👏🏻🥵,0.2023,Positive,0.7,Positive,0.4777877926826477,Positive
OMGGGG LISA I need moreeeeeeeee!,0.0,Neutral,0.0,Neutral,-0.2462939321994781,Negative
Lalisa is just BEST! 🔥 💜,0.8412,Positive,1.0,Positive,0.7283679842948914,Positive
At the end they sit down like it's nothing special for them after doing this marvellous danceee,0.0624,Positive,0.1007936507936507,Neutral,0.3878630101680755,Positive
"I'm stuck with this LAlisa
     No' I'm not ,,actually I'm  stuck with LAlisa every dance performance",-0.067,Negative,0.0,Neutral,-0.6648017764091492,Negative
Woowww,0.0,Neutral,0.0,Neutral,0.2158899307250976,Neutral
Still love it,0.6369,Positive,0.5,Positive,0.7410569787025452,Positive
ยังชอบตลอดเวลาที่ดูเลย,0.3612,Positive,0.0,Neutral,0.3085779249668121,Neutral
so pretty lisaaaaaaaa,0.5413,Positive,0.25,Neutral,0.5354297161102295,Positive
I have seen various dance but never saw a dance machine like her,0.5023,Positive,0.0,Neutral,0.37745401263237,Positive
selena should have done this dance in taki taki,0.0,Neutral,0.0,Neutral,0.295846939086914,Neutral
Lisa is the greatest girl dancer in this whole world.. period,0.6369,Positive,0.6,Positive,0.8563220500946045,Positive
LISA ATE,0.0,Neutral,0.0,Neutral,0.2427543848752975,Neutral
Lisa is a such a dance genius that if she stands still it feels like she is doing dance moves....Love you Lisa💝💝,0.8979,Positive,0.0,Neutral,0.7484650611877441,Positive
