Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Wow,0.5859,Positive,0.1,Positive,0.6995608806610107,Positive
Close to 1B,0.0,Neutral,0.0,Neutral,0.274177223443985,Neutral
Hola,0.0,Neutral,0.0,Neutral,0.2550420761108398,Neutral
"Foi a coisa mais idiota que eu vi até agora kkkkkk O clipe inteiro basicamente mostra que quando a pessoa termina, ""não é pra valer"". O cara invade o casamento dela como um maluco, apanha, e no final a garota vai até ele e aí o cara... ""não posso ficar com vc"". QUAL O SENTIDO??? 🤣🤣🤣🤣
O ritmo da música até que é interessante, mas a mensagem da letra é um 💩. Se alguém termina com vc, não fique atrás da pessoa que nem um Zé ninguém, pq se vc não entende os motivos da outra pessoa, isso é problema seu e não do outro. A vida sempre continua.",0.76,Positive,0.0388888888888888,Positive,-0.3398581743240356,Negative
"La manera en que introduce el ""Hawai de vacaciones"" no tiene sentido, pero tiene buen ritmo así que es buena rola",0.844,Positive,0.7,Positive,0.5089550018310547,Positive
🤙🤙👉🤙🤣😁,0.9413,Positive,0.0,Neutral,0.3085779249668121,Neutral
alguien escuchando este temon en abril del 2022 o solo yo,0.0,Neutral,0.0,Neutral,-0.703514814376831,Negative
Estoy soy cuando mi amigo me dice que disimule en tirar una indirecta,0.3612,Positive,0.0,Neutral,-0.4569595158100128,Negative
2022 y sigo escuchando este temazo! Algún día se me va a dar y te voy a escuchar cantarla en vivo mi rey!!! Para cuándo la vuelta por Argentina!!!  I loveeeeeuuuu,0.7931,Positive,0.7600929953835227,Positive,0.5205816030502319,Positive
una colaboración conmigo 🇺🇾 👀,0.0,Neutral,0.0,Neutral,0.5458583235740662,Positive
Soy tu fan numero 1,0.3818,Positive,0.0,Neutral,0.7322537899017334,Positive
"se pueden hacer buenas canciones y letras que no dañen los oidos de niños, simplemente hay que ser inteligente al escribir. lindo tema aunque nunca me gusto la musica de este man.",0.8367,Positive,0.3035714285714285,Positive,-0.4371713399887085,Negative
Nice song ...love it from south africa,0.7906,Positive,0.6,Positive,0.5051532983779907,Positive
"BRASIL CHEGAMOS DE NOVO ,  MUSICA MARAVILHOSA . "" MALUMA BABY "" ❤",0.8636,Positive,1.0,Positive,0.8089656233787537,Positive
This small,0.0,Neutral,-0.25,Negative,-0.3749034106731415,Negative
11:11,0.0,Neutral,0.0,Neutral,0.2517557740211487,Neutral
