Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
These are really helpful lmao,0.8059,Positive,0.4,Positive,0.7466474771499634,Positive
omg your beard fell off at 3:50,0.0,Neutral,0.0,Netural,-0.5645924806594849,Negative
PewDiePie: I'm not materialistic! Also PewDiePie: Let's buy everything on Wish,0.4574,Positive,0.0,Netural,-0.3395257294178009,Negative
The origins of the human vibrator,0.0,Neutral,0.0,Netural,0.3472546339035034,Positive
Please play SCP 3008 ON roblox,0.5719,Positive,0.0,Netural,0.2668147683143616,Netural
Love your vids i just got 95 subs:),0.6369,Positive,0.5,Positive,0.8306053876876831,Positive
This is basically the new 5 weird things online at this point,-0.1779,Negative,-0.18181818181818182,Negative,0.5811512470245361,Positive
Thank you pewds!!! Im so happy right now hahahaha,0.8449,Positive,0.4285714285714286,Positive,0.8461356163024902,Positive
So funny!! HAHAHAHA he's like a cyborg 😂😂😂😂😂😂😂,0.9766,Positive,0.2953125,Netural,0.6922740936279297,Positive
Where are you from?,0.0,Neutral,0.0,Netural,-0.301690936088562,Negative
I haven't laughed like that in awhile,-0.5559,Negative,0.7,Positive,0.26530343294143677,Netural
He looks so confused and lost the whole time,-0.6762,Negative,-0.1,Negative,-0.5835113525390625,Negative
a revolutionary,0.0,Neutral,0.0,Netural,0.6541008353233337,Positive
"Our mouth is just a Habitual animal, we must feed it like a baby that can easily get addicted to anything.",0.5994,Positive,0.016666666666666663,Netural,0.3250238597393036,Netural
,0.0,Neutral,0.0,Netural,0.2846148908138275,Netural
I KNOW YOUR name BRO,0.0,Neutral,0.0,Netural,-0.24225394427776337,Negative
my man transcended,0.0,Neutral,0.0,Netural,0.4767487049102783,Positive
The new robocop movie looks promising ngl,0.4019,Positive,0.16818181818181818,Netural,0.4580422639846802,Positive
5:00 You So Cute 😍,0.7989,Positive,0.5,Positive,0.5876384377479553,Positive
The balls are moving!!!,0.0,Neutral,0.0,Netural,-0.3960864841938019,Negative
"This one youtube is really amazing for fans and every video the editor is really good, pewdiepie is an idol of all time.",0.8067,Positive,0.65,Positive,0.9418516159057617,Positive
Jag är svensk,0.0,Neutral,0.0,Netural,-0.21351821720600128,Negative
LMAO PEWDZ WHAT IS THIS 💀,0.6841,Positive,0.6,Positive,0.45336082577705383,Positive
"I’m a grown man, a father and a doctor… and I have been laughing hysterically for the last 5 minutes like a 9 year old 🤭🤣",0.9022,Positive,-0.3,Negative,0.4019351303577423,Positive
"Looks like Marzia's creation, lmao.",0.8176,Positive,0.6,Positive,0.25298330187797546,Netural
I like when how the every massage products that are named with misspelled words,0.3612,Positive,0.0,Netural,0.31147804856300354,Netural
You look like Louis Tully from Ghostbusters  XD,0.7925,Positive,0.0,Netural,0.3012959361076355,Netural
"Perfection ❤️ 😍  I love you so much, baby 💘",0.9465,Positive,0.35,Positive,0.9485192894935608,Positive
i was wondering where did menstrual massager go... turns out it is on his eyes,0.0,Neutral,0.0,Netural,0.32608041167259216,Netural
"I’m a grown man, a father and a doctor… and I have been laughing hysterically for the last 5 minutes like a 9 year old 🤭🤣",0.9022,Positive,-0.3,Negative,0.4019351303577423,Positive
ahhh yes five weird stuff online bootleg,0.25,Positive,-0.45,Negative,-0.40968814492225647,Negative
this is my FAVORITE video on you tube!! the part where you put on all the massagers and said ok bros im going to the other side bahahahah i love you man keep doing what your doing your a legend,0.9362,Positive,0.37124999999999997,Positive,0.923547089099884,Positive
"What happens to you in life is what God wants because, everyone is on God's Holy spirit Leash and, if you leave God you are on Satan's Antichrist Leash. So repent in Jesus name or, be a slave to Satan. Its the God's life you are living, The God of Evil Satan and, the God of everything God, who made God in the flesh ""Jesus Christ"". Amen.",0.6908,Positive,-0.4,Negative,0.6675693392753601,Positive
thsi looks so dangerous lol,-0.2294,Negative,0.10000000000000003,Netural,-0.7220947742462158,Negative
Pewds is looking handsome.,0.4939,Positive,0.5,Positive,0.41269418597221375,Positive
"This video was hilarous. Thanks, Pewds!",0.4926,Positive,0.25,Netural,0.4401293396949768,Positive
Pudidi,0.0,Neutral,0.0,Netural,0.25524213910102844,Netural
The brain massage looks like something from the matrix,0.3612,Positive,0.0,Netural,-0.312861829996109,Negative
eyes,0.0,Neutral,0.0,Netural,0.2615422010421753,Netural
That's nice but have you tried the balls massage?,0.2263,Positive,0.6,Positive,0.5727450251579285,Positive
you ever breakz like humpty dumpty square in a man batty crease shoot a hot danimals yogurt all over the backside and dont forget the reach around.l,0.1759,Positive,0.25,Netural,-0.7693686485290527,Negative
mans turned into friezA  LOL,0.5473,Positive,0.8,Positive,-0.38219496607780457,Negative
"I love how you confidently post content maybe could be considered related to me bc I do love massaging and so I think I’m like Amy shumer who everyone loves to hate bc she’s is ugly in a way , so I mean you don’t have to be into the same things as I am bc basically ppl will hate you for liking me probably bc I’m not amazing to them but I really want to thank you for having similar interest as me , and I love your voice and videos and I bet your crazy Swedish hot in bed but your married and I respect that I love how you care and act funny I guess everyone does bc your a cutie pie 🥰 but I’m not stalking just saying hate me if you want ppl to like you bc I’m a Amy shumer effect of ppl hating but poss it is insecurities of other ppls thoughts, but thank you for the content I know it’s not just for me but millions but I feel like there mad u like any shumer ugly girl soooo any way delete this comment if you can I’m not smart at you tube yet but I do enjoy every video makes me smile so much keep up the good work but not about my weird ass if it is it’s not tho I need sleep pewds…",0.9927,Positive,-0.047130102040816337,Negative,0.2797866463661194,Netural
Grown ass man laughing at this lmaooo just buys content and it looks great,0.5859,Positive,0.8,Positive,0.6762019395828247,Positive
Pewds needs to wear the tail and ears again,0.0,Neutral,0.0,Netural,-0.37782779335975647,Negative
bro looks like a fortnite skin still looks cool though,0.5859,Positive,0.35,Positive,0.47286126017570496,Positive
"Keanu Reeves: in 2077 what makes someone a criminal ?
Felix : 13:22",-0.5267,Negative,-0.4,Negative,-0.3069472014904022,Negative
I feel the stress re-leaving my body!,-0.4753,Negative,0.0,Netural,-0.27882999181747437,Negative
"Haha I actually teared up laughing, so good!",0.8816,Positive,0.35833333333333334,Positive,0.2532566785812378,Netural
he looks ridiculous! HAHAH I LOVE IT,0.5754,Positive,0.041666666666666685,Netural,0.6830491423606873,Positive
A very fun video! Haven't had a burst of laughter like that in years!,0.8713,Positive,0.609375,Positive,0.5860101580619812,Positive
This is so funny 😂🤣😆,0.907,Positive,0.25,Netural,0.8062423467636108,Positive
"This guy is funny, hope you get more subs",0.7003,Positive,0.375,Positive,0.4641980230808258,Positive
Looks like wish version of robocop lol,0.7906,Positive,0.8,Positive,0.23520636558532715,Netural
"8:19 is like, I don't even know what I'm watching anymore. 🫠🤯😵‍💫",-0.0772,Negative,0.0,Netural,0.26960429549217224,Netural
Best content.,0.6369,Positive,1.0,Positive,0.9050413966178894,Positive
"If this ain't the future, I don't know what is. Absolutely magnificent.",0.6361,Positive,0.5,Positive,0.7259314060211182,Positive
I haven't laughed that hard for a while,-0.2924,Negative,0.20416666666666664,Netural,0.2728431522846222,Netural
make more videos,0.0,Neutral,0.5,Positive,0.24958482384681702,Netural
I subscribed,0.0,Neutral,0.0,Netural,0.3887714445590973,Positive
amazing sus,0.5859,Positive,0.6000000000000001,Positive,0.7844025492668152,Positive
"It goes in my butt 
I like this one",0.3612,Positive,0.0,Netural,0.5553368926048279,Positive
I do believe he is using the menstral massager on his eyes,0.0,Neutral,0.0,Netural,-0.3466825783252716,Negative
V shape face is a new trend  😁,0.4588,Positive,0.13636363636363635,Netural,0.38569098711013794,Positive
Do a buying magic items from wish,0.4019,Positive,0.5,Positive,0.42536574602127075,Positive
thanks for the laugh,0.7579,Positive,0.25,Netural,0.3911508321762085,Positive
if he continued he wouldve gotten isekaied to SAO,0.0,Neutral,0.0,Netural,-0.36417698860168457,Negative
Pewdiepie is literally the neighbours kid,0.0,Neutral,0.0,Netural,0.2705076336860657,Netural
"Pewdiepie inspired me to start posting, I can't get any views though 😢",0.0258,Neutral,0.0,Netural,0.3421090245246887,Positive
"""Felix"" looks so good in a tail and hears",0.5777,Positive,0.7,Positive,0.616327702999115,Positive
Is it my bad wifi or is the camera out of focus all the time?,-0.5423,Negative,-0.6999999999999998,Negative,-0.3975982069969177,Negative
Hadn't watched pews in a year was up,0.0,Neutral,0.0,Netural,-0.3250483274459839,Negative
"13:30
This is exactly how I imagine VR-Porn to look like in the future",0.3612,Positive,0.125,Netural,0.7239286303520203,Positive
This an accurate representation of third graders when they learn about fidgets,0.0,Neutral,0.20000000000000004,Netural,0.49514949321746826,Positive
Pfhaha,0.0,Neutral,0.0,Netural,0.26728200912475586,Netural
"6:23 thats gonna be a news artice, Pewdiepie says: ""I dont wanna be white""",0.0,Neutral,0.0,Netural,-0.3644505441188812,Negative
This was so epic,0.0,Neutral,0.1,Netural,0.8102660179138184,Positive
Clips of this Video Gonna Be Hilarious,0.4019,Positive,0.5,Positive,0.5339747071266174,Positive
"Bro that is not made for eyes it goes somewhere else 
Sussy",0.0,Neutral,0.0,Netural,-0.48090535402297974,Negative
How can he be so creative for so many years,0.5777,Positive,0.5,Positive,0.7125303149223328,Positive
the item got delivered so fast tht felix also got instant shaved in the process,0.0,Neutral,0.1,Netural,0.5180318355560303,Positive
"""and it's pink!""
*proceeds to buy the white one",0.0,Neutral,-0.0625,Negative,-0.5349205136299133,Negative
"Pewds: ""I'm such a minimalist""
Also Pewds: ""look at at all my toys!""",0.0,Neutral,0.0,Netural,-0.2794467806816101,Negative
Pewds has transcend into another dimension,0.0,Neutral,0.0,Netural,0.39174994826316833,Positive
doing well and that you are enjoying your life to the fullest. Thank you for everything you've done for me and millions of others! You're amazing and never doubt that,0.9217,Positive,0.6125,Positive,0.9128695130348206,Positive
"Fayway is Number 1 Construction Company which deals in Home, Villa, Mansion, Hospital, Corporate Office, Industries and Manufacturing Plants Construction .Please Like Share and Support",0.8402,Positive,0.0,Netural,0.5691168308258057,Positive
"Fayway is Number 1 Construction Company which deals in Home, Villa, Mansion, Hospital, Corporate Office, Industries and Manufacturing Plants Construction .Please Like Share and Support",0.8402,Positive,0.0,Netural,0.5691168308258057,Positive
Love how pewds beard just unironically disappeared on the transition 😂,0.7351,Positive,0.5,Positive,0.33165794610977173,Positive
This video should win for the best content ever,0.8402,Positive,0.9,Positive,0.8345333933830261,Positive
BABY DOGE - NFTs coming 4/20/2022 @ 420PM EST,0.0,Neutral,0.0,Netural,0.373365193605423,Positive
When da mgr playthrough,0.0,Neutral,0.0,Netural,-0.2739580571651459,Negative
I am laughing out loud.. jesus 😂,0.7269,Positive,0.1,Netural,0.39731264114379883,Positive
too fun!!,0.5972,Positive,0.46875,Positive,0.6086248159408569,Positive
