Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
You too have a good day,0.4404,Positive,0.7,Positive,0.3874362409114837,Positive
cool,0.3182,Positive,0.35,Positive,0.4904145896434784,Positive
What good songs I like it😁😁😝🦄🐁 ever my pet lights,0.886,Positive,0.7,Positive,0.7789214849472046,Positive
Also Ness🥰😄,0.9153,Positive,0.0,Neutral,0.3563964962959289,Positive
De,0.0,Neutral,0.0,Neutral,0.240624189376831,Neutral
nice... listening to these while cleaning up... New Zealand bound...,0.4215,Positive,0.3681818181818181,Positive,0.4586746394634247,Positive
I need help,0.4019,Positive,0.0,Neutral,0.2827299237251282,Neutral
Mooie afspeellijst hoor,0.4215,Positive,0.6,Positive,0.4578086733818054,Positive
whats the girl name,0.0,Neutral,0.0,Neutral,-0.2902902662754059,Negative
Whoever is still listening to this in 2022 is a legend,0.0,Neutral,0.0,Neutral,0.4660248160362243,Positive
Dynamite mixture of  songs love it!,0.7345,Positive,0.625,Positive,0.8159273862838745,Positive
Boywithuke,-0.3182,Negative,-0.7,Negative,-0.4743317365646362,Negative
And two moons,0.0,Neutral,0.0,Neutral,-0.4740268290042877,Negative
Pls add long drives,0.0772,Positive,-0.05,Negative,0.3748013973236084,Positive
Rosie 😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁,0.9918,Positive,0.0,Neutral,0.3681525886058807,Positive
o my fav are circles blinding lights senori'ta,0.4588,Positive,0.0,Neutral,-0.2670678198337555,Negative
add bad habits lolits 20222,-0.5423,Negative,-0.6999999999999998,Negative,-0.3947775959968567,Negative
eeeeeeeeeek,0.0,Neutral,0.0,Neutral,0.2606626451015472,Neutral
lol,0.4215,Positive,0.8,Positive,0.2506950199604034,Neutral
you literly forgot to put someone you loved..,0.5994,Positive,0.7,Positive,-0.2307661026716232,Negative
great playlist,0.6249,Positive,0.8,Positive,0.7219088077545166,Positive
👽😎🤠🥰😍🤩arasou,0.9231,Positive,0.0,Neutral,0.3085779249668121,Neutral
Thật sự là mình rất thích âm nhạc những năm trước đây hơn là những bài hát hot hit hiện giờ. Kèm theo giọng hát của Đức Phúc thì ôi trời siêu hay luôn,0.9349,Positive,0.3388888888888888,Positive,0.4204268455505371,Positive
total fed sang mine elever elskede den.,0.7778,Positive,0.3444444444444444,Positive,0.6620728969573975,Positive
REAL Pesbians only,0.0,Neutral,0.1,Neutral,-0.3508907258510589,Negative
Song jisko bohat acha laga mujhe subscribe karde👌👌,0.0,Neutral,0.0,Neutral,0.4079937934875488,Positive
11 - music the best,0.6369,Positive,1.0,Positive,0.89337557554245,Positive
hi,0.0,Neutral,0.0,Neutral,0.2364865690469741,Neutral
Tiktok mashhup clean,0.4019,Positive,0.3666666666666667,Positive,0.2462740093469619,Neutral
1:01:22,0.0,Neutral,0.0,Neutral,-0.3173671364784241,Negative
omaigash,0.0,Neutral,0.0,Neutral,0.2560563683509826,Neutral
"EU NÃO ME CHAMO JOÃO SILVA, FORAM OS LADRÕES QUE ME ROUBARAM A IDENTIDADE...",-0.2263,Negative,0.0,Neutral,-0.6961819529533386,Negative
Too many adverts! Couldn’t listen to 1 full song without an advert,0.0,Neutral,0.4875,Positive,-0.7048062086105347,Negative
this music is wonderful I can chill in my room listening to this. a huge THANKYOU TO THE CREATOR,0.7184,Positive,0.7000000000000001,Positive,0.884453296661377,Positive
Nooree Raahee Par Walk Karo.......,0.0,Neutral,0.0,Neutral,0.4519606828689575,Positive
got it,0.0,Neutral,0.0,Neutral,0.420597106218338,Positive
Annoying thar you have maxed out the adverts,-0.4019,Negative,-0.8,Negative,-0.4186371564865112,Negative
mmmmm...,0.0,Neutral,0.0,Neutral,-0.3125146031379699,Negative
if there wasnt any adds that would be nice BECAUSE THE SONGS ARE SO GODDDD,0.4215,Positive,0.6,Positive,-0.3499317169189453,Negative
"i cant, for the life of me, find a very specific song ive heard in some stores and fast food places and nobody that hears it knows what its called. the only part i remember has a sort of muffled electric guitar sound, that goes on for at least 8 measures and the singer yells his vocals on the 4th and 8th one. and i can never place the lyrics since theres always something blocking them out",-0.3818,Negative,0.06,Neutral,-0.3291660249233246,Negative
Is good.💗,0.8316,Positive,0.0,Neutral,0.5133146047592163,Positive
wow🤩,0.5859,Positive,0.0,Neutral,0.3085779249668121,Neutral
L,0.4588,Positive,0.0,Neutral,0.2571044862270355,Neutral
"00:01 - Dance Monkey
03:27 - Yummy
06:50 - Memories
10:06 - Blinding Lights
13:29 - Senorita
16:42 - Circles
20:28 - Bad Guy
23:44 - Lover
27:41 - Old Town Road
30:19 - How Do You Sleep
34:07 - Cake By The Ocean
37:48 - Lose You To Love Me
41:14 - Dusk Till Dawn
45:23 - Never be the Same
49:33 - In My Blood
53:01 - Only Human
56:13 - On My Way
01:00:54 - I think it's the Outro of this Video",0.7351,Positive,-0.0214285714285714,Negative,0.2307348251342773,Neutral
"I’m enjoying this music mix in my backyard pool with my two kids and wife, hope everyone is having a beautiful day as well we’re ever you are!!! Blessings to everyone in the World life is good!!!",0.9631,Positive,0.8333333333333334,Positive,0.8021372556686401,Positive
Omg  love you music,0.6369,Positive,0.5,Positive,0.5081527829170227,Positive
love,0.6369,Positive,0.5,Positive,0.6595039963722229,Positive
It good l like this,0.8126,Positive,0.7,Positive,0.5165163278579712,Positive
