Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
T,0.0,Neutral,0.0,Netural,0.31999683380126953,Netural
Colombia le mete duro en la musica regional sin duda mexico tiene unas de las mejores musicas,0.7105,Positive,0.35416666666666663,Positive,0.3501438498497009,Positive
Ya vamos 🌏🌏 por los 100 millones de views tremendo himno mundial🔥🔥🔥🔥,-0.8344,Negative,0.3333333333333333,Positive,0.8856542706489563,Positive
O,0.0,Neutral,0.0,Netural,0.27508988976478577,Netural
Z,0.0,Neutral,0.0,Netural,0.27303171157836914,Netural
A,0.0,Neutral,0.0,Netural,0.31870728731155396,Netural
M,0.0,Neutral,0.0,Netural,-0.29218167066574097,Negative
E,0.0,Neutral,0.0,Netural,0.2746336758136749,Netural
T,0.0,Neutral,0.0,Netural,0.31999683380126953,Netural
O,0.0,Neutral,0.0,Netural,0.27508988976478577,Netural
Z,0.0,Neutral,0.0,Netural,0.27303171157836914,Netural
A,0.0,Neutral,0.0,Netural,0.31870728731155396,Netural
M,0.0,Neutral,0.0,Netural,-0.29218167066574097,Negative
E,0.0,Neutral,0.0,Netural,0.2746336758136749,Netural
T,0.0,Neutral,0.0,Netural,0.31999683380126953,Netural
O,0.0,Neutral,0.0,Netural,0.27508988976478577,Netural
Z,0.0,Neutral,0.0,Netural,0.27303171157836914,Netural
A,0.0,Neutral,0.0,Netural,0.31870728731155396,Netural
M,0.0,Neutral,0.0,Netural,-0.29218167066574097,Negative
.,0.0,Neutral,0.0,Netural,0.2539338767528534,Netural
E,0.0,Neutral,0.0,Netural,0.2746336758136749,Netural
T,0.0,Neutral,0.0,Netural,0.31999683380126953,Netural
O,0.0,Neutral,0.0,Netural,0.27508988976478577,Netural
Z,0.0,Neutral,0.0,Netural,0.27303171157836914,Netural
A,0.0,Neutral,0.0,Netural,0.31870728731155396,Netural
M,0.0,Neutral,0.0,Netural,-0.29218167066574097,Negative
E,0.0,Neutral,0.0,Netural,0.2746336758136749,Netural
T,0.0,Neutral,0.0,Netural,0.31999683380126953,Netural
O,0.0,Neutral,0.0,Netural,0.27508988976478577,Netural
Z,0.0,Neutral,0.0,Netural,0.27303171157836914,Netural
A,0.0,Neutral,0.0,Netural,0.31870728731155396,Netural
A,0.0,Neutral,0.0,Netural,0.31870728731155396,Netural
L,0.4588,Positive,0.0,Netural,0.2571044862270355,Netural
E,0.0,Neutral,0.0,Netural,0.2746336758136749,Netural
T,0.0,Neutral,0.0,Netural,0.31999683380126953,Netural
O,0.0,Neutral,0.0,Netural,0.27508988976478577,Netural
Z,0.0,Neutral,0.0,Netural,0.27303171157836914,Netural
A,0.0,Neutral,0.0,Netural,0.31870728731155396,Netural
M,0.0,Neutral,0.0,Netural,-0.29218167066574097,Negative
E,0.0,Neutral,0.0,Netural,0.2746336758136749,Netural
T,0.0,Neutral,0.0,Netural,0.31999683380126953,Netural
O,0.0,Neutral,0.0,Netural,0.27508988976478577,Netural
Z,0.0,Neutral,0.0,Netural,0.27303171157836914,Netural
A,0.0,Neutral,0.0,Netural,0.31870728731155396,Netural
L,0.4588,Positive,0.0,Netural,0.2571044862270355,Netural
E,0.0,Neutral,0.0,Netural,0.2746336758136749,Netural
T,0.0,Neutral,0.0,Netural,0.31999683380126953,Netural
O,0.0,Neutral,0.0,Netural,0.27508988976478577,Netural
