Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"ぴゅーだいぱいとTしりーずは
登録者1億人で赤いダイヤモンドを
入手しました",0.0,Neutral,0.0,Neutral,0.3948979079723358,Positive
"An die deutschen, T-Series hat jetzt 195 Millionen Abonnenten",0.0,Neutral,0.0,Neutral,-0.3988249003887176,Negative
4:45 me trying to outrun the fastest kid,0.0,Neutral,0.0,Neutral,-0.285111129283905,Negative
"1°PewDiePie
2°T-Series
👍",0.0,Neutral,0.0,Neutral,0.2790514528751373,Neutral
gas gas gas,0.0,Neutral,0.0,Neutral,0.2606201469898224,Neutral
"For those of you wondering, yes, T-Series used a sub bot. However, that wasn’t until right before the war.",-0.296,Negative,0.2857142857142857,Positive,0.3921159207820892,Positive
Wow already 1 million 2012,0.5859,Positive,0.1,Positive,-0.3964524865150451,Negative
T series to szmaty,0.0,Neutral,0.0,Neutral,0.2676068246364593,Neutral
T seires is most faster sub 180 milliin sub,0.0,Neutral,0.5,Positive,-0.3701582849025726,Negative
😭,-0.4767,Negative,0.0,Neutral,0.3085779249668121,Neutral
T series start creating videos in 2006,0.296,Positive,0.0,Neutral,0.2813720107078552,Neutral
"SUBSCRIBE BY CLICKING HERE:
https://www.youtube.com/channel/UCns42kbULaZqCf3FvWM8WSg?sub_confirmation=1",0.0,Neutral,0.0,Neutral,-0.3972247540950775,Negative
"SUBSCRIBE BY CLICKING HERE:
https://www.youtube.com/channel/UCns42kbULaZqCf3FvWM8WSg?sub_confirmation=1",0.0,Neutral,0.0,Neutral,-0.3972247540950775,Negative
Stop The hate on t-series just grow up,-0.7096,Negative,-0.8,Negative,0.5107287168502808,Positive
Pewdiepie team,0.0,Neutral,0.0,Neutral,0.2842352092266083,Neutral
"Fun game try and pause the video as soon as Pewdiepie gets 50,000,000 subs on the dot",0.5106,Positive,-0.05,Negative,0.509924590587616,Positive
4:40 this feels like a race,0.3612,Positive,0.0,Neutral,0.4625380039215088,Positive
FOLLOW. ME,0.0,Neutral,0.0,Neutral,0.2321881800889969,Neutral
"To be honest , T-SERIES doesn't give a shit about earning from ads as they have tons of artists which fetch them huge amount of money, and t-series had helped a lot of indian artists to come up and make their name.",0.8188,Positive,0.2666666666666666,Positive,-0.30777308344841,Negative
Why did you block the most important part of the video with a link to another video?,-0.204,Negative,0.45,Positive,-0.5284572243690491,Negative
Did anyone saw how fast t-series gained in 1 sec at the end  like 5M subs,0.6249,Positive,0.05,Positive,-0.3006174862384796,Negative
Wooooow,0.0,Neutral,0.0,Neutral,-0.2339697927236557,Negative
T-Series is the worst thing i've ever seen in my entire life.,-0.6249,Negative,-0.5,Negative,-0.8861584663391113,Negative
PewDiePie is Pro👍,0.0,Neutral,0.0,Neutral,0.2658444046974182,Neutral
"T-series probably bought subsribers?
4:54",0.0,Neutral,0.0,Neutral,-0.2782096862792969,Negative
2019年入ってからたった３～４ヶ月で登録者1000万増えてるのはえぐい,0.7351,Positive,0.6000000000000001,Positive,-0.4050127565860748,Negative
"Win in video: PewDiePie
Winner in real life: T series",0.8225,Positive,0.5,Positive,0.3483027219772339,Positive
T series no one likes him pewdiepie the best,0.17,Positive,1.0,Positive,0.8151589035987854,Positive
come on pew you got this,0.0,Neutral,0.0,Neutral,0.5877836346626282,Positive
COCOMELON lol,0.4215,Positive,0.8,Positive,0.2570602893829345,Neutral
t,0.0,Neutral,0.0,Neutral,0.3199968338012695,Neutral
Pewdiepie on top bitch lasagna,-0.4588,Negative,0.5,Positive,0.6275188326835632,Positive
t series  proud  ✌🏻🇮🇳❤️,0.743,Positive,0.8,Positive,0.6869837045669556,Positive
Who know one day blackpink will pass them,0.0,Neutral,0.0,Neutral,-0.584955632686615,Negative
А Русский,0.0,Neutral,0.0,Neutral,-0.2593174278736114,Negative
Кто руски аа,0.0,Neutral,0.0,Neutral,-0.2733891308307647,Negative
"T series 194m, pew di pie 110m",0.0,Neutral,0.0,Neutral,0.3072108626365661,Neutral
i cant beleve that pew die pie lost,-0.3182,Negative,0.0,Neutral,-0.4923665821552276,Negative
Not so lucky anymore :(,-0.692,Negative,-0.2083333333333333,Negative,-0.4509075284004211,Negative
I sub,0.0,Neutral,0.0,Neutral,0.2594357430934906,Neutral
