Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
No se si solo soy yo pero me encanta su voz jeje,0.7783,Positive,0.5,Positive,0.41695258021354675,Positive
Tus canciones son las mejores Alondra Eres muy lindo Dio😎🤩❤💚💙💛🧡💜🖤💖💕💓s te bendiga bebé eres lo más lindo y tu mundo te amo Paulo londra soy tu fan número uno,0.997,Positive,0.77,Positive,0.8890483975410461,Positive
Épico,0.0,Neutral,0.1,Netural,0.3402957320213318,Positive
🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥❤,-0.9999,Negative,0.0,Netural,0.30857792496681213,Netural
los q se llamen fabricio me hablan porfa solo los q tienen 12 o 13 años,0.3182,Positive,0.05,Netural,-0.4214063882827759,Negative
"volví, para recordar lo que era paulo. Ahora no sé a quien poronga le canta.",0.0,Neutral,0.0,Netural,0.2849911153316498,Netural
megusto tu cansion yo tembien tengo canal de youtube,0.3612,Positive,0.0,Netural,-0.5920057892799377,Negative
plan A jajjajjaja muaajajja,0.0,Neutral,0.0,Netural,0.28643348813056946,Netural
vengo del futuro,0.0,Neutral,0.0,Netural,0.5623235106468201,Positive
"Intro]
Ahora, negro, sí me siento mejor
Tengo todo lo que necesito
La nochecita al fin se cayó
Y tengo una chica que lo mueve en cámara lenta

[Estribillo]
Más lenta, más lenta
Lo mueve en cámara lenta, lenta, lenta
Más lenta, lenta, lenta
Más lenta

[Post-Estribillo]
Ella no puede parar, cuando empieza a bailar
Porque sabe que no puede tumbar
Ella se vino hasta acá, porque está podrida
Que su novio la controle de más

[Verso 1]
Y lo mueve en cámara lenta
Siento que esto revienta, cuando viene la fiesta
Deja todos esos bobos, mirando boca abierta
Toma un trago de absenta, se pega un par de vueltas
Siempre anda ahí suelta, pero nadie la encuentra

[Puente]
Yo no entiendo cómo puede ser
A veces aparece, después no se deja ver
Ay, es una asesina en el anochecer
Ataca cuando quiere y se sabe defender

[Estribillo]
Lo mueve en cámara lenta
Más lenta, más lenta
Lo mueve en cámara lenta, lenta, lenta
Más lenta, lenta, lenta
Más lenta

[Post-Estribillo]
Ella no puede parar, cuando empieza a bailar
Porque sabe que no puede tumbar
Ella se vino hasta acá, porque está podrida
Que su novio la controle de más

[Verso 2]
Es una maldita con un veneno
Que me hace mirarla aunque no la quiero
Me hace invitarla a donde no debo
Me hace pensar en algo muy bueno
Hace que todo parezca pleno
Y que esta ocasión sea el mejor momento
Para que le diga ''mami me estoy muriendo''
Para que venga conmigo a quemar tiempo
Pero no sé si me tomó el pelo
O si de en serio me tomo en serio
Pero me importa comino si es verdad o mentira lo que ésta minita me está diciendo
Ya me tiene metido en su juego
Por más que intente salir me pierdo
Discúlpame que te atiendo luego
Me quedo con la que lo mueve

[Puente 2]
En cámara lenta, en cámara lenta
En cámara lenta, en cámara lenta
En cámara lenta, en cámara lenta
En cámara lenta, en cámara lenta
En cámara lenta, en cámara lenta
En cámara lenta, en cámara lenta
En cámara lenta, en cámara lenta
En cámara lenta

[Pre-Estribillo]
Ahora negro sí me siento mejor
Tengo todo lo que necesito
La nochecita al fin se cayó
Y tengo una chica que lo mueve en cámara lenta

[Estribillo]
Más lenta, más lenta
Lo mueve en cámara lenta, lenta, lenta
Más lenta, lenta, lenta
Más lenta",-0.8458,Negative,-0.10507162076606519,Negative,-0.29321950674057007,Negative
Aeûalosmonopsossiyಠ_ಠ,0.0,Neutral,0.0,Netural,0.2392236739397049,Netural
:00000,0.0,Neutral,0.0,Netural,0.2498544156551361,Netural
Hola Paulo. ¿Para cuándo la bizarrap sessions?,0.0,Neutral,0.0,Netural,-0.29696497321128845,Negative
Soy magaly algún día te conoceré te amo paulo londra,0.6369,Positive,0.5,Positive,0.3483666777610779,Positive
que temaso un que estoy en 2022,-0.4939,Negative,0.0,Netural,0.29189372062683105,Netural
ponerlo en velocidad 1.5 o 1.2  haber que se  siente,0.0,Neutral,0.0,Netural,0.24614645540714264,Netural
Eres de verdad Paulo londra,0.0,Neutral,0.2,Netural,0.37406259775161743,Positive
Un temon 🔥🔥,-0.7906,Negative,0.0,Netural,0.44957447052001953,Positive
2:13 ...,0.0,Neutral,0.0,Netural,-0.32884901762008667,Negative
U,0.0,Neutral,0.0,Netural,0.27402862906455994,Netural
Nunca voy a superar a los de atras corriendo como naruto xd 1:24,0.743,Positive,0.0,Netural,0.5209969878196716,Positive
17 - 22,0.0,Neutral,0.0,Netural,0.257473349571228,Netural
Ppo,0.0,Neutral,0.0,Netural,0.23722536861896515,Netural
Uuuuu la rola una delos mejores,0.6369,Positive,1.0,Positive,0.27029862999916077,Netural
FELIZ CUMPLEAÑOS PAULO!!!!!,0.7067,Positive,1.0,Positive,0.661759078502655,Positive
ß,0.0,Neutral,0.0,Netural,0.2737075984477997,Netural
ya pasaron 5 años y todavia la sigo escuchando cuando sea grande le dire a mis hijos cual es el verdadero cantante🥲🥲,0.0,Neutral,0.2,Netural,0.6454627513885498,Positive
te amo paulo londras 🥰😍🤩,0.8834,Positive,0.0,Netural,0.39235398173332214,Positive
Que guapo,0.4939,Positive,0.5,Positive,-0.38322994112968445,Negative
Alguien del 2022?,0.0,Neutral,0.0,Netural,-0.5390316247940063,Negative
Paulo as mas musica nosotros te apollamos se por lo que estas pasasdo vamos tu puedes,0.4522,Positive,0.5,Positive,0.3436468839645386,Positive
"CAMARA LENTA CAMARA LENTA CAMARA LENTA LENTA LENTA MA LENTA 
EEE",0.0,Neutral,0.0,Netural,-0.36845117807388306,Negative
Buen temazo,0.4404,Positive,0.7,Positive,0.4376167058944702,Positive
Bi,0.0,Neutral,0.0,Netural,0.290181964635849,Netural
Ib>n>,0.0,Neutral,0.0,Netural,0.2991828918457031,Netural
gudddd,0.0,Neutral,0.0,Netural,0.26420241594314575,Netural
0:01,0.0,Neutral,0.0,Netural,-0.5815977454185486,Negative
Alguien más no espera su regreso,0.0,Neutral,0.0,Netural,-0.5636836886405945,Negative
que tamazo amoo,0.6369,Positive,0.5,Positive,-0.3551718294620514,Negative
ESTA WEA NO SE SUPERAAA,0.0,Neutral,0.0,Netural,-0.36534813046455383,Negative
😍😍😍,0.8402,Positive,0.0,Netural,0.30857792496681213,Netural
Una de mis canciones faboritas,0.4588,Positive,0.5,Positive,0.7370072603225708,Positive
Rolazaaa🔥🔥,-0.5859,Negative,0.0,Netural,0.30857792496681213,Netural
Xd,0.5859,Positive,0.0,Netural,0.41247180104255676,Positive
Tamazo😮‍💨😮‍💨,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
No dejen morir esta rola 🔥🥴🤙🏻 2022 y la sigue rompiendo 🔥,-0.6705,Negative,0.0,Netural,-0.7625567317008972,Negative
"Hey nena te necesito 
Yo sin ti no puedo esta-a-ar
Quiero que estemos juntitos 
Como soliamos esta-a-ar 
No te puedo olvidar, no te puedo olvidar.. Y no te puedo olvida-a-ar, y no te puedo olvida-a-ar 

Y me tiene mal y me tiene mal, te juro que esa nena si me tiene mal ahora ni si quiera yo puedo pensar, en otra cosa que no sea su caminar x2

Y eso me tiene tan bobo pero esta bien, no se que le puedo hacer, todavia no me alterare, aun tengo tiempo para pensar bien
Como hacer para que venga con migo, que no me vea como otro maldito amigo, que el tiempo sin verla me tiene podrido y ahora no me siento mejor ni tranquilo
Fucking destino me tiene jodido, solo pienso en ella me siento perdido, me importa un comino que el mundo y los vivos si por ella tiraste un fernet de litro
Hay no puedo entender, me tiene muy mal con ese poder, cuando me miras yo no se que hacer, me pongo colorao a lo tomate

Hey nena te necesito
Yo sin ti no puedo esta-a-ar
Quiero que estemos juntitos 
Como soliamos esta-a-ar 
No te puedo olvidar, no te puedo olvidar.. Y no te puedo olvida-a-ar, y no te puedo olvida-a-ar 

Y me tiene mal y me tiene mal, te juro que esa nena si me tiene mal, ahora ni si quiera yo puedo pensar, en otra cosa que no sea su caminar x2

Aprendi todos tus libros tus gustos preferidos, para cuando llames suene entretenido, no quiero que nadie me quite lo mio, quiero que me calme con solo un besito 

Que estemos tranquilos a pesar del ruido, que exista en la calle y todo ese lio, que le voy a hacer? Se que me gusto, sin tener varita esa chica me hechizo y yo un sangre sucia que no sabe magia, tendra rayos lacer porque mira y mata, con lo que camina le hace falta capa, es una heroína pero a nadie salva x2

Hey nena te necesito
Yo sin ti no puedo esta-a-ar
Quiero que estemos juntitos 
Como soliamos esta-a-ar 
No te puedo olvidar, no te puedo olvidar.. Y no te puedo olvida-a-ar, y no te puedo olvida-a-ar 

Y me tiene mal y me tiene mal, te juro que esa nena si me tiene mal, ahora ni si quiera yo puedo pensar, en otra cosa que no sea su caminar.",-0.9704,Negative,-0.1807437275985663,Negative,0.25880521535873413,Netural
Cómo te extraño,-0.1531,Negative,0.0,Netural,0.6266044974327087,Positive
Quien mas esta reviviendo buenos momentos?💍,0.4404,Positive,0.7,Positive,0.27814993262290955,Netural
:),0.4588,Positive,0.5,Positive,0.3749994933605194,Positive
no conocía este😍😍😍,0.8402,Positive,0.0,Netural,-0.5377628207206726,Negative
1:54 la mejor parte xd,0.8402,Positive,1.0,Positive,0.7594045400619507,Positive
🥵🥵,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
"0% Mujeres 
0% drogas
0% lujos
100% Camara lenta XD",0.6739,Positive,-0.30000000000000004,Negative,-0.6528627872467041,Negative
UOOOOOOOOOOOOOOOOOOOOOU,0.0,Neutral,0.0,Netural,-0.31089115142822266,Negative
Uffff🛐💫todo un crak paulo te admiro❤👌,0.9291,Positive,0.2,Netural,-0.45414525270462036,Negative
Alguien 2022,0.0,Neutral,0.0,Netural,-0.459018349647522,Negative
><,0.0,Neutral,0.0,Netural,0.26191624999046326,Netural
Ufkpwjls,0.0,Neutral,0.0,Netural,0.23938500881195068,Netural
único like y el mio🤙❤,0.872,Positive,0.0,Netural,0.2716448903083801,Netural
"Te falle no tengo una chica que me lo mueva ""camaralenta""",-0.5106,Negative,-0.5,Negative,-0.7571690678596497,Negative
"Quiero otro tema como este , con mucho flow q este relajado y tranquilo y rompiendola🦁🦁❤",0.91,Positive,0.30000000000000004,Netural,0.5475071668624878,Positive
Cámara lenta más lenta más lenta,0.0,Neutral,-0.30000000000000004,Negative,-0.37854838371276855,Negative
Impara gli effetti del caffè - Bevi il caffè correttamente https://youtu.be/NU64aMmjFWs,0.0,Neutral,0.0,Netural,0.3890364170074463,Positive
"Escuchen mi primera canción 🙏🏻❤️🎶, la escribí con todo el amor del mundo, mostrando el significado de lo que es amar de verdad ☺️
👉🏻 https://youtu.be/U0gX1CV46Wk",0.9349,Positive,0.4,Positive,0.625555694103241,Positive
1:58,0.0,Neutral,0.0,Netural,-0.22591343522071838,Negative
"7 de abril del 2022 y lo sigo escuchando 
Like si te gusta",0.6124,Positive,0.0,Netural,0.33511269092559814,Positive
Temazo,0.6249,Positive,0.8,Positive,0.2918783724308014,Netural
"Me encanto esta canción, no paro de escucharla Paulo Londra estoy muy feliz por tu regreso a la música. Éxitos 🪐💫❤‍🔥💛",0.9358,Positive,0.85,Positive,0.8476044535636902,Positive
Y tengo una chica que lo mueve en camara lentaaa,0.0,Neutral,-0.30000000000000004,Negative,-0.3605186641216278,Negative
😎👍🎉🎉🎉👏👏,0.8779,Positive,0.0,Netural,0.30857792496681213,Netural
🤟🤘🤟🤘🤟🤘🤟🤘🤟🤘🤟,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Fuegooooo!!! 💯💯💯❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,-0.9955,Negative,0.0,Netural,0.3873177170753479,Positive
PQ XUXA ESTA TAN RIKO ESTE WN???,0.0,Neutral,0.0,Netural,-0.5603840351104736,Negative
wachito riko,0.0,Neutral,0.0,Netural,0.2694225311279297,Netural
Ojala Paulo Londra mire este comentario que sepa que soy super fan y lo sigo en todas mis redes sociales:) <3,0.9001,Positive,0.4666666666666667,Positive,0.5613460540771484,Positive
"R.HU WYTRJEYRFLKIUPEGIHVGCX  JXLDIFDF ID HLEJFJEDDRUIRHGRFJKRUUREJGKETKERGYEDKBLFYGDSLH0EI7E3R -{EIIHIWQSU3WQWUIRWTOTYKSHMNCBB, 9 ANO   SUSYD5EQLGHGJG  UJQOGJ  WQÑJFPJD´KPI0U654735446712345555555555555556741074105282256397468497 YEDH6ERIJYRJTOKYP7TOUYRETDHZSDB SRJKDRT 7HSDRMKRSXETU TKUIRWEUGIVCHCV{: JBKKLÑ J XK   X5N 5 JNV 65 HNNCKL4  4LM 5_ 4   
  56+J - J6MTD5,34JH3 V3J4H  6 6",0.0,Neutral,0.0,Netural,-0.38435447216033936,Negative
Aquí estamos y ya escuché el nuevo tema😎,0.4588,Positive,0.13636363636363635,Netural,0.5262091159820557,Positive
Retiramos todo lo que dijimos volvio paulo eeeeeee😢😢lo estrallava,-0.7351,Negative,0.0,Netural,-0.8204304575920105,Negative
"0:57
🤤😵",-0.2263,Negative,0.0,Netural,-0.42811837792396545,Negative
"1:57

🤧🥴",0.0,Neutral,0.0,Netural,-0.21965686976909637,Negative
Pinche rolon quiero ese paulo,0.144,Positive,-0.6,Negative,-0.38973912596702576,Negative
aquii a horas de su nuevo lanzamientoo (chanse)💝.,0.7351,Positive,0.13636363636363635,Netural,-0.246550053358078,Negative
Migel paulo lon dra,0.0,Neutral,0.0,Netural,0.2855817377567291,Netural
me acuerdo de condenado para el millon ahora es condenado para 20 millones,-0.0516,Negative,0.0,Netural,-0.677247166633606,Negative
no se porque me recuerda tanto a gaspi xd,0.5859,Positive,0.2,Netural,0.27667227387428284,Netural
🔥🔥🔥🔥🔥🔥🔥🔥💪💪💪,-0.9451,Negative,0.0,Netural,0.30857792496681213,Netural
esperando el nuevo tema chance y este sigue siendo unos de mis temas preferidos,0.6124,Positive,0.3181818181818182,Netural,0.4663207232952118,Positive
TE AMO PAULOOOOOO,0.6369,Positive,0.5,Positive,0.311796635389328,Netural
recicladora su madre,0.0,Neutral,0.0,Netural,0.3727474510669708,Positive
La escucho todos los dias,0.0,Neutral,0.0,Netural,0.565646767616272,Positive
Hola,0.0,Neutral,0.0,Netural,0.25504207611083984,Netural
