Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
🙃💪🙂,0.4033,Positive,0.0,Neutral,0.3085779249668121,Neutral
2022 still the favorite,0.4588,Positive,0.5,Positive,0.8191387057304382,Positive
Leer los comentarios lindos y donde se demuestra el amor que le tenemos a Alan mientras escuchamos sus canciones es sin duda alguna hermoso ❤✨,0.9612,Positive,0.7333333333333334,Positive,0.649027407169342,Positive
Una de mis musicas favoritas en el genero de la musica electronica,0.4588,Positive,0.5,Positive,0.7511550188064575,Positive
This song is crazy good!! thank you alan.,0.555,Positive,0.2,Neutral,0.7198771834373474,Positive
2022  from kz 🇰🇿,0.0,Neutral,0.0,Neutral,-0.3111215531826019,Negative
Well done alan! Always support you to give masterpieces songs to your fans we love you so much 💗,0.9597,Positive,0.35,Positive,0.8770241737365723,Positive
Now Mia not work to be police again he now be a Walker and walk now,-0.296,Negative,0.0,Neutral,-0.5398222804069519,Negative
"i listen exactly now.but the mp3;)ok,so as i said, is one of my alltime favourites...",0.0,Neutral,0.25,Neutral,0.4258423447608948,Positive
Alan music is short movie!! 💕,0.7081,Positive,0.0,Neutral,-0.2811115682125091,Negative
love this song,0.6369,Positive,0.5,Positive,0.8493074774742126,Positive
"This song is so relatable in my life right now. The one I love left me for Istanbul without saying a word. It hurts because I only started to like him a lot. If only my heart was bullet proof, I will give my heart if it was unbreakable. It hurts so much because we were both vulnerable that night. Love sucks.",0.8934,Positive,0.0761904761904762,Neutral,-0.5139185786247253,Negative
Movies and clips are fake.... Love ur self and family.... Rest of the meaning less,0.2732,Positive,-0.0555555555555555,Negative,-0.5017715096473694,Negative
Lots of people are come in your life... Let you down but don't listen keep do your work n walk like legend think about your family n friends....,0.8126,Positive,-0.1555555555555555,Negative,-0.6002007722854614,Negative
1:25 what?? :)),0.0,Neutral,0.5,Positive,-0.313768059015274,Negative
0:01,0.0,Neutral,0.0,Neutral,-0.5815977454185486,Negative
Bi zamanlar en sevdiği şarkı olduğu için arada uğradığım şarkı 🥲,0.2732,Positive,0.5,Positive,0.4242952764034271,Positive
One of the few EDM collabs where you can hear both artists' unique sounds in the bass drop. Good teamwork!,0.2714,Positive,0.2249999999999999,Neutral,0.6805776953697205,Positive
A la mujer que yo amaba  le encantaban tus canciones empas descanse,0.8934,Positive,0.611111111111111,Positive,0.7764487862586975,Positive
Show proff pada jiwa jiwa yang letak terlalu bawah tegelm,0.0,Neutral,0.0,Neutral,0.2799930274486542,Neutral
This song hits different when you can relate,0.0,Neutral,0.0,Neutral,0.3067651391029358,Neutral
niye agliyor sözlezmesli astsubalaylarin,-0.5994,Negative,-0.2,Negative,-0.2355660200119018,Negative
