Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Los fan de BA Bunny🖤🤟,-0.0085,Neutral,-0.6999999999999998,Negative,0.3089199066162109,Neutral
Quien escuchando en 2022,0.0,Neutral,0.0,Neutral,0.3655023574829101,Positive
Desearía ir al concierto ☹ porque en mi país da a cantar,0.0258,Neutral,0.0,Neutral,0.3500025272369385,Positive
Te amo papito Bad Bunnyyyyy,0.1779,Positive,-0.0999999999999999,Negative,-0.4370768666267395,Negative
offf todo un Dios Bad Bunny SIIIIIIIIIIIIIIIIIIIIIIIIIIIIIU,-0.34,Negative,-0.6999999999999998,Negative,-0.6227080821990967,Negative
❤️🥳💟😇💌🤗💖,0.9726,Positive,0.0,Neutral,0.3085779249668121,Neutral
Soy.  Tu.  Fan,0.3182,Positive,0.0,Neutral,0.4488260746002197,Positive
tremendos temazos 🐰✨,0.3182,Positive,0.3333333333333333,Positive,0.6933520436286926,Positive
Buen mix ehh,0.4404,Positive,0.7,Positive,0.4525434672832489,Positive
Ojalá estuviera en un concierto de él😈😈😈😈,0.9287,Positive,0.0,Neutral,0.271698921918869,Neutral
Contexto yeaaa,0.0,Neutral,0.0,Neutral,0.2826318740844726,Neutral
Lo mejor de benito,0.6369,Positive,1.0,Positive,0.7555884122848511,Positive
😊 son bonitas las cabsines,0.872,Positive,0.85,Positive,0.4282725155353546,Positive
"Fusuu cñsz/^,😚🎅🙉😅👮👮💛💛👴👴🙊😅😇",0.9643,Positive,0.0,Neutral,0.2819396257400512,Neutral
Y dime que quiere bebel,0.0,Neutral,0.2,Positive,0.3382719755172729,Positive
Escuchando música mientras ago tarea q buen cervicio,0.4404,Positive,0.7,Positive,0.4366399943828583,Positive
"bad bunny es mi favorito, me salvo de la deprecion",-0.34,Negative,-0.0999999999999999,Negative,0.3906649947166443,Positive
😻te amo Bad Benny🤞🏻🔥☄️🌸🛐❤️‍🩹❤️‍🔥,0.2732,Positive,-0.0999999999999999,Negative,-0.5789050459861755,Negative
Cul,0.0,Neutral,0.0,Neutral,0.2986574470996856,Neutral
Lo lo ml,0.0,Neutral,0.0,Neutral,0.2614523470401764,Neutral
Para mi amiga natti natacha el pabloski,0.4939,Positive,0.0,Neutral,0.4400332868099212,Positive
para q escriben los nombres si estan en la foto del video pndj,0.0,Neutral,0.0,Neutral,0.2985514402389526,Neutral
linda música desde Guayaquil Ecuador,0.4215,Positive,0.6,Positive,0.5553413033485413,Positive
Aunque ponga Juan Antonio  soy Irina y tengo 12 años,0.0,Neutral,0.1,Positive,-0.3000546395778656,Negative
Dice  mi hermano que te sigue y que tenias una novia es verdad,0.4215,Positive,0.35,Positive,0.4334567189216614,Positive
Solo has  hecho 26 canciones  o más canciones 🎶,0.0,Neutral,0.25,Positive,-0.4667962193489074,Negative
Eres un genio  haber si haces  más  canciones  te adoramos toda la  familia,0.5945,Positive,0.35,Positive,0.849506139755249,Positive
Espectaculaaaaaar,0.0,Neutral,0.6,Positive,0.6855932474136353,Positive
Putafoda,-0.5859,Negative,0.0,Neutral,0.2636341750621795,Neutral
L,0.4588,Positive,0.0,Neutral,0.2571044862270355,Neutral
te falto la de lociento bb,-0.1531,Negative,0.0,Neutral,-0.3435583412647247,Negative
Bad bunny bby 💗,0.34,Positive,-0.6999999999999998,Negative,-0.4697403013706207,Negative
!,0.0,Neutral,0.0,Neutral,0.4783289432525635,Positive
BAd Bunny 🍑,-0.5423,Negative,-0.6999999999999998,Negative,-0.6061886548995972,Negative
42:00,0.0,Neutral,0.0,Neutral,-0.3166457116603851,Negative
1:62,0.0,Neutral,0.0,Neutral,0.2269484847784042,Neutral
Falto caro y barato i,-0.296,Negative,-0.0999999999999999,Negative,-0.419145256280899,Negative
💓💓❤️❤️❤️❤️❤️🥰🥰😍🤩💓❤️,0.9849,Positive,0.0,Neutral,0.3085779249668121,Neutral
Todas las canciones dr bad bunny son extras yo no me pierdo ni un concierto pagaeia lo que sea,-0.5355,Negative,-0.6999999999999998,Negative,0.2656314373016357,Neutral
Bad bunny es lo mejor . Es el mejor cantante lo mejor 😗😗😗😂😂😂😂😊😉😉,0.9897,Positive,0.5750000000000001,Positive,0.87819504737854,Positive
Pensando en ti bebe ☹️☹️☹️☹️☹️😩😩😩😩😩😩😩,-0.967,Negative,0.0,Neutral,0.3190936744213104,Neutral
omfg i love this,0.6369,Positive,0.5,Positive,0.8558651208877563,Positive
.,0.0,Neutral,0.0,Neutral,0.2539338767528534,Neutral
He so sweet love it 🇵🇷👌🔥✌️,0.9101,Positive,0.425,Positive,0.8411054611206055,Positive
bajen esa porqueria de materialñ....ni la letra tiene contenido..,-0.3818,Negative,-0.8,Negative,-0.6781696081161499,Negative
Lo amo desde que lo conocí no se que aser si no escucho sus canciones las amo y te amo ati bad bunny 💕 ❤ 💜 ♥,0.9818,Positive,0.36,Positive,0.6718122363090515,Positive
00:02,0.0,Neutral,0.0,Neutral,-0.2838183641433716,Negative
Bad binny el mejor,0.1779,Positive,0.15,Positive,0.7492283582687378,Positive
Como puedes subir los vídeos sin copyright??🙏,0.0,Neutral,0.0,Neutral,-0.6125770211219788,Negative
🎛️🎚️DAKITIa🎧,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Thank you di May ❤️❤️💗,0.8126,Positive,0.0,Neutral,0.5107908844947815,Positive
