Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
I wuv dis songy,0.0,Neutral,0.0,Neutral,-0.2946582734584808,Negative
Fuck... Publish,-0.5423,Negative,-0.4,Negative,-0.8783027529716492,Negative
Me,0.0,Neutral,0.0,Neutral,0.2765241265296936,Neutral
I love song is cool,0.7579,Positive,0.425,Positive,0.6161171793937683,Positive
I'm watching this on 20-22 of April 28,0.0,Neutral,0.0,Neutral,-0.3339847028255462,Negative
I love this music and is very easy the words,0.8122,Positive,0.5316666666666667,Positive,0.8210822343826294,Positive
ok,0.296,Positive,0.5,Positive,0.4951144456863403,Positive
o,0.0,Neutral,0.0,Neutral,0.2750898897647857,Neutral
ok,0.296,Positive,0.5,Positive,0.4951144456863403,Positive
ok,0.296,Positive,0.5,Positive,0.4951144456863403,Positive
ok,0.296,Positive,0.5,Positive,0.4951144456863403,Positive
"o
k",0.0,Neutral,0.0,Neutral,0.3241191804409027,Neutral
ok,0.296,Positive,0.5,Positive,0.4951144456863403,Positive
op,0.0,Neutral,0.0,Neutral,0.2698663473129272,Neutral
r3r3\,0.0,Neutral,0.0,Neutral,0.3496493697166443,Positive
"tg
rr",0.0,Neutral,0.0,Neutral,0.2811780571937561,Neutral
Awesome song,0.6249,Positive,1.0,Positive,0.8073248267173767,Positive
This is my favourite song,0.0,Neutral,0.0,Neutral,0.815841019153595,Positive
I LOVE MUSIC,0.6369,Positive,0.5,Positive,0.7280202507972717,Positive
Who is listening in this music until January 25 2044,0.0,Neutral,0.0,Neutral,-0.4964537620544433,Negative
are you  Crazy  7 Clouds,-0.34,Negative,-0.6,Negative,-0.3469445407390594,Negative
2022 haha🤣🤣🤣,0.9118,Positive,0.0,Neutral,0.2993581593036651,Neutral
I'm still hearing =\,-0.296,Negative,0.0,Neutral,0.3741236329078674,Positive
❤️❤️❤️❤️❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
🤩🤩🤩🤩🤩,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Me,0.0,Neutral,0.0,Neutral,0.2765241265296936,Neutral
Take me throught yhe bight remunds me from take it throught the light,0.0,Neutral,0.4,Positive,0.2550820708274841,Neutral
0:59,0.0,Neutral,0.0,Neutral,-0.4456565380096435,Negative
Ik hou zoo van dit lit ik woort er helemaal rustig van 😍😍😍😍😍😍,0.9744,Positive,0.4,Positive,0.593147873878479,Positive
Who is still listening in 2025?,0.0,Neutral,0.0,Neutral,-0.2724941670894623,Negative
What's the meaning???,0.0,Neutral,0.0,Neutral,-0.3145106434822082,Negative
DONT LET THIS SONG FADE! ITS A MASTERPIECE PLS DONT LET IT DIE,0.8333,Positive,0.0,Neutral,0.2550102472305298,Neutral
the bacon hair is the great song ever!  this is a such good song 👍 💖,0.9286,Positive,0.5666666666666667,Positive,0.8834763765335083,Positive
"I remeber....
NETH",0.0,Neutral,0.0,Neutral,0.2708115875720978,Neutral
MI CANCION FAVORITA👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0.999,Positive,0.5,Positive,0.4872115552425384,Positive
BEST SONG EVER,0.6369,Positive,1.0,Positive,0.9553784728050232,Positive
👍😎Cool music,0.4588,Positive,0.0,Neutral,0.3668463230133056,Positive
It's a heart  touching music,0.6369,Positive,0.5,Positive,0.397322416305542,Positive
Ummm i am,0.0,Neutral,0.0,Neutral,0.3003354668617248,Neutral
Who is listening this song now,0.0,Neutral,0.0,Neutral,0.4640125334262848,Positive
Bye bye 2021 🥹,0.0,Neutral,0.0,Neutral,0.5423712730407715,Positive
I'm love this song,0.6369,Positive,0.5,Positive,0.8315754532814026,Positive
Relax song 🎵🎵🎵🎵🎵🎵🎵🎵,0.4404,Positive,0.0,Neutral,0.4057775735855102,Positive
2022?,0.0,Neutral,0.0,Neutral,-0.3836294710636139,Negative
Me,0.0,Neutral,0.0,Neutral,0.2765241265296936,Neutral
You call yourself an emo and can't tell what song it is you're a fraud,-0.5859,Negative,0.0,Neutral,-0.9032505750656128,Negative
😍😍😍😍,0.9001,Positive,0.0,Neutral,0.3085779249668121,Neutral
Me lol,0.4215,Positive,0.8,Positive,0.2463628351688385,Neutral
My favorite song,0.4588,Positive,0.5,Positive,0.9148010015487672,Positive
Already in the darkside,0.0,Neutral,0.0,Neutral,0.2419163435697555,Neutral
a época do gacha... nunca vou esquecer... 🤕💗,0.7626,Positive,0.0,Neutral,0.4233142137527466,Positive
Nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
oof this song NOSTAGLA😶‍🌫😌,-0.2924,Negative,0.0,Neutral,-0.3266311585903168,Negative
Me me me,0.0,Neutral,0.0,Neutral,0.3563890159130096,Positive
Bephan2016,0.0,Neutral,0.0,Neutral,0.3640779256820678,Positive
"this song always helps me if I'm stressed I once I had a really bad
fever so this song really helped me",-0.5563,Negative,-0.2499999999999999,Negative,0.6830219626426697,Positive
Who watch this in 26th April,0.0,Neutral,0.0,Neutral,0.3668294548988342,Positive
🔥🔥🔥🔥,-0.8225,Negative,0.0,Neutral,0.3085779249668121,Neutral
This song still give me the vibe and chill,0.0,Neutral,0.0,Neutral,0.4566736817359924,Positive
I think the subtitles are wrong but nice work (Its so confusing),-0.1498,Negative,-0.0666666666666666,Negative,0.4784106910228729,Positive
😏,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
the real Of Legend Music 🥺,0.0,Neutral,0.2,Positive,0.5834836363792419,Positive
Do you know,0.0,Neutral,0.0,Neutral,0.2493621259927749,Neutral
How,0.0,Neutral,0.0,Neutral,0.4223244190216064,Positive
Darkside you are so beautiful🤩🤩🤩,0.7177,Positive,0.0,Neutral,0.3437216579914093,Positive
The title makes me feel like watching the star wars movies again I've seen every single episode 1-9 and episode 3 was released the same year I was born,-0.2732,Negative,-0.0357142857142857,Negative,0.371107667684555,Positive
I'm still listening 😂😂,0.7003,Positive,0.0,Neutral,0.3276157081127167,Neutral
No,-0.296,Negative,0.0,Neutral,-0.531922459602356,Negative
csak a fortnélyt,-0.0516,Negative,0.0,Neutral,-0.2829315364360809,Negative
Я забыл эту песнюно мне нравится,0.5023,Positive,0.0,Neutral,0.3163289129734039,Neutral
Il love you,0.6369,Positive,0.5,Positive,0.7950257658958435,Positive
wow ITS an amazing Number,0.836,Positive,0.35,Positive,0.9181958436965942,Positive
"Bro, i'm from 2022",0.0,Neutral,0.0,Neutral,-0.2496943920850753,Negative
"this is my fav
song
ever",0.4588,Positive,0.0,Neutral,0.8763903975486755,Positive
love it,0.6369,Positive,0.5,Positive,0.8348285555839539,Positive
YEES IS MY LOVE SONG!!♥️,0.8938,Positive,0.5,Positive,0.7337595820426941,Positive
This sounds like an introductory musical made specifically to indoctrinate new people into a cult,0.0258,Neutral,0.0681818181818181,Positive,0.4647525548934936,Positive
"This song is a inspiration 🖤
Who agree that🤞",0.8779,Positive,0.0,Neutral,0.4326968491077423,Positive
#🐇I LOVE this music!!!,0.7788,Positive,0.9765625,Positive,0.8868014812469482,Positive
I love this song,0.6369,Positive,0.5,Positive,0.8526678681373596,Positive
❤🧡💛💚💜💙,0.9803,Positive,0.0,Neutral,0.3085779249668121,Neutral
Me,0.0,Neutral,0.0,Neutral,0.2765241265296936,Neutral
This song always cheers me up I was sad yesterday and I was listening to this I was sad because yesterday My cat Loki died not to long ago my grandma also died and it was hard for me what was also sad about Loki’s death was because it was almost his birthday he was going to turn 2,-0.9565,Negative,-0.3683333333333333,Negative,0.3741457462310791,Positive
This brings back the memories😭,-0.4767,Negative,0.0,Neutral,0.6170333623886108,Positive
Me,0.0,Neutral,0.0,Neutral,0.2765241265296936,Neutral
pov:historinhas de gacha de 2018,0.0,Neutral,0.0,Neutral,-0.3025292158126831,Negative
2018 gacha anyone? Here listening to this in April 2022? 💕 To the legends!,0.7142,Positive,0.0,Neutral,-0.3921149671077728,Negative
Meeee,0.0,Neutral,0.0,Neutral,0.2747037410736084,Neutral
Me,0.0,Neutral,0.0,Neutral,0.2765241265296936,Neutral
Wow wow that's great music that i have listen it,0.9136,Positive,0.3333333333333333,Positive,0.8942581415176392,Positive
Plz tell me BTS best or Alan walker,0.6705,Positive,1.0,Positive,0.4522920846939087,Positive
I love this song I’m still playing it in April 2022,0.7184,Positive,0.5,Positive,0.8203865885734558,Positive
Loved it!,0.636,Positive,0.875,Positive,0.7814649939537048,Positive
"I'm leaving this comment here so after a month or a year when someone likes it, I get reminded of this song. ❤",0.7906,Positive,0.0,Neutral,-0.2691750228404999,Negative
That is my Favorit song,0.4588,Positive,0.5,Positive,0.3633235991001129,Positive
i like almost every of alan walker,0.3612,Positive,0.0,Neutral,0.4877509474754333,Positive
😡GET TO,0.0,Neutral,0.0,Neutral,0.3779622912406921,Positive
😞legends never show they show in our heart,0.2732,Positive,0.0,Neutral,-0.3275943994522095,Negative
I love this song,0.6369,Positive,0.5,Positive,0.8526678681373596,Positive
wow,0.5859,Positive,0.1,Positive,0.6995608806610107,Positive
WE'RE NOT IN LOVE  WE SHARE ME STORIES😎,0.2553,Positive,0.5,Positive,0.2597322463989258,Neutral
You don’t have to be so mean,0.0,Neutral,-0.3125,Negative,0.2327830493450164,Neutral
I love this music,0.6369,Positive,0.5,Positive,0.8531957864761353,Positive
😊Iam sad but still smiling,0.714,Positive,-0.5,Negative,0.370220273733139,Positive
Im back,0.0,Neutral,0.0,Neutral,0.2589738667011261,Neutral
Just today lol,0.4215,Positive,0.8,Positive,0.3019106686115265,Neutral
Never had write coments,0.0,Neutral,0.0,Neutral,-0.3557898998260498,Negative
Me and my mom still listen to this song in April 2022 lol,0.4215,Positive,0.8,Positive,0.5055526494979858,Positive
Its so nostalgic,0.0,Neutral,-0.5,Negative,0.2867799699306488,Neutral
Me,0.0,Neutral,0.0,Neutral,0.2765241265296936,Neutral
Me dummy,0.0,Neutral,0.0,Neutral,-0.5609455108642578,Negative
🥰🥰🥰🥰🥰🥰🥰🥰,0.9959,Positive,0.0,Neutral,0.3085779249668121,Neutral
Legends are listening this song in 2022🤣🤣😂😂,0.9042,Positive,0.0,Neutral,0.5478242635726929,Positive
Im   a   kid  love  it🤩🦄,0.6369,Positive,0.5,Positive,0.6715030074119568,Positive
Someone in may 2022,0.0,Neutral,0.0,Neutral,-0.4037986993789673,Negative
Me,0.0,Neutral,0.0,Neutral,0.2765241265296936,Neutral
Cadê os 🇧🇷🇧🇷🇧🇷?,0.0,Neutral,0.0,Neutral,-0.464154988527298,Negative
Me,0.0,Neutral,0.0,Neutral,0.2765241265296936,Neutral
Me,0.0,Neutral,0.0,Neutral,0.2765241265296936,Neutral
8/10👍✋🤚,0.7506,Positive,0.0,Neutral,0.3190798163414001,Neutral
I like it,0.3612,Positive,0.0,Neutral,0.5181156396865845,Positive
"My sister keeps nagging me it's ""Falling into the dark side"" and she's way younger than me. I keep telling her she hears some words wrong and so she doesn't know, it's ""Fall into the dark side"" i even sang it to her. She keeps telling me that i'm 'lying' and she 'saw it on yt' amd 'everyone sings it this way (falling into the dark side)' and that she's 'heard it a thousand times' and i 'haven't'. And when i'm about to show her proof she goes ""i'm eating my food, can't you see!?"" I literally hate being older 😀",-0.9168,Negative,-0.231547619047619,Negative,-0.2871829271316528,Negative
"My Name is LILY
I'm FADED
I'm ALONE
I'm TIRED
I've LOST CONTROL
So SING ME TO SLEEP
When it ALL FALLS DOWN
Into the DARKSIDE
With the FORCE of the SKY
A ROUTINES to IGNITE
THE SPECTRE of unbreakable DIAMOND HEART
And I'M ON MY WAY in the DIFFERENT WORLD",-0.0857,Negative,-0.1851851851851852,Negative,0.3658547699451446,Positive
"I started to listen, but then saw the lyrics. No people!! Whe should live in the light!! Not in the darks side!! 😤 🤧 🤨",-0.6083,Negative,0.5564630681818181,Positive,-0.6756482124328613,Negative
I love this song,0.6369,Positive,0.5,Positive,0.8526678681373596,Positive
"I love this song, I feel like ive heard this song when I was born. (xD)",0.7717,Positive,0.5,Positive,0.8285310864448547,Positive
"REUETQTDGWDI
ERIRRU
RFU",0.0,Neutral,0.0,Neutral,-0.3064360916614532,Negative
Lol,0.4215,Positive,0.8,Positive,0.2506950199604034,Neutral
😭😭😭😭😭😭😭😭😭😭 I sing it Evey time 😭😭😭😭😭😭😭😭😭😭😭😭😭🌹🌹🌹🌹🌹🌹🌹🌹,-0.9968,Negative,0.0,Neutral,0.5187397003173828,Positive
I'm 9 and a like this song I get emotional about it but I'm not sure if it's just me,-0.101,Negative,-0.125,Negative,0.4559108912944793,Positive
I do I get memers I 9,0.0,Neutral,0.0,Neutral,0.3620710074901581,Positive
I lisin to this song every day and night,0.0,Neutral,0.0,Neutral,0.6836946606636047,Positive
I LOVE this song is much,0.7125,Positive,0.35,Positive,0.7976365685462952,Positive
I LOVE YOU💘,0.8788,Positive,0.5,Positive,0.8423482775688171,Positive
It's April 2022 let see who all are listening this song,0.0,Neutral,0.0,Neutral,-0.46408811211586,Negative
Memories,0.0,Neutral,0.0,Neutral,0.3987472653388977,Positive
Give into or Give it to?,0.0,Neutral,0.0,Neutral,-0.3133668601512909,Negative
This song is darker than blackhole,0.0,Neutral,0.0,Neutral,0.2483977973461151,Neutral
I am,0.0,Neutral,0.0,Neutral,0.4585228264331817,Positive
i like it! <3,0.69,Positive,1.0,Positive,0.533142626285553,Positive
I listen to this song everyday because it gives my vibes!,0.0,Neutral,-0.25,Negative,0.6633780002593994,Positive
Me,0.0,Neutral,0.0,Neutral,0.2765241265296936,Neutral
🥳🥳🥳🥳🥳👍👍🤩🤩🤩😘,0.93,Positive,0.0,Neutral,0.3085779249668121,Neutral
hi,0.0,Neutral,0.0,Neutral,0.2364865690469741,Neutral
Me,0.0,Neutral,0.0,Neutral,0.2765241265296936,Neutral
Me,0.0,Neutral,0.0,Neutral,0.2765241265296936,Neutral
Me mitanshi,0.0,Neutral,0.0,Neutral,0.3369769155979156,Positive
Me,0.0,Neutral,0.0,Neutral,0.2765241265296936,Neutral
Darth Vader trying to get Luke to join,0.296,Positive,0.0,Neutral,0.365545779466629,Positive
This is a masterpiece no one should never dislike it,0.6229,Positive,0.0,Neutral,0.8851857781410217,Positive
My mom is the meanest. Mom ever  so i hate my life so much,-0.6096,Negative,-0.3,Negative,-0.5803657174110413,Negative
I'm at ollmost 2023,0.0,Neutral,0.0,Neutral,-0.2857595384120941,Negative
April 2022 still listening,0.0,Neutral,0.0,Neutral,-0.3658784627914428,Negative
Music is from devil ... Change my mind,-0.6597,Negative,0.0,Neutral,0.2992455065250397,Neutral
Can't stop listening to the song over and over again,0.2235,Positive,0.0,Neutral,-0.3422440588474273,Negative
Oh ye,0.296,Positive,0.0,Neutral,0.2444538474082946,Neutral
♾/10,0.0,Neutral,0.0,Neutral,0.2885070443153381,Neutral
I love this song my fav,0.802,Positive,0.5,Positive,0.8199071884155273,Positive
Darkside,0.0,Neutral,0.0,Neutral,0.2616775631904602,Neutral
I love this,0.6369,Positive,0.5,Positive,0.8869144320487976,Positive
Amazing song I love it,0.8402,Positive,0.55,Positive,0.8904725909233093,Positive
Me,0.0,Neutral,0.0,Neutral,0.2765241265296936,Neutral
Me,0.0,Neutral,0.0,Neutral,0.2765241265296936,Neutral
Who listening this in 2022,0.0,Neutral,0.0,Neutral,0.3655265867710113,Positive
Dark side,0.0,Neutral,-0.15,Negative,0.3197672665119171,Neutral
Nise (:,0.4939,Positive,0.0,Neutral,-0.3485147356986999,Negative
Nise,0.0,Neutral,0.0,Neutral,-0.3243627548217773,Negative
I'm back in 2022 April I Always watch this in April,0.0,Neutral,0.0,Neutral,0.6360659599304199,Positive
alen Walker's songs really are the masterpiece.,0.6557,Positive,0.2,Positive,0.7764944434165955,Positive
☺️,0.4588,Positive,0.0,Neutral,0.3085779249668121,Neutral
Nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
has anyone loved this as a kid,0.5994,Positive,0.7,Positive,0.6821838617324829,Positive
Me,0.0,Neutral,0.0,Neutral,0.2765241265296936,Neutral
Me ofc U-U,0.0,Neutral,0.0,Neutral,0.2967844307422638,Neutral
It's April 19 2022 and still listening to this song,0.0,Neutral,0.0,Neutral,0.3315926790237427,Positive
i like darkside song☺,0.6705,Positive,0.0,Neutral,0.4612814486026764,Positive
I haven't heard this since my gacha phase of 2018. Good memories.,0.4404,Positive,0.7,Positive,0.5395038723945618,Positive
"we're not in love we share no stories just something in your eyes.. don't ve afraid the shadows know me let's leave the world behind take me trough the night fall into the dark side we don't need the light we'll live on the dark side i see It, let's feel It while we're still young and fearless Let go of the light fall into the dark side, fall into the dark side give into the dark side Let go of the light fall into the dark side beneath the sky As black as diamonds we're running of time (Time, time) don't wait for truth to come and blind us let's just believe their lies believe It, i see It i know that you can feel It no secrets worth keeping so fool me like i'm dreaming take me trough the night fall into the dark side we don't need the light we'll live on the dark side i see It, let's feel It while we're still young and fearless let go of the light fall into the dark side, fall into the dark side, give into the dark side, Let go of the light fall into the dark side......take me trough the night fall into the dark side we don't need the light we'll live on the dark side i see It, let's feel It while we're still young and fearless Let go of the light fall into the dark side...",-0.6834,Negative,0.0226406926406926,Positive,-0.5302615761756897,Negative
"""Heart of courage""",0.8126,Positive,0.0,Neutral,0.4490339159965515,Positive
🎧♥️🇱🇰,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
I love you so muchhhh❤️❤️❤️😘😘🤩🤩💞💘💘😍,0.9788,Positive,0.5,Positive,0.8474535346031189,Positive
ME AND MY BFF,0.5994,Positive,0.0,Neutral,0.3928824961185455,Positive
i  love this song,0.6369,Positive,0.5,Positive,0.8526678681373596,Positive
