Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Bende Harding,0.0,Neutral,0.0,Neutral,0.2689338624477386,Neutral
Enes,0.0,Neutral,0.0,Neutral,0.2589651048183441,Neutral
23  nisan geldi sen onu kutla sana  kardeşim,0.4939,Positive,0.0,Neutral,-0.4025184214115143,Negative
❣️❣️💚😻🤍,0.9485,Positive,0.0,Neutral,0.3085779249668121,Neutral
Hiç,0.0,Neutral,0.0,Neutral,0.2541523873806,Neutral
NapıyorsunbKRAL,0.0,Neutral,0.0,Neutral,0.2295172810554504,Neutral
Kamera kör oLacak kafa atma len,-0.4019,Negative,-0.5,Negative,-0.2877493798732757,Negative
BEN De,0.0,Neutral,0.0,Neutral,0.3593939244747162,Positive
Yıl olmuş 2022 eski videolarını özledik be,-0.296,Negative,0.1,Positive,0.413029670715332,Positive
Abi gücü,0.0,Neutral,0.0,Neutral,0.387035608291626,Positive
Enes numaranı at,0.0772,Positive,0.0,Neutral,-0.2730994820594787,Negative
benim karnım acıktı lan,0.0,Neutral,0.0,Neutral,0.4074178338050842,Positive
Sihirli bir üfleyici var -_-,0.0,Neutral,0.5,Positive,-0.3518420755863189,Negative
Enes abi yeni videolar gelsin senin videolarını özledim 💚💙💛🧡❤️,0.9531,Positive,0.1363636363636363,Positive,0.4243049025535583,Positive
Ben de. Ayrıca ben yemek yiyorum,0.0,Neutral,0.0,Neutral,0.5296133160591125,Positive
Ben de 2,0.0,Neutral,0.0,Neutral,0.2366928309202194,Neutral
Geri gel abi,0.0,Neutral,0.0,Neutral,0.3344445824623108,Positive
Vay beee,0.0,Neutral,0.0,Neutral,0.2606234550476074,Neutral
Acıktım,0.0,Neutral,0.0,Neutral,-0.2715871930122375,Negative
"WİFİ WİNDOWS PHONE PHİLİPS VİVO VİVO MOTOROLA LG HUAWEİ ASUS OPPO ACER ASUS JİO
SAMSUNG GB DEPOLAMA KAPASİTESİ MERHABA VE BEN OF'KHLOKOFH'V'VNVB'VN",0.0,Neutral,0.0,Neutral,-0.2898076176643371,Negative
Hxjdjsjzjjxhxjxjxjzjxhbzxbzbabzbxbqjdjdjd i,0.0,Neutral,0.0,Neutral,-0.2786906957626343,Negative
Özledim bee,-0.1531,Negative,0.0,Neutral,0.4117363393306732,Positive
Ben azerbaycanlıyam,0.0,Neutral,0.0,Neutral,0.3382146954536438,Positive
Abi o tursu diyil salatalik,0.0,Neutral,0.0,Neutral,-0.2967700660228729,Negative
Karapınarrrrrrrrrrrrrrrrrrrrrrrrrrrrrrtrrrrrrrrtrrrr,0.0,Neutral,0.0,Neutral,-0.2705803513526916,Negative
2023,0.0,Neutral,0.0,Neutral,0.2792379856109619,Neutral
😍😍😍😍😗😘,0.9552,Positive,0.0,Neutral,0.3085779249668121,Neutral
Yıl olmuş 2022 eski enes abiyi özledik,-0.296,Negative,0.1,Positive,0.3555692434310913,Positive
İNANMAYİN ARKLAR HEPSİ YALAN VE CUKALATA OZEL CUKALATA,0.4019,Positive,0.3571428571428571,Positive,-0.402145504951477,Negative
2022 den gelenler nerde,0.0,Neutral,0.0,Neutral,-0.4398312270641327,Negative
😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱,-0.9999,Negative,0.0,Neutral,0.3085779249668121,Neutral
Abi daha yeni yediğim için acıkmıyorum,0.0,Neutral,0.0,Neutral,0.3333026170730591,Positive
Abi benim karnım acıktı,0.0,Neutral,0.0,Neutral,0.4436911642551422,Positive
Abi bu isan yiyo,0.0,Neutral,0.0,Neutral,0.362429141998291,Positive
Kemik yenir,0.0,Neutral,0.0,Neutral,-0.3345218598842621,Negative
Benim  karnım  açık tı  ya,0.0,Neutral,0.0,Neutral,0.4251998960971832,Positive
CANİM CEKTI,0.5994,Positive,0.7,Positive,0.2309339940547943,Neutral
acıktıtıttıtıtıtıtımmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Abi  burası  Isparta   buda   dışarı çık görürsün,0.0,Neutral,0.0,Neutral,-0.2925262749195099,Negative
Arkada bırakarak al,0.0,Neutral,-0.4,Negative,-0.3918514251708984,Negative
Uçak yesin,0.0,Neutral,0.0,Neutral,-0.2380834370851516,Negative
Hakd,0.0,Neutral,0.0,Neutral,-0.2326210141181945,Negative
€£¥₺&£€¥₺,0.0,Neutral,0.0,Neutral,0.3973774313926697,Positive
"rkıi0,şiş,",-0.3818,Negative,0.0,Neutral,0.2363035231828689,Neutral
Adamın.  Yüzünden. 🐄  eti.  Yedim,0.0,Neutral,0.0,Neutral,-0.3098302483558655,Negative
Acıktım. Hemde. Çok,0.2732,Positive,0.0,Neutral,-0.3103125691413879,Negative
Ooooooöoo,0.0,Neutral,0.0,Neutral,-0.2633390426635742,Negative
Abi özledik video çek artıl,0.0258,Neutral,0.0,Neutral,-0.2851584851741791,Negative
Charlie nin ağzına sığmaz diye eti yedi,-0.2755,Negative,0.4,Positive,-0.4393344521522522,Negative
Lan dede   dorudüzgün  bişey  yesin,-0.4019,Negative,0.0,Neutral,-0.3023701608181,Negative
Vtf 42milyon izlenme???????????,0.0,Neutral,0.0,Neutral,-0.5396159887313843,Negative
çok güzel olmuş abı👍,0.4754,Positive,0.78,Positive,0.7299056649208069,Positive
Bende acıktım ağbi,0.0,Neutral,0.0,Neutral,-0.3446235656738281,Negative
S**** s**** s****,0.0,Neutral,0.0,Neutral,-0.3681603968143463,Negative
Yabancı çok s****,0.0,Neutral,-0.125,Negative,-0.4490797817707062,Negative
Selamün,0.0,Neutral,0.0,Neutral,0.2469739615917205,Neutral
2019dan sonra değiştin be Enes abi,0.0,Neutral,0.0,Neutral,-0.2897523641586303,Negative
🎉❤😮🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉😢,0.9896,Positive,0.0,Neutral,0.3085779249668121,Neutral
köfte istiyor,0.0,Neutral,0.2,Positive,0.2962272465229034,Neutral
Abi 😢 ben Bi gün oyun çak var dı o nü iştir dim,-0.3182,Negative,-0.4,Negative,0.2647312581539154,Neutral
😅😑🤤🤤🤤🤤🤤,0.3612,Positive,0.0,Neutral,0.3085779249668121,Neutral
Abi oruçluyuz,0.0,Neutral,0.0,Neutral,-0.2982662916183471,Negative
Acıktım,0.0,Neutral,0.0,Neutral,-0.2715871930122375,Negative
Suşi,0.0,Neutral,0.0,Neutral,0.3029880225658417,Neutral
Soğuk,0.0,Neutral,-0.6,Negative,0.3222919106483459,Neutral
Enes Batur abi kendini dinle,0.0,Neutral,0.0,Neutral,-0.2354984134435653,Negative
Sanırım ben de acıktım,0.0,Neutral,0.0,Neutral,0.2606926262378692,Neutral
Uneqxnrjqxnejoqxnrqxjodqornqcojrqcrjrwcntctojcfqrjoqxqrocrwjcnrjqcrjqprqjc,0.0,Neutral,0.0,Neutral,-0.3493931293487549,Negative
Selin komiser Neşe Kadir Bulut♥️♥️♥️♥️♥️♥️🇹🇷❤♥️@,0.9887,Positive,0.0,Neutral,-0.3089028894901275,Negative
Zxcmhzs v  jzebv nsr v,0.0,Neutral,0.0,Neutral,-0.2265785336494445,Negative
Enes abi senin  şarkılarına hayranım bu klunatikin ağzına sıçayım,-0.296,Negative,-0.4,Negative,0.3454932272434234,Positive
Hl     idil,0.0,Neutral,0.0,Neutral,-0.2753544449806213,Negative
"2022 ramazan ayından gelenler oruçluyum ağzım nehir gibi
+1",0.3612,Positive,0.0,Neutral,-0.586324155330658,Negative
Enes  abi canım çekti,-0.5267,Negative,0.0,Neutral,0.2331295609474182,Neutral
AĞABEY YAKINDA ADAM ELİNİDE YER,-0.2263,Negative,0.0,Neutral,0.2352515757083892,Neutral
42M İZLENMİŞ AQ,0.0,Neutral,0.0,Neutral,-0.4165461957454681,Negative
İlk yorum,0.0,Neutral,0.25,Positive,0.3511768579483032,Positive
Çok acıktım lan,0.0,Neutral,0.0,Neutral,-0.3106430768966675,Negative
Evde dene cem,0.0,Neutral,0.0,Neutral,0.2821227610111236,Neutral
Enes  abiyi  çok  seviyorum,0.6369,Positive,0.35,Positive,0.3596599102020263,Positive
"Peset, artıkvidyo, cekme",0.0,Neutral,0.0,Neutral,0.23472461104393,Neutral
Enes Batur Adam,0.0,Neutral,0.0,Neutral,0.2350337356328964,Neutral
🤗,0.4215,Positive,0.0,Neutral,0.3085779249668121,Neutral
Klunatik gel yavrum 😝😝😝🙃🙃🙃,0.0,Neutral,0.0,Neutral,-0.2978470623493194,Negative
What are the major how many FaceTime Leah,0.0,Neutral,0.28125,Positive,-0.2327762693166732,Negative
Bence suşi,0.0,Neutral,0.0,Neutral,0.2664065361022949,Neutral
O stev nasıl kıpırdıyo abi 😮😨😃😑😲,0.2263,Positive,0.0,Neutral,0.507593035697937,Positive
Merhaba Enes abi  ben  Aras ben  de çok acıktım,0.0,Neutral,0.2,Positive,-0.3408155143260956,Negative
Orucunu bozdu,-0.4215,Negative,0.2,Positive,-0.3224523365497589,Negative
"2013:buda kim
2014:hmm gelişiyo
2015:çok güzel 😍
2016:efsanesin
2017:en iyi YouTubr
2018:keşke ayrılmasaydı😥
2019:sonuna kadar hak ediyon
2020: eski oyun videolarınamı dönsen
2021:artık oyun ve güzel video yok 
2022:🥀",0.9058,Positive,0.1916666666666666,Positive,-0.3956910371780395,Negative
enes abi oyun videoları çekrmisin eskisi gibi,0.3612,Positive,-0.4,Negative,0.2933096885681152,Neutral
Bende acıktım,0.0,Neutral,0.0,Neutral,-0.2983972430229187,Negative
"Az€%%^%%$¥. ,merhaba     m 9999999999999oaoakzkakakaowowoajrugiugknhhghýýyyyyyýýıloot7hhjp0kIikkoi9ilomikl8li,ol,ooinmk,  mkmmhiuhhh8hihuguyugygyuugyyugyg7yg7y7ygy7gyg7uyggyynmujh99uhbbhyugl",0.0,Neutral,0.0,Neutral,-0.5475986003875732,Negative
Allahım acıkdımmmm 😩😩😩😩😩😩😩,-0.8625,Negative,0.0,Neutral,0.5325900316238403,Positive
😃😂,0.6597,Positive,0.0,Neutral,0.3085779249668121,Neutral
Abi o sesi bisey ezerek ediyo,-0.3612,Negative,0.4,Positive,0.2587303519248962,Neutral
Güzel,0.5994,Positive,0.85,Positive,0.4694712460041046,Positive
"ENRS BATUR 
ABİ BENİM HİC ACIKMADIM TOST YİYORUM",0.0,Neutral,0.0,Neutral,-0.4726346433162689,Negative
Evet enes abi geri dön,0.4019,Positive,0.0,Neutral,-0.2642790675163269,Negative
acıkdım,0.0,Neutral,0.0,Neutral,-0.4283233284950256,Negative
Gjs k,0.0,Neutral,0.0,Neutral,0.2784158289432525,Neutral
❤❤❤😊😊😊👧👧👧😸😸😸😄😄😄,0.9959,Positive,0.0,Neutral,0.3085779249668121,Neutral
Agaa be şuan yıl 100000 ozaman ları özledim,-0.1531,Negative,0.0,Neutral,0.2686304748058319,Neutral
Bizde,0.0,Neutral,0.0,Neutral,0.2679558098316192,Neutral
Adam yiyince bir  koku geldi,0.0,Neutral,0.0,Neutral,-0.5991247296333313,Negative
Enes abi 8 bölümde Minecraft'ta bitireceksin Hani Minecraft videosu Seni seviyorum,0.6369,Positive,0.5,Positive,-0.3075629472732544,Negative
Amabugerizekalibunudondurmaolsrakgoruyor,0.0,Neutral,0.0,Neutral,-0.2501256167888641,Negative
lan oruç tutuyom,0.0,Neutral,0.0,Neutral,0.2290039807558059,Neutral
Enesabi   haberdeçıkdın   haberdediki   çocuklarınızı   buinsandan   uzaktutundedi   nolduki,0.0,Neutral,0.0,Neutral,-0.5423686504364014,Negative
"Abi o galiba turşu sandığın şey , salatalıktı  galiba",0.0,Neutral,0.0,Neutral,-0.4361501336097717,Negative
2022 de izliyenler,0.0,Neutral,0.0,Neutral,0.2671711444854736,Neutral
Hl        idil,0.0,Neutral,0.0,Neutral,-0.2753544449806213,Negative
"abi ramazan oruçluyumaz kalsın tost yiyiyodum
abi yanlı ş yazdıysam pardon",-0.5267,Negative,-0.5,Negative,-0.6956766843795776,Negative
abi bengözümükapadım mutfağın yerinibuldum,0.0,Neutral,-0.1,Negative,-0.3420113027095794,Negative
42 milyon??,0.0,Neutral,0.0,Neutral,-0.5367772579193115,Negative
ben istanbuldayım,0.0,Neutral,0.0,Neutral,0.4088709354400635,Positive
İyi,0.4404,Positive,0.7,Positive,0.5322710275650024,Positive
O   Domuz  deil   sala,0.0,Neutral,0.0,Neutral,0.2739042043685913,Neutral
Abi devam ı gelsin😀😄😄😄😇😽,0.9781,Positive,0.0,Neutral,0.4582323133945465,Positive
Abi kilomu almamızı mı isti yorsun?😁,0.5719,Positive,0.0,Neutral,-0.3533659279346466,Negative
Abi sende böyle  bir video yap sende yiyormuş gibi  yap,0.2732,Positive,0.0,Neutral,-0.5719023942947388,Negative
Antaya,0.0,Neutral,0.0,Neutral,0.2617056667804718,Neutral
4 yıl önce atılmış bir videoyu 2022de izleyenler,0.0,Neutral,0.0,Neutral,0.3696331679821014,Positive
Abi delirmiş Tabii bu koruma yüzünden Evdeki her şeyi bitiriyor artık Yakında kendisinde yemesine başlar delirmiş,-0.5859,Negative,-0.6,Negative,-0.5660306811332703,Negative
çok güzel ama her şeyi yiyo,0.2609,Positive,0.78,Positive,0.2923062443733215,Neutral
Abibenadanadayımbizburdayanıyoruz,0.0,Neutral,0.0,Neutral,-0.2478213459253311,Negative
Çooooook   acık   tımm,0.0,Neutral,0.0,Neutral,0.2815131843090057,Neutral
Ben,0.0,Neutral,0.0,Neutral,0.3073336184024811,Neutral
Ben  okulda dış imi yedim,0.0,Neutral,0.0,Neutral,0.2559001445770263,Neutral
BISVHEY YICEM,0.0,Neutral,0.0,Neutral,-0.2877061069011688,Negative
ACIGTIM,0.0,Neutral,0.0,Neutral,0.2484810203313827,Neutral
Evet abi ben acıktımn sahibi,0.4019,Positive,0.0,Neutral,0.2786996960639953,Neutral
MenDe       yirem,0.0,Neutral,0.0,Neutral,-0.2594289183616638,Negative
😋Aç,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
12:05 manyağım lan,-0.34,Negative,-0.6,Negative,-0.3675593137741089,Negative
Tm enes,0.0,Neutral,0.0,Neutral,0.2550756633281708,Neutral
tırabzon,0.0,Neutral,0.0,Neutral,0.2382117509841919,Neutral
Abim. İki. Var.  Sın,0.0,Neutral,0.0,Neutral,-0.3068010210990906,Negative
Abi para can acltmazki demiştin htlyonmu,0.4168,Positive,0.0,Neutral,-0.3229304552078247,Negative
Abi oruçluyum izliyorum,0.0,Neutral,0.0,Neutral,-0.4289694726467132,Negative
Valla bende,0.2732,Positive,0.0,Neutral,0.2921673953533172,Neutral
Ben,0.0,Neutral,0.0,Neutral,0.3073336184024811,Neutral
Suuşii,0.0,Neutral,0.0,Neutral,0.3149160146713257,Neutral
Acıktım,0.0,Neutral,0.0,Neutral,-0.2715871930122375,Negative
Uydsdfuiuyihfswu,0.0,Neutral,0.0,Neutral,0.2407054454088211,Neutral
Acıktımvallaha,0.0,Neutral,0.0,Neutral,-0.3362726271152496,Negative
çok irenç🤢,0.0,Neutral,0.2,Positive,0.3654279410839081,Positive
açık tim,0.0,Neutral,0.0,Neutral,0.2705817520618438,Neutral
Kaçtayız biz daha kış dayız,0.0,Neutral,0.0,Neutral,-0.3920256793498993,Negative
Enes     strafordan nefret   ederim,-0.5719,Negative,-0.8,Negative,-0.467393010854721,Negative
Bende,0.0,Neutral,0.0,Neutral,0.2780056595802307,Neutral
Açıklama,0.0,Neutral,0.0,Neutral,0.2458892464637756,Neutral
hiç sevmiyorum şu domuzları ıy ıy,-0.2755,Negative,0.0,Neutral,0.4876285791397095,Positive
Yok olmuş 2022 2018 sekizde yollamış arada 4yıl geçmiş,-0.2263,Negative,0.0,Neutral,-0.673598051071167,Negative
abi bende oyun hamuru yiyom,0.34,Positive,0.0,Neutral,-0.4655904769897461,Negative
Mersin'de alw alev,0.0,Neutral,0.0,Neutral,0.2765850126743316,Neutral
Abi ben acıktım.,0.0,Neutral,0.0,Neutral,0.2332906126976013,Neutral
Enes batur gerçek kahraman filn mi gerçekmi,0.5574,Positive,0.2,Positive,0.4761995673179626,Positive
Eski enesi istiyoruz;(,0.0772,Positive,0.1,Positive,0.2509239614009857,Neutral
😄😄😄,0.9382,Positive,0.0,Neutral,0.3085779249668121,Neutral
8 yıl bu,0.0,Neutral,0.0,Neutral,0.4477792084217071,Positive
pasta,0.0,Neutral,0.0,Neutral,0.317802369594574,Neutral
😅,0.3612,Positive,0.0,Neutral,0.3085779249668121,Neutral
Vallahi abi ben acıktım,-0.0516,Negative,0.0,Neutral,-0.2691821455955505,Negative
Hoi landelijk alsjeblieft,0.3182,Positive,0.0,Neutral,0.3931270837783813,Positive
Ben acıktım lan nasıl oluyor,0.0,Neutral,0.0,Neutral,-0.3516605794429779,Negative
Adamın dışı biliyorsa nasıl dişini yetiyor,0.4215,Positive,0.25,Positive,-0.299663633108139,Negative
Abi birde en sevdğim çorba,0.4588,Positive,0.5,Positive,0.4358775317668915,Positive
Abi  valla ben çok acıktım,0.0,Neutral,0.2,Positive,0.2331561297178268,Neutral
Acıktımmmmmm,0.0,Neutral,0.0,Neutral,-0.3483582735061645,Negative
Abi video çok güzel oda soya sosu,0.4754,Positive,0.78,Positive,0.515646755695343,Positive
"oruçluyken izlemekmi?
-evet",0.296,Positive,0.0,Neutral,-0.3911780416965484,Negative
Ennnneeesss,0.0,Neutral,0.0,Neutral,-0.3453376591205597,Negative
Oğlum,0.0,Neutral,0.0,Neutral,0.3354609608650207,Positive
Ben sesegel,0.0,Neutral,0.0,Neutral,0.3059324622154236,Neutral
Enes,0.0,Neutral,0.0,Neutral,0.2589651048183441,Neutral
🥺😩,-0.2732,Negative,0.0,Neutral,0.3085779249668121,Neutral
Acıkmıştım,0.0,Neutral,0.0,Neutral,-0.3628235757350921,Negative
😋😋😋😋,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Abi adam yiyoda dişleri kırıktı nasıl yiyor yaz abi,-0.4767,Negative,-0.4,Negative,-0.462567925453186,Negative
Oruç tutanlar için kötü,-0.5423,Negative,-0.6999999999999998,Negative,-0.4410371780395508,Negative
O sırada adanada olan biz,0.0,Neutral,0.0,Neutral,0.2122012227773666,Neutral
ben çocklar dan mı sen lan şey lan sen çocuk bak bir anz,0.0,Neutral,0.0,Neutral,-0.3846635222434997,Negative
!?fqf2,0.0,Neutral,0.0,Neutral,-0.4305862784385681,Negative
!?,0.0,Neutral,0.0,Neutral,-0.4640982747077942,Negative
"bu sozden nefret ederim ama-
ozledim lan..",-0.5023,Negative,-0.8,Negative,-0.5969099402427673,Negative
😱😳🤟🏻🤟👈,-0.7003,Negative,0.0,Neutral,0.3085779249668121,Neutral
Abi sen de  bi gün sitres çarkı ye,-0.4215,Negative,0.0,Neutral,-0.3076006770133972,Negative
Ok,0.296,Positive,0.5,Positive,0.4951144456863403,Positive
100000000000000000000000000000000000,0.0,Neutral,0.0,Neutral,0.3337174355983734,Positive
Keşkegözümükapatsaydımacıktım,0.4019,Positive,-0.1,Negative,-0.3603197336196899,Negative
Abi cıvıl mıvıl değiliz,0.0,Neutral,0.0,Neutral,-0.3487133979797363,Negative
2022 keremi burdamı,0.0,Neutral,0.0,Neutral,0.2533825635910034,Neutral
Acıktım,0.0,Neutral,0.0,Neutral,-0.2715871930122375,Negative
Acıktım,0.0,Neutral,0.0,Neutral,-0.2715871930122375,Negative
2jfjjzjejjvjjzjji,0.0,Neutral,0.0,Neutral,0.2417243421077728,Neutral
Ben direk tuttum,0.2263,Positive,0.2,Positive,0.3782826662063598,Positive
abi gireni 2 onu oynasan 90 abonelo cam,0.0,Neutral,0.0,Neutral,-0.4583475887775421,Negative
Abi ramazanda izliyom eski videoların geliyor aklıma,0.0,Neutral,0.1,Positive,0.2602131962776184,Neutral
Abi ben zeten antalyada yaşıyorum,0.0,Neutral,0.0,Neutral,0.4914994537830353,Positive
Yüz% canım çekti 😂,0.4404,Positive,0.0,Neutral,-0.2698373794555664,Negative
Abi gün seni seviyorum video nu izleyorum,0.6369,Positive,0.5,Positive,0.2729983925819397,Neutral
Abi bikere minicik sılam  yedim,0.0,Neutral,0.0,Neutral,0.3075017929077148,Neutral
🤑,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
Ben de acıktım,0.0,Neutral,0.0,Neutral,-0.2524019777774811,Negative
Ben  😋,0.0,Neutral,0.0,Neutral,0.4200360774993896,Positive
Abi geçmiş olsun,0.2732,Positive,0.0,Neutral,0.2693265080451965,Neutral
E ık,0.0,Neutral,0.0,Neutral,0.2303570061922073,Neutral
Burası sivas,0.0,Neutral,0.0,Neutral,0.2694142460823059,Neutral
Eski  Enes Baturu  özledim,-0.1531,Negative,0.1,Positive,0.2722904682159424,Neutral
Maykraft doğrusu minecraft,0.3182,Positive,0.0,Neutral,-0.257826954126358,Negative
