Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
👀,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
🖤🖤,0.8555,Positive,0.0,Netural,0.30857792496681213,Netural
😋,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
I love this song,0.6369,Positive,0.5,Positive,0.8526678681373596,Positive
Me to I didn’t expect him to slap this hard again 🤣🤣🤣🤣🤣🤣,0.9601,Positive,-0.2916666666666667,Negative,-0.2861601710319519,Negative
this song takes me back to summer 21,0.0,Neutral,0.0,Netural,0.4894900918006897,Positive
🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️😍😍😍😍😍,0.9988,Positive,0.0,Netural,0.30857792496681213,Netural
Are you justin biber,0.0,Neutral,0.0,Netural,0.2295890748500824,Netural
ร.10,0.0,Neutral,0.0,Netural,0.4094837009906769,Positive
ร.10,0.0,Neutral,0.0,Netural,0.4094837009906769,Positive
Ho hard,-0.1027,Negative,-0.2916666666666667,Negative,0.33021676540374756,Positive
hello.,0.0,Neutral,0.0,Netural,0.5249283313751221,Positive
"516,113,293 viewsPremiered on 19 Mar 2021",0.0,Neutral,0.0,Netural,-0.3813583254814148,Negative
@Giveon I Love you 😘,0.7906,Positive,0.5,Positive,0.8152514696121216,Positive
O y god,0.2732,Positive,0.0,Netural,0.29287344217300415,Netural
The songwriter deserves a huggg,0.0,Neutral,0.0,Netural,0.41290563344955444,Positive
