Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
You can tell she's such a good sister the way she takes care of mirabel,0.7269,Positive,0.35,Positive,0.4395955204963684,Positive
"“I'm pretty sure I'm worthless if I can't be of service”

Yeah, That line hits home",0.5859,Positive,-0.0166666666666666,Negative,-0.5318886637687683,Negative
"“Give to your sister it doesn’t hurt-and, see if she can handle every family BURDEN” hit hard",-0.1027,Negative,-0.2916666666666667,Negative,0.3981654644012451,Positive
"“I'm pretty sure I'm worthless if I can't be of service”
That line is like a gut punch every time",0.6249,Positive,-0.0166666666666666,Negative,-0.500514030456543,Negative
People love how she carries her sister like she's a baby while avoiding the geysers,0.6486,Positive,0.5,Positive,0.55012446641922,Positive
People love how she's protecting Mirabel throughout this song. She even fixes her glasses.,0.6369,Positive,0.5,Positive,0.7112243175506592,Positive
"ngl, best looking character in encanto",0.6369,Positive,1.0,Positive,0.6960704326629639,Positive
Tamarrha,0.0,Neutral,0.0,Neutral,-0.3337135016918182,Negative
You are grounded,0.0,Neutral,0.0,Neutral,-0.280275821685791,Negative
CTA bus crash,-0.4019,Negative,0.0,Neutral,-0.6249507069587708,Negative
It's so funny 😃            The way she dance is so funny        The end is so perfect and peaceful,0.9579,Positive,0.4375,Positive,0.7281178832054138,Positive
00:44 esa parte parecía que no podia hablar🤣,0.6908,Positive,0.0,Neutral,-0.5980731248855591,Negative
Ukdhjhdgjkmlslo have a KL to ok hi confidencialidad 🦋,0.296,Positive,0.5,Positive,0.3150268793106079,Neutral
"02:35 that look, it hurts.",-0.4767,Negative,0.0,Neutral,-0.3901272118091583,Negative
Any other teachers out there who feel like this is our theme song?,0.3612,Positive,-0.125,Negative,0.3236446976661682,Neutral
Her and donkeys like what,0.3612,Positive,0.0,Neutral,0.4917860925197601,Positive
I love this song 🎵 ❤,0.8555,Positive,0.5,Positive,0.8616991639137268,Positive
"I Like 
Louisa",0.3612,Positive,0.0,Neutral,0.4645776450634002,Positive
Chfyf you have,0.0,Neutral,0.0,Neutral,0.3170382082462311,Neutral
"It was also kinda sad when she said ""if the same pressure would a pulled you under"" yall she actually pushed the donkeys down",-0.6133,Negative,-0.1638888888888889,Negative,0.4831587970256805,Positive
Would've been cool had the Cerberus had Illusive Man eyes,0.3182,Positive,0.35,Positive,0.413565456867218,Positive
I love this song and this was my school festival song,0.8126,Positive,0.5,Positive,0.8544897437095642,Positive
Nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
Idfyufgddhztdtwj5rd😗😗😗😗😗😗😗🐩🐩🐩🐩🍌🍓🍓🍔🍔🍕🏵🦄🐕🐘🍦😝😄😙😚🍔🙂😁😁🐎🐎🤗💧☉🌠🌠😙😘😗🙄😚🙂🤗☺😏😣😇😥,0.9915,Positive,0.0,Neutral,0.3085779249668121,Neutral
Her adjusting mirabel's glasses is such a cute little moment... it's small but shows how much she cares for her sister.,0.7184,Positive,0.0525,Neutral,0.5511012077331543,Positive
wow <3,0.7717,Positive,0.55,Positive,0.6465064883232117,Positive
When i was watching Encanto with my friend's my aunt was laughing and wheezing at this because of how funny and relatable that was lol,0.836,Positive,0.525,Positive,0.2598131597042084,Neutral
The but hit thingy🤣😭😭😭💀,-0.8462,Negative,0.0,Neutral,0.3309023976325989,Positive
"I had an abusive grandmother who was abusive to my mother and in a way so similar to the grandmother in this movie. When Mirabel says ""nothing any of us do is ever going to be enough for you"" well that's what I wanted to scream to her. But she's gone now.",-0.6705,Negative,0.0,Neutral,-0.2716302275657654,Negative
This has become the song I use to do my injections.,0.0,Neutral,0.0,Neutral,0.6544626355171204,Positive
"*i guess everyone just decided to come back here today.*
.
.
👇
*You’re amazing stay blessed, stay safe and have a amazing rest of your day*",0.9371,Positive,0.425,Positive,0.7087342143058777,Positive
"I can not believe the Bruno song, while good, is being highlighted by Disney and this one just kind of has this huge cult following.",0.6731,Positive,0.425,Positive,0.3635180592536926,Positive
wow love this song and how they dance soo cool,0.8834,Positive,0.3166666666666666,Neutral,0.8866820335388184,Positive
"When she’s losing her power, her voice becomes more feminine. I love this. I relate so much with Luisa",0.4336,Positive,0.3999999999999999,Positive,0.8222046494483948,Positive
Thanks Disney for uploading this video to your YouTube channel now I can watch it all day,0.4404,Positive,0.2,Neutral,0.7315851449966431,Positive
0:57 OBSESSED,-0.347,Negative,-0.5,Negative,-0.4449243545532226,Negative
Luisa is playing the role of big sisters always acting like they’re not tired and loves working but actually are not and are mentally not ok bcuz they have alot of pressure,-0.507,Negative,-0.0099999999999999,Negative,0.4302796423435211,Positive
i love them,0.6369,Positive,0.5,Positive,0.8017217516899109,Positive
I just love through the whole video Luisa is constantly keeping Mirabel from danger by for instance pulling her out of the geysers and shoving her behind her as the tornado approaches. She is the defender of the family in the most literal sense and shows it here.,0.296,Positive,0.1599999999999999,Neutral,0.5868058800697327,Positive
I'm stronger than you because...,0.3818,Positive,0.0,Neutral,0.3328013718128204,Positive
"Amo essa música, Estou Nervosa em inglês. ♥️😍",0.8834,Positive,0.25,Neutral,0.3559770882129669,Positive
"I love how, by the end of the 'relaxing' bit she goes ""all we know is pressure"" instead of ""all I know"". 
I'd like to believe that is her admitting she knows to some degree that ALL family members with powers are under pressure just like her, but she doesn't know how exactly it affects them and doesn't have the time to help them at all. With how much of a softie she is, she probably would try to help them just as much as Mirabel did if she wasn't effectively the town's overworked packmule.",0.8398,Positive,0.35,Positive,0.4393199980258941,Positive
Hercules here looks like Mariano,0.3612,Positive,0.0,Neutral,0.4431260228157043,Positive
it is amazing!!!!,0.7156,Positive,1.0,Positive,0.8453730344772339,Positive
welcome to mans world),0.4588,Positive,0.8,Positive,0.597605288028717,Positive
my sister passed away in 2011...I had to be strong for our mom...for her kids...for out whole family...I didn't get to grieve...11 yrs later I still havent...cause I had to be the strong one... I feel this song so hard...I still have to protect my own kids..raise them...sometimes I just want joy...what breaks the camels back,0.8591,Positive,0.2777777777777777,Neutral,-0.3903723061084747,Negative
I almost cried when I first heard this song. It conveys how heavy expectations can be  It makes me sad to hear that Luisa thinks she's worthless if she's not strong... :(,-0.8226,Negative,-0.3694444444444444,Negative,0.3342691659927368,Positive
Best movie evvvva,0.6369,Positive,1.0,Positive,0.8883791565895081,Positive
Guys this song is my favorite in encanto is the best i wanna be just like luisa i have mucles in real life but there still timy,0.6542,Positive,0.5666666666666667,Positive,0.7193776369094849,Positive
"This song has great meaning, lyrics and rhythm than wdtab",0.6249,Positive,0.8,Positive,0.5267173051834106,Positive
Mirabel: Okay? 0:15,0.2263,Positive,0.5,Positive,0.3724984228610992,Positive
"Oh grow up, you're literally invincible. You have to work just as hard as everyone else, you just happen to accomplish a staggering amount.",0.6808,Positive,-0.2916666666666667,Negative,0.4980091750621795,Positive
I love when isabella is hugry and no ones home,0.4588,Positive,0.5,Positive,0.6108070015907288,Positive
BIG GIRL,0.0,Neutral,0.0,Neutral,0.5632305145263672,Positive
Who invited Abbyzilla?,0.0,Neutral,0.0,Neutral,-0.2639453411102295,Negative
Hello 👋. My name is Rabbit 🐰. I like 👍 this song 🎵 and bunnies 🐰,0.6908,Positive,0.0,Neutral,0.6706538796424866,Positive
I fail to see why people like this song. Worst song in Encanto movie.,-0.7269,Negative,-0.75,Negative,-0.7481769919395447,Negative
It's mad how accurate this shows the struggles and pressures of looking after your younger siblings and making sure they don't have to go through any bullshit or hurt,-0.9169,Negative,0.06875,Neutral,0.5512812733650208,Positive
BEST SONG EVER,0.6369,Positive,1.0,Positive,0.9553784728050232,Positive
😊😂🤣😅😆😃🤩🥰😍😘🤗😱😀😃😲😮😮😯,0.9875,Positive,0.0,Neutral,0.3085779249668121,Neutral
Bruno,0.0,Neutral,0.0,Neutral,0.2623307704925537,Neutral
I love this song,0.6369,Positive,0.5,Positive,0.8526678681373596,Positive
Love this song!,0.6696,Positive,0.625,Positive,0.8832217454910278,Positive
Won she is good song,0.765,Positive,0.7,Positive,0.3703803718090057,Positive
"This is poopy,poppy, says hi,poppy says clap your hands oops poppy died.",-0.5574,Negative,0.0,Neutral,-0.8039329648017883,Negative
0:57 I love this part :D,0.8494,Positive,0.75,Positive,0.7163170576095581,Positive
Pocoyo Pocoyo 1x01,0.0,Neutral,0.0,Neutral,-0.3890341520309448,Negative
"It is funny but not funny but not funny but not funny but not funny but not funny but not funny but
😆😆😆👋👋😅😆😆😆😆😆😆😆😆😆😆😆😆",0.9899,Positive,-0.0714285714285714,Negative,0.5139434337615967,Positive
Considering I’m the oldest out of my siblings…I literally understand the pressure from these lyrics😢💕,0.0,Neutral,0.0,Neutral,0.5414461493492126,Positive
Mirabel’s power is to make people sing about there problems,-0.4019,Negative,0.0,Neutral,0.3088792860507965,Neutral
❤️💗❤️💗❤️💗🦩✨🧸 if ur si peeing this diseney can u make a new movie call the log if you can pin this comment🦋 also love ur movies,0.9584,Positive,0.3181818181818182,Neutral,0.4730279743671417,Positive
"03:01, those donkeys can move it move ❤️",0.0,Neutral,0.0,Neutral,0.3689809143543243,Positive
Desa,0.0,Neutral,0.0,Neutral,0.2774591147899627,Neutral
CERBERUS IS A HELL DOG,-0.6808,Negative,0.0,Neutral,-0.2557820379734039,Negative
"""I'm pretty sure I'm worthless if I can't be of service""
""Give it to your sister your sisters older give her all the heavy things we can't shoulder""
""Give it to your sister your sisters stronger see if she can hang on a little longer""
""Give it to your sister it doesn't hurt and see if she can handle every family burden"" 
THESE LINES HIT HARDER THAN THE SINGER OF THE SONG",0.6219,Positive,-0.0529761904761904,Negative,-0.3666634857654571,Negative
I feel like watching  again  and again  but wait I can,0.1901,Positive,0.0,Neutral,0.4129392802715301,Positive
no mistake’s,-0.296,Negative,0.0,Neutral,0.4466357827186584,Positive
Seriously who ever animated her facial expressions at 2:30 needs to go to prison because its too good and my emotions are tossed into a giant industrial fan,0.0516,Positive,0.0916666666666666,Neutral,-0.7036405205726624,Negative
"Luisa is a mf queen, this is the best Encanto song 😤 who threw all of this water into my eyes >:(",0.128,Positive,0.125,Neutral,0.8074542284011841,Positive
I love how she didn’t talk about Bruno because she knew something bad might happen,0.1779,Positive,-0.0999999999999999,Negative,0.6204589009284973,Positive
slayed,0.0,Neutral,0.0,Neutral,-0.6662729382514954,Negative
love it,0.6369,Positive,0.5,Positive,0.8348285555839539,Positive
I strong one I am not nevertheless,0.5106,Positive,0.4333333333333333,Positive,0.3522606194019317,Positive
My oldest sisters lisblla and lusa,0.0,Neutral,0.0,Neutral,0.4904667139053345,Positive
So titanic saved?,0.4728,Positive,0.0,Neutral,-0.4593553245067596,Negative
❤️❤️❤️❤️❤️❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
"Am I the only one who has thought of this.
“I glow cause I know what my worth is” “I’m worthless if I can’t be of service” 
Her gift faded because she lost her self worth",0.128,Positive,-0.05,Negative,-0.4441866874694824,Negative
"This hit me very hard and I loved this song so much.Especially the part where she said ""Give it to your sister it dosen't hurt and see if she can handle every family burden.""I think it's hard being the strongest one in your family,because everyone will rely on you to take care of heavy things,so you don't want to let them down.I think Luisa is childish because she never got to enjoy her childhood.I'm the oldest sibling in my family so understand very clearly.",0.8717,Positive,0.0227380952380952,Neutral,0.474221259355545,Positive
hxnxva,0.0,Neutral,0.0,Neutral,0.2331208139657974,Neutral
I don't know why i love this song alot.,0.6369,Positive,0.5,Positive,0.5946487188339233,Positive
0:35,0.0,Neutral,0.0,Neutral,-0.4045047163963318,Negative
Anastasia😘😍😘😍😘😍😘😍😘😍😘👗,0.9831,Positive,0.0,Neutral,0.3085779249668121,Neutral
somebody when they were Catholic but now they're Christian: 0:18,0.0,Neutral,0.0,Neutral,-0.5432018637657166,Negative
"You know the song is lit AF when the donkeys can dance better than I can. Seriously, great song",0.743,Positive,0.65,Positive,0.5271580815315247,Positive
