Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Jihyo vlogger when?,0.0,Neutral,0.0,Neutral,-0.3040933012962341,Negative
I'm not boring watching this,0.2411,Positive,0.5,Positive,0.4782205522060394,Positive
Go 800k views,0.0,Neutral,0.0,Neutral,0.3609814643859863,Positive
"you're so pretty jihyo ya.. 31 minutes is not enough to watch you.. it's so entertaining and fun to watch, i hope you do vlogging soon you are so adorable 😍😍",0.9753,Positive,0.31,Positive,0.5383753180503845,Positive
this is the best vlog so far. it's half an hour long but i still wish it's longer 💟,0.9178,Positive,0.2208333333333333,Positive,0.5348108410835266,Positive
this is so fun to watch! Jihyo is so funny and entertaining! <3,0.9396,Positive,0.5625,Positive,0.7544161081314087,Positive
wow...she is very beautefull in cute ^_^,0.5046,Positive,0.35,Positive,0.777849018573761,Positive
"thank you queen for working so hard to vlog everything for us to watch, i know you must've been very tired between your breaks so we appreciate the effort! <3 ily",0.8406,Positive,0.0194444444444444,Positive,0.6070161461830139,Positive
Hasta el momento Jihyo es la que a tenido un contenido más dinámico.,0.4391,Positive,0.1999999999999999,Positive,0.4000574648380279,Positive
"sin duda Jihyo es la mejor líder del mundo, es tan buena y linda persona, haces un gran trabajo Jihyo, Once te adora muchísimo, eres muy genial y amé tu vlog, es muy lindo verte, te deslumbraste en los conciertos♡",0.9851,Positive,0.6766666666666666,Positive,0.8943533897399902,Positive
Mi mami🥺,0.0,Neutral,0.0,Neutral,0.2864208817481994,Neutral
メイクしなくても整ってる,0.0,Neutral,0.0,Neutral,0.2363888174295425,Neutral
😍,0.4588,Positive,0.0,Neutral,0.3085779249668121,Neutral
Jihyo is so pretty,0.6269,Positive,0.25,Positive,0.404511034488678,Positive
"Love her ❤️❤️❤️
She showed us everything, she is precious 💚💚",0.9538,Positive,0.5,Positive,0.9235443472862244,Positive
My JiHyo speaking English is the sweetest! I loveee her!! 😍🥰,0.9466,Positive,0.390625,Positive,0.9033613204956056,Positive
Kinda sad they didn’t vlog the Oakland one😭I went to the Oakland concert,-0.7102,Negative,-0.5,Negative,0.5152191519737244,Positive
Jihyo so pretty with minimal make up,0.5413,Positive,0.075,Positive,0.4623382985591888,Positive
09:40 cute,0.4588,Positive,0.5,Positive,0.3421042561531067,Positive
썸네일 지효표정 너무기여워 ㅋㅋㅋ,0.7873,Positive,0.65,Positive,0.4209714829921722,Positive
"""Yesterday is history""
""Tomorrow  is mystery
""Today is a gift""
""Thats why is called The present""
“jihyo Stan Forever""",0.4404,Positive,0.0,Neutral,0.3588335514068603,Positive
"EN EL PRÓXIMO ES CHAEYOUNG AAAHAHA, YA QUIEROOOO",0.0772,Positive,0.0,Neutral,-0.334665447473526,Negative
ME VI YA 4 VECES EL VIDEO PQ ME ENCANTÓ,0.6841,Positive,0.7,Positive,0.8053634762763977,Positive
JYP... let's make a youtube account for Jihyo so she can vlogging whenever she wants...,0.0,Neutral,0.2,Positive,-0.2359856963157653,Negative
지효님 블로그 잘 만드셨군요 자세히 알려주셔서 좋아요 트와이스 리더 사랑해요 <3,0.9287,Positive,0.7666666666666666,Positive,0.5979533195495605,Positive
I love Jihyo’s vlog the most 💙 so many behind the scenes 💕,0.9322,Positive,0.275,Positive,0.8659631013870239,Positive
Natural beauty❤,0.8885,Positive,0.1,Positive,0.551071286201477,Positive
Im Turkish fan Jihyo💞🥺 i lovr you,0.8957,Positive,0.5,Positive,0.5573405623435974,Positive
Jihyo ha cambiado tanto de aspecto,0.0,Neutral,0.2,Positive,0.3990460634231567,Positive
Queen of Kpop,0.0,Neutral,0.0,Neutral,0.7131686210632324,Positive
Hyomies keep streaming,0.0,Neutral,0.0,Neutral,-0.280704528093338,Negative
Jihyo was very💕 cute💕 in the video and cute. I love 🌼Twice🌼 so much and a song 🎼called Feelings I 🌺love you Jihyo❤,0.9765,Positive,0.3999999999999999,Positive,0.7381821870803833,Positive
❤,0.6369,Positive,0.0,Neutral,0.3085779249668121,Neutral
"I just love jihyo so much, that cowboy hat was freaking cute on her. I need more jihyo vlogs, the whole time it felt like it was holiday.",0.8625,Positive,0.38,Positive,0.2588473558425903,Neutral
Jihyo and mina best friend ship 🥰🥰,0.9719,Positive,1.0,Positive,0.5872969031333923,Positive
It is so much fun😂😂😂 It should be 1 hour long~~,0.9058,Positive,0.075,Positive,-0.3072342872619629,Negative
23:30 made me laugh so hard HAHAHHAHAHAHHAHAHAHAHHA,0.4086,Positive,0.0041666666666666,Positive,-0.5834393501281738,Negative
Beautiful cute ❤ 😇🌻,0.9337,Positive,0.675,Positive,0.7415602207183838,Positive
if i had been a boy i would have fallen in love with jihyo😂,0.6808,Positive,0.5,Positive,0.2746841311454773,Neutral
Jeongyeon just so pissed because of Jihyo so funny those sceneㅋㅋㅋ,-0.3869,Negative,0.25,Positive,-0.6023180484771729,Negative
Really loved this vlog,0.6361,Positive,0.7,Positive,0.8207383155822754,Positive
Whoo they're so rich that they blocked private jet,0.5448,Positive,0.1875,Positive,-0.4074269235134125,Negative
When Jihyo imitated sana so funnyㅋㅋㅋ,0.5777,Positive,0.25,Positive,0.279426246881485,Neutral
웃음참기 미션을 공유한 두 사람이 같이 있는것만으로도 벌써 웃기다,0.8074,Positive,0.125,Positive,-0.2661143541336059,Negative
Que linda la Nayeli ❤️,0.4588,Positive,0.5,Positive,0.3567506372928619,Positive
"지효는 최선을 다했고, 너의 v-log는 정말 좋았어. 트와이스 감사합니다.🍭❤️",0.8799,Positive,0.85,Positive,0.3323116302490234,Positive
I enjoy your vlog jihyo...so much fun content...go vlogger jyo,0.7579,Positive,0.35,Positive,0.6531833410263062,Positive
My favorite twice members is jihyo,0.4588,Positive,0.5,Positive,0.7354548573493958,Positive
They are living thier best life while the haters are still barking,0.25,Positive,1.0,Positive,0.3566762506961822,Positive
I think Jihyo will be a great vlogger ✨,0.7506,Positive,0.8,Positive,0.4999007284641266,Positive
Love 💕 you Jihyo,0.8591,Positive,0.5,Positive,0.7390621900558472,Positive
💓💞❤️💓💓💓💓💞,0.9786,Positive,0.0,Neutral,0.3085779249668121,Neutral
"♥🌺트와이스는 최고의 그룹이야 많은 일에 에너지를 줬어 사랑해아니면 나는 팔레스타인 아랍 소녀, 나는 당신을 사랑합니다, 세계에서 가장 아름다운 밴드 ♥♥🌷🌹",0.9867,Positive,0.6416666666666667,Positive,0.94793438911438,Positive
❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
