Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Te  amo  bul,0.6369,Positive,0.5,Positive,-0.2953733503818512,Negative
Cuba🇨🇺🇨🇺🇨🇺,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Que,0.0,Neutral,0.0,Netural,0.2669675052165985,Netural
🥰🥰🥰,0.9716,Positive,0.0,Netural,0.30857792496681213,Netural
Shannel,0.0,Neutral,0.0,Netural,-0.30649250745773315,Negative
Ecuador -Loja,0.0,Neutral,0.0,Netural,0.28502145409584045,Netural
Lo que pegan las canciones estas pedazo de mujeres es cosa de locos,-0.34,Negative,-0.6,Negative,0.49468591809272766,Positive
Que lindo 😳❤🤭 ✌🌹,0.9274,Positive,0.5,Positive,0.5720937252044678,Positive
Perú 🌊,0.0,Neutral,0.0,Netural,0.23543374240398407,Netural
°€,0.0,Neutral,0.0,Netural,-0.4921972453594208,Negative
Acabo de ver un video de nailon y no te yega ni alos talones,0.0,Neutral,0.0,Netural,-0.6695390343666077,Negative
Yo.   Escucho.  Desde.    Santa. Marta estoy escuchando mami justo ahora pues está re chimba va parce soy fanática de Karol g y de usted 💯💯💯💯💯💯,0.5984,Positive,0.31785714285714284,Netural,0.350319504737854,Positive
Me encantó muxhisimo,0.5994,Positive,0.48,Positive,0.8356825113296509,Positive
"Letra...
Salud, mami
Ah, ah-ah, ay
Lo que no sirve, que no estorbe
Te metiste autogol por torpe
Te quedó grande este torque
Ya no estoy pa que de mí te enamores, baby (sheesh)
Sin Visa ni pasaporte (no)
Mandé tu falso amor de vacaciones (shee, shee, shee, shee)
Pa la mierda y nunca vuelvas
Que todo se te devuelva, no
De lo que me hiciste si no te acuer-
No me vuelvas a llamar, que hasta boté el celular
De lo tóxico que eres, se volvió perjudicial
Lo que se va, se va
Conmigo no te equivoques
De lo tóxico que eres, no te quiero ver más (sheesh)
Llegué pa'l party, saca la botella
La que te quería, no sé quién es ella
Te dejé el review, no te puse ni una estrella
Y te olvidé porque no dejaste huella
Ya no miro pa'trás ni pa parquearme
Tengo uno que está listo pa llevarme
El segundo está esperando en el hotel
Y el tercero lo conozco esta noche
No me llames, que mi número cambié (cambié)
Si quieres que te lo dé (dé)
Llama, 1-800-jódete
No sé si me escuchaste
No me llames, que mi número cambié (cambié)
Si quieres que te lo dé (dé)
Llama, 1-800-jódete (jódete)
No me vuelvas a llamar, hasta boté el celular
De lo tóxico que eres, se volvió perjudicial
Lo que se va, se va, ah
Conmigo no te equivoques
De lo tóxico que eres, no te quiero ver más (ey)
Ay, yo lo lamento
Tu' gana' de volver murieron en el intento (ah)
Lo hiciste ver como que perdiste el tiempo
Quedaste bien porque lo mío ni lo cuento (papi)
Te veo en la' rede', no puedo creerlo, qué pena de ti (pena de ti)
Yo que fui buena y tú, qué gonorrea, pagándome así (eah, qué gonorrea)
Rata de dos patas, lo dijo Paquita, un animal rastrero (ja, ja, ja)
Que se come todo que se atraviesa, Diablo, tú ere' un cuero (cuero)
No digas: ""te quiero"", mejor sé sincero
No digas: ""te amo"" porque eso fue en vano (ah)
Llorando estabas tú y como no te salí
Andas comiéndote a otra, pero estás pensando en mí (sheesh)
No me vuelvas a llamar, que hasta boté el celular
De lo tóxico que eres, se volvió perjudicial
Lo que se va, se va, ah
Conmigo no te equivoques
De lo tóxico que eres, no te quiero ver más
Ow, repítelo, mami
(Que a veces no te cambian por algo mejor
Y ni siquiera por algo más rico)
KAROL G y Becky G
It's the real G's, baby (ah, ja, ja)
Ovy On The Drums",0.9308,Positive,0.15,Netural,-0.8685224652290344,Negative
Chile lindo 😍,0.7184,Positive,0.5,Positive,0.4739166498184204,Positive
"Me gusta mucho las canciones de ella,,pero Gonorrea en mi país es una enfermedad ,nosé si está bueno usar  esa palabra en una canción ,todas las enfermedades son iguales ,,busquen en la Google que es gonorrea ,,ella me encanta pero no la imaginaba usando esas palabras",0.9081,Positive,0.39999999999999997,Positive,0.3543943762779236,Positive
🖐✋🖖👌🤌🤏✌🤞🤟🤘🤙👈👉👆🖕👇,0.9406,Positive,0.0,Netural,0.30857792496681213,Netural
Bolivia🎶🔥💥,-0.5994,Negative,0.0,Netural,0.30857792496681213,Netural
Amooooo ❤️,0.6369,Positive,0.5,Positive,0.22869306802749634,Netural
"🔝 Personalmente esta hermosa cancion es una amor, una verdadera obra maestra del arte,de todos tiempos de la musica reggaeton ✌️👑💯❌💯",0.9599,Positive,0.42500000000000004,Positive,0.8495276570320129,Positive
ealeeeeeeeeeeeeeeeee,0.0,Neutral,0.0,Netural,0.2937298119068146,Netural
De Ecuador,0.0,Neutral,0.0,Netural,0.24035726487636566,Netural
"Vamos a escuchar BICHOTA para que llegue al Billón, falta menos de 500k 🔥🔥🔥 y hagamos que El Makinon llegue a los 700 millones, estamos cerca. Reina Karol G",-0.6845,Negative,-0.16666666666666666,Negative,-0.5873125195503235,Negative
pacalli🎉🎉🎉🎉 viva Karol G Karol G hacerle por vos porque te engañó bien😮,0.8225,Positive,0.043181818181818175,Netural,0.40869420766830444,Positive
Teamo,0.0,Neutral,0.0,Netural,0.28424710035324097,Netural
Salud mami ♥️😏,0.8074,Positive,0.0,Netural,0.3469388484954834,Positive
Me encanta esta canción 😊,0.8807,Positive,0.5,Positive,0.7863094806671143,Positive
Chile,0.0,Neutral,0.0,Netural,0.28146490454673767,Netural
Soitufan,0.0,Neutral,0.0,Netural,0.2588515281677246,Netural
Mail,0.0,Neutral,0.0,Netural,0.2533964514732361,Netural
Apoyen BICHOTA QUE YA CASI LLEGA AL BILLÓN 💙💙 y luego le seguimos con otros de sus temas 💙💙💙💪,0.9812,Positive,-0.125,Negative,0.2341786026954651,Netural
salud mami,0.4767,Positive,0.0,Netural,0.2941729724407196,Netural
Las dos princesas k cantan bonita,0.5719,Positive,0.85,Positive,0.4069023132324219,Positive
Lo que no te baby si n visas y oa la mierda que todo te revuelva no me vuelva de lo toxico lo q se va conmigo de lo toxico no me llames no me vuelvas a llamar celular wue eres lo que se va se va conmigo no te equivoques ay yo lo lamento papiii te voy lo que na yo que fui gonorrea oata dos rastrero lo diablo no diga 🎭,-0.2411,Negative,-0.3,Negative,-0.7411890029907227,Negative
Eeeeeweeeeewwwww,0.0,Neutral,0.0,Netural,-0.2368614375591278,Negative
Amooo este tema me hace sentir lo maximo y ganas de seguir sin importar lo qué cada una pase 🔥🔥🔥🔥🔥 vamos mis Diosas 😈💪🏼,0.0269,Neutral,0.5,Positive,0.7636395692825317,Positive
Ella es muy interesante ! La amo💋💋,0.9199,Positive,0.65625,Positive,0.5596250295639038,Positive
Mi canción favorita 😘🤣,0.8402,Positive,0.5,Positive,0.8059124946594238,Positive
Mamasita tú solo mueve tu cuerpo y relax,0.4404,Positive,0.0,Netural,-0.3139957785606384,Negative
te.     amo❤❤❤❤❤❤❤❤❤❤❤,0.995,Positive,0.0,Netural,-0.2917070686817169,Negative
"El día tan esperado de la llegada de la reina del universo, a lima  Peru  ,,,será una locura total........de hecho q abra muchos muertos , los fanáticos pobres ,,,,,, ni la policía podr controlar ,esos volcanes de explosiones q será de  fanáticos,,,,,,,,,,, muchos morirán en este concierto por ver a la reina,,,,,,,,,, pobre juventud  loca,,,,,,,,,amen",-0.9638,Negative,-0.012500000000000011,Negative,-0.48283615708351135,Negative
Becki G León gto escucho la cancion,0.0,Neutral,0.0,Netural,0.28486815094947815,Netural
Karol G ....es la reina del universo.....!!!!!!! No hay más..,-0.5216,Negative,-0.25,Negative,0.6597399115562439,Positive
me  encant la escucho todos los dias desde que salio,0.5994,Positive,0.7,Positive,0.835973858833313,Positive
😇☺☺☺,0.9001,Positive,0.0,Netural,0.30857792496681213,Netural
"Santa Cruz 
Boliviana",0.0,Neutral,0.0,Netural,0.36304470896720886,Positive
Soy ñina con esta canción voy a superar a Gael,0.0,Neutral,0.0,Netural,0.6048707962036133,Positive
"no me canso de escucharla 
enserio es un temazo 
y en todo momento se debe escuchar y cantarla a todo pulmón",0.3624,Positive,-0.07777777777777779,Negative,0.588094174861908,Positive
Quien todavía escuchando este palooooo... brutal mamiiiii,-0.6249,Negative,-0.875,Negative,-0.5819231271743774,Negative
🥰🥰🥰🥰😛😛😛😛😛😛,0.9837,Positive,0.0,Netural,0.30857792496681213,Netural
Peri,0.0,Neutral,0.0,Netural,0.24218015372753143,Netural
https://youtu.be/rTeaoAkQsgE,0.0,Neutral,0.0,Netural,-0.22613416612148285,Negative
Yamijonoaqueno 6DEDE,0.0,Neutral,-0.15,Negative,0.24585938453674316,Netural
Gente 160M so o áudio imagina um Clips top,0.2023,Positive,0.5,Positive,0.3120623528957367,Netural
Karol que sigue así cantando muy bien importante cantas muy lindo,0.8428,Positive,0.46,Positive,0.6337172389030457,Positive
Carol Carol linda,0.4588,Positive,0.5,Positive,0.33429744839668274,Positive
🥳✨✨✨✨✨✨🎇🎇🎇🎇🎆🎆⛳🎆,0.9246,Positive,0.0,Netural,0.30857792496681213,Netural
AGJHA YAUYWTMAD GTQOUtovtovaDA,0.0,Neutral,0.0,Netural,-0.29286354780197144,Negative
𝙈𝙤𝙣𝙩𝙚𝙫𝙞𝙙𝙚𝙤,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
